"reference_period_qq","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","ref_qq","ref_yy","population","starts_per_10kpop"
"1988-2","2440","June 30, 1988",NA,343,NA,NA,228,1.50438596491228,0,"2","1988",279357.102,12.2781915170354
"1988-2","1400","June 30, 1988",NA,871,NA,NA,546,1.5952380952381,0,"2","1988",641710.984,13.5730885354457
"1988-2","0340","June 30, 1988","EDMONTON",437,NA,NA,407,1.07371007371007,0,NA,NA,NA,NA
"1988-2","2680","June 30, 1988","WINNIPEG",608,NA,NA,376,1.61702127659574,0,"2","1988",664919.517,9.14396380998394
"1988-2","0610","June 30, 1988",NA,444,NA,NA,263,1.68821292775665,0,NA,NA,NA,NA
"1988-2","0140","June 30, 1988","CALGARY",343,NA,NA,335,1.02388059701493,0,NA,NA,NA,NA
"1988-2","2270","June 30, 1988","TORONTO",2820,NA,NA,2021,1.3953488372093,0.000989609104403761,"2","1988",3844267.56,7.33559762942203
"1988-2","1700","June 30, 1988","SASKATOON",111,NA,NA,105,1.05714285714286,0,"2","1988",215818.898,5.1432011296805
"1988-2","1265","June 30, 1988",NA,1112,NA,NA,712,1.56179775280899,0,"2","1988",675615.3203,16.4590702221825
"1988-2","2410","June 30, 1988",NA,1960,NA,NA,1045,1.8755980861244,0,"2","1988",1535606.75,12.763684452416
"1988-2","0580","June 30, 1988",NA,327,NA,NA,247,1.32388663967611,0,NA,NA,NA,NA
"1988-2","1060","June 30, 1988",NA,2548,NA,NA,1455,1.75120274914089,0,"2","1988",3315750.79,7.68453409612246
"1988-2","1490","June 30, 1988","REGINA",112,NA,NA,65,1.72307692307692,0,"2","1988",196029.748,5.71341855726917
"1988-3","0580","September 30, 1988",NA,800,NA,NA,503,1.59045725646123,0,NA,NA,NA,NA
"1988-3","1060","September 30, 1988",NA,5891,NA,NA,2740,2.15,0.0124087591240876,"3","1988",3338762.63,17.6442612214094
"1988-3","1400","September 30, 1988",NA,1341,NA,NA,762,1.75984251968504,0,"3","1988",644355.468,20.8114940680538
"1988-3","2440","September 30, 1988","VICTORIA",653,NA,NA,377,1.73209549071618,0,"3","1988",281509.78,23.1963521835725
"1988-3","1700","September 30, 1988","SASKATOON",378,NA,NA,214,1.76635514018692,0.0560747663551402,"3","1988",215988.035,17.5009694402748
"1988-3","0340","September 30, 1988","EDMONTON",1336,NA,NA,1090,1.2256880733945,0,NA,NA,NA,NA
"1988-3","1265","September 30, 1988",NA,2614,NA,NA,1381,1.89283128167994,0,"3","1988",679205.4357,38.486146644365
