"","reference_period_qq","CSDuid","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","ref_yy","ref_qq","population","inventory_per_10kpop"
"1","1988-2","1209001","June 30, 1988","0580",NA,NA,7,13,0.538461538461538,0,1988,2,"323830.609",0.216162394951368
"2","1988-2","1209008","June 30, 1988","0580","HALIFAX","EAST HANTS MD",38,25,1.52,0,1988,2,"323830.609",1.17345300116457
"3","1988-2","1209012","June 30, 1988","0580",NA,NA,47,64,0.734375,0,1988,2,"323830.609",1.45137608038776
"4","1988-2","1209018","June 30, 1988","0580",NA,NA,66,67,0.985074626865672,0,1988,2,"323830.609",2.03810258097004
"5","1988-2","1209021","June 30, 1988","0580",NA,NA,278,56,4.96428571428571,0,1988,2,"323830.609",8.5847351137829
"6","1988-2","1209022","June 30, 1988","0580",NA,NA,112,74,1.51351351351351,0,1988,2,"323830.609",3.45859831922189
"7","1988-2","1209024","June 30, 1988","0580",NA,NA,99,55,1.8,0,1988,2,"323830.609",3.05715387145506
"8","1988-2","1209026","June 30, 1988","0580",NA,NA,8,27,0.296296296296296,0,1988,2,"323830.609",0.247042737087278
"9","1988-2","2415780","June 30, 1988","1400",NA,NA,0,2,0,0,1988,2,"641710.984",0
"10","1988-2","2416300","June 30, 1988","1400",NA,NA,0,2,0,0,1988,2,"641710.984",0
"11","1988-2","2416500","June 30, 1988","1400",NA,NA,0,1,0,0,1988,2,"641710.984",0
"12","1988-2","2416700","June 30, 1988","1400",NA,NA,1,2,0.5,0,1988,2,"641710.984",0.0155833393059078
"13","1988-2","2417320","June 30, 1988","1400",NA,NA,0,1,0,0,1988,2,"641710.984",0
"14","1988-2","2417360","June 30, 1988","1400",NA,NA,0,1,0,0,1988,2,"641710.984",0
"15","1988-2","2417400","June 30, 1988","1400",NA,NA,0,2,0,0,1988,2,"641710.984",0
"16","1988-2","2420110","June 30, 1988","1400",NA,NA,37,98,0.377551020408163,0,1988,2,"641710.984",0.57658355431859
"17","1988-2","2420140","June 30, 1988","1400",NA,NA,151,60,2.51666666666667,0,1988,2,"641710.984",2.35308423519208
"18","1988-2","2420150","June 30, 1988","1400",NA,NA,3,21,0.142857142857143,0,1988,2,"641710.984",0.0467500179177235
"19","1988-2","2420170","June 30, 1988","1400",NA,NA,7,19,0.368421052631579,0,1988,2,"641710.984",0.109083375141355
"20","1988-2","2420200","June 30, 1988","1400",NA,NA,3,8,0.375,0,1988,2,"641710.984",0.0467500179177235
"21","1988-2","2420230","June 30, 1988","1400",NA,NA,230,68,3.38235294117647,0,1988,2,"641710.984",3.5841680403588
"22","1988-2","2420260","June 30, 1988","1400",NA,NA,1,1,1,0,1988,2,"641710.984",0.0155833393059078
"23","1988-2","2420290","June 30, 1988","1400",NA,NA,23,35,0.657142857142857,0,1988,2,"641710.984",0.35841680403588
"24","1988-2","2420320","June 30, 1988","1400",NA,NA,78,4,19.5,0,1988,2,"641710.984",1.21550046586081
"25","1988-2","2420350","June 30, 1988","1400",NA,NA,21,35,0.6,0,1988,2,"641710.984",0.327250125424065
"26","1988-2","2420400","June 30, 1988","1400",NA,NA,183,51,3.58823529411765,0,1988,2,"641710.984",2.85175109298113
"27","1988-2","2420430","June 30, 1988","1400",NA,NA,25,51,0.490196078431373,0,1988,2,"641710.984",0.389583482647696
"28","1988-2","2420470","June 30, 1988","1400",NA,NA,0,1,0,0,1988,2,"641710.984",0
"29","1988-2","2420530","June 30, 1988","1400",NA,NA,0,7,0,0,1988,2,"641710.984",0
"30","1988-2","2420560","June 30, 1988","1400",NA,NA,13,8,1.625,0,1988,2,"641710.984",0.202583410976802
"31","1988-2","2421170","June 30, 1988","1400",NA,NA,2,3,0.666666666666667,0,1988,2,"641710.984",0.0311666786118157
"32","1988-2","2421220","June 30, 1988","1400",NA,NA,11,26,0.423076923076923,0,1988,2,"641710.984",0.171416732364986
"33","1988-2","2421260","June 30, 1988","1400",NA,NA,8,10,0.8,0,1988,2,"641710.984",0.124666714447263
"34","1988-2","2421300","June 30, 1988","1400",NA,NA,33,89,0.370786516853933,0,1988,2,"641710.984",0.514250197094959
"35","1988-2","2421340","June 30, 1988","1400",NA,NA,9,15,0.6,0,1988,2,"641710.984",0.140250053753171
"36","1988-2","2421420","June 30, 1988","1400",NA,NA,16,28,0.571428571428571,0,1988,2,"641710.984",0.249333428894526
"37","1988-2","2421460","June 30, 1988","1400",NA,NA,21,16,1.3125,0,1988,2,"641710.984",0.327250125424065
