"reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount"
"2008-2","0140","nan","June 30, 2008","CALGARY",6421,3185,2.0160125588697,0.00565149136577708
"2008-2","0140","T2R","June 30, 2008","CALGARY",624,4,156,11.5
"2008-2","0140","T2J","June 30, 2008","CALGARY",246,7,35.1428571428571,0
"2008-2","0140","T2P","June 30, 2008","CALGARY",1572,8,196.5,21.125
"2008-2","0140","T0L","June 30, 2008","CALGARY",1,1,1,0
"2008-2","0140","T3A","June 30, 2008","CALGARY",7,2,3.5,0
"2008-2","0140","T3E","June 30, 2008","CALGARY",224,117,1.91452991452991,0
"2008-2","0140","T2L","June 30, 2008","CALGARY",16,12,1.33333333333333,0
"2008-2","0140","T2B","June 30, 2008","CALGARY",158,16,9.875,0.1875
"2008-2","0140","T2N","June 30, 2008","CALGARY",190,119,1.59663865546218,0
"2008-2","0140","T2K","June 30, 2008","CALGARY",65,15,4.33333333333333,0
"2008-2","0140","T0M","June 30, 2008","CALGARY",1,1,1,0
"2008-2","0140","T4C","June 30, 2008","CALGARY",368,162,2.2716049382716,0
"2008-2","0140","T2C","June 30, 2008","CALGARY",110,73,1.50684931506849,0
"2008-2","0140","T2G","June 30, 2008","CALGARY",2511,29,86.5862068965517,4.48275862068965
"2008-2","0140","T2A","June 30, 2008","CALGARY",98,5,19.6,0
"2008-2","0140","T2T","June 30, 2008","CALGARY",312,131,2.38167938931298,0.083969465648855
"2008-2","0140","T2X","June 30, 2008","CALGARY",65,2,32.5,0
"2008-2","0140","T1Y","June 30, 2008","CALGARY",60,1,60,0
"2008-2","0140","T2S","June 30, 2008","CALGARY",22,22,1,0
"2008-2","0140","T3C","June 30, 2008","CALGARY",382,30,12.7333333333333,1.06666666666667
"2008-2","0140","T3H","June 30, 2008","CALGARY",5,2,2.5,0
"2008-2","0140","T2Y","June 30, 2008","CALGARY",480,9,53.3333333333333,0
"2008-2","0140","T2H","June 30, 2008","CALGARY",720,4,180,5.25
"2008-2","0140","T3J","June 30, 2008","CALGARY",15,15,1,0
"2008-2","0140","T3B","June 30, 2008","CALGARY",110,29,3.79310344827586,0.103448275862069
"2008-2","0140","T2V","June 30, 2008","CALGARY",46,36,1.27777777777778,0
"2008-2","0140","T2E","June 30, 2008","CALGARY",193,75,2.57333333333333,0
"2008-3","0140","T2S","September 30, 2008","CALGARY",24,23,1.04347826086957,0
"2008-3","0140","T2L","September 30, 2008","CALGARY",12,12,1,0
"2008-3","0140","T0L","September 30, 2008","CALGARY",1,1,1,0
"2008-3","0140","T1Y","September 30, 2008","CALGARY",60,1,60,0
"2008-3","0140","T2Y","September 30, 2008","CALGARY",328,15,21.8666666666667,0
"2008-3","0140","T2J","September 30, 2008","CALGARY",6,6,1,0
"2008-3","0140","T2E","September 30, 2008","CALGARY",188,72,2.61111111111111,0
"2008-3","0140","T0M","September 30, 2008","CALGARY",1,1,1,0
"2008-3","0140","T2P","September 30, 2008","CALGARY",1151,7,164.428571428571,16.1428571428571
"2008-3","0140","T2X","September 30, 2008","CALGARY",65,2,32.5,0
"2008-3","0140","T2V","September 30, 2008","CALGARY",45,35,1.28571428571429,0
"2008-3","0140","T2T","September 30, 2008","CALGARY",309,128,2.4140625,0.0859375
"2008-3","0140","T2C","September 30, 2008","CALGARY",103,55,1.87272727272727,0
"2008-3","0140","T3A","September 30, 2008","CALGARY",7,2,3.5,0
"2008-3","0140","nan","September 30, 2008","CALGARY",5076,2644,1.91981845688351,0.0113464447806354
"2008-3","0140","T4C","September 30, 2008","CALGARY",446,156,2.85897435897436,0
"2008-3","0140","T2K","September 30, 2008","CALGARY",24,15,1.6,0
"2008-3","0140","T3H","September 30, 2008","CALGARY",5,2,2.5,0
"2008-3","0140","T2N","September 30, 2008","CALGARY",181,118,1.53389830508475,0
"2008-3","0140","T3C","September 30, 2008","CALGARY",382,30,12.7333333333333,1.06666666666667
"2008-3","0140","T3E","September 30, 2008","CALGARY",220,113,1.94690265486726,0
"2008-3","0140","T2B","September 30, 2008","CALGARY",164,19,8.63157894736842,0.157894736842105
"2008-3","0140","T2M","September 30, 2008","CALGARY",108,61,1.77049180327869,0
"2008-3","0140","T3B","September 30, 2008","CALGARY",109,27,4.03703703703704,0.111111111111111
"2008-3","0140","T2H","September 30, 2008","CALGARY",722,6,120.333333333333,3.5
"2008-3","0140","T2A","September 30, 2008","CALGARY",100,6,16.6666666666667,0
"2008-3","0140","T3J","September 30, 2008","CALGARY",6,6,1,0
