"","reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount"
"391","2006-3","0140","T2J","September 30, 2006","CALGARY",503,6,83.8333333333333,0.666666666666667
"392","2006-3","0140","T2K","September 30, 2006","CALGARY",55,13,4.23076923076923,0.230769230769231
"393","2006-3","0140","T2L","September 30, 2006","CALGARY",7,7,1,0
"394","2006-3","0140","T2M","September 30, 2006","CALGARY",79,49,1.61224489795918,0
"395","2006-3","0140","T2N","September 30, 2006","CALGARY",211,123,1.71544715447154,0
"396","2006-3","0140","T2P","September 30, 2006","CALGARY",302,4,75.5,12.75
"397","2006-3","0140","T2R","September 30, 2006","CALGARY",625,4,156.25,16.5
"398","2006-3","0140","T2S","September 30, 2006","CALGARY",32,32,1,0
"399","2006-3","0140","T2T","September 30, 2006","CALGARY",334,135,2.47407407407407,0.0518518518518519
"400","2006-3","0140","T2V","September 30, 2006","CALGARY",57,41,1.39024390243902,0
"401","2006-3","0140","T2X","September 30, 2006","CALGARY",7,1,7,0
"402","2006-3","0140","T2Y","September 30, 2006","CALGARY",66,60,1.1,0
"403","2006-3","0140","T3A","September 30, 2006","CALGARY",4,4,1,0
"404","2006-3","0140","T3B","September 30, 2006","CALGARY",14,12,1.16666666666667,0
"405","2006-3","0140","T3C","September 30, 2006","CALGARY",465,24,19.375,0.916666666666667
"406","2006-3","0140","T3E","September 30, 2006","CALGARY",212,98,2.16326530612245,0.0612244897959184
"407","2006-3","0140","T3H","September 30, 2006","CALGARY",5,5,1,0
"408","2006-3","0140","T4C","September 30, 2006","CALGARY",1,1,1,0
"409","2006-3","0140","nan","September 30, 2006","CALGARY",9111,6182,1.47379488838564,0.00420575865415723
"410","2006-4","0140",NA,"December 31, 2006","CALGARY",1,1,1,0
"411","2006-4","0140","T2B","December 31, 2006","CALGARY",27,10,2.7,0
"412","2006-4","0140","T2C","December 31, 2006","CALGARY",504,249,2.02409638554217,0
"413","2006-4","0140","T2E","December 31, 2006","CALGARY",228,100,2.28,0.05
"414","2006-4","0140","T2G","December 31, 2006","CALGARY",743,19,39.1052631578947,3.68421052631579
"415","2006-4","0140","T2H","December 31, 2006","CALGARY",380,11,34.5454545454545,1.90909090909091
"416","2006-4","0140","T2J","December 31, 2006","CALGARY",503,6,83.8333333333333,0.666666666666667
"417","2006-4","0140","T2K","December 31, 2006","CALGARY",96,13,7.38461538461539,0.230769230769231
"418","2006-4","0140","T2L","December 31, 2006","CALGARY",9,9,1,0
"419","2006-4","0140","T2M","December 31, 2006","CALGARY",87,52,1.67307692307692,0
"420","2006-4","0140","T2N","December 31, 2006","CALGARY",267,132,2.02272727272727,0
"421","2006-4","0140","T2P","December 31, 2006","CALGARY",302,4,75.5,12.75
"422","2006-4","0140","T2R","December 31, 2006","CALGARY",301,3,100.333333333333,6.33333333333333
"423","2006-4","0140","T2S","December 31, 2006","CALGARY",31,31,1,0
"424","2006-4","0140","T2T","December 31, 2006","CALGARY",336,135,2.48888888888889,0.0222222222222222
"425","2006-4","0140","T2V","December 31, 2006","CALGARY",72,45,1.6,0
"426","2006-4","0140","T2X","December 31, 2006","CALGARY",9,3,3,0
"427","2006-4","0140","T2Y","December 31, 2006","CALGARY",68,62,1.09677419354839,0
"428","2006-4","0140","T3A","December 31, 2006","CALGARY",5,5,1,0
"429","2006-4","0140","T3B","December 31, 2006","CALGARY",16,12,1.33333333333333,0
"430","2006-4","0140","T3C","December 31, 2006","CALGARY",469,28,16.75,0.785714285714286
"431","2006-4","0140","T3E","December 31, 2006","CALGARY",226,116,1.94827586206897,0.0517241379310345
"432","2006-4","0140","T3H","December 31, 2006","CALGARY",5,5,1,0
"433","2006-4","0140","T4C","December 31, 2006","CALGARY",1,1,1,0
"434","2006-4","0140","nan","December 31, 2006","CALGARY",9638,6202,1.55401483392454,0.00419219606578523
"435","2007-1","0140",NA,"March 31, 2007","CALGARY",1,1,1,0
"436","2007-1","0140","T0M","March 31, 2007","CALGARY",2,2,1,0
"437","2007-1","0140","T2A","March 31, 2007","CALGARY",9,5,1.8,0
"438","2007-1","0140","T2B","March 31, 2007","CALGARY",15,7,2.14285714285714,0
"439","2007-1","0140","T2C","March 31, 2007","CALGARY",474,219,2.16438356164384,0
"440","2007-1","0140","T2E","March 31, 2007","CALGARY",274,105,2.60952380952381,0.0476190476190476
"441","2007-1","0140","T2G","March 31, 2007","CALGARY",905,19,47.6315789473684,3.68421052631579
"442","2007-1","0140","T2H","March 31, 2007","CALGARY",379,10,37.9,2.1
"443","2007-1","0140","T2J","March 31, 2007","CALGARY",382,4,95.5,0
"444","2007-1","0140","T2K","March 31, 2007","CALGARY",93,12,7.75,0.25
"445","2007-1","0140","T2L","March 31, 2007","CALGARY",8,8,1,0
"446","2007-1","0140","T2M","March 31, 2007","CALGARY",74,42,1.76190476190476,0
"447","2007-1","0140","T2N","March 31, 2007","CALGARY",267,130,2.05384615384615,0
"448","2007-1","0140","T2P","March 31, 2007","CALGARY",302,4,75.5,12.75
"449","2007-1","0140","T2R","March 31, 2007","CALGARY",294,2,147,9.5
"450","2007-1","0140","T2S","March 31, 2007","CALGARY",34,34,1,0
"451","2007-1","0140","T2T","March 31, 2007","CALGARY",387,157,2.46496815286624,0.0191082802547771
"452","2007-1","0140","T2V","March 31, 2007","CALGARY",66,39,1.69230769230769,0
"453","2007-1","0140","T2X","March 31, 2007","CALGARY",9,3,3,0
"454","2007-1","0140","T2Y","March 31, 2007","CALGARY",63,58,1.08620689655172,0
"455","2007-1","0140","T3A","March 31, 2007","CALGARY",5,5,1,0
"456","2007-1","0140","T3B","March 31, 2007","CALGARY",20,13,1.53846153846154,0
"457","2007-1","0140","T3C","March 31, 2007","CALGARY",473,31,15.258064516129,0.709677419354839
"458","2007-1","0140","T3E","March 31, 2007","CALGARY",260,128,2.03125,0.046875
"459","2007-1","0140","T3G","March 31, 2007","CALGARY",1,1,1,0
"460","2007-1","0140","T3H","March 31, 2007","CALGARY",5,5,1,0
"461","2007-1","0140","T4C","March 31, 2007","CALGARY",31,31,1,0
"462","2007-1","0140","nan","March 31, 2007","CALGARY",9549,5931,1.61001517450683,0.00438374641713033
"463","2007-2","0140",NA,"June 30, 2007","CALGARY",1,1,1,0
"464","2007-2","0140","T0M","June 30, 2007","CALGARY",2,2,1,0
"465","2007-2","0140","T1Y","June 30, 2007","CALGARY",68,5,13.6,0
"466","2007-2","0140","T2A","June 30, 2007","CALGARY",72,6,12,0
"467","2007-2","0140","T2B","June 30, 2007","CALGARY",11,6,1.83333333333333,0
"468","2007-2","0140","T2C","June 30, 2007","CALGARY",223,154,1.44805194805195,0
"469","2007-2","0140","T2E","June 30, 2007","CALGARY",295,100,2.95,0.03
"470","2007-2","0140","T2G","June 30, 2007","CALGARY",954,21,45.4285714285714,3.33333333333333
"471","2007-2","0140","T2H","June 30, 2007","CALGARY",744,9,82.6666666666667,2.33333333333333
"472","2007-2","0140","T2J","June 30, 2007","CALGARY",382,4,95.5,0
"473","2007-2","0140","T2K","June 30, 2007","CALGARY",56,11,5.09090909090909,0
"474","2007-2","0140","T2L","June 30, 2007","CALGARY",15,11,1.36363636363636,0
"475","2007-2","0140","T2M","June 30, 2007","CALGARY",74,42,1.76190476190476,0
"476","2007-2","0140","T2N","June 30, 2007","CALGARY",266,141,1.88652482269504,0
"477","2007-2","0140","T2P","June 30, 2007","CALGARY",302,4,75.5,12.75
"478","2007-2","0140","T2R","June 30, 2007","CALGARY",435,3,145,6.33333333333333
"479","2007-2","0140","T2S","June 30, 2007","CALGARY",31,31,1,0
"480","2007-2","0140","T2T","June 30, 2007","CALGARY",328,153,2.1437908496732,0.0196078431372549
"481","2007-2","0140","T2V","June 30, 2007","CALGARY",62,37,1.67567567567568,0
"482","2007-2","0140","T2X","June 30, 2007","CALGARY",3,3,1,0
"483","2007-2","0140","T2Y","June 30, 2007","CALGARY",53,50,1.06,0
"484","2007-2","0140","T3A","June 30, 2007","CALGARY",3,3,1,0
"485","2007-2","0140","T3B","June 30, 2007","CALGARY",29,20,1.45,0
"486","2007-2","0140","T3C","June 30, 2007","CALGARY",390,30,13,0
"487","2007-2","0140","T3E","June 30, 2007","CALGARY",298,162,1.83950617283951,0.037037037037037
"488","2007-2","0140","T3G","June 30, 2007","CALGARY",1,1,1,0
"489","2007-2","0140","T3H","June 30, 2007","CALGARY",5,5,1,0
"490","2007-2","0140","T4C","June 30, 2007","CALGARY",73,72,1.01388888888889,0
"491","2007-2","0140","nan","June 30, 2007","CALGARY",9216,5557,1.65844880331114,0.00395897066762642
"492","2007-3","0140","T0L","September 30, 2007","CALGARY",2,2,1,0
"493","2007-3","0140","T0M","September 30, 2007","CALGARY",4,4,1,0
"494","2007-3","0140","T1Y","September 30, 2007","CALGARY",68,5,13.6,0
"495","2007-3","0140","T2A","September 30, 2007","CALGARY",78,10,7.8,0
"496","2007-3","0140","T2B","September 30, 2007","CALGARY",21,21,1,0
"497","2007-3","0140","T2C","September 30, 2007","CALGARY",288,164,1.75609756097561,0
"498","2007-3","0140","T2E","September 30, 2007","CALGARY",287,104,2.75961538461538,0.0288461538461538
"499","2007-3","0140","T2G","September 30, 2007","CALGARY",1205,31,38.8709677419355,2.25806451612903
"500","2007-3","0140","T2H","September 30, 2007","CALGARY",744,9,82.6666666666667,2.33333333333333
"501","2007-3","0140","T2J","September 30, 2007","CALGARY",384,6,64,0
"502","2007-3","0140","T2K","September 30, 2007","CALGARY",60,13,4.61538461538461,0
"503","2007-3","0140","T2L","September 30, 2007","CALGARY",22,18,1.22222222222222,0
"504","2007-3","0140","T2M","September 30, 2007","CALGARY",85,53,1.60377358490566,0
"505","2007-3","0140","T2N","September 30, 2007","CALGARY",271,147,1.84353741496599,0
"506","2007-3","0140","T2P","September 30, 2007","CALGARY",332,5,66.4,10.2
"507","2007-3","0140","T2R","September 30, 2007","CALGARY",435,3,145,6.33333333333333
"508","2007-3","0140","T2S","September 30, 2007","CALGARY",34,34,1,0
"509","2007-3","0140","T2T","September 30, 2007","CALGARY",271,151,1.79470198675497,0.0198675496688742
"510","2007-3","0140","T2V","September 30, 2007","CALGARY",49,32,1.53125,0
"511","2007-3","0140","T2X","September 30, 2007","CALGARY",3,3,1,0
"512","2007-3","0140","T2Y","September 30, 2007","CALGARY",198,40,4.95,0
"513","2007-3","0140","T3A","September 30, 2007","CALGARY",1,1,1,0
"514","2007-3","0140","T3B","September 30, 2007","CALGARY",49,32,1.53125,0
"515","2007-3","0140","T3C","September 30, 2007","CALGARY",365,34,10.7352941176471,0
"516","2007-3","0140","T3E","September 30, 2007","CALGARY",295,150,1.96666666666667,0.0266666666666667
"517","2007-3","0140","T3H","September 30, 2007","CALGARY",2,2,1,0
"518","2007-3","0140","T4C","September 30, 2007","CALGARY",107,99,1.08080808080808,0
"519","2007-3","0140","nan","September 30, 2007","CALGARY",9410,5490,1.71402550091075,0.00200364298724954
"520","2007-4","0140","T0L","December 31, 2007","CALGARY",3,3,1,0
"521","2007-4","0140","T0M","December 31, 2007","CALGARY",2,2,1,0
"522","2007-4","0140","T1Y","December 31, 2007","CALGARY",60,1,60,0
"523","2007-4","0140","T2A","December 31, 2007","CALGARY",78,10,7.8,0
"524","2007-4","0140","T2B","December 31, 2007","CALGARY",36,36,1,0
"525","2007-4","0140","T2C","December 31, 2007","CALGARY",292,168,1.73809523809524,0
