"reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount"
"2006-1","0140","T2V","March 31, 2006","CALGARY",7,NA,NA,6,1.16666666666667,0
"2006-1","1060","J3X","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0
"2006-1","1060","J7Z","March 31, 2006","MONTRÉAL",12,NA,NA,5,2.4,0
"2006-1","2410","V6Y","March 31, 2006","VANCOUVER",146,NA,NA,29,5.03448275862069,0.137931034482759
"2006-1","1060","H4B","March 31, 2006","MONTRÉAL",84,NA,NA,18,4.66666666666667,0
"2006-1","2270","L4P","March 31, 2006","TORONTO",64,NA,NA,63,1.01587301587302,0
"2006-1","2440","V8L","March 31, 2006","VICTORIA",6,NA,NA,6,1,0
"2006-1","0340","T5A","March 31, 2006","EDMONTON",35,NA,NA,25,1.4,0
"2006-1","2270","M4S","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","0610","L9A","March 31, 2006","HAMILTON",6,NA,NA,6,1,0
"2006-1","1060","J7M","March 31, 2006","MONTRÉAL",97,NA,NA,69,1.40579710144928,0.0579710144927536
"2006-1","1265","K1W","March 31, 2006","OTTAWA",1,NA,NA,1,1,0
"2006-1","2440","V9C","March 31, 2006","VICTORIA",75,NA,NA,71,1.05633802816901,0
"2006-1","0340","T0C","March 31, 2006","EDMONTON",8,NA,NA,8,1,0
"2006-1","1060","J7K","March 31, 2006","MONTRÉAL",15,NA,NA,15,1,0
"2006-1","2270","M1M","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","1265","K1H","March 31, 2006","OTTAWA",13,NA,NA,5,2.6,0
"2006-1","1400","G0A","March 31, 2006","QUÉBEC",52,NA,NA,51,1.01960784313725,0
"2006-1","1400","G1L","March 31, 2006","QUÉBEC",31,NA,NA,1,31,0
"2006-1","1060","H4V","March 31, 2006","MONTRÉAL",24,NA,NA,8,3,0
"2006-1","2270","M4N","March 31, 2006","TORONTO",5,NA,NA,5,1,0
"2006-1","2410","V7N","March 31, 2006","VANCOUVER",50,NA,NA,2,25,2
"2006-1","2270","M6E","March 31, 2006","TORONTO",2,NA,NA,2,1,0
"2006-1","2410","V3V","March 31, 2006","VANCOUVER",17,NA,NA,17,1,0
"2006-1","2410","V5K","March 31, 2006","VANCOUVER",19,NA,NA,18,1.05555555555556,0.111111111111111
"2006-1","1060","H1R","March 31, 2006","MONTRÉAL",30,NA,NA,10,3,0
"2006-1","2270","L6R","March 31, 2006","TORONTO",17,NA,NA,3,5.66666666666667,0
"2006-1","1265","K1T","March 31, 2006","OTTAWA",2,NA,NA,2,1,0
"2006-1","1400","G3E","March 31, 2006","QUÉBEC",34,NA,NA,18,1.88888888888889,0
"2006-1","2410","V3X","March 31, 2006","VANCOUVER",10,NA,NA,10,1,0
"2006-1","2410","V7E","March 31, 2006","VANCOUVER",18,NA,NA,18,1,0
"2006-1","2410","nan","March 31, 2006","VANCOUVER",2461,NA,NA,767,3.20860495436767,0.316818774445893
"2006-1","2410","V5V","March 31, 2006","VANCOUVER",5,NA,NA,4,1.25,0.25
"2006-1","2680","R0E","March 31, 2006","WINNIPEG",2,NA,NA,2,1,0
"2006-1","2410","V6V","March 31, 2006","VANCOUVER",13,NA,NA,13,1,0
"2006-1","1060","J6J","March 31, 2006","MONTRÉAL",9,NA,NA,9,1,0
"2006-1","0340","T8N","March 31, 2006","EDMONTON",16,NA,NA,16,1,0
"2006-1","2410","V6W","March 31, 2006","VANCOUVER",48,NA,NA,5,9.6,0.8
"2006-1","2410","V7S","March 31, 2006","VANCOUVER",20,NA,NA,20,1,0
"2006-1","0140","T2T","March 31, 2006","CALGARY",67,NA,NA,33,2.03030303030303,0
"2006-1","2270","L7E","March 31, 2006","TORONTO",2,NA,NA,2,1,0
"2006-1","0580","nan","March 31, 2006","HALIFAX",36,NA,NA,35,1.02857142857143,0
"2006-1","1400","G6C","March 31, 2006","QUÉBEC",12,NA,NA,4,3,0
"2006-1","2270","L4J","March 31, 2006","TORONTO",6,NA,NA,6,1,0
"2006-1","2270","M5R","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","1700","S7H","March 31, 2006","SASKATOON",1,NA,NA,1,1,0
"2006-1","0580","B2T","March 31, 2006","HALIFAX",1,NA,NA,1,1,0
"2006-1","2270","L9T","March 31, 2006","TORONTO",2,NA,NA,2,1,0
"2006-1","1060","H7R","March 31, 2006","MONTRÉAL",19,NA,NA,4,4.75,0
"2006-1","1400","G3A","March 31, 2006","QUÉBEC",17,NA,NA,13,1.30769230769231,0
"2006-1","0610","L7N","March 31, 2006","HAMILTON",1,NA,NA,1,1,0
"2006-1","1060","H2L","March 31, 2006","MONTRÉAL",84,NA,NA,1,84,8
"2006-1","2270","M1C","March 31, 2006","TORONTO",54,NA,NA,54,1,0
"2006-1","2410","V3S","March 31, 2006","VANCOUVER",251,NA,NA,229,1.09606986899563,0
"2006-1","0340","T5B","March 31, 2006","EDMONTON",6,NA,NA,2,3,0
"2006-1","1060","H8P","March 31, 2006","MONTRÉAL",6,NA,NA,1,6,0
"2006-1","2270","M1N","March 31, 2006","TORONTO",2,NA,NA,2,1,0
"2006-1","2410","V5P","March 31, 2006","VANCOUVER",10,NA,NA,9,1.11111111111111,0.222222222222222
"2006-1","2410","V6M","March 31, 2006","VANCOUVER",3,NA,NA,3,1,0
"2006-1","1400","G1C","March 31, 2006","QUÉBEC",68,NA,NA,38,1.78947368421053,0
"2006-1","1400","G3K","March 31, 2006","QUÉBEC",1,NA,NA,1,1,0
"2006-1","2270","L9W","March 31, 2006","TORONTO",13,NA,NA,13,1,0
"2006-1","2680","R4A","March 31, 2006","WINNIPEG",11,NA,NA,11,1,0
"2006-1","0580","B3R","March 31, 2006","HALIFAX",2,NA,NA,2,1,0
"2006-1","2270","L1W","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","2410","V7C","March 31, 2006","VANCOUVER",28,NA,NA,26,1.07692307692308,0
"2006-1","1060","H1X","March 31, 2006","MONTRÉAL",3,NA,NA,1,3,0
"2006-1","2270","L1Z","March 31, 2006","TORONTO",5,NA,NA,2,2.5,0
"2006-1","2270","L4C","March 31, 2006","TORONTO",12,NA,NA,11,1.09090909090909,0
"2006-1","1265","K2K","March 31, 2006","OTTAWA",8,NA,NA,8,1,0
"2006-1","2410","V5R","March 31, 2006","VANCOUVER",34,NA,NA,24,1.41666666666667,0.166666666666667
"2006-1","2270","M5T","March 31, 2006","TORONTO",8,NA,NA,1,8,0
"2006-1","1060","H4N","March 31, 2006","MONTRÉAL",5,NA,NA,3,1.66666666666667,0
"2006-1","1400","G1K","March 31, 2006","QUÉBEC",26,NA,NA,3,8.66666666666667,0
"2006-1","1060","H1E","March 31, 2006","MONTRÉAL",13,NA,NA,4,3.25,0
"2006-1","1060","J7R","March 31, 2006","MONTRÉAL",5,NA,NA,4,1.25,0
"2006-1","2270","L0E","March 31, 2006","TORONTO",8,NA,NA,7,1.14285714285714,0
"2006-1","2270","L6S","March 31, 2006","TORONTO",3,NA,NA,3,1,0
"2006-1","2270","M4G","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","2680","R3A","March 31, 2006","WINNIPEG",16,NA,NA,2,8,0
"2006-1","0340","T9G","March 31, 2006","EDMONTON",7,NA,NA,7,1,0
"2006-1","1400","G1M","March 31, 2006","QUÉBEC",1,NA,NA,1,1,0
"2006-1","2410","V0N","March 31, 2006","VANCOUVER",4,NA,NA,4,1,0
"2006-1","2410","V5B","March 31, 2006","VANCOUVER",19,NA,NA,13,1.46153846153846,0.461538461538462
"2006-1","2410","V6K","March 31, 2006","VANCOUVER",78,NA,NA,2,39,7.5
"2006-1","1265","K4P","March 31, 2006","OTTAWA",5,NA,NA,5,1,0
"2006-1","2270","M1B","March 31, 2006","TORONTO",25,NA,NA,4,6.25,0
"2006-1","2680","R2M","March 31, 2006","WINNIPEG",3,NA,NA,3,1,0
"2006-1","1060","H4M","March 31, 2006","MONTRÉAL",107,NA,NA,2,53.5,0
"2006-1","1060","H9C","March 31, 2006","MONTRÉAL",8,NA,NA,8,1,0
"2006-1","1060","J6A","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0
"2006-1","2680","R5A","March 31, 2006","WINNIPEG",5,NA,NA,5,1,0
"2006-1","0140","T2M","March 31, 2006","CALGARY",14,NA,NA,9,1.55555555555556,0
"2006-1","0340","T5E","March 31, 2006","EDMONTON",12,NA,NA,12,1,0
"2006-1","1265","K2G","March 31, 2006","OTTAWA",3,NA,NA,2,1.5,0
"2006-1","1265","K2B","March 31, 2006","OTTAWA",15,NA,NA,5,3,0
"2006-1","2270","M2L","March 31, 2006","TORONTO",3,NA,NA,3,1,0
"2006-1","2410","V5M","March 31, 2006","VANCOUVER",21,NA,NA,20,1.05,0.1
"2006-1","1265","K2M","March 31, 2006","OTTAWA",16,NA,NA,9,1.77777777777778,0
"2006-1","2680","R3P","March 31, 2006","WINNIPEG",1,NA,NA,1,1,0
"2006-1","0580","B3N","March 31, 2006","HALIFAX",4,NA,NA,4,1,0
"2006-1","1400","nan","March 31, 2006","QUÉBEC",433,NA,NA,252,1.71825396825397,0
"2006-1","2410","V4C","March 31, 2006","VANCOUVER",3,NA,NA,3,1,0
"2006-1","1060","H2W","March 31, 2006","MONTRÉAL",18,NA,NA,3,6,0
"2006-1","1060","J6W","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0
"2006-1","2270","M6M","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","0340","T5H","March 31, 2006","EDMONTON",91,NA,NA,4,22.75,0
"2006-1","1400","G6V","March 31, 2006","QUÉBEC",24,NA,NA,16,1.5,0
"2006-1","2270","M9B","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","0340","T6J","March 31, 2006","EDMONTON",30,NA,NA,15,2,0
"2006-1","1060","H8S","March 31, 2006","MONTRÉAL",16,NA,NA,3,5.33333333333333,0
"2006-1","0140","T2E","March 31, 2006","CALGARY",53,NA,NA,14,3.78571428571429,0
"2006-1","1265","K2E","March 31, 2006","OTTAWA",6,NA,NA,4,1.5,0
"2006-1","2270","M6J","March 31, 2006","TORONTO",13,NA,NA,1,13,0
"2006-1","2410","V4M","March 31, 2006","VANCOUVER",7,NA,NA,7,1,0
"2006-1","0610","L9B","March 31, 2006","HAMILTON",1,NA,NA,1,1,0
"2006-1","1060","H4E","March 31, 2006","MONTRÉAL",55,NA,NA,8,6.875,0
"2006-1","2270","M3H","March 31, 2006","TORONTO",4,NA,NA,4,1,0
"2006-1","0340","T5X","March 31, 2006","EDMONTON",4,NA,NA,2,2,0
"2006-1","1060","J3Y","March 31, 2006","MONTRÉAL",44,NA,NA,19,2.31578947368421,0
"2006-1","1060","J5Y","March 31, 2006","MONTRÉAL",63,NA,NA,56,1.125,0
"2006-1","2270","M1K","March 31, 2006","TORONTO",5,NA,NA,4,1.25,0
"2006-1","2410","V3E","March 31, 2006","VANCOUVER",1,NA,NA,1,1,0
"2006-1","0610","L8G","March 31, 2006","HAMILTON",1,NA,NA,1,1,0
"2006-1","1060","J6K","March 31, 2006","MONTRÉAL",52,NA,NA,10,5.2,0
"2006-1","2680","R3M","March 31, 2006","WINNIPEG",1,NA,NA,1,1,0
"2006-1","0340","T8G","March 31, 2006","EDMONTON",2,NA,NA,2,1,0
"2006-1","1400","G1G","March 31, 2006","QUÉBEC",2,NA,NA,1,2,0
"2006-1","2270","M4W","March 31, 2006","TORONTO",2,NA,NA,2,1,0
"2006-1","2410","V5H","March 31, 2006","VANCOUVER",33,NA,NA,3,11,1.66666666666667
"2006-1","1060","H1A","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0
"2006-1","1400","G1S","March 31, 2006","QUÉBEC",1,NA,NA,1,1,0
"2006-1","1700","nan","March 31, 2006","SASKATOON",140,NA,NA,81,1.72839506172839,0
"2006-1","2410","V6R","March 31, 2006","VANCOUVER",37,NA,NA,12,3.08333333333333,0.583333333333333
"2006-1","0340","T8B","March 31, 2006","EDMONTON",18,NA,NA,18,1,0
"2006-1","1060","J4T","March 31, 2006","MONTRÉAL",7,NA,NA,3,2.33333333333333,0
"2006-1","0610","L8V","March 31, 2006","HAMILTON",1,NA,NA,1,1,0
"2006-1","2270","L5K","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","0610","L8L","March 31, 2006","HAMILTON",6,NA,NA,6,1,0
"2006-1","0610","L9C","March 31, 2006","HAMILTON",5,NA,NA,5,1,0
"2006-1","1400","G2B","March 31, 2006","QUÉBEC",16,NA,NA,15,1.06666666666667,0
"2006-1","2680","R3L","March 31, 2006","WINNIPEG",1,NA,NA,1,1,0
"2006-1","1060","H1K","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0
"2006-1","1490","S4P","March 31, 2006","REGINA",8,NA,NA,8,1,0
"2006-1","0340","T6R","March 31, 2006","EDMONTON",15,NA,NA,15,1,0
"2006-1","1060","H3P","March 31, 2006","MONTRÉAL",4,NA,NA,1,4,0
"2006-1","1060","H7E","March 31, 2006","MONTRÉAL",28,NA,NA,21,1.33333333333333,0.142857142857143
"2006-1","1060","H1N","March 31, 2006","MONTRÉAL",8,NA,NA,2,4,0
"2006-1","1060","H1B","March 31, 2006","MONTRÉAL",6,NA,NA,1,6,0
"2006-1","1060","J3L","March 31, 2006","MONTRÉAL",56,NA,NA,42,1.33333333333333,0
"2006-1","2680","R2N","March 31, 2006","WINNIPEG",120,NA,NA,49,2.44897959183673,0.0612244897959184
"2006-1","1060","H4A","March 31, 2006","MONTRÉAL",10,NA,NA,1,10,0
"2006-1","1060","H9X","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0
"2006-1","2680","R2G","March 31, 2006","WINNIPEG",37,NA,NA,14,2.64285714285714,0
"2006-1","0340","nan","March 31, 2006","EDMONTON",2833,NA,NA,2084,1.35940499040307,0.000959692898272553
"2006-1","1400","G3G","March 31, 2006","QUÉBEC",14,NA,NA,14,1,0
"2006-1","1400","G6K","March 31, 2006","QUÉBEC",13,NA,NA,12,1.08333333333333,0
"2006-1","2410","V1M","March 31, 2006","VANCOUVER",3,NA,NA,3,1,0
"2006-1","1060","H7B","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0
"2006-1","2270","M6L","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","0580","B4A","March 31, 2006","HALIFAX",24,NA,NA,24,1,0
"2006-1","1060","H9J","March 31, 2006","MONTRÉAL",7,NA,NA,3,2.33333333333333,0
"2006-1","2270","M4X","March 31, 2006","TORONTO",4,NA,NA,1,4,0
"2006-1","0140","T2P","March 31, 2006","CALGARY",181,NA,NA,1,181,0
"2006-1","0580","B3J","March 31, 2006","HALIFAX",38,NA,NA,1,38,0
"2006-1","2270","M4K","March 31, 2006","TORONTO",4,NA,NA,4,1,0
"2006-1","0140","T2G","March 31, 2006","CALGARY",370,NA,NA,6,61.6666666666667,0
"2006-1","2440","nan","March 31, 2006","VICTORIA",129,NA,NA,109,1.18348623853211,0.036697247706422
"2006-1","2270","L1V","March 31, 2006","TORONTO",8,NA,NA,8,1,0
"2006-1","2270","M4V","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","2440","V8X","March 31, 2006","VICTORIA",2,NA,NA,2,1,0
"2006-1","1400","G1Y","March 31, 2006","QUÉBEC",3,NA,NA,1,3,0
"2006-1","2440","V8Z","March 31, 2006","VICTORIA",36,NA,NA,13,2.76923076923077,0.307692307692308
"2006-1","1060","H3X","March 31, 2006","MONTRÉAL",24,NA,NA,1,24,0
"2006-1","1060","J7L","March 31, 2006","MONTRÉAL",11,NA,NA,11,1,0
"2006-1","1060","H2K","March 31, 2006","MONTRÉAL",16,NA,NA,2,8,0
"2006-1","2270","M1E","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","2270","M1T","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","2270","M4C","March 31, 2006","TORONTO",27,NA,NA,3,9,0
"2006-1","1060","H7L","March 31, 2006","MONTRÉAL",32,NA,NA,27,1.18518518518519,0
"2006-1","1700","S7K","March 31, 2006","SASKATOON",2,NA,NA,2,1,0
"2006-1","2410","V4N","March 31, 2006","VANCOUVER",76,NA,NA,61,1.24590163934426,0
"2006-1","1060","H1H","March 31, 2006","MONTRÉAL",12,NA,NA,2,6,0
"2006-1","2410","V3B","March 31, 2006","VANCOUVER",5,NA,NA,3,1.66666666666667,0.666666666666667
"2006-1","2410","V5Z","March 31, 2006","VANCOUVER",6,NA,NA,6,1,0
"2006-1","2680","R0A","March 31, 2006","WINNIPEG",14,NA,NA,14,1,0
"2006-1","0140","T2Y","March 31, 2006","CALGARY",23,NA,NA,21,1.0952380952381,0
"2006-1","2270","M6H","March 31, 2006","TORONTO",80,NA,NA,5,16,0
"2006-1","2410","V5G","March 31, 2006","VANCOUVER",18,NA,NA,12,1.5,0
"2006-1","1060","H9G","March 31, 2006","MONTRÉAL",82,NA,NA,2,41,0
"2006-1","1060","J3N","March 31, 2006","MONTRÉAL",16,NA,NA,11,1.45454545454545,0
"2006-1","2680","R2K","March 31, 2006","WINNIPEG",1,NA,NA,1,1,0
"2006-1","0340","T7Y","March 31, 2006","EDMONTON",1,NA,NA,1,1,0
"2006-1","0580","B3V","March 31, 2006","HALIFAX",10,NA,NA,10,1,0
"2006-1","1265","K1R","March 31, 2006","OTTAWA",3,NA,NA,1,3,0
"2006-1","2270","L6L","March 31, 2006","TORONTO",22,NA,NA,20,1.1,0
"2006-1","2270","L7B","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","2270","L5E","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","1400","G1B","March 31, 2006","QUÉBEC",9,NA,NA,7,1.28571428571429,0
"2006-1","2410","V3R","March 31, 2006","VANCOUVER",52,NA,NA,17,3.05882352941176,0.235294117647059
"2006-1","2410","V6X","March 31, 2006","VANCOUVER",249,NA,NA,3,83,10.6666666666667
"2006-1","1265","K1M","March 31, 2006","OTTAWA",2,NA,NA,2,1,0
"2006-1","1265","K1S","March 31, 2006","OTTAWA",10,NA,NA,3,3.33333333333333,0
"2006-1","2270","L5A","March 31, 2006","TORONTO",12,NA,NA,1,12,0
"2006-1","2270","M6B","March 31, 2006","TORONTO",7,NA,NA,7,1,0
"2006-1","2410","V7R","March 31, 2006","VANCOUVER",5,NA,NA,5,1,0
"2006-1","0340","T8R","March 31, 2006","EDMONTON",20,NA,NA,20,1,0
"2006-1","1060","J5Z","March 31, 2006","MONTRÉAL",95,NA,NA,38,2.5,0
"2006-1","1265","K2C","March 31, 2006","OTTAWA",4,NA,NA,4,1,0
"2006-1","2270","M5P","March 31, 2006","TORONTO",3,NA,NA,3,1,0
"2006-1","1060","J5T","March 31, 2006","MONTRÉAL",26,NA,NA,23,1.1304347826087,0
"2006-1","2270","M2P","March 31, 2006","TORONTO",9,NA,NA,9,1,0
"2006-1","1060","J7V","March 31, 2006","MONTRÉAL",65,NA,NA,49,1.3265306122449,0
"2006-1","2410","V7P","March 31, 2006","VANCOUVER",7,NA,NA,5,1.4,0
"2006-1","1060","H8Z","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0
"2006-1","2680","R3W","March 31, 2006","WINNIPEG",4,NA,NA,4,1,0
"2006-1","1265","K2S","March 31, 2006","OTTAWA",22,NA,NA,22,1,0
"2006-1","2410","V5A","March 31, 2006","VANCOUVER",10,NA,NA,8,1.25,0
"2006-1","1265","K4K","March 31, 2006","OTTAWA",4,NA,NA,4,1,0
"2006-1","2270","M4P","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","1060","H7X","March 31, 2006","MONTRÉAL",10,NA,NA,10,1,0
"2006-1","1060","H9K","March 31, 2006","MONTRÉAL",13,NA,NA,13,1,0
"2006-1","2680","R3E","March 31, 2006","WINNIPEG",21,NA,NA,7,3,0
"2006-1","2440","V8S","March 31, 2006","VICTORIA",16,NA,NA,14,1.14285714285714,0
"2006-1","0610","L8E","March 31, 2006","HAMILTON",49,NA,NA,27,1.81481481481481,0
"2006-1","2270","M2J","March 31, 2006","TORONTO",2,NA,NA,2,1,0
"2006-1","1265","K0A","March 31, 2006","OTTAWA",30,NA,NA,29,1.03448275862069,0
"2006-1","1400","G6Z","March 31, 2006","QUÉBEC",8,NA,NA,7,1.14285714285714,0
"2006-1","0580","B0J","March 31, 2006","HALIFAX",15,NA,NA,15,1,0
"2006-1","0610","L7T","March 31, 2006","HAMILTON",2,NA,NA,2,1,0
"2006-1","1060","J6R","March 31, 2006","MONTRÉAL",13,NA,NA,8,1.625,0
"2006-1","1265","nan","March 31, 2006","OTTAWA",514,NA,NA,260,1.97692307692308,0
"2006-1","0580","B3G","March 31, 2006","HALIFAX",10,NA,NA,7,1.42857142857143,0
"2006-1","2270","L7K","March 31, 2006","TORONTO",7,NA,NA,6,1.16666666666667,0
"2006-1","0610","L8J","March 31, 2006","HAMILTON",11,NA,NA,11,1,0
"2006-1","2270","M2N","March 31, 2006","TORONTO",12,NA,NA,6,2,0
"2006-1","2410","V7V","March 31, 2006","VANCOUVER",5,NA,NA,5,1,0
"2006-1","0140","nan","March 31, 2006","CALGARY",2809,NA,NA,2426,1.15787304204452,0
"2006-1","1060","H2B","March 31, 2006","MONTRÉAL",4,NA,NA,1,4,0
"2006-1","1700","S7M","March 31, 2006","SASKATOON",4,NA,NA,4,1,0
"2006-1","2270","L4G","March 31, 2006","TORONTO",4,NA,NA,4,1,0
"2006-1","2410","V7A","March 31, 2006","VANCOUVER",59,NA,NA,25,2.36,0
"2006-1","1060","H9A","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0
"2006-1","1060","J0N","March 31, 2006","MONTRÉAL",79,NA,NA,59,1.33898305084746,0
"2006-1","1060","J4V","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0
"2006-1","1060","J5W","March 31, 2006","MONTRÉAL",83,NA,NA,55,1.50909090909091,0
"2006-1","1060","J7E","March 31, 2006","MONTRÉAL",43,NA,NA,2,21.5,3.5
"2006-1","2270","L5M","March 31, 2006","TORONTO",14,NA,NA,14,1,0
"2006-1","2410","V6N","March 31, 2006","VANCOUVER",9,NA,NA,9,1,0
"2006-1","2410","V6P","March 31, 2006","VANCOUVER",18,NA,NA,17,1.05882352941176,0
"2006-1","0140","T3E","March 31, 2006","CALGARY",64,NA,NA,34,1.88235294117647,0
"2006-1","0610","L7R","March 31, 2006","HAMILTON",14,NA,NA,2,7,0
"2006-1","2410","V4K","March 31, 2006","VANCOUVER",21,NA,NA,20,1.05,0
"2006-1","2270","M4E","March 31, 2006","TORONTO",5,NA,NA,2,2.5,0
"2006-1","0580","B3L","March 31, 2006","HALIFAX",139,NA,NA,1,139,0
"2006-1","2410","V3L","March 31, 2006","VANCOUVER",81,NA,NA,4,20.25,2.25
"2006-1","2410","V6J","March 31, 2006","VANCOUVER",1,NA,NA,1,1,0
"2006-1","1060","H9S","March 31, 2006","MONTRÉAL",3,NA,NA,3,1,0
"2006-1","2270","L0P","March 31, 2006","TORONTO",30,NA,NA,6,5,0
"2006-1","2270","M1P","March 31, 2006","TORONTO",66,NA,NA,10,6.6,0
"2006-1","2270","M6N","March 31, 2006","TORONTO",55,NA,NA,7,7.85714285714286,0
"2006-1","2410","V3T","March 31, 2006","VANCOUVER",54,NA,NA,5,10.8,0.8
"2006-1","0610","L8T","March 31, 2006","HAMILTON",2,NA,NA,2,1,0
"2006-1","1060","H1V","March 31, 2006","MONTRÉAL",47,NA,NA,6,7.83333333333333,0
"2006-1","1400","G2G","March 31, 2006","QUÉBEC",11,NA,NA,11,1,0
"2006-1","0140","T3B","March 31, 2006","CALGARY",3,NA,NA,2,1.5,0
"2006-1","0340","T5P","March 31, 2006","EDMONTON",3,NA,NA,2,1.5,0
"2006-1","2680","R2P","March 31, 2006","WINNIPEG",13,NA,NA,13,1,0
"2006-1","0610","L0R","March 31, 2006","HAMILTON",2,NA,NA,2,1,0
"2006-1","1060","H7A","March 31, 2006","MONTRÉAL",36,NA,NA,31,1.16129032258065,0
"2006-1","1060","H7V","March 31, 2006","MONTRÉAL",204,NA,NA,1,204,16
"2006-1","0340","T6H","March 31, 2006","EDMONTON",1,NA,NA,1,1,0
"2006-1","1060","H7G","March 31, 2006","MONTRÉAL",45,NA,NA,4,11.25,1.5
"2006-1","2270","M5J","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","1265","K2H","March 31, 2006","OTTAWA",10,NA,NA,5,2,0
"2006-1","2270","M5M","March 31, 2006","TORONTO",3,NA,NA,3,1,0
"2006-1","2410","V3H","March 31, 2006","VANCOUVER",36,NA,NA,24,1.5,0
"2006-1","1700","S7J","March 31, 2006","SASKATOON",36,NA,NA,4,9,0
"2006-1","0140","T2K","March 31, 2006","CALGARY",39,NA,NA,2,19.5,0
"2006-1","2410","V5L","March 31, 2006","VANCOUVER",9,NA,NA,6,1.5,0
"2006-1","1060","nan","March 31, 2006","MONTRÉAL",1361,NA,NA,822,1.65571776155718,0.0194647201946472
"2006-1","2270","L6H","March 31, 2006","TORONTO",192,NA,NA,159,1.20754716981132,0
"2006-1","2270","M8Y","March 31, 2006","TORONTO",3,NA,NA,2,1.5,0
"2006-1","2270","M9A","March 31, 2006","TORONTO",282,NA,NA,5,56.4,0
"2006-1","2410","V7T","March 31, 2006","VANCOUVER",4,NA,NA,4,1,0
"2006-1","1700","S7T","March 31, 2006","SASKATOON",31,NA,NA,31,1,0
"2006-1","0580","B2W","March 31, 2006","HALIFAX",26,NA,NA,17,1.52941176470588,0
"2006-1","2270","M8Z","March 31, 2006","TORONTO",32,NA,NA,4,8,0
"2006-1","0340","T5Y","March 31, 2006","EDMONTON",5,NA,NA,5,1,0
"2006-1","0340","T6G","March 31, 2006","EDMONTON",1,NA,NA,1,1,0
"2006-1","1060","H2R","March 31, 2006","MONTRÉAL",53,NA,NA,1,53,0
"2006-1","2270","M9N","March 31, 2006","TORONTO",1,NA,NA,1,1,0
"2006-1","1060","H2S","March 31, 2006","MONTRÉAL",18,NA,NA,3,6,0
"2006-1","1060","J5B","March 31, 2006","MONTRÉAL",17,NA,NA,15,1.13333333333333,0
"2006-1","2270","M4L","March 31, 2006","TORONTO",9,NA,NA,2,4.5,0
"2006-1","1400","G1W","March 31, 2006","QUÉBEC",75,NA,NA,3,25,0
"2006-1","2270","L3S","March 31, 2006","TORONTO",6,NA,NA,6,1,0
"2006-1","1060","H3C","March 31, 2006","MONTRÉAL",57,NA,NA,1,57,0
"2006-1","2270","M2M","March 31, 2006","TORONTO",2,NA,NA,2,1,0
"2006-1","2440","V9B","March 31, 2006","VICTORIA",87,NA,NA,15,5.8,0.666666666666667
"2006-1","2680","R3R","March 31, 2006","WINNIPEG",17,NA,NA,17,1,0
"2006-1","1060","H3K","March 31, 2006","MONTRÉAL",18,NA,NA,2,9,0
"2006-1","2410","V4B","March 31, 2006","VANCOUVER",3,NA,NA,2,1.5,1
"2006-1","2410","V7L","March 31, 2006","VANCOUVER",8,NA,NA,5,1.6,0
"2006-1","1400","G2N","March 31, 2006","QUÉBEC",7,NA,NA,7,1,0
"2006-1","2410","V3W","March 31, 2006","VANCOUVER",52,NA,NA,31,1.67741935483871,0
"2006-1","1060","H7N","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0
"2006-1","1400","G2M","March 31, 2006","QUÉBEC",5,NA,NA,4,1.25,0
"2006-1","0340","T7Z","March 31, 2006","EDMONTON",5,NA,NA,3,1.66666666666667,0
"2006-1","1490","S4S","March 31, 2006","REGINA",2,NA,NA,2,1,0
"2006-1","2270","L3Z","March 31, 2006","TORONTO",10,NA,NA,10,1,0
