"","reference_period_qq","metcode","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","ref_yy","ref_qq","population","comp_per_10kpop"
"18","1988-3","2270",4,4,"September 30, 1988","TORONTO",121,NA,NA,17,7.11764705882353,0,10.5294117647059,4.88235294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"3890054.47",0.311049629081415
"19","1988-3","2270",5,2,"September 30, 1988","TORONTO",732,NA,NA,13,56.3076923076923,1,12.5384615384615,1.30769230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"3890054.47",1.88172172303798
"20","1988-3","2410",1,1,"September 30, 1988","VANCOUVER",2323,NA,NA,2323,1,0,4.8595041322314,0.841584158415842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"1550546.04",14.9818189210299
"21","1988-3","2410",1,3,"September 30, 1988","VANCOUVER",42,NA,NA,42,1,0,5.61290322580645,0.928571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"1550546.04",0.270872317986765
"22","1988-3","2680",1,1,"September 30, 1988","WINNIPEG",959,NA,NA,959,1,0,6.02638522427441,0.824817518248175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"665097.4700000001",14.418939227058
"23","1988-3","2680",4,3,"September 30, 1988","WINNIPEG",31,NA,NA,1,31,0,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,"665097.4700000001",0.466097097016472
"24","1988-4","0610",2,1,"December 31, 1988",NA,4,NA,NA,2,2,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,4,"607581.042",0.0658348388691167
"25","1988-4","1060",5,3,"December 31, 1988",NA,1825,NA,NA,89,20.5056179775281,1.86516853932584,7.17808219178082,1.3448275862069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,4,"3351700.63",5.44499703722048
"26","1988-4","1490",1,1,"December 31, 1988","REGINA",239,NA,NA,239,1,0,5.51960784313725,0.160337552742616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,4,"195585.119",12.2197435685278
"27","1988-4","1700",1,1,"December 31, 1988","SASKATOON",243,NA,NA,243,1,0,4.81761006289308,0.255144032921811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,4,"216113.54",11.2440895651425
