"reference_period_qq","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","ref_yy","population","underconstr_per_10kpop"
"1988-2","0140","June 30, 1988","CALGARY",1602,1486,1.07806191117093,0,NA,NA,NA,NA
"1988-3","0140","September 30, 1988","CALGARY",1700,1544,1.10103626943005,0,NA,NA,NA,NA
"1988-4","0140","December 31, 1988","CALGARY",1681,1466,1.14665757162347,0,NA,NA,NA,NA
"1989-1","0140","March 31, 1989","CALGARY",1992,1634,1.21909424724602,0,NA,NA,NA,NA
"1989-2","0140","June 30, 1989","CALGARY",2179,1840,1.18423913043478,0,NA,NA,NA,NA
"1989-3","0140","September 30, 1989","CALGARY",2321,1944,1.19393004115226,0,NA,NA,NA,NA
"1989-4","0140","December 31, 1989","CALGARY",2866,2250,1.27377777777778,0,NA,NA,NA,NA
"1990-1","0140","March 31, 1990","CALGARY",3417,2809,1.21644713421146,0,NA,NA,NA,NA
"1990-2","0140","June 30, 1990","CALGARY",3206,2600,1.23307692307692,0.00423076923076923,NA,NA,NA,NA
"1990-3","0140","September 30, 1990","CALGARY",2488,1661,1.49789283564118,0.00842865743527995,NA,NA,NA,NA
"1990-4","0140","December 31, 1990","CALGARY",2353,1314,1.79071537290715,0.0106544901065449,NA,NA,NA,NA
"1991-1","0140","March 31, 1991","CALGARY",2054,1056,1.94507575757576,0.00284090909090909,NA,NA,NA,NA
"1991-2","0140","June 30, 1991","CALGARY",2293,1416,1.61935028248588,0.00211864406779661,NA,NA,NA,NA
"1991-3","0140","September 30, 1991","CALGARY",2083,1367,1.52377468910022,0,NA,NA,NA,NA
"1991-4","0140","December 31, 1991","CALGARY",2022,1439,1.4051424600417,0,NA,NA,NA,NA
"1992-1","0140","March 31, 1992","CALGARY",2071,1590,1.30251572327044,0,NA,NA,NA,NA
"1992-2","0140","June 30, 1992","CALGARY",2665,2152,1.23838289962825,0,NA,NA,NA,NA
"1992-3","0140","September 30, 1992","CALGARY",2350,1767,1.32993774759479,0,NA,NA,NA,NA
"1992-4","0140","December 31, 1992","CALGARY",2454,1888,1.29978813559322,0,NA,NA,NA,NA
"1993-1","0140","March 31, 1993","CALGARY",2494,1853,1.34592552617377,0,NA,NA,NA,NA
"1993-2","0140","June 30, 1993","CALGARY",2674,1962,1.36289500509684,0,NA,NA,NA,NA
"1993-3","0140","September 30, 1993","CALGARY",2657,1836,1.44716775599129,0,NA,NA,NA,NA
"1993-4","0140","December 31, 1993","CALGARY",2635,1967,1.33960345704118,0,NA,NA,NA,NA
"1994-1","0140","March 31, 1994","CALGARY",2578,2024,1.27371541501976,0,NA,NA,NA,NA
"1994-2","0140","June 30, 1994","CALGARY",2704,2217,1.21966621560668,0,NA,NA,NA,NA
"1994-3","0140","September 30, 1994","CALGARY",2588,1701,1.52145796590241,0,NA,NA,NA,NA
"1994-4","0140","December 31, 1994","CALGARY",2838,1609,1.76382846488502,0,NA,NA,NA,NA
"1995-1","0140","March 31, 1995","CALGARY",2703,1594,1.69573400250941,0,NA,NA,NA,NA
"1995-2","0140","June 30, 1995","CALGARY",2825,1744,1.61983944954128,0,NA,NA,NA,NA
"1995-3","0140","September 30, 1995","CALGARY",3033,1676,1.80966587112172,0,NA,NA,NA,NA
"1995-4","0140","December 31, 1995","CALGARY",2855,1731,1.64933564413634,0,NA,NA,NA,NA
"1996-1","0140","March 31, 1996","CALGARY",2918,1642,1.77710109622412,0,NA,NA,NA,NA
"1996-2","0140","June 30, 1996","CALGARY",3318,2190,1.51506849315069,0,NA,NA,NA,NA
"1996-3","0140","September 30, 1996","CALGARY",3280,2229,1.47151188873935,0,NA,NA,NA,NA
"1996-4","0140","December 31, 1996","CALGARY",3181,2222,1.43159315931593,0,NA,NA,NA,NA
"1997-1","0140","March 31, 1997","CALGARY",4071,2916,1.39609053497942,0,NA,NA,NA,NA
"1997-2","0140","June 30, 1997","CALGARY",4808,3416,1.40749414519906,0,NA,NA,NA,NA
"1997-3","0140","September 30, 1997","CALGARY",4690,3157,1.48558758314856,0,NA,NA,NA,NA
"1997-4","0140","December 31, 1997","CALGARY",5212,3406,1.5302407516148,0,NA,NA,NA,NA
"1998-1","0140","March 31, 1998","CALGARY",5821,3727,1.56184598873088,0,NA,NA,NA,NA
"1998-2","0140","June 30, 1998","CALGARY",6249,4282,1.45936478281177,0,NA,NA,NA,NA
"1998-3","0140","September 30, 1998","CALGARY",5920,3825,1.54771241830065,0,NA,NA,NA,NA
"1998-4","0140","December 31, 1998","CALGARY",5589,3175,1.76031496062992,0.0270866141732283,NA,NA,NA,NA
