"reference_period_qq","metcode","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","ref_qq","ref_yy","population","comp_per_10kpop"
"1988-2","1700",4,3,"June 30, 1988","SASKATOON",3,NA,NA,1,3,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",215818.898,0.139005435937311
"1988-2","2410",2,3,"June 30, 1988","VANCOUVER",32,NA,NA,16,2,0,8.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,0.208386684937403
"1988-2","1700",4,2,"June 30, 1988","SASKATOON",20,NA,NA,5,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",215818.898,0.926702906248738
"1988-2","0580",1,1,"June 30, 1988",NA,96,NA,NA,96,1,0,3.57291666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","1700",5,4,"June 30, 1988","SASKATOON",50,NA,NA,1,50,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",215818.898,2.31675726562185
"1988-2","0580",2,1,"June 30, 1988",NA,42,NA,NA,21,2,0,2.04761904761905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","2410",2,1,"June 30, 1988","VANCOUVER",14,NA,NA,7,2,0,5.71428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,0.091169174660114
"1988-2","2440",4,3,"June 30, 1988","VICTORIA",8,NA,NA,1,8,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",279357.102,0.286371813808406
"1988-2","0610",1,1,"June 30, 1988",NA,180,NA,NA,180,1,0,4.81666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","0140",5,4,"June 30, 1988","CALGARY",104,NA,NA,1,104,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","1265",5,3,"June 30, 1988",NA,28,NA,NA,3,9.33333333333333,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",675615.3203,0.414437019983012
"1988-2","2270",4,3,"June 30, 1988","TORONTO",40,NA,NA,6,6.66666666666667,0,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3844267.56,0.104051030204568
"1988-2","1265",1,1,"June 30, 1988",NA,344,NA,NA,344,1,0,5.17732558139535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",675615.3203,5.09165481693414
"1988-2","1060",5,2,"June 30, 1988",NA,1717,NA,NA,223,7.69955156950673,0.596412556053812,5.63677130044843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,5.17831438109979
"1988-2","0340",2,1,"June 30, 1988","EDMONTON",22,NA,NA,11,2,0,3.36363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","0140",2,1,"June 30, 1988","CALGARY",2,NA,NA,1,2,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","1400",4,1,"June 30, 1988",NA,14,NA,NA,2,7,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",641710.984,0.21816675028271
"1988-2","2270",5,2,"June 30, 1988",NA,367,NA,NA,8,45.875,4.75,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3844267.56,0.954668202126909
"1988-2","1265",4,1,"June 30, 1988",NA,77,NA,NA,14,5.5,0,4.21428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",675615.3203,1.13970180495328
"1988-2","0610",2,1,"June 30, 1988","HAMILTON",2,NA,NA,1,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","1265",2,2,"June 30, 1988",NA,6,NA,NA,3,2,0,5.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",675615.3203,0.0888079328535025
"1988-2","1400",5,3,"June 30, 1988",NA,160,NA,NA,7,22.8571428571429,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",641710.984,2.49333428894525
"1988-2","2440",5,2,"June 30, 1988",NA,10,NA,NA,1,10,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",279357.102,0.357964767260508
"1988-2","0580",4,3,"June 30, 1988",NA,4,NA,NA,1,4,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","2680",5,3,"June 30, 1988","WINNIPEG",23,NA,NA,1,23,8,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",664919.517,0.345906525706629
"1988-2","1265",4,3,"June 30, 1988",NA,69,NA,NA,12,5.75,0,6.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",675615.3203,1.02129122781528
"1988-2","1060",2,1,"June 30, 1988",NA,215,NA,NA,114,1.8859649122807,0,5.65789473684211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,0.648420263212845
"1988-2","1265",4,2,"June 30, 1988",NA,168,NA,NA,20,8.4,1.3,8.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",675615.3203,2.48662211989807
"1988-2","1490",2,2,"June 30, 1988","REGINA",2,NA,NA,1,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",196029.748,0.102025331379807
"1988-2","2410",4,3,"June 30, 1988","VANCOUVER",143,NA,NA,26,5.5,0,5.92307692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,0.931227998314021
"1988-2","1265",1,3,"June 30, 1988",NA,1,NA,NA,1,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",675615.3203,0.0148013221422504
"1988-2","2410",5,2,"June 30, 1988","VANCOUVER",136,NA,NA,4,34,2.5,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,0.885643410983964
"1988-2","2680",5,2,"June 30, 1988","WINNIPEG",40,NA,NA,1,40,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",664919.517,0.601576566446312
"1988-2","1700",5,3,"June 30, 1988","SASKATOON",77,NA,NA,2,38.5,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",215818.898,3.56780618905764
"1988-2","2410",5,3,"June 30, 1988","VANCOUVER",548,NA,NA,13,42.1538461538462,6.38461538461539,9.38461538461539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,3.56862197955303
"1988-2","1400",1,1,"June 30, 1988",NA,353,NA,NA,353,1,0,3.05665722379603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",641710.984,5.50091877498547
"1988-2","1060",4,2,"June 30, 1988",NA,7,NA,NA,2,3.5,0,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,0.0211113574069298
"1988-2","0140",4,1,"June 30, 1988","CALGARY",40,NA,NA,1,40,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","1700",2,2,"June 30, 1988","SASKATOON",2,NA,NA,1,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",215818.898,0.0926702906248738
"1988-2","2270",5,3,"June 30, 1988","TORONTO",1214,NA,NA,7,173.428571428571,12,14.8571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3844267.56,3.15794876670863
"1988-2","1060",1,1,"June 30, 1988",NA,1461,NA,NA,1461,1,0,3.31348391512663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,4.40624188164636
"1988-2","1060",5,3,"June 30, 1988",NA,734,NA,NA,83,8.8433734939759,1.73493975903614,7.53012048192771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,2.21367661952664
"1988-2","0340",4,1,"June 30, 1988","EDMONTON",25,NA,NA,6,4.16666666666667,0,5.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","1060",5,1,"June 30, 1988",NA,6,NA,NA,2,3,2,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,0.0180954492059399
"1988-2","1265",5,2,"June 30, 1988",NA,112,NA,NA,2,56,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",675615.3203,1.65774807993205
"1988-2","1400",2,1,"June 30, 1988",NA,47,NA,NA,24,1.95833333333333,0,3.95833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",641710.984,0.732416947377669
"1988-2","0140",5,2,"June 30, 1988","CALGARY",64,NA,NA,1,64,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","0340",1,1,"June 30, 1988","EDMONTON",288,NA,NA,288,1,0,3.88194444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
