"reference_period_qq","metcode","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","ref_qq","ref_yy","population","comp_per_10kpop"
"1988-2","1700",2,1,"June 30, 1988","SASKATOON",12,NA,NA,6,2,0,4.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",215818.898,0.556021743749243
"1988-2","2410",1,1,"June 30, 1988","VANCOUVER",527,NA,NA,527,1,0,3.78557874762808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,3.43186821756286
"1988-2","1060",4,1,"June 30, 1988",NA,146,NA,NA,29,5.03448275862069,0,5.13793103448276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,0.440322597344537
"1988-2","2270",1,1,"June 30, 1988","TORONTO",1885,NA,NA,1885,1,0,7.67851458885942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3844267.56,4.90340479839026
"1988-2","2680",1,1,"June 30, 1988","WINNIPEG",350,NA,NA,350,1,0,6.18857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",664919.517,5.26379495640523
"1988-2","1060",4,3,"June 30, 1988",NA,97,NA,NA,5,19.4,0,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3315750.79,0.292543095496028
"1988-2","2680",2,1,"June 30, 1988","WINNIPEG",4,NA,NA,2,2,0,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",664919.517,0.0601576566446312
"1988-2","0340",2,3,"June 30, 1988","EDMONTON",2,NA,NA,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","2270",4,4,"June 30, 1988","TORONTO",44,NA,NA,7,6.28571428571429,0.285714285714286,8.85714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3844267.56,0.114456133225025
"1988-2","1490",1,1,"June 30, 1988","REGINA",47,NA,NA,47,1,0,5.65957446808511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",196029.748,2.39759528742546
"1988-2","2410",1,3,"June 30, 1988","VANCOUVER",7,NA,NA,7,1,0,5.85714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",1535606.75,0.045584587330057
"1988-2","1490",5,3,"June 30, 1988","REGINA",128,NA,NA,2,64,1.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",196029.748,6.52962120830763
"1988-2","1700",5,2,"June 30, 1988","SASKATOON",26,NA,NA,3,8.66666666666667,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",215818.898,1.20471377812336
"1988-2","2270",4,1,"June 30, 1988","TORONTO",222,NA,NA,33,6.72727272727273,0.0606060606060606,6.75757575757576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3844267.56,0.577483217635351
"1988-2","1265",2,1,"June 30, 1988",NA,7,NA,NA,5,1.4,0,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",675615.3203,0.103609254995753
"1988-2","2440",1,1,"June 30, 1988","VICTORIA",63,NA,NA,63,1,0,4.01587301587302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",279357.102,2.2551780337412
"1988-2","0140",1,1,"June 30, 1988","CALGARY",145,NA,NA,145,1,0,5.13793103448276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-2","1700",1,1,"June 30, 1988","SASKATOON",68,NA,NA,68,1,0,3.47058823529412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",215818.898,3.15078988124571
"1988-2","2270",2,1,"June 30, 1988","TORONTO",47,NA,NA,24,1.95833333333333,0,6.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",3844267.56,0.122259960490367
"1988-2","1400",5,2,"June 30, 1988",NA,229,NA,NA,32,7.15625,0,3.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1988",641710.984,3.5685847010529
"1988-3","1400",1,2,"September 30, 1988",NA,1,NA,NA,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",644355.468,0.0155193840925084
"1988-3","2680",4,3,"September 30, 1988","WINNIPEG",31,NA,NA,1,31,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",665097.47,0.466097097016472
"1988-3","2410",1,3,"September 30, 1988","VANCOUVER",42,NA,NA,42,1,0,4.54761904761905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",1550546.04,0.270872317986765
"1988-3","0340",4,3,"September 30, 1988","EDMONTON",12,NA,NA,3,4,0,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","1265",1,1,"September 30, 1988",NA,1266,NA,NA,1266,1,0,4.00394944707741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",679205.4357,18.6394267986863
"1988-3","2680",1,1,"September 30, 1988","WINNIPEG",959,NA,NA,959,1,0,5.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",665097.47,14.418939227058
"1988-3","2410",1,1,"September 30, 1988","VANCOUVER",2323,NA,NA,2323,1,0,3.92337494619027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",1550546.04,14.9818189210299
"1988-3","2440",2,2,"September 30, 1988",NA,2,NA,NA,2,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",281509.78,0.0710454890767916
"1988-3","1060",4,3,"September 30, 1988",NA,64,NA,NA,9,7.11111111111111,0,8.44444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3338762.63,0.19168778105079
"1988-3","1060",5,2,"September 30, 1988",NA,3881,NA,NA,525,7.39238095238095,0.361904761904762,4.15619047619048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3338762.63,11.6240668477831
"1988-3","1265",1,2,"September 30, 1988",NA,5,NA,NA,5,1,0,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",679205.4357,0.0736154296946537
"1988-3","1400",2,1,"September 30, 1988",NA,113,NA,NA,58,1.94827586206897,0,2.96551724137931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",644355.468,1.75369040245345
"1988-3","2270",4,1,"September 30, 1988","TORONTO",456,NA,NA,79,5.77215189873418,0,6.51898734177215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3890054.47,1.17222008976137
"1988-3","0340",1,1,"September 30, 1988","EDMONTON",998,NA,NA,998,1,0,3.34168336673347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","1700",4,3,"September 30, 1988","SASKATOON",44,NA,NA,11,4,0.0909090909090909,10.6363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",215988.035,2.03714988193675
"1988-3","2270",1,1,"September 30, 1988","TORONTO",4870,NA,NA,4870,1,0,7.26386036960986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3890054.47,12.5191049060041
"1988-3","2270",5,3,"September 30, 1988",NA,1164,NA,NA,7,166.285714285714,3,15.7142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3890054.47,2.99224601860138
"1988-3","1700",2,3,"September 30, 1988","SASKATOON",4,NA,NA,2,2,0,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",215988.035,0.185195443812432
"1988-3","0340",4,1,"September 30, 1988","EDMONTON",3,NA,NA,1,3,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","1265",4,2,"September 30, 1988",NA,228,NA,NA,38,6,0,7.42105263157895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",679205.4357,3.35686359407621
"1988-3","1700",1,1,"September 30, 1988","SASKATOON",219,NA,NA,219,1,0,5.36073059360731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",215988.035,10.1394505487306
"1988-3","2440",4,4,"September 30, 1988",NA,56,NA,NA,7,8,2.57142857142857,4.28571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",281509.78,1.98927369415016
"1988-3","1400",4,2,"September 30, 1988",NA,6,NA,NA,1,6,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",644355.468,0.0931163045550503
"1988-3","1400",5,4,"September 30, 1988",NA,14,NA,NA,1,14,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",644355.468,0.217271377295118
"1988-3","1490",1,3,"September 30, 1988","REGINA",3,NA,NA,3,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",195669.178,0.153320008325481
"1988-3","0610",1,1,"September 30, 1988",NA,1165,NA,NA,1165,1,0,3.34163090128755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","0610",4,2,"September 30, 1988",NA,171,NA,NA,27,6.33333333333333,0,7.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","2410",5,3,"September 30, 1988","VANCOUVER",790,NA,NA,35,22.5714285714286,4.17142857142857,8.25714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",1550546.04,5.09497931451297
"1988-3","0340",5,2,"September 30, 1988","EDMONTON",26,NA,NA,1,26,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","1265",4,1,"September 30, 1988",NA,284,NA,NA,51,5.56862745098039,0,3.90196078431373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",679205.4357,4.18135640665633
"1988-3","1400",5,3,"September 30, 1988",NA,551,NA,NA,18,30.6111111111111,0,5.44444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",644355.468,8.55118063497212
"1988-3","2680",2,1,"September 30, 1988","WINNIPEG",16,NA,NA,8,2,0,3.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",665097.47,0.240566243621405
"1988-3","2270",4,2,"September 30, 1988","TORONTO",26,NA,NA,3,8.66666666666667,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3890054.47,0.0668371103811305
"1988-3","0580",1,1,"September 30, 1988",NA,389,NA,NA,389,1,0,2.77377892030848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","1400",5,2,"September 30, 1988",NA,1141,NA,NA,132,8.64393939393939,0,3.79545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",644355.468,17.7076172495521
"1988-3","1060",5,3,"September 30, 1988",NA,1900,NA,NA,152,12.5,1.80921052631579,7.00657894736842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3338762.63,5.69073099994533
"1988-3","1060",5,4,"September 30, 1988",NA,36,NA,NA,3,12,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3338762.63,0.107824376841069
"1988-3","0580",5,2,"September 30, 1988",NA,122,NA,NA,6,20.3333333333333,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","2410",2,4,"September 30, 1988","VANCOUVER",2,NA,NA,1,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",1550546.04,0.0128986818088936
"1988-3","2270",2,1,"September 30, 1988","TORONTO",237,NA,NA,120,1.975,0,7.96666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3890054.47,0.60924596770492
"1988-3","2440",5,2,"September 30, 1988",NA,180,NA,NA,4,45,3,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",281509.78,6.39409401691124
"1988-3","2410",4,3,"September 30, 1988","VANCOUVER",415,NA,NA,95,4.36842105263158,0.0842105263157895,6.04210526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",1550546.04,2.67647647534542
"1988-3","2410",5,2,"September 30, 1988","VANCOUVER",519,NA,NA,14,37.0714285714286,6.78571428571429,6.71428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",1550546.04,3.34720792940789
"1988-3","1060",2,1,"September 30, 1988",NA,265,NA,NA,139,1.90647482014388,0,5.50359712230216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3338762.63,0.793707218413428
"1988-3","1265",5,1,"September 30, 1988",NA,8,NA,NA,2,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",679205.4357,0.117784687511446
"1988-3","2440",1,1,"September 30, 1988","VICTORIA",479,NA,NA,479,1,0,3.88308977035491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",281509.78,17.0153946338916
"1988-3","0340",1,3,"September 30, 1988","EDMONTON",28,NA,NA,28,1,0,2.96428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","1490",4,3,"September 30, 1988","REGINA",30,NA,NA,1,30,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",195669.178,1.53320008325481
"1988-3","1060",4,2,"September 30, 1988",NA,4,NA,NA,1,4,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3338762.63,0.0119804863156744
"1988-3","2270",5,2,"September 30, 1988","TORONTO",732,NA,NA,13,56.3076923076923,1,12.5384615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3890054.47,1.88172172303798
"1988-3","1700",2,1,"September 30, 1988","SASKATOON",16,NA,NA,8,2,0,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",215988.035,0.740781775249726
"1988-3","2270",4,4,"September 30, 1988","TORONTO",121,NA,NA,17,7.11764705882353,0,10.5294117647059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",3890054.47,0.311049629081415
"1988-3","0140",1,1,"September 30, 1988","CALGARY",891,NA,NA,891,1,0,4.8641975308642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","1400",5,1,"September 30, 1988",NA,9,NA,NA,4,2.25,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",644355.468,0.139674456832576
"1988-3","1490",5,3,"September 30, 1988","REGINA",24,NA,NA,1,24,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",195669.178,1.22656006660385
"1988-3","1265",5,2,"September 30, 1988",NA,69,NA,NA,2,34.5,0,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",679205.4357,1.01589292978622
"1988-3","2410",2,1,"September 30, 1988","VANCOUVER",96,NA,NA,48,2,0,5.52083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",1550546.04,0.619136726826893
"1988-3","0610",4,3,"September 30, 1988",NA,174,NA,NA,32,5.4375,0.84375,7.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","1265",2,2,"September 30, 1988",NA,4,NA,NA,2,2,0,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",679205.4357,0.058892343755723
"1988-3","1265",2,1,"September 30, 1988",NA,21,NA,NA,11,1.90909090909091,0,4.54545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",679205.4357,0.309184804717546
"1988-3","1490",1,1,"September 30, 1988","REGINA",188,NA,NA,188,1,0,5.18617021276596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",195669.178,9.60805385506347
"1988-3","0140",2,1,"September 30, 1988","CALGARY",72,NA,NA,36,2,0,8.86111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","0140",4,1,"September 30, 1988","CALGARY",3,NA,NA,1,3,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","2410",4,2,"September 30, 1988","VANCOUVER",12,NA,NA,2,6,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",1550546.04,0.0773920908533616
"1988-3","2440",2,1,"September 30, 1988",NA,4,NA,NA,2,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",281509.78,0.142090978153583
"1988-3","0340",2,1,"September 30, 1988","EDMONTON",18,NA,NA,9,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988-3","1400",4,3,"September 30, 1988",NA,41,NA,NA,8,5.125,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1988",644355.468,0.636294747792844
