"reference_period_qq","metcode","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","ref_qq","ref_yy","population","comp_per_10kpop"
"1988-4","1700","December 31, 1988","SASKATOON",353,NA,NA,257,1.37354085603113,0.0389105058365759,3.84046692607004,"4","1988",216113.54,16.334006652244
"1988-4","1400","December 31, 1988",NA,1288,NA,NA,778,1.65552699228792,0,2.30077120822622,"4","1988",646773.443,19.914237573295
"1989-1","0610","March 31, 1989","HAMILTON",1286,NA,NA,762,1.68766404199475,0.0249343832020997,4.04330708661417,NA,NA,NA,NA
"1989-1","2440","March 31, 1989","VICTORIA",596,NA,NA,331,1.80060422960725,0.129909365558912,4.30211480362538,"1","1989",284989.582,20.9130451652791
"1989-1","1265","March 31, 1989",NA,1441,NA,NA,748,1.92647058823529,0.00267379679144385,5.0548128342246,"1","1989",687310.2876,20.9657854101353
"1989-1","0580","March 31, 1989",NA,589,NA,NA,367,1.60490463215259,0,4.64850136239782,NA,NA,NA,NA
"1989-1","1700","March 31, 1989","SASKATOON",419,NA,NA,94,4.45744680851064,0.0638297872340425,5.11702127659574,"1","1989",216182.412,19.3817802347399
"1989-1","2680","March 31, 1989","WINNIPEG",899,NA,NA,332,2.7078313253012,0.108433734939759,5.83734939759036,"1","1989",666875.804,13.4807710012523
"1989-1","2410","March 31, 1989","VANCOUVER",4189,NA,NA,2286,1.83245844269466,0.0975503062117235,4.78958880139982,"1","1989",1573306.47,26.6254546070735
"1989-1","1060","March 31, 1989",NA,3189,NA,NA,1547,2.06140917905624,0.101486748545572,2.75500969618617,"1","1989",3362909.66,9.48285955442526
"1989-1","0340","March 31, 1989","EDMONTON",767,NA,NA,722,1.06232686980609,0,3.81440443213296,NA,NA,NA,NA
"1989-1","0140","March 31, 1989","CALGARY",689,NA,NA,685,1.00583941605839,0.00291970802919708,4.22919708029197,NA,NA,NA,NA
"1989-1","1490","March 31, 1989","REGINA",199,NA,NA,100,1.99,0,6.34,"1","1989",195512.961,10.1783533420068
"1989-1","1400","March 31, 1989",NA,638,NA,NA,351,1.81766381766382,0,2.55270655270655,"1","1989",649245.201,9.8267957778867
"1989-1","2270","March 31, 1989","TORONTO",11942,NA,NA,4981,2.3975105400522,0.0226862075888376,6.62417185304156,"1","1989",3940479.77,30.3059543432195
"1989-2","1265","June 30, 1989",NA,1868,NA,NA,942,1.98301486199575,0.0764331210191083,4.6135881104034,"2","1989",691790.7378,27.0023852291016
"1989-2","0340","June 30, 1989","EDMONTON",821,NA,NA,743,1.1049798115747,0,3.80619111709287,NA,NA,NA,NA
"1989-2","0610","June 30, 1989","HAMILTON",980,NA,NA,721,1.35922330097087,0,3.94868238557559,NA,NA,NA,NA
"1989-2","1060","June 30, 1989",NA,7179,NA,NA,3229,2.22328894394549,0.130071229482812,2.95447506968102,"2","1989",3372389.72,21.2875752687326
"1989-2","2680","June 30, 1989","WINNIPEG",2002,NA,NA,526,3.80608365019011,0.091254752851711,6.18631178707224,"2","1989",667938.04,29.9728399957577
"1989-2","0580","June 30, 1989",NA,659,NA,NA,228,2.89035087719298,0,3.34210526315789,NA,NA,NA,NA
"1989-2","2270","June 30, 1989","TORONTO",9785,NA,NA,4434,2.20681100586378,0.0491655390166892,6.48759585024808,"2","1989",3960001.03,24.7095895326068
"1989-2","1700","June 30, 1989","SASKATOON",173,NA,NA,115,1.50434782608696,0.0956521739130435,4.03478260869565,"2","1989",216194.652,8.00204808026426
"1989-2","1400","June 30, 1989",NA,2122,NA,NA,1023,2.07429130009775,0,2.75073313782991,"2","1989",651770.743,32.5574601620312
"1989-2","0140","June 30, 1989","CALGARY",1360,NA,NA,1319,1.03108415466262,0,3.64442759666414,NA,NA,NA,NA
"1989-2","2440","June 30, 1989","VICTORIA",504,NA,NA,296,1.7027027027027,0.148648648648649,3.68581081081081,"2","1989",286673.05,17.5810038648558
"1989-2","2410","June 30, 1989","VANCOUVER",4238,NA,NA,2641,1.60469519121545,0.0556607345702385,4.65391897008709,"2","1989",1583847.45,26.757627447012
"1989-2","1490","June 30, 1989","REGINA",110,NA,NA,104,1.05769230769231,0.182692307692308,4.57692307692308,"2","1989",195452.703,5.62796002877484
"1989-3","1265","September 30, 1989",NA,1408,NA,NA,1066,1.32082551594747,0.0131332082551595,4.3874296435272,"3","1989",696341.0301,20.2199775560805
"1989-3","2680","September 30, 1989","WINNIPEG",1214,NA,NA,803,1.51183063511831,0.0298879202988792,5.49190535491905,"3","1989",669288.159,18.1386744061611
"1989-3","0140","September 30, 1989","CALGARY",1604,NA,NA,1383,1.15979754157628,0.00216919739696312,3.26970354302241,NA,NA,NA,NA
"1989-3","2440","September 30, 1989","VICTORIA",956,NA,NA,433,2.20785219399538,0.200923787528868,3.87528868360277,"3","1989",288427.036,33.1452977937893
"1989-3","1060","September 30, 1989",NA,8805,NA,NA,4427,1.98893155635871,0.0896769821549582,2.832843912356,"3","1989",3377050.8,26.0730457474907
"1989-3","1700","September 30, 1989","SASKATOON",207,NA,NA,136,1.52205882352941,0,3.64705882352941,"3","1989",215762.614,9.59387709309084
"1989-3","2410","September 30, 1989","VANCOUVER",4632,NA,NA,3006,1.54091816367265,0.0206254158349967,4.5585495675316,"3","1989",1592647.74,29.0836440705965
"1989-3","1400","September 30, 1989",NA,1632,NA,NA,1116,1.46236559139785,0,2.25627240143369,"3","1989",654547.726,24.933246808041
"1989-3","0340","September 30, 1989","EDMONTON",1349,NA,NA,1026,1.31481481481481,0.0155945419103314,3.75536062378168,NA,NA,NA,NA
"1989-3","0610","September 30, 1989",NA,1280,NA,NA,780,1.64102564102564,0,3.42820512820513,NA,NA,NA,NA
"1989-3","1490","September 30, 1989","REGINA",426,NA,NA,204,2.08823529411765,0.0588235294117647,4.69117647058824,"3","1989",195303.286,21.8122290067357
"1989-3","0580","September 30, 1989",NA,575,NA,NA,416,1.38221153846154,0,3.14663461538462,NA,NA,NA,NA
"1989-3","2270","September 30, 1989","TORONTO",9845,NA,NA,4772,2.06307627829002,0.0427493713327745,6.78688181056161,"3","1989",3969552.01,24.8012873372076
"1989-4","1060","December 31, 1989",NA,4867,NA,NA,2755,1.76660617059891,0.0664246823956443,2.69183303085299,"4","1989",3384308.91,14.3810749238018
"1989-4","0580","December 31, 1989",NA,609,NA,NA,355,1.71549295774648,0,3.64225352112676,NA,NA,NA,NA
"1989-4","1265","December 31, 1989",NA,2298,NA,NA,1254,1.83253588516746,0.0151515151515152,4.3213716108453,"4","1989",700786.3989,32.7917323111163
"1989-4","1490","December 31, 1989","REGINA",171,NA,NA,135,1.26666666666667,0.0148148148148148,5.52592592592593,"4","1989",195307.253,8.755435211615
"1989-4","2410","December 31, 1989","VANCOUVER",4985,NA,NA,2724,1.83002936857562,0.0671806167400881,4.94603524229075,"4","1989",1602542.22,31.1068247549821
