"","reference_period_qq","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","ref_yy","ref_qq","population","starts_per_10kpop"
"1","1988-2","0140","June 30, 1988","CALGARY",343,NA,NA,335,1.02388059701493,0,0,1988,2,"714926.887",4.79769338986967
"2","1988-2","0610","June 30, 1988",NA,444,NA,NA,263,1.68821292775665,0,0,1988,2,"599723.112",7.40341652865965
"3","1988-2","1265","June 30, 1988",NA,1112,NA,NA,712,1.56179775280899,0,0,1988,2,"687116.1271702311",16.1835817270012
"4","1988-3","0140","September 30, 1988","CALGARY",1076,NA,NA,998,1.07815631262525,0,0.220440881763527,1988,3,"719616.5580000001",14.9524074736479
"5","1988-3","0610","September 30, 1988",NA,1746,NA,NA,1501,1.16322451698867,0,0.0972684876748834,1988,3,"604688.9670000001",28.8743485541386
"6","1988-3","1265","September 30, 1988","OTTAWA",2614,NA,NA,1381,1.89283128167994,0,0.0615496017378711,1988,3,"690767.356122307",37.8419735216493
"7","1988-4","0140","December 31, 1988","CALGARY",1143,NA,NA,970,1.17835051546392,0,0.397938144329897,1988,4,"724449.865",15.7774893090773
"8","1988-4","0610","December 31, 1988",NA,1004,NA,NA,786,1.27735368956743,0,0.119592875318066,1988,4,"607581.042",16.5245445561483
"9","1988-4","1265","December 31, 1988",NA,1820,NA,NA,961,1.89386056191467,0.0197710718002081,0.296566077003122,1988,4,"694702.2267506439",26.198275029472
"10","1989-1","0140","March 31, 1989","CALGARY",1005,NA,NA,858,1.17132867132867,0,0.534965034965035,1989,1,"729550.383",13.7756078732673
"11","1989-1","0610","March 31, 1989",NA,933,NA,NA,680,1.37205882352941,0,0.45,1989,1,"610112.429",15.2922634526431
"12","1989-1","1265","March 31, 1989",NA,669,NA,NA,451,1.48337028824834,0.0177383592017738,0.425720620842572,1989,1,"699010.174594525",9.57067614055928
"13","1989-2","0140","June 30, 1989","CALGARY",1563,NA,NA,1539,1.01559454191033,0,0.389213775178687,1989,2,"734918.114",21.2676755440539
"14","1989-2","0610","June 30, 1989","HAMILTON",1143,NA,NA,723,1.58091286307054,0,0.232365145228216,1989,2,"612283.13",18.6678342746435
"15","1989-2","1265","June 30, 1989",NA,2323,NA,NA,1421,1.6347642505278,0,0.569317382125264,1989,2,"703566.8941991241",33.0174716740231
"16","1989-3","0140","September 30, 1989","CALGARY",1753,NA,NA,1466,1.19577080491132,0,0.425648021828104,1989,3,"742152.045",23.6204967945618
"17","1989-3","0610","September 30, 1989",NA,1176,NA,NA,668,1.76047904191617,0,0.18562874251497,1989,3,"613678.6869999999",19.163122736899
"18","1989-3","1265","September 30, 1989",NA,1365,NA,NA,967,1.41158221302999,0,0.738366080661841,1989,3,"708194.6448610859",19.2743620684642
"19","1989-4","0140","December 31, 1989","CALGARY",1907,NA,NA,1617,1.17934446505875,0,0.25974025974026,1989,4,"747414.603",25.5146205646185
"20","1989-4","0610","December 31, 1989","HAMILTON",931,NA,NA,733,1.27012278308322,0,0.240109140518417,1989,4,"615293.795",15.1309830777669
"21","1989-4","1265","December 31, 1989",NA,1267,NA,NA,860,1.47325581395349,0,0.49708963911525,1989,4,"712715.6858770581",17.7770747172605
