"","reference_period_qq","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","ref_yy","ref_qq","population","starts_per_10kpop"
"22","1990-1","0140","March 31, 1990","CALGARY",2162,NA,NA,2048,1.0556640625,0,0.39111328125,1990,1,"752304.777",28.7383526743178
"23","1990-1","0610","March 31, 1990","HAMILTON",1240,NA,NA,694,1.78674351585014,0,0.315561959654179,1990,1,"616713.997",20.1065648912133
"24","1990-1","1265","March 31, 1990",NA,870,NA,NA,429,2.02797202797203,0.00932400932400932,0.986013986013986,1990,1,"716991.718432139",12.1340313651383
"25","1990-2","0140","June 30, 1990","CALGARY",2303,NA,NA,1884,1.2223991507431,0.00477707006369427,0.352972399150743,1990,2,"756822.5660000001",30.4298537525373
"26","1990-2","0610","June 30, 1990",NA,952,NA,NA,564,1.68794326241135,0,0.450354609929078,1990,2,"617939.295",15.4060440516248
"27","1990-2","1265","June 30, 1990",NA,2132,NA,NA,1183,1.8021978021978,0,1.05156382079459,1990,2,"721042.211265245",29.5683105190039
"28","1990-3","0140","September 30, 1990","CALGARY",1386,NA,NA,994,1.3943661971831,0.00503018108651911,0.875257731958763,1990,3,"760406.6460000001",18.2270895091572
"29","1990-3","0610","September 30, 1990",NA,481,NA,NA,180,2.67222222222222,0,1.19444444444444,1990,3,"618601.108",7.77560844588723
"30","1990-3","1265","September 30, 1990",NA,1183,NA,NA,664,1.7816265060241,0,0.86144578313253,1990,3,"724926.075003741",16.3189053448504
"31","1990-4","0140","December 31, 1990","CALGARY",1153,NA,NA,888,1.29842342342342,0,0.780405405405405,1990,4,"764404.198",15.0836429603177
"32","1990-4","0610","December 31, 1990","HAMILTON",296,NA,NA,171,1.73099415204678,0,0.947368421052632,1990,4,"619584.027",4.77739882083823
"33","1990-4","1265","December 31, 1990","OTTAWA",675,NA,NA,415,1.62650602409639,0,0.696385542168675,1990,4,"728702.2202749951",9.26304299917284
"34","1991-1","0140","March 31, 1991","CALGARY",724,NA,NA,671,1.07898658718331,0,0.666169895678092,1991,1,"768253.8960000001",9.42396782846904
"35","1991-1","0610","March 31, 1991","HAMILTON",429,NA,NA,120,3.575,0,1.4,1991,1,"620519.4709999999",6.91356226596151
"36","1991-1","1265","March 31, 1991",NA,288,NA,NA,113,2.54867256637168,0,1.20353982300885,1991,1,"732414.1119574379",3.93220167795915
"37","1991-2","0140","June 30, 1991","CALGARY",1432,NA,NA,1295,1.10579150579151,0,0.254826254826255,1991,2,"771955.74",18.5502863156377
"38","1991-2","0610","June 30, 1991","HAMILTON",599,NA,NA,300,1.99666666666667,0,1.92333333333333,1991,2,"621407.4419999999",9.63940821294509
"39","1991-2","1265","June 30, 1991","OTTAWA",1398,NA,NA,715,1.95524475524476,0,1.46153846153846,1991,2,"736043.431933762",18.9934443994306
"40","1991-3","0140","September 30, 1991","CALGARY",1307,NA,NA,1194,1.09463986599665,0,0.38358458961474,1991,3,"775716.732",16.8489339740064
"41","1991-3","0610","September 30, 1991","HAMILTON",971,NA,NA,282,3.44326241134752,0.0106382978723404,0.875886524822695,1991,3,"622314.3280000001",15.6030474683205
"42","1991-3","1265","September 30, 1991","OTTAWA",1679,NA,NA,709,2.36812411847673,0,0.926657263751763,1991,3,"739556.4163377191",22.7027980950311
"43","1991-4","0140","December 31, 1991","CALGARY",1287,NA,NA,1156,1.11332179930796,0,0.342560553633218,1991,4,"779040.068",16.5203312751816
"44","1991-4","0610","December 31, 1991","HAMILTON",499,NA,NA,259,1.92664092664093,0,0.826254826254826,1991,4,"623080.796",8.0085921954815
"45","1991-4","1265","December 31, 1991",NA,1110,NA,NA,530,2.09433962264151,0,1.08679245283019,1991,4,"742919.301303064",14.9410575018456
"46","1992-1","0140","March 31, 1992","CALGARY",1297,NA,NA,1181,1.09822184589331,0,0.447078746824725,1992,1,"782132.749",16.5828627129894
"47","1992-1","0610","March 31, 1992",NA,382,NA,NA,161,2.37267080745342,0,1.28571428571429,1992,1,"623773.236",6.1240203643492
"48","1992-1","1265","March 31, 1992","OTTAWA",923,NA,NA,266,3.46992481203007,0.0075187969924812,2.06766917293233,1992,1,"746121.7732902999",12.3706348352453
"49","1992-2","0140","June 30, 1992","CALGARY",2290,NA,NA,2023,1.13198220464656,0,0.190311418685121,1992,2,"784994.777",29.1721686194098
"50","1992-2","0610","June 30, 1992","HAMILTON",841,NA,NA,368,2.28532608695652,0,1.5625,1992,2,"624391.6460000001",13.4691103794813
"51","1992-2","1265","June 30, 1992","OTTAWA",1768,NA,NA,898,1.96881959910913,0.0167037861915367,2.58240534521158,1992,2,"749247.3200669179",23.5970146658929
"52","1992-3","0140","September 30, 1992","CALGARY",1697,NA,NA,1481,1.14584740040513,0,0.37812288993923,1992,3,"786397.575",21.5794154756899
"53","1992-3","0610","September 30, 1992","HAMILTON",841,NA,NA,468,1.79700854700855,0,1.50854700854701,1992,3,"624313.014",13.4708068090985
"54","1992-3","1265","September 30, 1992","OTTAWA",1621,NA,NA,880,1.84204545454545,0.0125,1.4,1992,3,"752402.879727156",21.5443088227922
"55","1992-4","0140","December 31, 1992","CALGARY",1750,NA,NA,1579,1.10829639012033,0,0.176694110196327,1992,4,"789289.723",22.1718330925234
"56","1992-4","0610","December 31, 1992","HAMILTON",568,NA,NA,368,1.54347826086957,0,1.48641304347826,1992,4,"625032.573",9.08752638720478
"57","1992-4","1265","December 31, 1992","OTTAWA",1518,NA,NA,810,1.87407407407407,0.0111111111111111,1.4716049382716,1992,4,"755695.390365255",20.0874587744448
"58","1993-1","0140","March 31, 1993","CALGARY",1254,NA,NA,1049,1.1954242135367,0,0.358436606291706,1993,1,"792442.646",15.8244890823304
"59","1993-1","0610","March 31, 1993",NA,281,NA,NA,228,1.23245614035088,0,1.5219298245614,1993,1,"625927.3080000001",4.48933919975257
"60","1993-1","1265","March 31, 1993",NA,549,NA,NA,259,2.11969111969112,0,1.02702702702703,1993,1,"759175.950016865",7.23152518184755
"61","1993-2","0140","June 30, 1993","CALGARY",1830,NA,NA,1563,1.17082533589251,0,0.27447216890595,1993,2,"795856.344",22.9940995481969
"62","1993-2","0610","June 30, 1993",NA,848,NA,NA,558,1.51971326164875,0,1.07706093189964,1993,2,"626997.22",13.5247808594749
"63","1993-2","1265","June 30, 1993","OTTAWA",1168,NA,NA,658,1.77507598784195,0,2.31155015197568,1993,2,"762672.296483289",15.3145722663022
"64","1993-3","0140","September 30, 1993","CALGARY",1683,NA,NA,1362,1.23568281938326,0,0.309838472834068,1993,3,"799783.125",21.0432046812691
"65","1993-3","0610","September 30, 1993",NA,913,NA,NA,421,2.16864608076009,0,1.81947743467933,1993,3,"628465.428",14.5274498695257
"66","1993-3","1265","September 30, 1993","OTTAWA",1455,NA,NA,789,1.84410646387833,0.0202788339670469,0.973384030418251,1993,3,"765956.32750724",18.995861092175
"67","1993-4","0140","December 31, 1993","CALGARY",1862,NA,NA,1602,1.16229712858926,0,0.265293383270911,1993,4,"803617.45",23.1702285708206
"68","1993-4","0610","December 31, 1993",NA,947,NA,NA,544,1.74080882352941,0,1.11213235294118,1993,4,"629796.445",15.036604406365
"69","1993-4","1265","December 31, 1993",NA,1249,NA,NA,575,2.17217391304348,0.0139130434782609,1.05391304347826,1993,4,"768799.940831432",16.2460990651124
"70","1994-1","0140","March 31, 1994","CALGARY",1231,NA,NA,1161,1.06029285099053,0,0.362618432385874,1994,1,"807611.627",15.2424749575825
"71","1994-1","0610","March 31, 1994",NA,515,NA,NA,271,1.90036900369004,0,1.33210332103321,1994,1,"631213.391",8.15888901190945
"72","1994-1","1265","March 31, 1994",NA,461,NA,NA,249,1.85140562248996,0,1.97590361445783,1994,1,"771049.602307312",5.97886307989123
"73","1994-2","0140","June 30, 1994","CALGARY",2033,NA,NA,1860,1.09301075268817,0,0.303763440860215,1994,2,"811765.6560000001",25.0441735859789
"74","1994-2","0610","June 30, 1994","HAMILTON",929,NA,NA,686,1.35422740524781,0,1.41836734693878,1994,2,"632716.265",14.6827267037303
"75","1994-2","1265","June 30, 1994",NA,1437,NA,NA,818,1.75672371638142,0.00488997555012225,0.766503667481663,1994,2,"772850.0502212549",18.5935162919199
"76","1994-3","0140","September 30, 1994","CALGARY",1960,NA,NA,1380,1.42028985507246,0,0.349275362318841,1994,3,"816043.918",24.0183151515137
"77","1994-3","0610","September 30, 1994",NA,763,NA,NA,537,1.42085661080074,0,1.95903165735568,1994,3,"634523.022",12.0247804026881
"78","1994-3","1265","September 30, 1994","OTTAWA",1233,NA,NA,705,1.74893617021277,0,0.71063829787234,1994,3,"774420.5909683689",15.9215807841344
"79","1994-4","0140","December 31, 1994","CALGARY",1653,NA,NA,1139,1.45127304653205,0,0.323090430201932,1994,4,"820531.899",20.1454690794416
"80","1994-4","0610","December 31, 1994",NA,626,NA,NA,363,1.72451790633609,0,4.70798898071625,1994,4,"636110.572",9.84105637533721
"81","1994-4","1265","December 31, 1994","OTTAWA",798,NA,NA,397,2.01007556675063,0.035264483627204,0.249370277078086,1994,4,"775980.530943761",10.2837631638703
"82","1995-1","0140","March 31, 1995","CALGARY",953,NA,NA,849,1.12249705535925,0,0.380447585394582,1995,1,"825193.981",11.5487996997399
"83","1995-1","0610","March 31, 1995",NA,558,NA,NA,237,2.35443037974684,0,0.29957805907173,1995,1,"637696.87",8.75023896541942
"84","1995-1","1265","March 31, 1995",NA,178,NA,NA,91,1.95604395604396,0,0.0659340659340659,1995,1,"777685.0470553581",2.28884431652611
"85","1995-2","0140","June 30, 1995","CALGARY",1434,NA,NA,1243,1.15366049879324,0,0.205953338696702,1995,2,"830030.162",17.2764806105926
"86","1995-2","0610","June 30, 1995",NA,474,NA,NA,314,1.50955414012739,0,1.0796178343949,1995,2,"639281.915",7.41456920457385
"87","1995-2","1265","June 30, 1995","OTTAWA",699,NA,NA,308,2.26948051948052,0.012987012987013,0.987012987012987,1995,2,"779432.798262362",8.96805987069474
"88","1995-3","0140","September 30, 1995","CALGARY",1756,NA,NA,1305,1.3455938697318,0,0.326436781609195,1995,3,"834192.731",21.050291314514
"89","1995-3","0610","September 30, 1995","HAMILTON",569,NA,NA,362,1.57182320441989,0,1.33701657458564,1995,3,"640562.764",8.88281417494321
"90","1995-3","1265","September 30, 1995","OTTAWA",785,NA,NA,325,2.41538461538462,0.0430769230769231,0.698461538461538,1995,3,"781058.3140367931",10.0504659625584
"91","1995-4","0140","December 31, 1995","CALGARY",1542,NA,NA,1222,1.26186579378069,0,0.205400981996727,1995,4,"839716.198",18.3633470888458
"92","1995-4","0610","December 31, 1995",NA,400,NA,NA,283,1.41342756183746,0,1.21908127208481,1995,4,"642266.482",6.22794449360663
"93","1995-4","1265","December 31, 1995",NA,528,NA,NA,286,1.84615384615385,0,0.374125874125874,1995,4,"782396.123850674",6.74849969094137
"94","1996-1","0140","March 31, 1996","CALGARY",1117,NA,NA,892,1.25224215246637,0,0.475336322869955,1996,1,"845752.85",13.2071680278701
"95","1996-1","0610","March 31, 1996",NA,354,NA,NA,217,1.63133640552995,0,0.539170506912442,1996,1,"644090.124",5.49612525963836
"96","1996-1","1265","March 31, 1996","OTTAWA",282,NA,NA,142,1.98591549295775,0.0211267605633803,1.16901408450704,1996,1,"783343.424535385",3.59995362400928
"97","1996-2","0140","June 30, 1996","CALGARY",2003,NA,NA,1835,1.09155313351499,0,0.308991825613079,1996,2,"852302.687",23.5010405405421
"98","1996-2","0610","June 30, 1996",NA,676,NA,NA,486,1.39094650205761,0,0.623456790123457,1996,2,"646033.691",10.4638505610074
"99","1996-2","1265","June 30, 1996",NA,796,NA,NA,498,1.59839357429719,0.0220883534136546,0.995983935742972,1996,2,"784048.082359752",10.1524385800967
"100","1996-3","0140","September 30, 1996","CALGARY",2104,NA,NA,1825,1.15287671232877,0,0.648219178082192,1996,3,"860081.986",24.4627841792747
"101","1996-3","0610","September 30, 1996","HAMILTON",945,NA,NA,583,1.62092624356775,0,1.14065180102916,1996,3,"648520.583",14.5716269424867
"102","1996-3","1265","September 30, 1996",NA,1096,NA,NA,601,1.82362728785358,0.00831946755407654,0.710482529118136,1996,3,"784720.630951958",13.9667539856882
"103","1996-4","0140","December 31, 1996","CALGARY",1887,NA,NA,1576,1.19733502538071,0,0.241751269035533,1996,4,"867371.684",21.7553793236349
"104","1996-4","0610","December 31, 1996","HAMILTON",667,NA,NA,414,1.61111111111111,0,2.21739130434783,1996,4,"650534.64",10.253105046028
"105","1996-4","1265","December 31, 1996",NA,892,NA,NA,531,1.67984934086629,0,0.534839924670433,1996,4,"785571.60394019",11.3547892455124
"106","1997-1","0140","March 31, 1997","CALGARY",2459,NA,NA,1968,1.2494918699187,0,0.467987804878049,1997,1,"874888.056",28.1064529700243
"107","1997-1","0610","March 31, 1997",NA,582,NA,NA,430,1.35348837209302,0,0.581395348837209,1997,1,"652499.261",8.91955033187386
"108","1997-1","1265","March 31, 1997",NA,437,NA,NA,265,1.64905660377358,0,0.30188679245283,1997,1,"786767.024759669",5.55437615262903
"109","1997-2","0140","June 30, 1997","CALGARY",2882,NA,NA,2425,1.18845360824742,0,0.315463917525773,1997,2,"882631.1020000001",32.6523730408947
"110","1997-2","0610","June 30, 1997",NA,1127,NA,NA,791,1.42477876106195,0,0.824273072060683,1997,2,"654414.447",17.2215024464458
"111","1997-2","1265","June 30, 1997",NA,1083,NA,NA,741,1.46153846153846,0,0.44804318488529,1997,2,"788294.876073767",13.738513757619
"112","1997-3","0140","September 30, 1997","CALGARY",2762,NA,NA,2301,1.20034767492395,0,0.323337679269883,1997,3,"892175.981",30.9580179114909
"113","1997-3","0610","September 30, 1997",NA,1036,NA,NA,664,1.56024096385542,0,0.221385542168675,1997,3,"656157.0850000001",15.7889021346161
"114","1997-3","1265","September 30, 1997","OTTAWA",1114,NA,NA,738,1.50948509485095,0.00948509485094851,0.586720867208672,1997,3,"790098.63035289",14.0995055199937
"115","1997-4","0140","December 31, 1997","CALGARY",3112,NA,NA,2462,1.26401299756296,0,0.178310316815597,1997,4,"899742.314",34.587680845696
"116","1997-4","0610","December 31, 1997","HAMILTON",953,NA,NA,620,1.53709677419355,0,0.114516129032258,1997,4,"658022.6460000001",14.4827842292832
"117","1997-4","1265","December 31, 1997",NA,851,NA,NA,616,1.38149350649351,0,0.136363636363636,1997,4,"792121.760067447",10.7432978476382
"118","1998-1","0140","March 31, 1998","CALGARY",2871,NA,NA,2204,1.30263157894737,0,0.365698729582577,1998,1,"906905.259",31.6571105030939
"119","1998-1","0610","March 31, 1998",NA,611,NA,NA,353,1.73087818696884,0.0396600566572238,1.93201133144476,1998,1,"659888.018",9.25914675419974
"120","1998-1","1265","March 31, 1998",NA,309,NA,NA,220,1.40454545454545,0,0.268181818181818,1998,1,"794318.761693615",3.89012591545946
"121","1998-2","0140","June 30, 1998","CALGARY",3522,NA,NA,2952,1.19308943089431,0,0.261517615176152,1998,2,"913664.816",38.5480532720875
"122","1998-2","0610","June 30, 1998",NA,1236,NA,NA,630,1.96190476190476,0.0317460317460317,0.301458670988655,1998,2,"661753.199",18.6776581037729
"123","1998-2","1265","June 30, 1998",NA,1123,NA,NA,812,1.38300492610837,0,0.694581280788177,1998,2,"796688.2277306559",14.0958528180947
"124","1998-3","0140","September 30, 1998","CALGARY",3127,NA,NA,2565,1.21910331384016,0,0.337621832358674,1998,3,"919169.858",34.0198274865536
"125","1998-3","0610","September 30, 1998",NA,768,NA,NA,536,1.43283582089552,0.00559701492537313,0.298850574712644,1998,3,"663354.557",11.5775190189882
"126","1998-3","1265","September 30, 1998",NA,1157,NA,NA,798,1.44987468671679,0,0.462406015037594,1998,3,"799239.7746836",14.4762565208673
"127","1998-4","0140","December 31, 1998","CALGARY",2975,NA,NA,2023,1.47058823529412,0.0113692535837865,0.253583786455759,1998,4,"925463.0889999999",32.1460686586064
"128","1998-4","0610","December 31, 1998",NA,1012,NA,NA,560,1.80714285714286,0.0714285714285714,0.293307086614173,1998,4,"665324.8119999999",15.2106156533961
"129","1998-4","1265","December 31, 1998",NA,1026,NA,NA,713,1.43899018232819,0,0.231416549789621,1998,4,"801983.019057478",12.7932883317878
"130","1999-1","0140","March 31, 1999","CALGARY",2341,NA,NA,1334,1.75487256371814,0.0134932533733133,0.33208395802099,1999,1,"931693.3840000001",25.1262919776191
"131","1999-1","0610","March 31, 1999","HAMILTON",640,NA,NA,336,1.9047619047619,0,0.445512820512821,1999,1,"667400.331",9.5894468473076
"132","1999-1","1265","March 31, 1999",NA,602,NA,NA,369,1.63143631436314,0,0.197831978319783,1999,1,"804931.8324065229",7.47889418412224
"133","1999-2","0140","June 30, 1999","CALGARY",2716,NA,NA,2008,1.35258964143426,0.00199203187250996,0.298306772908367,1999,2,"937860.74",28.9595233509828
"134","1999-2","0610","June 30, 1999",NA,1066,NA,NA,737,1.44640434192673,0,0.242962962962963,1999,2,"669581.112",15.9204012911284
"135","1999-2","1265","June 30, 1999",NA,1201,NA,NA,901,1.33296337402886,0,0.273029966703663,1999,2,"808117.106481773",14.8617074229339
"136","1999-3","0140","September 30, 1999","CALGARY",2823,NA,NA,1990,1.41859296482412,0.00904522613065327,0.328643216080402,1999,3,"943691.69",29.9144310574569
"137","1999-3","0610","September 30, 1999","HAMILTON",1348,NA,NA,645,2.08992248062015,0,0.300675675675676,1999,3,"671463.1630000001",20.0755614645684
"138","1999-3","1265","September 30, 1999",NA,1509,NA,NA,1113,1.35579514824798,0,0.195867026055705,1999,3,"811573.988083469",18.5934988326018
"139","1999-4","0140","December 31, 1999","CALGARY",2720,NA,NA,1777,1.53066966797974,0.00168823860438942,0.233539673607203,1999,4,"949842.56",28.6363247399653
"140","1999-4","0610","December 31, 1999",NA,869,NA,NA,475,1.82947368421053,0,0.281659388646288,1999,4,"674016.069",12.8928676921499
"141","1999-4","1265","December 31, 1999",NA,1135,NA,NA,840,1.35119047619048,0,0.269047619047619,1999,4,"815337.624011852",13.9206135786456
"142","2000-1","0140","March 31, 2000","CALGARY",2265,NA,NA,1531,1.47942521227956,0,0.287393860222077,2000,1,"956039.881",23.6914802929649
"143","2000-1","0610","March 31, 2000","HAMILTON",642,NA,NA,330,1.94545454545455,0.0424242424242424,0.461279461279461,2000,1,"676835.8369999999",9.48531334932846
"144","2000-1","1265","March 31, 2000",NA,949,NA,NA,466,2.03648068669528,0,0.394849785407725,2000,1,"819438.1455849969",11.5811059701463
"145","2000-2","0140","June 30, 2000","CALGARY",3032,NA,NA,2074,1.4619093539055,0,0.316779170684667,2000,2,"962283.6529999999",31.5083810324272
"146","2000-2","0610","June 30, 2000","HAMILTON",823,NA,NA,594,1.38552188552189,0,0.368866328257191,2000,2,"679922.466",12.1043213183075
"147","2000-2","1265","June 30, 2000",NA,1554,NA,NA,1183,1.31360946745562,0,0.263736263736264,2000,2,"823885.622192311",18.8618414758216
"148","2000-3","0140","September 30, 2000","CALGARY",2821,NA,NA,1944,1.4511316872428,0.00771604938271605,0.315329218106996,2000,3,"967983.1349999999",29.1430697292056
"149","2000-3","0610","September 30, 2000","HAMILTON",800,NA,NA,604,1.32450331125828,0,0.256410256410256,2000,3,"684796.564",11.6823016068755
"150","2000-3","1265","September 30, 2000",NA,1630,NA,NA,1198,1.36060100166945,0,0.34974958263773,2000,3,"828685.1077410369",19.6697151279008
"151","2000-4","0140","December 31, 2000","CALGARY",2975,NA,NA,1738,1.71173762945915,0.0161104718066743,0.31415420023015,2000,4,"974556.104",30.5267186546707
"152","2000-4","0610","December 31, 2000",NA,843,NA,NA,585,1.44102564102564,0,0.513793103448276,2000,4,"687808.674",12.2563153369014
"153","2000-4","1265","December 31, 2000",NA,1653,NA,NA,1127,1.46672582076309,0,0.235137533274179,2000,4,"833841.656138415",19.8239076667766
"154","2001-1","0140","March 31, 2001","CALGARY",2050,NA,NA,1485,1.38047138047138,0.00269360269360269,0.432323232323232,2001,1,"981411.8200000001",20.8882750158848
"155","2001-1","0610","March 31, 2001","HAMILTON",712,NA,NA,393,1.8117048346056,0,0.578666666666667,2001,1,"690479.402",10.3116761765473
"156","2001-1","1265","March 31, 2001","OTTAWA",1485,NA,NA,868,1.71082949308756,0,0.574884792626728,2001,1,"839304.906348573",17.6932124281335
"157","2001-2","0140","June 30, 2001","CALGARY",3149,NA,NA,2269,1.38783605112384,0.00176289114147201,0.333186425738211,2001,2,"988550.284",31.8547275840953
"158","2001-2","0610","June 30, 2001","HAMILTON",1007,NA,NA,505,1.99405940594059,0,0.207547169811321,2001,2,"692808.748",14.5350358653381
"159","2001-2","1265","June 30, 2001","OTTAWA",1843,NA,NA,1301,1.41660261337433,0.00461183704842429,0.348962336664105,2001,2,"844802.837563184",21.8157411179642
"160","2001-3","0140","September 30, 2001","CALGARY",3024,NA,NA,2403,1.25842696629213,0,0.317103620474407,2001,3,"997871.53",30.3045022238484
"161","2001-3","0610","September 30, 2001","HAMILTON",907,NA,NA,578,1.56920415224913,0,0.46875,2001,3,"694096.363",13.0673498428921
"162","2001-3","1265","September 30, 2001","OTTAWA",1769,NA,NA,1130,1.56548672566372,0,0.430088495575221,2001,3,"850008.014030807",20.8115684887635
"163","2001-4","0140","December 31, 2001","CALGARY",3126,NA,NA,1983,1.57639939485628,0.00151285930408472,0.19011598587998,2001,4,"1004815.47",31.1101898142551
"164","2001-4","0610","December 31, 2001","HAMILTON",739,NA,NA,581,1.27194492254733,0,0.314586994727592,2001,4,"696023.087",10.6174639003031
"165","2001-4","1265","December 31, 2001","OTTAWA",1154,NA,NA,750,1.53866666666667,0,0.378666666666667,2001,4,"854593",13.5035040071707
"166","2002-1","0140","March 31, 2002","CALGARY",2812,NA,NA,1920,1.46458333333333,0,0.247916666666667,2002,1,"1011282.15",27.8062853180984
"167","2002-1","0610","March 31, 2002","HAMILTON",547,NA,NA,435,1.25747126436782,0,0.897619047619048,2002,1,"697888.57",7.83792747888105
"168","2002-1","1265","March 31, 2002","OTTAWA",1528,NA,NA,661,2.31164901664145,0.0226928895612708,0.630862329803328,2002,1,"857893.864835988",17.8110610488178
"169","2002-2","0140","June 30, 2002","CALGARY",4062,NA,NA,2968,1.36859838274933,0.00101078167115903,0.326482479784367,2002,2,"1017271.56",39.9303407243588
"170","2002-2","0610","June 30, 2002","HAMILTON",1004,NA,NA,643,1.56143079315708,0,0.338050314465409,2002,2,"699692.812",14.3491541256536
"171","2002-2","1265","June 30, 2002","OTTAWA",2378,NA,NA,1255,1.89482071713147,0,0.388844621513944,2002,2,"861156.283737581",27.6140352791601
"172","2002-3","0140","September 30, 2002","CALGARY",3908,NA,NA,2786,1.40272792534099,0,0.529073941134243,2002,3,"1021334.52",38.2636631140207
"173","2002-3","0610","September 30, 2002","HAMILTON",1159,NA,NA,806,1.43796526054591,0,0.305131761442441,2002,3,"701412.691",16.5237956893483
"174","2002-3","1265","September 30, 2002","OTTAWA",2075,NA,NA,1511,1.37326273990735,0,0.491065519523494,2002,3,"864341.810770383",24.0067063069709
"175","2002-4","0140","December 31, 2002","CALGARY",3557,NA,NA,2402,1.48084929225645,0,0.35345545378851,2002,4,"1026949.07",34.6365764759882
"176","2002-4","0610","December 31, 2002","HAMILTON",1093,NA,NA,644,1.6972049689441,0,0.528951486697966,2002,4,"703103.699",15.545359831765
"177","2002-4","1265","December 31, 2002","OTTAWA",1815,NA,NA,976,1.85963114754098,0,0.600409836065574,2002,4,"867412",20.924312783314
"178","2003-1","0140","March 31, 2003","CALGARY",3795,NA,NA,2131,1.78085405912717,0,0.521820741435946,2003,1,"1032666.0199999999",36.7495388296015
"179","2003-1","0610","March 31, 2003","HAMILTON",628,NA,NA,378,1.66137566137566,0,0.46027397260274,2003,1,"704742.7139999999",8.91105346000072
"180","2003-1","1265","March 31, 2003","OTTAWA",1045,NA,NA,506,2.06521739130435,0,0.964426877470356,2003,1,"870327.0389264299",12.0069807470193
"181","2003-2","0140","June 30, 2003","CALGARY",3671,NA,NA,2607,1.40813195243575,0,0.479861910241657,2003,2,"1038485.3800000001",35.3495587968701
"182","2003-2","0610","June 30, 2003","HAMILTON",824,NA,NA,533,1.54596622889306,0.026266416510319,0.272380952380952,2003,2,"706329.737",11.6659395298828
"183","2003-2","1265","June 30, 2003","OTTAWA",1873,NA,NA,1125,1.66488888888889,0,0.530666666666667,2003,2,"873041.648787256",21.4537302155262
"184","2003-3","0140","September 30, 2003","CALGARY",3186,NA,NA,2343,1.35979513444302,0,0.401621852326078,2003,3,"1042939.3600000001",30.5482765555995
