"reference_period_qq","CSDuid","date_pbi","metcode","metro","municipality","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","ref_qq","ref_yy","population","starts_per_10kpop"
"1988-2","3503021","June 30, 1988","1265",NA,NA,21,NA,NA,20,1.05,0,"2","1988",675615.3203,0.310827764987259
"1988-2","4806021","June 30, 1988","0140","CALGARY","AIRDRIE CY",15,NA,NA,15,1,0,NA,NA,NA,NA
"1988-2","5915065","June 30, 1988","2410","VANCOUVER","LIONS BAY VL",1,NA,NA,1,1,0,"2","1988",1535606.75,0.00651208390429386
"1988-2","2466700","June 30, 1988","1060",NA,NA,65,NA,NA,57,1.14035087719298,0,"2","1988",3315750.79,0.196034033064349
"1988-2","4811016","June 30, 1988","0340","EDMONTON","LEDUC CY",7,NA,NA,7,1,0,NA,NA,NA,NA
"1988-2","1209001","June 30, 1988","0580",NA,NA,29,NA,NA,28,1.03571428571429,0,NA,NA,NA,NA
"1988-2","4811034","June 30, 1988","0340","EDMONTON","PARKLAND COUNTY MD",16,NA,NA,16,1,0,NA,NA,NA,NA
"1988-2","5915063","June 30, 1988","2410",NA,NA,7,NA,NA,7,1,0,"2","1988",1535606.75,0.045584587330057
"1988-2","2420270","June 30, 1988","1400",NA,NA,2,NA,NA,2,1,0,"2","1988",641710.984,0.0311666786118157
"1988-2","2421260","June 30, 1988","1400",NA,NA,8,NA,NA,5,1.6,0,"2","1988",641710.984,0.124666714447263
"1988-2","2456400","June 30, 1988","1060",NA,NA,147,NA,NA,97,1.51546391752577,0,"2","1988",3315750.79,0.443338505545527
"1988-2","2456280","June 30, 1988","1060",NA,NA,1,NA,NA,1,1,0,"2","1988",3315750.79,0.00301590820098998
"1988-2","4706030","June 30, 1988","1490","REGINA","WHITE CITY T",1,NA,NA,1,1,0,"2","1988",196029.748,0.0510126656899033
"1988-2","2452550","June 30, 1988","1060",NA,NA,1,NA,NA,1,1,0,"2","1988",3315750.79,0.00301590820098998
"1988-2","4811012","June 30, 1988","0340","EDMONTON","LEDUC COUNTY MD",1,NA,NA,1,1,0,NA,NA,NA,NA
"1988-2","2421380","June 30, 1988","1400",NA,NA,1,NA,NA,1,1,0,"2","1988",641710.984,0.0155833393059078
"1988-2","3503016","June 30, 1988","1265",NA,NA,23,NA,NA,23,1,0,"2","1988",675615.3203,0.34043040927176
"1988-2","5915034","June 30, 1988","2410","VANCOUVER","COQUITLAM CY",99,NA,NA,71,1.3943661971831,0,"2","1988",1535606.75,0.644696306525092
"1988-2","2473120","June 30, 1988","1060",NA,NA,29,NA,NA,29,1,0,"2","1988",3315750.79,0.0874613378287094
"1988-2","3543011","June 30, 1988","2270",NA,NA,6,NA,NA,6,1,0,"2","1988",3844267.56,0.0156076545306852
"1988-2","3506018","June 30, 1988","1265",NA,NA,31,NA,NA,31,1,0,"2","1988",675615.3203,0.458840986409763
"1988-2","4711068","June 30, 1988","1700","SASKATOON","WARMAN CY",6,NA,NA,6,1,0,"2","1988",215818.898,0.278010871874621
"1988-2","2416200","June 30, 1988","1400",NA,NA,1,NA,NA,1,1,0,"2","1988",641710.984,0.0155833393059078
"1988-2","2421500","June 30, 1988","1400",NA,NA,8,NA,NA,7,1.14285714285714,0,"2","1988",641710.984,0.124666714447263
"1988-2","2463250","June 30, 1988","1060",NA,NA,29,NA,NA,25,1.16,0,"2","1988",3315750.79,0.0874613378287094
"1988-2","2463200","June 30, 1988","1060",NA,NA,6,NA,NA,6,1,0,"2","1988",3315750.79,0.0180954492059399
"1988-2","3520001","June 30, 1988","2270","TORONTO","PICKERING CY",99,NA,NA,15,6.6,0.133333333333333,"2","1988",3844267.56,0.257526299756305
"1988-2","4712054","June 30, 1988","1700","SASKATOON","VANSCOY NO. 345 RM",1,NA,NA,1,1,0,"2","1988",215818.898,0.0463351453124369
"1988-2","2470110","June 30, 1988","1060",NA,NA,1,NA,NA,1,1,0,"2","1988",3315750.79,0.00301590820098998
"1988-2","3519054","June 30, 1988","2270","TORONTO","EAST GWILLIMBURY T",24,NA,NA,24,1,0,"2","1988",3844267.56,0.0624306181227407
"1988-2","2456650","June 30, 1988","1060",NA,NA,83,NA,NA,40,2.075,0,"2","1988",3315750.79,0.250320380682168
"1988-2","2464500","June 30, 1988","1060",NA,NA,362,NA,NA,155,2.33548387096774,0,"2","1988",3315750.79,1.09175876875837
"1988-2","2466300","June 30, 1988","1060",NA,NA,7,NA,NA,7,1,0,"2","1988",3315750.79,0.0211113574069298
"1988-2","2466500","June 30, 1988","1060",NA,NA,34,NA,NA,34,1,0,"2","1988",3315750.79,0.102540878833659
"1988-2","5917021","June 30, 1988","2440","VICTORIA","SAANICH DM",144,NA,NA,81,1.77777777777778,0,"2","1988",279357.102,5.15469264855131
"1988-2","2456750","June 30, 1988","1060",NA,NA,40,NA,NA,21,1.9047619047619,0,"2","1988",3315750.79,0.120636328039599
"1988-2","2465280","June 30, 1988","1060",NA,NA,52,NA,NA,2,26,0,"2","1988",3315750.79,0.156827226451479
"1988-2","4711070","June 30, 1988","1700","SASKATOON","MARTENSVILLE CY",5,NA,NA,5,1,0,"2","1988",215818.898,0.231675726562185
"1988-2","3525009","June 30, 1988","0610",NA,NA,7,NA,NA,7,1,0,NA,NA,NA,NA
"1988-2","2462510","June 30, 1988","1060",NA,NA,54,NA,NA,54,1,0,"2","1988",3315750.79,0.162859042853459
"1988-2","5911019","June 30, 1988","2410",NA,NA,70,NA,NA,68,1.02941176470588,0,"2","1988",1535606.75,0.45584587330057
"1988-2","5915043","June 30, 1988","2410","VANCOUVER","PORT MOODY CY",14,NA,NA,14,1,0,"2","1988",1535606.75,0.091169174660114
"1988-2","2417460","June 30, 1988","1400",NA,NA,14,NA,NA,14,1,0,"2","1988",641710.984,0.21816675028271
"1988-2","2472150","June 30, 1988","1060",NA,NA,1,NA,NA,1,1,0,"2","1988",3315750.79,0.00301590820098998
"1988-2","5917030","June 30, 1988","2440","VICTORIA","OAK BAY DM",4,NA,NA,4,1,0,"2","1988",279357.102,0.143185906904203
"1988-2","2421220","June 30, 1988","1400",NA,NA,32,NA,NA,31,1.03225806451613,0,"2","1988",641710.984,0.498666857789051
"1988-2","3519070","June 30, 1988","2270","TORONTO","GEORGINA T",149,NA,NA,101,1.47524752475248,0,"2","1988",3844267.56,0.387590087512015
"1988-2","1209024","June 30, 1988","0580",NA,NA,36,NA,NA,28,1.28571428571429,0,NA,NA,NA,NA
"1988-2","2421550","June 30, 1988","1400",NA,NA,14,NA,NA,2,7,0,"2","1988",641710.984,0.21816675028271
"1988-2","2420200","June 30, 1988","1400",NA,NA,2,NA,NA,2,1,0,"2","1988",641710.984,0.0311666786118157
"1988-2","2473380","June 30, 1988","1060",NA,NA,1,NA,NA,1,1,0,"2","1988",3315750.79,0.00301590820098998
"1988-2","2421460","June 30, 1988","1400",NA,NA,11,NA,NA,5,2.2,0,"2","1988",641710.984,0.171416732364986
"1988-2","2463150","June 30, 1988","1060",NA,NA,91,NA,NA,33,2.75757575757576,0,"2","1988",3315750.79,0.274447646290088
