"","reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time"
"1","2006-1","0140","T2A","March 31, 2006","CALGARY",10,NA,NA,1,10,0,6,17
"2","2006-1","0140","T2B","March 31, 2006","CALGARY",4,NA,NA,1,4,0,16,4
"3","2006-1","0140","T2C","March 31, 2006","CALGARY",153,NA,NA,30,5.1,0,6.1,0.833333333333333
"4","2006-1","0140","T2E","March 31, 2006","CALGARY",139,NA,NA,21,6.61904761904762,0,10.3,0.714285714285714
"5","2006-1","0140","T2G","March 31, 2006","CALGARY",6,NA,NA,6,1,0,9,0.166666666666667
"6","2006-1","0140","T2H","March 31, 2006","CALGARY",55,NA,NA,1,55,0,12,3
"7","2006-1","0140","T2K","March 31, 2006","CALGARY",3,NA,NA,2,1.5,0,9,0
"8","2006-1","0140","T2L","March 31, 2006","CALGARY",1,NA,NA,1,1,0,15,2
"9","2006-1","0140","T2M","March 31, 2006","CALGARY",18,NA,NA,14,1.28571428571429,0,6.5,0
"10","2006-1","0140","T2N","March 31, 2006","CALGARY",32,NA,NA,23,1.39130434782609,0,11.304347826087,0.173913043478261
"11","2006-1","0140","T2S","March 31, 2006","CALGARY",6,NA,NA,6,1,0,17,1
"12","2006-1","0140","T2T","March 31, 2006","CALGARY",52,NA,NA,28,1.85714285714286,0,9.64285714285714,0.25
"13","2006-1","0140","T2V","March 31, 2006","CALGARY",9,NA,NA,5,1.8,0,8.2,0.6
"14","2006-1","0140","T2W","March 31, 2006","CALGARY",6,NA,NA,1,6,0,14,6
"15","2006-1","0140","T2Y","March 31, 2006","CALGARY",43,NA,NA,33,1.3030303030303,0,8.27272727272727,3.09090909090909
"16","2006-1","0140","T3C","March 31, 2006","CALGARY",4,NA,NA,3,1.33333333333333,0,8,1.33333333333333
"17","2006-1","0140","T3E","March 31, 2006","CALGARY",30,NA,NA,20,1.5,0,8.35,0.1
"18","2006-1","0140","nan","March 31, 2006","CALGARY",1983,NA,NA,1772,1.11907449209932,0,5.45744064852345,0.440180586907449
