"reference_period_qq","CSDuid","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","ref_yy","population","inventory_per_10kpop"
"1990-4","4806022","December 31, 1990","0140","CALGARY","IRRICANA T",0,3,0,0,NA,NA,NA,NA
"1990-4","4806019","December 31, 1990","0140","CALGARY","COCHRANE T",6,14,0.428571428571429,0,NA,NA,NA,NA
"1990-4","4806014","December 31, 1990","0140","CALGARY","ROCKY VIEW COUNTY MD",8,41,0.195121951219512,0,NA,NA,NA,NA
"1990-4","4806024","December 31, 1990","0140","CALGARY","BEISEKER VL",0,3,0,0,NA,NA,NA,NA
"1990-4","4806016","December 31, 1990","0140","CALGARY","CALGARY CY",554,864,0.641203703703704,0,NA,NA,NA,NA
"1991-1","4806024","March 31, 1991","0140","CALGARY","BEISEKER VL",0,1,0,0,NA,NA,NA,NA
"1991-1","4806026","March 31, 1991","0140","CALGARY","CROSSFIELD T",0,4,0,0,NA,NA,NA,NA
"1991-1","4806016","March 31, 1991","0140","CALGARY","CALGARY CY",494,633,0.780410742496051,0.014218009478673,NA,NA,NA,NA
"1991-1","4806019","March 31, 1991","0140","CALGARY","COCHRANE T",6,8,0.75,0,NA,NA,NA,NA
"1991-1","4806014","March 31, 1991","0140","CALGARY","ROCKY VIEW COUNTY MD",9,37,0.243243243243243,0,NA,NA,NA,NA
"1991-1","4806021","March 31, 1991","0140","CALGARY","AIRDRIE CY",10,15,0.666666666666667,0,NA,NA,NA,NA
"1991-1","4806022","March 31, 1991","0140","CALGARY","IRRICANA T",0,2,0,0,NA,NA,NA,NA
"1991-2","4806019","June 30, 1991","0140","CALGARY","COCHRANE T",7,15,0.466666666666667,0,NA,NA,NA,NA
"1991-2","4806026","June 30, 1991","0140","CALGARY","CROSSFIELD T",1,2,0.5,0,NA,NA,NA,NA
"1991-2","4806016","June 30, 1991","0140","CALGARY","CALGARY CY",630,752,0.837765957446808,0.011968085106383,NA,NA,NA,NA
"1991-2","4806024","June 30, 1991","0140","CALGARY","BEISEKER VL",0,1,0,0,NA,NA,NA,NA
"1991-2","4806021","June 30, 1991","0140","CALGARY","AIRDRIE CY",20,21,0.952380952380952,0,NA,NA,NA,NA
"1991-2","4806014","June 30, 1991","0140","CALGARY","ROCKY VIEW COUNTY MD",5,12,0.416666666666667,0,NA,NA,NA,NA
"1991-3","4806014","September 30, 1991","0140","CALGARY","ROCKY VIEW COUNTY MD",6,32,0.1875,0,NA,NA,NA,NA
"1991-3","4806019","September 30, 1991","0140","CALGARY","COCHRANE T",5,15,0.333333333333333,0,NA,NA,NA,NA
"1991-3","4806021","September 30, 1991","0140","CALGARY","AIRDRIE CY",35,27,1.2962962962963,0.111111111111111,NA,NA,NA,NA
"1991-3","4806024","September 30, 1991","0140","CALGARY","BEISEKER VL",1,1,1,0,NA,NA,NA,NA
"1991-3","4806016","September 30, 1991","0140","CALGARY","CALGARY CY",642,938,0.684434968017058,0.00959488272921109,NA,NA,NA,NA
"1991-4","4806017","December 31, 1991","0140","CALGARY","CHESTERMERE CY",0,2,0,0,NA,NA,NA,NA
"1991-4","4806014","December 31, 1991","0140","CALGARY","ROCKY VIEW COUNTY MD",3,41,0.0731707317073171,0,NA,NA,NA,NA
"1991-4","4806016","December 31, 1991","0140","CALGARY","CALGARY CY",596,806,0.739454094292804,0.011166253101737,NA,NA,NA,NA
