,KREUA31UR
1992-01-01,5454.0
1993-01-01,5432.0
1994-01-01,5270.0
1995-01-01,5208.0
1996-01-01,5213.0
1997-01-01,5209.0
1998-01-01,5226.0
1999-01-01,5279.0
2000-01-01,5262.0
2001-01-01,5211.0
2002-01-01,5106.0
2003-01-01,5108.0
2004-01-01,5093.0
2005-01-01,5049.0
2006-01-01,5051.0
2007-01-01,5063.0
2008-01-01,4971.0
2009-01-01,4919.0
2010-01-01,4837.0
2011-01-01,4752.0
2012-01-01,4754.0
2013-01-01,4808.0
2014-01-01,4839.0
2015-01-01,4917.0
2016-01-01,4989.0
2017-01-01,5153.0
2018-01-01,5169.0
2019-01-01,5271.0
2020-01-01,5351.0
2021-01-01,5363.0
2022-01-01,5321.0
2023-01-01,5435.0
2024-01-01,5498.0
