,KRERAT33CR
1992-01-01,582.0
1993-01-01,583.0
1994-01-01,576.0
1995-01-01,580.0
1996-01-01,601.0
1997-01-01,608.0
1998-01-01,613.0
1999-01-01,630.0
2000-01-01,604.0
2001-01-01,652.0
2002-01-01,670.0
2003-01-01,689.0
2004-01-01,711.0
2005-01-01,701.0
2006-01-01,729.0
2007-01-01,792.0
2008-01-01,908.0
2009-01-01,964.0
2010-01-01,1058.0
2011-01-01,1092.0
2012-01-01,1175.0
2013-01-01,1211.0
2014-01-01,1271.0
2015-01-01,1251.0
2016-01-01,1327.0
2017-01-01,1292.0
2018-01-01,1323.0
2019-01-01,1269.0
2020-01-01,1332.0
2021-01-01,1316.0
2022-01-01,1341.0
2023-01-01,1510.0
2024-01-01,1782.0
