,KRERAT3BCR
1992-01-01,270.0
1993-01-01,289.0
1994-01-01,271.0
1995-01-01,280.0
1996-01-01,280.0
1997-01-01,290.0
1998-01-01,304.0
1999-01-01,325.0
2000-01-01,329.0
2001-01-01,334.0
2002-01-01,351.0
2003-01-01,349.0
2004-01-01,361.0
2005-01-01,368.0
2006-01-01,376.0
2007-01-01,389.0
2008-01-01,456.0
2009-01-01,497.0
2010-01-01,522.0
2011-01-01,564.0
2012-01-01,633.0
2013-01-01,657.0
2014-01-01,696.0
2015-01-01,706.0
2016-01-01,713.0
2017-01-01,710.0
2018-01-01,700.0
2019-01-01,701.0
2020-01-01,757.0
2021-01-01,722.0
2022-01-01,742.0
2023-01-01,788.0
2024-01-01,879.0
