,KRESMMURA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,0.096
1990-04-01,0.472
1990-07-01,0.016
1990-10-01,0.02
1991-01-01,0.0
1991-04-01,0.064
1991-07-01,0.04
1991-10-01,0.008
1992-01-01,0.008
1992-04-01,0.164
1992-07-01,0.116
1992-10-01,0.192
1993-01-01,0.0
1993-04-01,0.128
1993-07-01,0.1
1993-10-01,0.332
1994-01-01,0.0
1994-04-01,0.036
1994-07-01,0.104
1994-10-01,0.136
1995-01-01,0.008
1995-04-01,0.132
1995-07-01,0.04
1995-10-01,0.012
1996-01-01,0.008
1996-04-01,0.02
1996-07-01,0.252
1996-10-01,0.008
1997-01-01,0.0
1997-04-01,0.024
1997-07-01,0.552
1997-10-01,0.008
1998-01-01,0.016
1998-04-01,0.18
1998-07-01,0.08
1998-10-01,0.0
1999-01-01,0.104
1999-04-01,0.228
1999-07-01,0.104
1999-10-01,0.244
2000-01-01,0.136
2000-04-01,0.344
2000-07-01,0.096
2000-10-01,0.048
2001-01-01,0.048
2001-04-01,0.048
2001-07-01,0.072
2001-10-01,0.732
2002-01-01,0.12
2002-04-01,0.132
2002-07-01,0.124
2002-10-01,0.212
2003-01-01,0.58
2003-04-01,0.264
2003-07-01,0.224
2003-10-01,0.404
2004-01-01,0.428
2004-04-01,0.568
2004-07-01,0.96
2004-10-01,0.592
2005-01-01,0.0
2005-04-01,0.352
2005-07-01,0.568
2005-10-01,0.344
2006-01-01,0.04
2006-04-01,0.396
2006-07-01,0.312
2006-10-01,0.2
2007-01-01,0.452
2007-04-01,0.664
2007-07-01,0.696
2007-10-01,0.324
2008-01-01,0.352
2008-04-01,0.496
2008-07-01,0.564
2008-10-01,0.172
2009-01-01,0.028
2009-04-01,0.304
2009-07-01,0.676
2009-10-01,0.436
2010-01-01,0.392
2010-04-01,0.324
2010-07-01,0.844
2010-10-01,0.996
2011-01-01,0.64
2011-04-01,0.44
2011-07-01,0.72
2011-10-01,1.144
2012-01-01,2.0
2012-04-01,1.22
2012-07-01,1.528
2012-10-01,2.468
2013-01-01,1.444
2013-04-01,2.116
2013-07-01,2.164
2013-10-01,1.78
2014-01-01,0.824
2014-04-01,1.584
2014-07-01,2.176
2014-10-01,1.48
2015-01-01,0.732
2015-04-01,1.6
2015-07-01,1.132
2015-10-01,0.872
2016-01-01,0.456
2016-04-01,0.624
2016-07-01,1.656
2016-10-01,0.848
2017-01-01,1.004
2017-04-01,1.48
2017-07-01,1.224
2017-10-01,0.952
2018-01-01,1.544
2018-04-01,0.584
2018-07-01,0.412
2018-10-01,0.608
2019-01-01,0.332
2019-04-01,0.324
2019-07-01,0.256
2019-10-01,0.244
2020-01-01,0.34
2020-04-01,0.42
2020-07-01,0.52
2020-10-01,0.632
2021-01-01,0.776
2021-04-01,0.316
2021-07-01,0.336
2021-10-01,0.884
2022-01-01,0.328
2022-04-01,0.752
2022-07-01,0.576
2022-10-01,0.808
2023-01-01,1.084
2023-04-01,0.852
2023-07-01,0.416
2023-10-01,1.5
2024-01-01,0.984
2024-04-01,1.248
2024-07-01,0.704
2024-10-01,0.804
