REF_DATE,Net_pop
2001/2002,26271.0
2002/2003,18562.0
2003/2004,20092.0
2004/2005,31034.0
2005/2006,36388.0
2006/2007,31782.0
2007/2008,32811.0
2008/2009,34006.0
2009/2010,20508.0
2010/2011,24217.0
2011/2012,38702.0
2012/2013,46703.0
2013/2014,44408.0
2014/2015,29314.0
2015/2016,25627.0
2016/2017,20176.0
2017/2018,25192.0
2018/2019,30501.0
2019/2020,29254.0
