REF_DATE,15 years and over
2012-03-31,0.05719749652294848
2012-06-30,0.0774471950942539
2012-09-30,0.06640562141286299
2012-12-31,0.06763496848451656
2013-03-31,0.05530888559995617
2013-06-30,0.02397765598650925
2013-09-30,0.013379608671596044
2013-12-31,0.012320961034960831
2014-03-31,0.022439227093288938
2014-06-30,0.013843857753075062
2014-09-30,0.01191244353998111
2014-12-31,0.026674780668390907
2015-03-31,0.04145498882340992
2015-06-30,0.035076142131979626
2015-09-30,0.02992102810614594
2015-12-31,-0.020004939491232387
2016-03-31,-0.051756097560975656
2016-06-30,-0.03771271639448759
2016-09-30,-0.049911892175072525
2016-12-31,-0.017691532258064635
2017-03-31,0.010442924018725153
2017-06-30,0.024921007032922216
2017-09-30,0.04551606596821878
2017-12-31,0.03766227102468056
2018-03-31,0.04388555136951444
2018-06-30,0.029685246879817218
2018-09-30,-0.010452126384427274
2018-12-31,0.008801859269149004
2019-03-31,-0.0012192742879438834
2019-06-30,0.03988796600347677
2019-09-30,0.07631183681379938
2019-12-31,0.046860448017254086
2020-03-31,-0.0007324576395332238
2020-06-30,-0.10104950311135885
2020-09-30,-0.085441613396957
2020-12-31,-0.020836259774312915
