,mean,mean_se,mean_ci_lower,mean_ci_upper
2021-03-31,463378.0007602238,1.0337109995144744,459502.0271640681,467286.6688178398
2021-06-30,456503.0710317951,1.057002404398123,450136.39131563687,462959.80036711355
2021-09-30,460225.3205770127,1.073535913377253,452025.794547376,468573.5819839701
2021-12-31,452501.4269429521,1.085501881894836,443193.15954672894,462005.1933897658
2022-03-31,453119.3553931684,1.1058434861487276,441715.8168216228,464817.2929583666
2022-06-30,448937.94345826335,1.1269187214653897,435551.46057718736,462735.8540124044
2022-09-30,454277.30291796406,1.1455362186536688,438905.80391982733,470187.14745480067
2022-12-31,447172.06009567244,1.1616181928961693,430517.7235650118,464470.6602886504
2023-03-31,448458.7499595495,1.1855348430664447,429532.98742574255,468218.40534436365
2023-06-30,445102.27956686704,1.210610811705725,424063.46407349495,467184.88165084115
2023-09-30,450783.25002099783,1.2336915592138782,427425.90918792936,475416.98837481707
2023-12-31,444055.9437672819,1.2544650311438688,419269.7183064889,470307.47174282547
