,mean,mean_se,mean_ci_lower,mean_ci_upper
2021-03-31,469843.24929513125,1.0338559927755102,465896.64136678015,473823.2889178908
2021-06-30,473073.90948653803,1.0563512506516515,466548.9541388261,479690.1200860556
2021-09-30,482861.9677385605,1.0721969911779408,474409.111692323,491465.43382490356
2021-12-31,472080.1339253695,1.084579211137687,462468.740317507,481891.2791683844
2022-03-31,474530.267127941,1.1060852448361915,462562.26799299876,486807.9175535418
2022-06-30,477369.12922876,1.1277848149456007,463044.7484454006,492136.63756192016
2022-09-30,486680.9871139236,1.1466601790200286,470096.22467408644,503850.8517748571
2022-12-31,477736.2070364005,1.1633570196833873,459769.2855328304,496405.24214014586
2023-03-31,480846.64088084205,1.1882970577699052,460282.5911208778,502329.43089013983
2023-06-30,483549.28087434225,1.2140348860490577,460363.64467202785,507902.63249538623
2023-09-30,490998.9719402976,1.237552165432645,465189.4796979264,518240.4180829194
2023-12-31,482341.28856444027,1.259141023957344,454988.98893122404,511337.9099580196
