,mean,mean_se,mean_ci_lower,mean_ci_upper
2021-03-31,5600.115482562982,758.7432541489851,5307.756177990699,5892.474787135265
2021-06-30,7997.986239385607,1008.7837676309346,7609.281207537672,8386.691271233543
2021-09-30,7979.042824220943,1125.5501193207126,7545.345327279192,8412.740321162693
2021-12-31,6061.648664499914,1266.4528268991257,5573.65847055596,6549.638858443868
2022-03-31,5880.822051067973,1494.6323882843162,5304.909602106403,6456.734500029543
2022-06-30,8003.7069364667095,1669.362236500251,7360.467500895253,8646.946372038166
2022-09-30,7719.56795946932,1811.0841027987233,7021.720188275584,8417.415730663055
2022-12-31,6120.240560168651,1953.0320421052393,5367.697342795736,6872.783777541566
2023-03-31,6091.803185452449,2156.198915145217,5260.975613801202,6922.630757103696
2023-06-30,8203.6385050595,2329.98743481437,7305.846659953055,9101.430350165945
2023-09-30,7737.722431496182,2478.493680157412,6782.708090669719,8692.736772322645
2023-12-31,6186.698032601431,2625.639137133342,5174.985535663248,7198.410529539614
