,mean,mean_se,mean_ci_lower,mean_ci_upper
2021-03-31,1747.9540043787035,532.5089918050775,1299.7831298070453,2196.1248789503616
2021-06-30,2074.232958280746,563.504709646933,1599.9754294235474,2548.490487137945
2021-09-30,2191.0859868383995,592.9292192354202,1692.0641659240603,2690.107807752739
2021-12-31,2109.222818375371,621.0205376477406,1586.558747406165,2631.886889344577
2022-03-31,2024.9866796850338,652.0830978508158,1476.179698479783,2573.7936608902846
2022-06-30,2273.8775595314137,679.1234627938719,1702.312833026526,2845.442286036301
2022-09-30,2299.7921635469193,705.1713699903763,1706.3049652553168,2893.2793618385217
2022-12-31,2289.2386708660642,730.3510906791985,1674.5596849873139,2903.917656744815
2023-03-31,2202.939259660844,759.9428245643433,1563.3552422061166,2842.5232771155715
2023-06-30,2412.4229249861082,785.0753047229667,1751.6868785775332,3073.1589713946832
2023-09-30,2350.068908095926,809.4704487967651,1668.801390438772,3031.33642575308
2023-12-31,2351.980202561447,833.213941897211,1650.729656951766,3053.2307481711287
