,mean,mean_ci_lower,mean_ci_upper
2021-03-31,5600.115482562982,4352.093889051061,6848.137076074903
2021-06-30,7997.986239385607,6338.684600388094,9657.287878383122
2021-09-30,7979.042824220943,6127.677628140606,9830.40802030128
2021-12-31,6061.648664499914,3978.519138811942,8144.778190187886
2022-03-31,6632.406209085568,4173.954704256969,9090.857713914167
2022-06-30,8728.448803126532,5982.592273723272,11474.305332529791
2022-09-30,8359.334900809758,5380.366645607124,11338.30315601239
2022-12-31,6839.628812519683,3627.1769745104402,10052.080650528926
2023-03-31,7004.031312348424,3457.399706342984,10550.662918353864
2023-06-30,9075.329841913262,5242.841559007489,12907.818124819036
2023-09-30,8701.545125874905,4624.785806691683,12778.304445058127
2023-12-31,7183.620733629054,2864.8286758495424,11502.412791408566
