,0
1980-03-31,0.5815031231110216
1980-06-30,0.4741852801171732
1980-09-30,0.6123282584478277
1980-12-31,0.7182812102720569
1981-03-31,0.5508021390374331
1981-06-30,0.5751246882793017
1981-09-30,0.387429785942007
1981-12-31,0.3940461511361635
1982-03-31,0.3034538368498857
1982-06-30,0.1808894979444375
1982-09-30,0.1950786056049214
1982-12-31,0.2801829766378043
1983-03-31,0.2419265801821695
1983-06-30,0.2819454679439941
1983-09-30,0.3254692612364388
1983-12-31,0.3218364550022841
1984-03-31,0.4148235691372616
1984-06-30,0.3722756410256409
1984-09-30,0.38166752977731744
1984-12-31,0.4832303618711386
1985-03-31,0.5516057015284218
1985-06-30,0.6544435548438751
1985-09-30,0.6353300526047854
1985-12-31,0.7200802317806998
1986-03-31,0.3852342026728948
1986-06-30,0.471941551375719
1986-09-30,0.5048543689320388
1986-12-31,0.5382429552450865
1987-03-31,0.5865400096602802
1987-06-30,0.6878991060025543
1987-09-30,0.5788732394366197
1987-12-31,0.5158440560783559
1988-03-31,0.4727744165946413
1988-06-30,0.6681528662420382
1988-09-30,0.6430426149381396
1988-12-31,0.6740599915504858
1989-03-31,0.6983483951386725
1989-06-30,0.5395205316876335
1989-09-30,0.6986459233650245
1989-12-31,0.9620948544222668
1990-03-31,0.5662474407721556
1990-06-30,0.3144904458598726
1990-09-30,0.4673671920607122
1990-12-31,0.4587381962501711
1991-03-31,0.481855509932305
1991-06-30,0.4936517533252721
1991-09-30,0.4500962954571202
1991-12-31,0.4756438101147999
1992-03-31,0.4775006901628784
1992-06-30,0.4985117520270964
1992-09-30,0.5119438965592812
1992-12-31,0.5963056755548934
1993-03-31,0.3593320235756385
1993-06-30,0.54123213595983
1993-09-30,0.5465441917777529
1993-12-31,0.5757264455532727
1994-03-31,0.4383985623003195
1994-06-30,0.5536348567369169
1994-09-30,0.5036453776611257
1994-12-31,0.5726246105919003
1995-03-31,0.3591747821629933
1995-06-30,0.4865453613531522
1995-09-30,0.5396521226415094
1995-12-31,0.5705368289637952
1996-03-31,0.4736382899164901
1996-06-30,0.61473052394648
1996-09-30,0.6546299071021876
1996-12-31,0.8977752205600307
1997-03-31,0.6576897689768977
1997-06-30,0.7610294117647058
1997-09-30,0.919261461430136
1997-12-31,1.009886094992478
1998-03-31,0.6571219868517166
1998-06-30,0.7578223495702006
1998-09-30,0.6220889202540578
1998-12-31,0.7218554551772064
1999-03-31,0.5599805730937348
1999-06-30,0.676929941990183
1999-09-30,0.7100066269052353
1999-12-31,0.7826904985888994
2000-03-31,0.5648333529619597
2000-06-30,0.604883696453005
2000-09-30,0.6171893703615035
2000-12-31,0.6910460251046026
2001-03-31,0.5347835451216886
2001-06-30,0.6811155212032588
2001-09-30,0.7487590683466973
2001-12-31,0.8631861675339936
2002-03-31,0.7334315169366715
2002-06-30,0.7304003336113428
2002-09-30,0.7224957069261592
2002-12-31,0.728040290327359
2003-03-31,0.5739166069050302
2003-06-30,0.6258013524194257
2003-09-30,0.6217440543601359
2003-12-31,0.6695432819968136
2004-03-31,0.5610786516853933
2004-06-30,0.6485467794622666
2004-09-30,0.6489683891728185
2004-12-31,0.7521560302507629
2005-03-31,0.6086490350250179
2005-06-30,0.7894693200663349
2005-09-30,0.8372331691297209
2005-12-31,1.0370695970695971
2006-03-31,0.8823818897637795
2006-06-30,0.842058056099152
2006-09-30,0.5384899800340162
2006-12-31,0.7351332877648667
2007-03-31,0.7666975881261595
2007-06-30,0.6036127948148593
2007-09-30,0.4695084642055884
2007-12-31,0.5350717606630281
2008-03-31,0.37232984139989467
2008-06-30,0.4118387909319899
2008-09-30,0.4562064965197216
2008-12-31,0.3841373856061462
2009-03-31,0.3572984749455338
2009-06-30,0.6433793663688059
2009-09-30,0.6653811659192825
2009-12-31,0.7156318574932232
2010-03-31,0.4336669425840921
2010-06-30,0.4052254423235462
2010-09-30,0.4278858970941081
2010-12-31,0.5756820384988228
2011-03-31,0.4484385165907612
2011-06-30,0.4951738152260687
2011-09-30,0.480972603880423
2011-12-31,0.6385921665297178
2012-03-31,0.5086657268430218
2012-06-30,0.6078719239373602
2012-09-30,0.6334929110661021
2012-12-31,0.8066506169124286
2013-03-31,0.5540352100400906
2013-06-30,0.6589709298233265
2013-09-30,0.7301065027275089
2013-12-31,0.8647450110864745
2014-03-31,0.6461672473867596
2014-06-30,0.6614192298377332
2014-09-30,0.6924529727279595
2014-12-31,0.7723558253560588
2015-03-31,0.41192301419018107
2015-06-30,0.6436654269209464
2015-09-30,0.5720918235749289
2015-12-31,0.556759359576261
2016-03-31,0.3807581166071733
2016-06-30,0.5735635744153632
2016-09-30,0.5673076923076923
2016-12-31,0.6896844488467525
2017-03-31,0.4905940135297934
2017-06-30,0.5378704720087816
2017-09-30,0.5068222916324182
2017-12-31,0.6400919892679188
2018-03-31,0.4048354844573714
2018-06-30,0.4239283429302623
2018-09-30,0.475103734439834
2018-12-31,0.5822327262616432
2019-03-31,0.3912542047092744
2019-06-30,0.5232593961799138
2019-09-30,0.5520196954499863
2019-12-31,0.6347116897982544
2020-03-31,0.4321290059195754
2020-06-30,0.4822908036454018
2020-09-30,0.6479697488070586
2020-12-31,0.8580654420206659
2021-03-31,0.6169284031826793
2021-06-30,0.6598049322663408
2021-09-30,0.6842177577612285
2021-12-31,0.7552378053933297
2022-03-31,0.545279115465149
2022-06-30,0.6157334483235366
2022-09-30,0.6164504904315818
2022-12-31,0.7164701212173981
2023-03-31,0.516508225370508
2023-06-30,0.5711028266398571
2023-09-30,0.5976978436587908
