,mean,mean_se,mean_ci_lower,mean_ci_upper
2021-03-31,462920.2194321782,1.033520056711051,459069.5596587132,466803.1784081911
2021-06-30,463218.2458392173,1.0568976726977501,456769.37856811367,469758.16100239
2021-09-30,469719.00024522713,1.073635160604393,461339.5267224391,478250.67311893124
2021-12-31,460023.27538373333,1.085803388152628,450528.5783799388,469718.0690640096
2022-03-31,460609.4902477213,1.1062149594892778,448979.2442389003,472541.0032392845
2022-06-30,463275.1469640172,1.1273712208158595,449415.44434396335,477562.2744959957
2022-09-30,470143.6575614802,1.146124882560444,454176.1671705002,486672.517675963
2022-12-31,460445.79851885384,1.1623617446292922,443225.23947666085,478335.4251756886
2023-03-31,461086.79579636955,1.1863302092288233,441553.0757346463,481484.6616208982
2023-06-30,464012.6210122333,1.2114901700599336,441998.6465155794,487123.0130589402
2023-09-30,471360.11392179446,1.2347175721695334,446842.4625964733,497223.0161505708
2023-12-31,461910.7762881468,1.255661033720264,436022.653819514,489335.9631250643
