,mean,mean_se,mean_ci_lower,mean_ci_upper
2021-03-31,468206.0047979509,1.0337853815684277,464281.18327313825,472164.00497517636
2021-06-30,470467.6141732338,1.0563305134583374,463980.9142151763,477045.00164678326
2021-09-30,479271.95621416246,1.0722803839740807,470872.6678394468,487821.0686284117
2021-12-31,468100.0548977989,1.084658190636792,458561.2346750995,477837.29811040824
2022-03-31,469289.3352900651,1.1058793269076221,457475.09467062366,481408.67728669633
2022-06-30,471872.8873219969,1.1273239274767224,457760.8330881699,486419.9942302849
2022-09-30,480563.0345849117,1.1460416684728423,464250.21060395835,497449.0585777453
2022-12-31,471542.07518643304,1.1625744256148445,453885.47939031536,489885.5300896679
2023-03-31,474080.35994058795,1.1871316241066008,453918.50686001236,495137.7489235322
2023-06-30,477714.33033526747,1.212498582750013,454954.4000938119,501612.86792833696
2023-09-30,485820.6042647822,1.2357258869484062,460455.55927657225,512582.92960783193
2023-12-31,477823.9021528646,1.2570199057806863,450920.337544474,506332.6323046401
