,KSKPA31RR
1992-01-01,-0.3
1993-01-01,1.2
1994-01-01,1.2
1995-01-01,2.0
1996-01-01,4.4
1997-01-01,4.4
1998-01-01,3.9
1999-01-01,3.5
2000-01-01,2.1
2001-01-01,3.8
2002-01-01,1.3
2003-01-01,1.5
2004-01-01,0.5
2005-01-01,0.6
2006-01-01,3.9
2007-01-01,15.0
2008-01-01,19.4
2009-01-01,8.9
2010-01-01,3.3
2011-01-01,2.5
2012-01-01,3.3
2013-01-01,4.5
2014-01-01,4.2
2015-01-01,1.1
2016-01-01,-0.9
2017-01-01,-1.1
2018-01-01,-93.0
2019-01-01,2.3
2020-01-01,2.1
2021-01-01,0.4
2022-01-01,3.8
2023-01-01,8.8
2024-01-01,7.8
