,KSKUA33UR
1992-01-01,1024.0
1993-01-01,1102.0
1994-01-01,1135.0
1995-01-01,1117.0
1996-01-01,1100.0
1997-01-01,1072.0
1998-01-01,1024.0
1999-01-01,975.0
2000-01-01,932.0
2001-01-01,937.0
2002-01-01,914.0
2003-01-01,892.0
2004-01-01,826.0
2005-01-01,799.0
2006-01-01,723.0
2007-01-01,617.0
2008-01-01,587.0
2009-01-01,610.0
2010-01-01,608.0
2011-01-01,533.0
2012-01-01,531.0
2013-01-01,530.0
2014-01-01,552.0
2015-01-01,573.0
2016-01-01,614.0
2017-01-01,636.0
2018-01-01,652.0
2019-01-01,663.0
2020-01-01,646.0
2021-01-01,702.0
2022-01-01,781.0
2023-01-01,890.0
2024-01-01,967.0
