,KSKVA32RR
1992-01-01,4.2
1993-01-01,2.1
1994-01-01,1.8
1995-01-01,0.7
1996-01-01,0.6
1997-01-01,0.8
1998-01-01,0.8
1999-01-01,1.1
2000-01-01,1.8
2001-01-01,3.3
2002-01-01,4.4
2003-01-01,5.4
2004-01-01,7.2
2005-01-01,5.3
2006-01-01,3.8
2007-01-01,0.6
2008-01-01,1.8
2009-01-01,2.2
2010-01-01,3.0
2011-01-01,3.4
2012-01-01,2.4
2013-01-01,3.0
2014-01-01,3.5
2015-01-01,6.6
2016-01-01,11.8
2017-01-01,9.9
2018-01-01,8.8
2019-01-01,5.9
2020-01-01,6.5
2021-01-01,5.0
2022-01-01,3.2
2023-01-01,1.5
2024-01-01,1.9
