,KSKUA32UR
1992-01-01,9210.0
1993-01-01,9268.0
1994-01-01,9185.0
1995-01-01,9082.0
1996-01-01,8945.0
1997-01-01,8755.0
1998-01-01,8544.0
1999-01-01,8153.0
2000-01-01,8086.0
2001-01-01,7971.0
2002-01-01,7863.0
2003-01-01,7880.0
2004-01-01,8033.0
2005-01-01,7845.0
2006-01-01,7611.0
2007-01-01,6915.0
2008-01-01,6660.0
2009-01-01,6573.0
2010-01-01,6491.0
2011-01-01,6396.0
2012-01-01,6756.0
2013-01-01,6767.0
2014-01-01,6912.0
2015-01-01,7094.0
2016-01-01,7193.0
2017-01-01,7420.0
2018-01-01,7675.0
2019-01-01,7738.0
2020-01-01,8096.0
2021-01-01,8434.0
2022-01-01,8883.0
2023-01-01,9420.0
2024-01-01,9744.0
