"","ref_yy","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time"
"1","2006","0140","T1Y","September 30, 2006","CALGARY",1,NA,NA,1,1,0,NA,0
"2","2006","0140","T2A","September 30, 2006","CALGARY",12,NA,NA,2,6,0,11,8.5
"3","2006","0140","T2B","September 30, 2006","CALGARY",16,NA,NA,4,4,0,16.25,5
"4","2006","0140","T2C","March 31, 2006","CALGARY",549,NA,NA,185,2.96756756756757,0,6.49726775956284,0.810810810810811
"5","2006","0140","T2E","September 30, 2006","CALGARY",359,NA,NA,71,5.05633802816901,0.126760563380282,10.8142857142857,0.915492957746479
"6","2006","0140","T2G","September 30, 2006","CALGARY",375,NA,NA,12,31.25,3.66666666666667,13.5,1.41666666666667
"7","2006","0140","T2H","December 31, 2006","CALGARY",64,NA,NA,9,7.11111111111111,0,12.4444444444444,0.666666666666667
"8","2006","0140","T2J","December 31, 2006","CALGARY",1,NA,NA,1,1,0,9,0
"9","2006","0140","T2K","December 31, 2006","CALGARY",7,NA,NA,6,1.16666666666667,0,9.66666666666667,0.333333333333333
"10","2006","0140","T2L","December 31, 2006","CALGARY",3,NA,NA,3,1,0,11.6666666666667,0.666666666666667
"11","2006","0140","T2M","June 30, 2006","CALGARY",59,NA,NA,40,1.475,0,9.05,0.4
"12","2006","0140","T2N","June 30, 2006","CALGARY",124,NA,NA,92,1.34782608695652,0,11.2608695652174,0.33695652173913
"13","2006","0140","T2P","June 30, 2006","CALGARY",124,NA,NA,1,124,0,20,8
"14","2006","0140","T2R","December 31, 2006","CALGARY",512,NA,NA,2,256,23.5,25.5,3
"15","2006","0140","T2S","June 30, 2006","CALGARY",16,NA,NA,16,1,0,14.75,0.5625
"16","2006","0140","T2T","June 30, 2006","CALGARY",204,NA,NA,108,1.88888888888889,0.12962962962963,11.1401869158879,0.638888888888889
"17","2006","0140","T2V","June 30, 2006","CALGARY",29,NA,NA,22,1.31818181818182,0,12.7272727272727,0.409090909090909
"18","2006","0140","T2W","June 30, 2006","CALGARY",18,NA,NA,3,6,0,11.3333333333333,11.3333333333333
"19","2006","0140","T2Y","June 30, 2006","CALGARY",91,NA,NA,75,1.21333333333333,0,8.29333333333333,1.61333333333333
"20","2006","0140","T3A","September 30, 2006","CALGARY",2,NA,NA,2,1,0,12.5,0
"21","2006","0140","T3B","December 31, 2006","CALGARY",16,NA,NA,11,1.45454545454545,0,12,2.63636363636364
"22","2006","0140","T3C","June 30, 2006","CALGARY",18,NA,NA,14,1.28571428571429,0,10.9285714285714,0.428571428571429
"23","2006","0140","T3E","June 30, 2006","CALGARY",460,NA,NA,94,4.8936170212766,0.0425531914893617,9.54255319148936,0.531914893617021
"24","2006","0140","T3H","September 30, 2006","CALGARY",1,NA,NA,1,1,0,19,0
