"","ref_yy","metcode","gcd_ct_centroid_fsa","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount"
"1","1988","0140",NA,"December 31, 1988","CALGARY",29,25,1.16,0
"2","1988","0140","nan","December 31, 1988","CALGARY",1652,1441,1.14642609299098,0
"3","1989","0140",NA,"December 31, 1989","CALGARY",162,29,5.58620689655172,0
"4","1989","0140","nan","December 31, 1989","CALGARY",2704,2221,1.21746960828456,0
"5","1990","0140",NA,"December 31, 1990","CALGARY",158,64,2.46875,0
"6","1990","0140","nan","December 31, 1990","CALGARY",2195,1250,1.756,0.0112
"7","1991","0140",NA,"December 31, 1991","CALGARY",168,70,2.4,0
"8","1991","0140","nan","December 31, 1991","CALGARY",1854,1369,1.35427319211103,0
"9","1992","0140",NA,"December 31, 1992","CALGARY",87,34,2.55882352941176,0
"10","1992","0140","nan","December 31, 1992","CALGARY",2367,1854,1.27669902912621,0
"11","1993","0140",NA,"December 31, 1993","CALGARY",57,25,2.28,0
"12","1993","0140","nan","December 31, 1993","CALGARY",2578,1942,1.32749742533471,0
"13","1994","0140",NA,"December 31, 1994","CALGARY",14,4,3.5,0
"14","1994","0140","nan","December 31, 1994","CALGARY",2824,1605,1.7595015576324,0
"15","1995","0140",NA,"December 31, 1995","CALGARY",2,2,1,0
"16","1995","0140","nan","December 31, 1995","CALGARY",2853,1729,1.65008675534991,0
"17","1996","0140",NA,"December 31, 1996","CALGARY",4,4,1,0
"18","1996","0140","nan","December 31, 1996","CALGARY",3177,2218,1.43237150586114,0
"19","1997","0140",NA,"December 31, 1997","CALGARY",3,3,1,0
"20","1997","0140","nan","December 31, 1997","CALGARY",5209,3403,1.53070819864825,0
"21","1998","0140",NA,"December 31, 1998","CALGARY",6,6,1,0
"22","1998","0140","T2E","December 31, 1998","CALGARY",1,1,1,0
"23","1998","0140","nan","December 31, 1998","CALGARY",5582,3168,1.76199494949495,0.0271464646464646
"24","1999","0140",NA,"December 31, 1999","CALGARY",21,15,1.4,0
"25","1999","0140","T2E","December 31, 1999","CALGARY",1,1,1,0
