"","ref_yy","metcode","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","ref_qq","population","comp_per_10kpop"
"22","1988","1400",5,4,"September 30, 1988",NA,14,NA,NA,1,14,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"646773.4430000001",0.216459104057555
"23","1988","1490",1,1,"September 30, 1988","REGINA",474,NA,NA,474,1,0,5.60144927536232,0.171610169491525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"195585.119",24.2349726003439
"24","1988","1490",4,3,"September 30, 1988","REGINA",30,NA,NA,1,30,0,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"195585.119",1.53385902533822
"25","1988","1700",2,2,"September 30, 1988","SASKATOON",12,NA,NA,6,2,0,5.16666666666667,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"216113.54",0.555263682229258
"26","1988","1700",4,2,"June 30, 1988","SASKATOON",20,NA,NA,5,4,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"216113.54",0.925439470382096
"27","1988","1700",4,3,"September 30, 1988","SASKATOON",65,NA,NA,15,4.33333333333333,0.0666666666666667,14.8,-1.06666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"216113.54",3.00767827874181
"28","1988","1700",5,3,"June 30, 1988","SASKATOON",177,NA,NA,5,35.4,3,8.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"216113.54",8.19013931288155
"29","1988","2270",1,1,"September 30, 1988","TORONTO",12457,NA,NA,12457,1,0,7.53859260521384,1.17058681865618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3917164.25",31.8010662943225
"30","1988","2270",2,2,"September 30, 1988","TORONTO",2,NA,NA,1,2,0,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3917164.25",0.0051057343331978
"31","1988","2270",4,3,"June 30, 1988","TORONTO",581,NA,NA,85,6.83529411764706,0,7.58823529411765,0.729411764705882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3917164.25",1.48321582379396
"32","1988","2270",5,2,"December 31, 1988","TORONTO",1998,NA,NA,38,52.5789473684211,1.5,11.6052631578947,1.18421052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3917164.25",5.1006285988646
"33","1988","2270",5,4,"December 31, 1988","TORONTO",24,NA,NA,1,24,3,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3917164.25",0.0612688119983736
"34","1988","2410",1,3,"September 30, 1988","VANCOUVER",74,NA,NA,74,1,0,6.17543859649123,0.878378378378378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"1562206",0.473689129346578
"35","1988","2410",4,2,"September 30, 1988","VANCOUVER",84,NA,NA,15,5.6,0,6.06666666666667,0.533333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"1562206",0.537701173852872
"36","1988","2410",5,3,"September 30, 1988","VANCOUVER",2039,NA,NA,83,24.566265060241,4.07228915662651,8.43589743589744,1.25301204819277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"1562206",13.0520558748334
"37","1988","2440",1,1,"September 30, 1988",NA,945,NA,NA,945,1,0,4.64788732394366,0.480891719745223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"283268.49199999997",33.3605758031147
"38","1988","2440",4,2,"September 30, 1988","VICTORIA",10,NA,NA,1,10,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"283268.49199999997",0.353021966170526
"39","1988","2440",4,4,"September 30, 1988",NA,56,NA,NA,7,8,2.57142857142857,4.28571428571429,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"283268.49199999997",1.97692301055495
"40","1988","2680",2,1,"September 30, 1988","WINNIPEG",42,NA,NA,21,2,0,4.5,0.380952380952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"665928.947",0.630697917386072
