"","ref_yy","CSDuid","dweltype","mkttycd","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","population","inventory_per_10kpop"
"45","1988","2420230",5,3,"December 31, 1988","1400",NA,NA,273,23,11.8695652173913,0,4,"646773.4430000001",4.22095252912232
"46","1988","2420260",5,3,"December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
"47","1988","2420270",1,1,"December 31, 1988","1400",NA,NA,0,1,0,0,4,"646773.4430000001",0
"48","1988","2420290",1,1,"December 31, 1988","1400",NA,NA,5,13,0.384615384615385,0,4,"646773.4430000001",0.0773068228776981
"49","1988","2420290",2,1,"December 31, 1988","1400",NA,NA,7,7,1,0,4,"646773.4430000001",0.108229552028777
"50","1988","2420290",4,1,"December 31, 1988","1400",NA,NA,7,5,1.4,0,4,"646773.4430000001",0.108229552028777
"51","1988","2420320",1,1,"December 31, 1988","1400",NA,NA,0,3,0,0,4,"646773.4430000001",0
"52","1988","2420320",2,1,"December 31, 1988","1400",NA,NA,11,10,1.1,0,4,"646773.4430000001",0.170075010330936
"53","1988","2420320",5,3,"December 31, 1988","1400",NA,NA,12,1,12,0,4,"646773.4430000001",0.185536374906476
"54","1988","2420350",1,1,"December 31, 1988","1400",NA,NA,13,21,0.619047619047619,0,4,"646773.4430000001",0.200997739482015
"55","1988","2420350",2,1,"December 31, 1988","1400",NA,NA,6,4,1.5,0,4,"646773.4430000001",0.0927681874532378
"56","1988","2420350",4,1,"December 31, 1988","1400",NA,NA,3,2,1.5,0,4,"646773.4430000001",0.0463840937266189
"57","1988","2420350",5,3,"December 31, 1988","1400",NA,NA,7,4,1.75,0,4,"646773.4430000001",0.108229552028777
"58","1988","2420400",1,1,"December 31, 1988","1400",NA,NA,7,12,0.583333333333333,0,4,"646773.4430000001",0.108229552028777
"59","1988","2420400",2,1,"December 31, 1988","1400",NA,NA,8,8,1,0,4,"646773.4430000001",0.123690916604317
"60","1988","2420400",4,1,"December 31, 1988","1400",NA,NA,4,4,1,0,4,"646773.4430000001",0.0618454583021585
"61","1988","2420400",4,3,"December 31, 1988","1400",NA,NA,4,1,4,0,4,"646773.4430000001",0.0618454583021585
"62","1988","2420400",5,3,"December 31, 1988","1400",NA,NA,176,20,8.8,0,4,"646773.4430000001",2.72120016529497
"63","1988","2420430",1,1,"December 31, 1988","1400",NA,NA,17,40,0.425,0,4,"646773.4430000001",0.262843197784174
"64","1988","2420430",2,1,"December 31, 1988","1400",NA,NA,7,5,1.4,0,4,"646773.4430000001",0.108229552028777
"65","1988","2420430",4,1,"December 31, 1988","1400",NA,NA,3,1,3,0,4,"646773.4430000001",0.0463840937266189
"66","1988","2420430",4,3,"December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
"67","1988","2420430",5,3,"December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
"68","1988","2420470",1,1,"December 31, 1988","1400",NA,NA,0,4,0,0,4,"646773.4430000001",0
"69","1988","2420490",1,1,"December 31, 1988","1400",NA,NA,0,1,0,0,4,"646773.4430000001",0
"70","1988","2420530",1,1,"December 31, 1988","1400",NA,NA,0,3,0,0,4,"646773.4430000001",0
"71","1988","2420560",1,1,"December 31, 1988","1400",NA,NA,2,5,0.4,0,4,"646773.4430000001",0.0309227291510793
"72","1988","2420560",4,3,"December 31, 1988","1400",NA,NA,2,2,1,0,4,"646773.4430000001",0.0309227291510793
"73","1988","2421170",1,1,"December 31, 1988","1400",NA,NA,1,3,0.333333333333333,0,4,"646773.4430000001",0.0154613645755396
"74","1988","2421170",2,1,"December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
"75","1988","2421220",1,1,"December 31, 1988","1400",NA,NA,8,13,0.615384615384615,0,4,"646773.4430000001",0.123690916604317
"76","1988","2421220",5,3,"December 31, 1988","1400",NA,NA,2,1,2,0,4,"646773.4430000001",0.0309227291510793
"77","1988","2421260",1,1,"December 31, 1988","1400",NA,NA,4,5,0.8,0,4,"646773.4430000001",0.0618454583021585
"78","1988","2421260",2,1,"December 31, 1988","1400",NA,NA,6,3,2,0,4,"646773.4430000001",0.0927681874532378
"79","1988","2421260",5,3,"December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
"80","1988","2421300",1,1,"December 31, 1988","1400",NA,NA,22,29,0.758620689655172,0,4,"646773.4430000001",0.340150020661872
"81","1988","2421300",2,1,"December 31, 1988","1400",NA,NA,1,1,1,0,4,"646773.4430000001",0.0154613645755396
