"","ref_yy","metcode","gcd_ct_centroid_fsa","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount"
"1","2006","0140","T2C","December 31, 2006","CALGARY",0,32,0,0
"2","2006","0140","T2E","December 31, 2006","CALGARY",9,4,2.25,0.75
"3","2006","0140","T2G","December 31, 2006","CALGARY",0,1,0,0
"4","2006","0140","T2H","December 31, 2006","CALGARY",0,1,0,0
"5","2006","0140","T2L","December 31, 2006","CALGARY",0,1,0,0
"6","2006","0140","T2M","December 31, 2006","CALGARY",1,2,0.5,0
"7","2006","0140","T2N","December 31, 2006","CALGARY",1,14,0.0714285714285714,0
"8","2006","0140","T2S","December 31, 2006","CALGARY",0,5,0,0
"9","2006","0140","T2T","December 31, 2006","CALGARY",1,9,0.111111111111111,0
"10","2006","0140","T2V","December 31, 2006","CALGARY",1,2,0.5,0
"11","2006","0140","T2Y","December 31, 2006","CALGARY",3,6,0.5,0
"12","2006","0140","T3B","December 31, 2006","CALGARY",0,1,0,0
"13","2006","0140","T3E","December 31, 2006","CALGARY",2,4,0.5,0
"14","2006","0140","nan","December 31, 2006","CALGARY",525,1054,0.498102466793169,0
"15","2006","0340","T0C","December 31, 2006","EDMONTON",0,1,0,0
"16","2006","0340","T5A","December 31, 2006","EDMONTON",2,2,1,0
"17","2006","0340","T5B","December 31, 2006","EDMONTON",0,1,0,0
"18","2006","0340","T5E","December 31, 2006","EDMONTON",2,6,0.333333333333333,0
"19","2006","0340","T5H","December 31, 2006","EDMONTON",9,3,3,0
"20","2006","0340","T5K","December 31, 2006","EDMONTON",3,1,3,12
"21","2006","0340","T5M","December 31, 2006","EDMONTON",2,1,2,0
"22","2006","0340","T5N","December 31, 2006","EDMONTON",1,2,0.5,0
"23","2006","0340","T5P","December 31, 2006","EDMONTON",1,1,1,0
"24","2006","0340","T5Y","December 31, 2006","EDMONTON",3,3,1,0
"25","2006","0340","T6C","December 31, 2006","EDMONTON",14,4,3.5,1
"26","2006","0340","T6E","December 31, 2006","EDMONTON",0,3,0,0
"27","2006","0340","T6M","December 31, 2006","EDMONTON",2,3,0.666666666666667,0
"28","2006","0340","T6R","December 31, 2006","EDMONTON",2,9,0.222222222222222,0
"29","2006","0340","T7Z","December 31, 2006","EDMONTON",1,1,1,0
"30","2006","0340","T8A","December 31, 2006","EDMONTON",3,3,1,0
"31","2006","0340","T8B","December 31, 2006","EDMONTON",2,4,0.5,0
"32","2006","0340","T8E","December 31, 2006","EDMONTON",0,4,0,0
"33","2006","0340","T8G","December 31, 2006","EDMONTON",0,1,0,0
"34","2006","0340","T8N","December 31, 2006","EDMONTON",3,6,0.5,0
"35","2006","0340","T8R","December 31, 2006","EDMONTON",3,12,0.25,0
"36","2006","0340","T8T","December 31, 2006","EDMONTON",0,5,0,0
"37","2006","0340","T9E","December 31, 2006","EDMONTON",5,17,0.294117647058824,0
"38","2006","0340","nan","December 31, 2006","EDMONTON",651,1088,0.598345588235294,0.0248161764705882
"39","2006","0580","B0J","December 31, 2006","HALIFAX",2,11,0.181818181818182,0
"40","2006","0580","B2R","December 31, 2006","HALIFAX",4,14,0.285714285714286,0
"41","2006","0580","B2T","December 31, 2006","HALIFAX",0,4,0,0
"42","2006","0580","B2W","December 31, 2006","HALIFAX",0,4,0,0
"43","2006","0580","B2X","December 31, 2006","HALIFAX",1,21,0.0476190476190476,0
"44","2006","0580","B2Z","December 31, 2006","HALIFAX",0,29,0,0
"45","2006","0580","B3G","December 31, 2006","HALIFAX",1,7,0.142857142857143,0
"46","2006","0580","B3L","December 31, 2006","HALIFAX",3,3,1,0
"47","2006","0580","B3M","December 31, 2006","HALIFAX",104,8,13,0
"48","2006","0580","B3N","December 31, 2006","HALIFAX",2,5,0.4,0
"49","2006","0580","B3P","December 31, 2006","HALIFAX",4,5,0.8,0
"50","2006","0580","B3R","December 31, 2006","HALIFAX",1,4,0.25,0
"51","2006","0580","B3V","December 31, 2006","HALIFAX",1,7,0.142857142857143,0
"52","2006","0580","B3Z","December 31, 2006","HALIFAX",2,3,0.666666666666667,0
"53","2006","0580","B4A","December 31, 2006","HALIFAX",32,13,2.46153846153846,0
"54","2006","0580","B4C","December 31, 2006","HALIFAX",0,1,0,0
"55","2006","0580","B4E","December 31, 2006","HALIFAX",1,8,0.125,0
"56","2006","0580","nan","December 31, 2006","HALIFAX",28,48,0.583333333333333,0
"57","2006","0610","L0R","December 31, 2006","HAMILTON",0,5,0,0
"58","2006","0610","L3M","December 31, 2006","HAMILTON",9,18,0.5,0
"59","2006","0610","L7L","December 31, 2006","HAMILTON",2,2,1,0
"60","2006","0610","L7R","December 31, 2006","HAMILTON",5,1,5,0
"61","2006","0610","L8E","December 31, 2006","HAMILTON",30,35,0.857142857142857,0
"62","2006","0610","L8G","December 31, 2006","HAMILTON",1,5,0.2,0
"63","2006","0610","L8H","December 31, 2006","HAMILTON",0,2,0,0
"64","2006","0610","L8J","December 31, 2006","HAMILTON",3,3,1,0
"65","2006","0610","L8L","December 31, 2006","HAMILTON",0,1,0,0
"66","2006","0610","L8T","December 31, 2006","HAMILTON",0,3,0,0
"67","2006","0610","L9A","December 31, 2006","HAMILTON",0,4,0,0
"68","2006","0610","L9B","December 31, 2006","HAMILTON",1,1,1,0
"69","2006","0610","L9C","December 31, 2006","HAMILTON",1,14,0.0714285714285714,0
"70","2006","0610","L9G","December 31, 2006","HAMILTON",0,8,0,0
"71","2006","0610","L9H","December 31, 2006","HAMILTON",1,3,0.333333333333333,0
"72","2006","0610","N1R","December 31, 2006","HAMILTON",0,2,0,0
"73","2006","0610","nan","December 31, 2006","HAMILTON",58,110,0.527272727272727,0
"74","2006","1060","H1A","December 31, 2006","MONTRÉAL",11,3,3.66666666666667,2
"75","2006","1060","H1B","December 31, 2006","MONTRÉAL",4,3,1.33333333333333,3
"76","2006","1060","H1C","December 31, 2006","MONTRÉAL",14,10,1.4,0
"77","2006","1060","H1E","December 31, 2006","MONTRÉAL",7,5,1.4,0
"78","2006","1060","H1H","December 31, 2006","MONTRÉAL",2,2,1,0
"79","2006","1060","H1J","December 31, 2006","MONTRÉAL",0,1,0,0
"80","2006","1060","H1L","December 31, 2006","MONTRÉAL",28,6,4.66666666666667,0.833333333333333
"81","2006","1060","H1N","December 31, 2006","MONTRÉAL",46,6,7.66666666666667,0.666666666666667
"82","2006","1060","H1P","December 31, 2006","MONTRÉAL",2,2,1,0
"83","2006","1060","H1R","December 31, 2006","MONTRÉAL",5,5,1,0.4
"84","2006","1060","H1T","December 31, 2006","MONTRÉAL",1,1,1,3
"85","2006","1060","H1V","December 31, 2006","MONTRÉAL",16,4,4,2.25
"86","2006","1060","H1W","December 31, 2006","MONTRÉAL",40,7,5.71428571428571,2.14285714285714
"87","2006","1060","H1X","December 31, 2006","MONTRÉAL",19,7,2.71428571428571,0.857142857142857
"88","2006","1060","H1Z","December 31, 2006","MONTRÉAL",2,2,1,0
"89","2006","1060","H2B","December 31, 2006","MONTRÉAL",5,3,1.66666666666667,0.666666666666667
"90","2006","1060","H2K","December 31, 2006","MONTRÉAL",31,4,7.75,3
"91","2006","1060","H2L","December 31, 2006","MONTRÉAL",29,6,4.83333333333333,1.5
"92","2006","1060","H2M","December 31, 2006","MONTRÉAL",80,1,80,0
"93","2006","1060","H2P","December 31, 2006","MONTRÉAL",2,1,2,0
"94","2006","1060","H2R","December 31, 2006","MONTRÉAL",11,4,2.75,0
"95","2006","1060","H2S","December 31, 2006","MONTRÉAL",80,5,16,1.8
"96","2006","1060","H2T","December 31, 2006","MONTRÉAL",9,1,9,0
"97","2006","1060","H2V","December 31, 2006","MONTRÉAL",54,4,13.5,2
"98","2006","1060","H2W","December 31, 2006","MONTRÉAL",3,1,3,3
"99","2006","1060","H2X","December 31, 2006","MONTRÉAL",25,7,3.57142857142857,2
"100","2006","1060","H3B","December 31, 2006","MONTRÉAL",8,1,8,9
"101","2006","1060","H3E","December 31, 2006","MONTRÉAL",4,3,1.33333333333333,1
"102","2006","1060","H3G","December 31, 2006","MONTRÉAL",19,1,19,22
