"reference_period_qq","CSDuid","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","X_c0","ref_yy","ref_qq","met_name","population","stcan_cmacode","inventory_per_10kpop"
"1988-2","1209001","June 30, 1988","0580",NA,NA,7,13,0.538461538461538,0,359,1988,2,"Halifax",323830.609,205,0.216162394951368
"1988-2","1209008","June 30, 1988","0580","HALIFAX","EAST HANTS MD",38,25,1.52,0,359,1988,2,"Halifax",323830.609,205,1.17345300116457
"1988-2","1209012","June 30, 1988","0580",NA,NA,47,64,0.734375,0,359,1988,2,"Halifax",323830.609,205,1.45137608038776
"1988-2","1209018","June 30, 1988","0580",NA,NA,66,67,0.985074626865672,0,359,1988,2,"Halifax",323830.609,205,2.03810258097004
"1988-2","1209021","June 30, 1988","0580",NA,NA,278,56,4.96428571428571,0,359,1988,2,"Halifax",323830.609,205,8.5847351137829
"1988-2","1209022","June 30, 1988","0580",NA,NA,112,74,1.51351351351351,0,359,1988,2,"Halifax",323830.609,205,3.45859831922189
"1988-2","1209024","June 30, 1988","0580",NA,NA,99,55,1.8,0,359,1988,2,"Halifax",323830.609,205,3.05715387145506
"1988-2","1209026","June 30, 1988","0580",NA,NA,8,27,0.296296296296296,0,359,1988,2,"Halifax",323830.609,205,0.247042737087278
"1988-2","2415780","June 30, 1988","1400",NA,NA,0,2,0,0,1577,1988,2,"Quebec",641710.984,421,0
"1988-2","2416300","June 30, 1988","1400",NA,NA,0,2,0,0,1577,1988,2,"Quebec",641710.984,421,0
"1988-2","2416500","June 30, 1988","1400",NA,NA,0,1,0,0,1577,1988,2,"Quebec",641710.984,421,0
"1988-2","2416700","June 30, 1988","1400",NA,NA,1,2,0.5,0,1577,1988,2,"Quebec",641710.984,421,0.0155833393059078
"1988-2","2417320","June 30, 1988","1400",NA,NA,0,1,0,0,1577,1988,2,"Quebec",641710.984,421,0
"1988-2","2417360","June 30, 1988","1400",NA,NA,0,1,0,0,1577,1988,2,"Quebec",641710.984,421,0
"1988-2","2417400","June 30, 1988","1400",NA,NA,0,2,0,0,1577,1988,2,"Quebec",641710.984,421,0
"1988-2","2420110","June 30, 1988","1400",NA,NA,37,98,0.377551020408163,0,1577,1988,2,"Quebec",641710.984,421,0.57658355431859
"1988-2","2420140","June 30, 1988","1400",NA,NA,151,60,2.51666666666667,0,1577,1988,2,"Quebec",641710.984,421,2.35308423519208
"1988-2","2420150","June 30, 1988","1400",NA,NA,3,21,0.142857142857143,0,1577,1988,2,"Quebec",641710.984,421,0.0467500179177235
"1988-2","2420170","June 30, 1988","1400",NA,NA,7,19,0.368421052631579,0,1577,1988,2,"Quebec",641710.984,421,0.109083375141355
"1988-2","2420200","June 30, 1988","1400",NA,NA,3,8,0.375,0,1577,1988,2,"Quebec",641710.984,421,0.0467500179177235
"1988-2","2420230","June 30, 1988","1400",NA,NA,230,68,3.38235294117647,0,1577,1988,2,"Quebec",641710.984,421,3.5841680403588
"1988-2","2420260","June 30, 1988","1400",NA,NA,1,1,1,0,1577,1988,2,"Quebec",641710.984,421,0.0155833393059078
"1988-2","2420290","June 30, 1988","1400",NA,NA,23,35,0.657142857142857,0,1577,1988,2,"Quebec",641710.984,421,0.35841680403588
