"ref_yy","CSDuid","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","X_c0","ref_qq","met_name","population","stcan_cmacode","inventory_per_10kpop"
"1988","2452550","December 31, 1988","1060",NA,NA,2,8,0.25,0,709,4,"Montreal",3351700.63,462,0.00596712004078956
"1988","2452700","December 31, 1988","1060",NA,NA,11,26,0.423076923076923,0,709,4,"Montreal",3351700.63,462,0.0328191602243426
"1988","2452780","December 31, 1988","1060",NA,NA,19,49,0.387755102040816,0,709,4,"Montreal",3351700.63,462,0.0566876403875008
"1988","2456120","December 31, 1988","1060",NA,NA,40,58,0.689655172413793,0,709,4,"Montreal",3351700.63,462,0.119342400815791
"1988","2456200","December 31, 1988","1060",NA,NA,5,7,0.714285714285714,0,709,4,"Montreal",3351700.63,462,0.0149178001019739
"1988","2456280","December 31, 1988","1060",NA,NA,14,38,0.368421052631579,0,709,4,"Montreal",3351700.63,462,0.0417698402855269
"1988","2456310","December 31, 1988","1060",NA,NA,41,30,1.36666666666667,0.566666666666667,709,4,"Montreal",3351700.63,462,0.122325960836186
"1988","2456400","December 31, 1988","1060",NA,NA,134,97,1.38144329896907,0.185567010309278,709,4,"Montreal",3351700.63,462,0.399797042732901
"1988","2456450","December 31, 1988","1060",NA,NA,7,2,3.5,1.5,709,4,"Montreal",3351700.63,462,0.0208849201427635
"1988","2456580","December 31, 1988","1060",NA,NA,139,12,11.5833333333333,3.16666666666667,709,4,"Montreal",3351700.63,462,0.414714842834875
"1988","2456650","December 31, 1988","1060",NA,NA,211,148,1.42567567567568,0.297297297297297,709,4,"Montreal",3351700.63,462,0.629531164303299
"1988","2456750","December 31, 1988","1060",NA,NA,51,99,0.515151515151515,0.0404040404040404,709,4,"Montreal",3351700.63,462,0.152161561040134
"1988","2457110","December 31, 1988","1060",NA,NA,2,3,0.666666666666667,0,709,4,"Montreal",3351700.63,462,0.00596712004078956
"1988","2457150","December 31, 1988","1060",NA,NA,10,30,0.333333333333333,0,709,4,"Montreal",3351700.63,462,0.0298356002039478
"1988","2457200","December 31, 1988","1060",NA,NA,0,3,0,0,709,4,"Montreal",3351700.63,462,0
"1988","2457280","December 31, 1988","1060",NA,NA,33,104,0.317307692307692,0,709,4,"Montreal",3351700.63,462,0.0984574806730278
"1988","2457320","December 31, 1988","1060",NA,NA,38,45,0.844444444444444,0.0444444444444444,709,4,"Montreal",3351700.63,462,0.113375280775002
"1988","2457400","December 31, 1988","1060",NA,NA,2,9,0.222222222222222,0,709,4,"Montreal",3351700.63,462,0.00596712004078956
"1988","2462110","December 31, 1988","1060",NA,NA,1,3,0.333333333333333,0,709,4,"Montreal",3351700.63,462,0.00298356002039478
"1988","2462200","December 31, 1988","1060",NA,NA,53,55,0.963636363636364,0.218181818181818,709,4,"Montreal",3351700.63,462,0.158128681080923
"1988","2462240","December 31, 1988","1060",NA,NA,16,42,0.380952380952381,0.0952380952380952,709,4,"Montreal",3351700.63,462,0.0477369603263165
"1988","2462260","December 31, 1988","1060",NA,NA,0,1,0,0,709,4,"Montreal",3351700.63,462,0
"1988","2462280","December 31, 1988","1060",NA,NA,39,54,0.722222222222222,0,709,4,"Montreal",3351700.63,462,0.116358840795396
"1988","2462310","December 31, 1988","1060",NA,NA,51,73,0.698630136986301,0,709,4,"Montreal",3351700.63,462,0.152161561040134
"1988","2462510","December 31, 1988","1060",NA,NA,18,52,0.346153846153846,0,709,4,"Montreal",3351700.63,462,0.0537040803671061
"1988","2463110","December 31, 1988","1060",NA,NA,34,50,0.68,0,709,4,"Montreal",3351700.63,462,0.101441040693423
"1988","2463130","December 31, 1988","1060",NA,NA,41,57,0.719298245614035,0,709,4,"Montreal",3351700.63,462,0.122325960836186
"1988","2463150","December 31, 1988","1060",NA,NA,63,56,1.125,0.0357142857142857,709,4,"Montreal",3351700.63,462,0.187964281284871
"1988","2463170","December 31, 1988","1060",NA,NA,16,19,0.842105263157895,0,709,4,"Montreal",3351700.63,462,0.0477369603263165
"1988","2463190","December 31, 1988","1060",NA,NA,77,98,0.785714285714286,0,709,4,"Montreal",3351700.63,462,0.229734121570398
"1988","2463200","December 31, 1988","1060",NA,NA,7,11,0.636363636363636,0,709,4,"Montreal",3351700.63,462,0.0208849201427635
