"ref_yy","metcode","censustr","date_pbi","metro","stcan_cmacode","inventory","num_structures","unitsperstructure","avgstorycount","full_ct"
"2006","1060","0857.06","December 31, 2006","MONTRÉAL","462",21,6,3.5,3,"4620857.06"
"2006","1060","0857.07","December 31, 2006","MONTRÉAL","462",2,1,2,3,"4620857.07"
"2006","1060","0857.08","December 31, 2006","MONTRÉAL","462",0,1,0,0,"4620857.08"
"2006","1060","0857.09","December 31, 2006","MONTRÉAL","462",2,5,0.4,0,"4620857.09"
"2006","1060","0857.10","December 31, 2006","MONTRÉAL","462",1,3,0.333333333333333,0,"4620857.10"
"2006","1060","0858.03","December 31, 2006","MONTRÉAL","462",0,2,0,0,"4620858.03"
"2006","1060","0861.00","December 31, 2006","MONTRÉAL","462",10,2,5,3,"4620861.00"
"2006","1060","0864.00","December 31, 2006","MONTRÉAL","462",2,1,2,0,"4620864.00"
"2006","1060","0876.04","December 31, 2006","MONTRÉAL","462",6,4,1.5,1.5,"4620876.04"
"2006","1060","0876.05","December 31, 2006","MONTRÉAL","462",7,3,2.33333333333333,2,"4620876.05"
"2006","1060","0877.01","December 31, 2006","MONTRÉAL","462",64,11,5.81818181818182,0.909090909090909,"4620877.01"
"2006","1060","0878.00","December 31, 2006","MONTRÉAL","462",2,1,2,0,"4620878.00"
"2006","1060","0881.01","December 31, 2006","MONTRÉAL","462",0,1,0,0,"4620881.01"
"2006","1060","0884.02","December 31, 2006","MONTRÉAL","462",11,1,11,6,"4620884.02"
"2006","1060","0887.03","December 31, 2006","MONTRÉAL","462",0,1,0,0,"4620887.03"
"2006","1060","0888.00","December 31, 2006","MONTRÉAL","462",26,22,1.18181818181818,0.727272727272727,"4620888.00"
"2006","1060","0901.01","December 31, 2006","MONTRÉAL","462",7,4,1.75,1.5,"4620901.01"
"2006","1060","0901.03","December 31, 2006","MONTRÉAL","462",16,20,0.8,0.2,"4620901.03"
"2006","1060","0902.00","December 31, 2006","MONTRÉAL","462",3,7,0.428571428571429,0.285714285714286,"4620902.00"
"2006","1060","0903.01","December 31, 2006","MONTRÉAL","462",0,1,0,0,"4620903.01"
