"ref_yy","metcode","censustr","dweltype","mkttycd","date_pbi","metro","stcan_cmacode","inventory","num_structures","unitsperstructure","avgstorycount","full_ct"
"2006","0140","%07.2f62.0",2,1,"December 31, 2006","CALGARY","825",2,2,1,0,"825%07.2f62.0"
"2006","0140","%07.2f63.0",1,1,"December 31, 2006","CALGARY","825",0,1,0,0,"825%07.2f63.0"
"2006","0140","%07.2f63.0",2,1,"December 31, 2006","CALGARY","825",1,1,1,0,"825%07.2f63.0"
"2006","0140","%07.2f64.0",2,1,"December 31, 2006","CALGARY","825",1,1,1,0,"825%07.2f64.0"
"2006","0140","%07.2f70.0",1,1,"December 31, 2006","CALGARY","825",0,1,0,0,"825%07.2f70.0"
"2006","0140","%07.2f72.0",2,1,"December 31, 2006","CALGARY","825",2,2,1,0,"825%07.2f72.0"
"2006","0140","%07.2f76.1",1,1,"December 31, 2006","CALGARY","825",37,83,0.44578313253012,0,"825%07.2f76.1"
"2006","0140","%07.2f76.1",2,1,"December 31, 2006","CALGARY","825",5,3,1.66666666666667,0,"825%07.2f76.1"
"2006","0140","%07.2f76.11",1,1,"December 31, 2006","CALGARY","825",21,59,0.355932203389831,0,"825%07.2f76.11"
"2006","0140","%07.2f76.11",2,1,"December 31, 2006","CALGARY","825",9,9,1,0,"825%07.2f76.11"
"2006","0140","%07.2f76.13",1,1,"December 31, 2006","CALGARY","825",2,2,1,0,"825%07.2f76.13"
"2006","0140","%07.2f77.1",1,1,"December 31, 2006","CALGARY","825",21,33,0.636363636363636,0,"825%07.2f77.1"
"2006","0140","%07.2f77.1",2,1,"December 31, 2006","CALGARY","825",1,1,1,0,"825%07.2f77.1"
"2006","0140","%07.2f77.1",2,3,"December 31, 2006","CALGARY","825",1,1,1,0,"825%07.2f77.1"
"2006","0140","%07.2f77.1",4,3,"December 31, 2006","CALGARY","825",1,1,1,0,"825%07.2f77.1"
"2006","0140","%07.2f77.14999999999999",1,1,"December 31, 2006","CALGARY","825",5,44,0.113636363636364,0,"825%07.2f77.14999999999999"
"2006","0140","%07.2f200.01",1,1,"December 31, 2006","CALGARY","825",3,8,0.375,0,"825%07.2f200.01"
"2006","0140","%07.2f200.01",2,3,"December 31, 2006","CALGARY","825",1,1,1,0,"825%07.2f200.01"
"2006","0140","%07.2f201.0",1,1,"December 31, 2006","CALGARY","825",3,9,0.333333333333333,0,"825%07.2f201.0"
"2006","0140","%07.2f202.0",1,1,"December 31, 2006","CALGARY","825",1,8,0.125,0,"825%07.2f202.0"
"2006","0140","%07.2f202.0",2,1,"December 31, 2006","CALGARY","825",1,2,0.5,0,"825%07.2f202.0"
"2006","0140","%07.2f203.0",1,1,"December 31, 2006","CALGARY","825",0,1,0,0,"825%07.2f203.0"
"2006","0140","%07.2f204.0",1,1,"December 31, 2006","CALGARY","825",20,73,0.273972602739726,0,"825%07.2f204.0"
"2006","0140","%07.2f205.0",1,1,"December 31, 2006","CALGARY","825",12,21,0.571428571428571,0,"825%07.2f205.0"
"2006","0140","%07.2f205.0",1,3,"December 31, 2006","CALGARY","825",0,1,0,0,"825%07.2f205.0"
"2006","0140","%07.2f205.0",2,3,"December 31, 2006","CALGARY","825",0,3,0,0,"825%07.2f205.0"
"2006","0140","%07.2f206.01",1,1,"December 31, 2006","CALGARY","825",23,55,0.418181818181818,0,"825%07.2f206.01"
