"ref_yy","metcode","gcd_ct_centroid_fsa","dweltype","mkttycd","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price"
"2006","2270","L5M",1,1,"June 30, 2006","TORONTO",26,NA,NA,26,1,0,1.15384615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M4W",1,1,"September 30, 2006","TORONTO",8,NA,NA,8,1,0,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V6W",1,1,"September 30, 2006","VANCOUVER",6,NA,NA,6,1,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0140","T3C",4,3,"March 31, 2006","CALGARY",3,NA,NA,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T9G",1,1,"March 31, 2006","EDMONTON",24,NA,NA,24,1,0,0.958333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0580","B0J",1,1,"December 31, 2006","HALIFAX",80,NA,NA,80,1,0,0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H1J",1,1,"June 30, 2006","MONTRÉAL",2,NA,NA,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H3R",1,1,"December 31, 2006","MONTRÉAL",4,NA,NA,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","K1N",5,3,"December 31, 2006","OTTAWA",359,NA,NA,3,119.666666666667,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G6Z",4,1,"September 30, 2006","QUÉBEC",11,NA,NA,3,3.66666666666667,2,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M4R",1,1,"December 31, 2006","TORONTO",2,NA,NA,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V3H",1,1,"September 30, 2006","VANCOUVER",93,NA,NA,93,1,0,0.774193548387097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5V",1,1,"September 30, 2006","VANCOUVER",16,NA,NA,16,1,0,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V6M",4,3,"September 30, 2006","VANCOUVER",32,NA,NA,6,5.33333333333333,2.66666666666667,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V6Y",1,1,"September 30, 2006","VANCOUVER",11,NA,NA,11,1,0,0.909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V7L",5,2,"September 30, 2006","VANCOUVER",27,NA,NA,1,27,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2440","V9B",2,1,"December 31, 2006","VICTORIA",2,NA,NA,1,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H9K",1,1,"September 30, 2006","MONTRÉAL",34,NA,NA,34,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J5T",5,1,"December 31, 2006","MONTRÉAL",14,NA,NA,7,2,0.428571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G6Z",1,1,"September 30, 2006","QUÉBEC",22,NA,NA,22,1,0,0.136363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V4E",1,1,"September 30, 2006","VANCOUVER",2,NA,NA,2,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V6R",1,1,"March 31, 2006","VANCOUVER",21,NA,NA,21,1,0,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V7V",2,1,"June 30, 2006","VANCOUVER",2,NA,NA,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0610","L8J",1,1,"December 31, 2006","HAMILTON",29,NA,NA,29,1,0,0.517241379310345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H1N",5,2,"December 31, 2006","MONTRÉAL",30,NA,NA,1,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J5Z",5,1,"June 30, 2006","MONTRÉAL",10,NA,NA,5,2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","nan",1,1,"June 30, 2006","TORONTO",10571,NA,NA,10571,1,0,1.14227333206615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2440","V8T",5,3,"December 31, 2006","VICTORIA",50,NA,NA,2,25,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2680","R4L",1,1,"June 30, 2006","WINNIPEG",6,NA,NA,6,1,0,1.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T6G",2,1,"September 30, 2006","EDMONTON",6,NA,NA,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0580","B2W",1,1,"June 30, 2006","HALIFAX",53,NA,NA,53,1,0,0.0188679245283019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J3N",1,1,"September 30, 2006","MONTRÉAL",61,NA,NA,61,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J4L",1,1,"June 30, 2006","MONTRÉAL",1,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L0E",1,1,"September 30, 2006","TORONTO",27,NA,NA,27,1,0,2.55555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0140","T2C",5,3,"March 31, 2006","CALGARY",194,NA,NA,3,64.6666666666667,0,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T5E",2,1,"June 30, 2006","EDMONTON",4,NA,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T6C",2,1,"September 30, 2006","EDMONTON",4,NA,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0580","B3K",5,2,"September 30, 2006","HALIFAX",221,NA,NA,3,73.6666666666667,0,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H1V",5,3,"September 30, 2006","MONTRÉAL",68,NA,NA,9,7.55555555555556,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1700","S7T",1,1,"June 30, 2006","SASKATOON",185,NA,NA,185,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M4Y",5,3,"December 31, 2006","TORONTO",445,NA,NA,2,222.5,23,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V3V",1,1,"June 30, 2006","VANCOUVER",116,NA,NA,116,1,0,0.594827586206897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5E",2,1,"March 31, 2006","VANCOUVER",8,NA,NA,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5T",1,1,"March 31, 2006","VANCOUVER",1,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2440","V9B",2,3,"December 31, 2006","VICTORIA",2,NA,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T5L",2,1,"December 31, 2006","EDMONTON",8,NA,NA,4,2,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H9R",4,3,"June 30, 2006","MONTRÉAL",14,NA,NA,3,4.66666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J3X",5,2,"September 30, 2006","MONTRÉAL",3,NA,NA,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","K1Y",1,1,"December 31, 2006","OTTAWA",9,NA,NA,9,1,0,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M5S",4,1,"December 31, 2006","TORONTO",1,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5J",4,0,"September 30, 2006","VANCOUVER",12,NA,NA,1,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V7R",1,1,"June 30, 2006","VANCOUVER",29,NA,NA,29,1,0,0.275862068965517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0580","B2R",1,1,"September 30, 2006","HALIFAX",67,NA,NA,67,1,0,0.0597014925373134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H7P",5,3,"March 31, 2006","MONTRÉAL",11,NA,NA,1,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","nan",4,1,"September 30, 2006","MONTRÉAL",51,NA,NA,11,4.63636363636364,0.545454545454545,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","K1Z",2,1,"December 31, 2006","OTTAWA",10,NA,NA,5,2,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","K2H",1,1,"March 31, 2006","OTTAWA",7,NA,NA,7,1,0,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G1E",5,4,"September 30, 2006","QUÉBEC",24,NA,NA,1,24,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L3R",1,1,"December 31, 2006","TORONTO",13,NA,NA,13,1,0,2.38461538461538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M5R",5,3,"December 31, 2006","TORONTO",249,NA,NA,3,83,13.6666666666667,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5X",1,1,"September 30, 2006","VANCOUVER",69,NA,NA,69,1,0,0.289855072463768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H7T",5,1,"December 31, 2006","MONTRÉAL",2,NA,NA,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1700","S7J",1,3,"December 31, 2006","SASKATOON",12,NA,NA,12,1,0,0.0833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M5R",4,1,"December 31, 2006","TORONTO",6,NA,NA,1,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0610","nan",2,1,"June 30, 2006","HAMILTON",118,NA,NA,59,2,0,0.53448275862069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J5B",4,1,"September 30, 2006","MONTRÉAL",3,NA,NA,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1700","nan",1,1,"June 30, 2006","SASKATOON",580,NA,NA,580,1,0,0.0362068965517241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L5L",4,3,"December 31, 2006","TORONTO",19,NA,NA,5,3.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V3K",5,1,"June 30, 2006","VANCOUVER",22,NA,NA,11,2,2,1.27272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5R",5,3,"March 31, 2006","VANCOUVER",10,NA,NA,1,10,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V7V",5,3,"June 30, 2006","VANCOUVER",9,NA,NA,1,9,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","nan",5,1,"June 30, 2006","VANCOUVER",86,NA,NA,43,2,2,0.906976744186046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2440","V9E",5,3,"December 31, 2006","VICTORIA",21,NA,NA,1,21,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T8N",2,1,"December 31, 2006","EDMONTON",6,NA,NA,3,2,0,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0610","L7L",1,1,"June 30, 2006","HAMILTON",31,NA,NA,31,1,0,0.0434782608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G1E",5,2,"June 30, 2006","QUÉBEC",42,NA,NA,7,6,0.571428571428571,1.85714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G1W",5,3,"March 31, 2006","QUÉBEC",73,NA,NA,1,73,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G3G",1,1,"June 30, 2006","QUÉBEC",58,NA,NA,58,1,0,0.241379310344828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1490","S4V",4,3,"June 30, 2006","REGINA",35,NA,NA,9,3.88888888888889,0,3.44444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M1P",4,3,"March 31, 2006","TORONTO",66,NA,NA,10,6.6,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","nan",2,3,"September 30, 2006","TORONTO",66,NA,NA,33,2,0,1.03030303030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J6R",5,2,"March 31, 2006","MONTRÉAL",6,NA,NA,1,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L1V",2,1,"September 30, 2006","TORONTO",6,NA,NA,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M5R",2,1,"December 31, 2006","TORONTO",4,NA,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V4C",1,1,"September 30, 2006","VANCOUVER",32,NA,NA,32,1,0,0.09375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V4L",5,3,"March 31, 2006","VANCOUVER",48,NA,NA,1,48,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","nan",5,3,"June 30, 2006","EDMONTON",2108,NA,NA,36,58.5555555555556,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J6W",1,1,"March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J7P",1,1,"June 30, 2006","MONTRÉAL",2,NA,NA,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","K1M",4,1,"December 31, 2006","OTTAWA",6,NA,NA,1,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G1G",5,2,"June 30, 2006","QUÉBEC",33,NA,NA,2,16.5,3.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1700","S7N",1,1,"June 30, 2006","SASKATOON",17,NA,NA,17,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M5M",5,3,"September 30, 2006","TORONTO",22,NA,NA,1,22,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5S",1,1,"March 31, 2006","VANCOUVER",44,NA,NA,44,1,0,0.659090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T5C",4,3,"December 31, 2006","EDMONTON",4,NA,NA,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0580","B3L",2,1,"September 30, 2006","HALIFAX",2,NA,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H1R",4,1,"March 31, 2006","MONTRÉAL",25,NA,NA,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H9C",5,3,"June 30, 2006","MONTRÉAL",6,NA,NA,1,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H9J",5,3,"September 30, 2006","MONTRÉAL",15,NA,NA,3,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J4K",1,1,"December 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","K2A",1,1,"June 30, 2006","OTTAWA",3,NA,NA,3,1,0,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M4C",5,2,"March 31, 2006","TORONTO",25,NA,NA,1,25,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M6E",1,1,"September 30, 2006","TORONTO",8,NA,NA,8,1,0,1.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V3V",4,3,"September 30, 2006","VANCOUVER",14,NA,NA,1,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H2T",5,3,"June 30, 2006","MONTRÉAL",39,NA,NA,1,39,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","K1W",1,1,"June 30, 2006","OTTAWA",6,NA,NA,6,1,0,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G2E",5,1,"June 30, 2006","QUÉBEC",2,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1700","S7K",5,2,"September 30, 2006","SASKATOON",20,NA,NA,1,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L1Y",1,1,"June 30, 2006","TORONTO",1,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V6C",4,3,"June 30, 2006","VANCOUVER",14,NA,NA,3,4.66666666666667,2.66666666666667,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T5A",5,3,"December 31, 2006","EDMONTON",216,NA,NA,2,108,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","K1R",5,3,"June 30, 2006","OTTAWA",70,NA,NA,2,35,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","K2M",1,1,"March 31, 2006","OTTAWA",24,NA,NA,24,1,0,0.541666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G1S",1,1,"March 31, 2006","QUÉBEC",1,NA,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5J",4,3,"June 30, 2006","VANCOUVER",24,NA,NA,2,12,1.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2680","R2N",2,1,"September 30, 2006","WINNIPEG",4,NA,NA,2,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
