"","ref_yy","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","ref_qq","population","starts_per_10kpop"
"38","2000","0610","September 30, 2000","HAMILTON",3108,NA,NA,2113,1.47089446284903,0.00662565073355419,0.391134924500731,4,"687808.674",45.1869846584691
"39","2000","1265","September 30, 2000",NA,5786,NA,NA,3974,1.45596376446905,0,0.296930045294414,4,"833841.656138415",69.389673176025
"40","2001","0140","September 30, 2001","CALGARY",11349,NA,NA,8140,1.39422604422604,0.00135135135135135,0.311670761670762,4,"1004815.47",112.94611138899
"41","2001","0610","September 30, 2001","HAMILTON",3365,NA,NA,2057,1.63587749149246,0,0.381679389312977,4,"696023.087",48.3460974621378
"42","2001","1265","September 30, 2001","OTTAWA",6251,NA,NA,4049,1.54383798468758,0.00148184736972092,0.425537169671524,4,"854593",73.1459302849427
"43","2002","0140","September 30, 2002","CALGARY",14339,NA,NA,10076,1.42308455736403,0.000297737197300516,0.373957919809448,4,"1026949.07",139.627177421759
"44","2002","0610","September 30, 2002","HAMILTON",3803,NA,NA,2528,1.50435126582278,0,0.475993377483444,4,"703103.699",54.0887497165621
"45","2002","1265","September 30, 2002","OTTAWA",7796,NA,NA,4403,1.77061094708154,0.00340676811265047,0.507154213036566,4,"867412",89.8765523188519
"46","2003","0140","September 30, 2003","CALGARY",13642,NA,NA,9239,1.47656672800087,0,0.434029656889274,4,"1049550.64",129.979435770722
"47","2003","0610","September 30, 2003","HAMILTON",3260,NA,NA,2024,1.61067193675889,0.00691699604743083,1.24828676858197,4,"709382.018",45.9554924889568
"48","2003","1265","September 30, 2003","OTTAWA",6381,NA,NA,3695,1.72692828146143,0,0.499594046008119,4,"877683",72.702786769255
"49","2004","0140","June 30, 2004","CALGARY",14008,NA,NA,8941,1.56671513253551,0,0.386086567498043,4,"1083762.24",129.253442157202
"50","2004","0610","June 30, 2004","HAMILTON",4093,NA,NA,2299,1.78033927794693,0,0.74589800443459,4,"714418.297",57.2913658173007
"51","2004","1265","June 30, 2004","OTTAWA",7243,NA,NA,3901,1.85670340938221,0.00307613432453217,0.493206870033325,4,"884435",81.8940905776004
"52","2005","0140","June 30, 2005","CALGARY",13667,NA,NA,9482,1.44136258173381,0,0.456232862265345,4,"1120692.72",121.951358798869
"53","2005","0610","June 30, 2005","HAMILTON",3145,NA,NA,1775,1.77183098591549,0.00901408450704225,0.956195965417867,4,"719003.332",43.7411046657013
"54","2005","1265","June 30, 2005","OTTAWA",4982,NA,NA,2816,1.76917613636364,0.0184659090909091,0.676846590909091,4,"891423",55.8881698138819
"55","2006","0140","June 30, 2006","CALGARY",17046,NA,NA,11308,1.50742836929607,0.00433321542270959,0.925362575168023,4,"1151604.22",148.019603471061
"56","2006","0610","June 30, 2006","HAMILTON",3043,NA,NA,1984,1.53377016129032,0,0.454736842105263,4,"720910",42.2105394570751
"57","2006","1265","June 30, 2006","OTTAWA",5875,NA,NA,3063,1.91805419523343,0.00620306888671237,0.820763956904995,4,"896678",65.5196179676539
"58","2007","0140","December 31, 2007","CALGARY",13505,NA,NA,8567,1.57639780553286,0.00105054278043656,0.800848456280933,4,"1183363.8800000001",114.123814561587
"59","2007","0610","December 31, 2007","HAMILTON",3004,NA,NA,1981,1.51640585562847,0.00100959111559818,0.701674277016743,4,"725091.375",41.4292612431088
"60","2007","1265","December 31, 2007","OTTAWA",6506,NA,NA,3586,1.81427774679308,0.0075292805354155,0.729503625209147,4,"907573",71.6856936026083
"61","2008","0140","June 30, 2008","CALGARY",11438,NA,NA,4908,2.33048084759576,0.0497147514262429,0.783137583892617,4,"1217803.5299999998",93.9231962975177
"62","2008","0610","June 30, 2008","HAMILTON",3529,NA,NA,1957,1.80327031170158,0.00255493101686254,0.965110312981016,4,"729596.125",48.3692261934642
"63","2008","1265","June 30, 2008","OTTAWA",6998,NA,NA,3538,1.97795364612776,0.00113058224985868,1.01045788581119,4,"921850",75.9125671204643
"64","2009","0140","December 31, 2009","CALGARY",6318,NA,NA,5239,1.20595533498759,0.000763504485588853,0.846094354215004,4,"1237706.53",51.0460262336985
"65","2009","0610","December 31, 2009","HAMILTON",1860,NA,NA,1045,1.7799043062201,0,1.9588122605364,4,"736194.875",25.265049556342
"66","2009","1265","December 31, 2009","OTTAWA",5814,NA,NA,3055,1.90310965630115,0.000654664484451719,1.30540098199673,4,"936513",62.0813592550237
"67","2010","0140","December 31, 2010","CALGARY",9262,NA,NA,6496,1.42580049261084,0.00785098522167488,0.629773362309842,4,"1259794.84",73.5199074160361
"68","2010","0610","December 31, 2010","HAMILTON",3562,NA,NA,2046,1.74095796676442,0.0141739980449658,1.25383473527956,4,"741260.781",48.0532639969792
"69","2010","1265","December 31, 2010","OTTAWA",6446,NA,NA,2935,2.19625212947189,0.01396933560477,0.976831345826235,4,"952773",67.6551497576023
"70","2011","0140","December 31, 2011","CALGARY",9292,NA,NA,5801,1.6017927943458,0.00430960179279435,0.526259569165035,4,"1294993.91",71.7532331870194
"71","2011","0610","December 31, 2011","HAMILTON",2462,NA,NA,1510,1.63046357615894,0.0125827814569536,1.10073382254837,4,"747051.8130000001",32.9562147786395
"72","2011","1265","December 31, 2011","OTTAWA",5794,NA,NA,2755,2.10308529945554,0.0196007259528131,0.996007259528131,4,"966571",59.9438634099306
"73","2012","0140","December 31, 2012","CALGARY",12841,NA,NA,6897,1.86182398144121,0.0223285486443381,0.418927064496685,4,"1339347.8800000001",95.8750164296374
"74","2012","0610","December 31, 2012","HAMILTON",2969,NA,NA,1601,1.85446595877577,0.0018738288569644,0.992471769134254,4,"751881.0630000001",39.4876283777345
"75","2012","1265","December 31, 2012","OTTAWA",6026,NA,NA,2074,2.90549662487946,0.107521697203472,0.858727097396336,4,"978709",61.570906163119
"76","2013","0140","December 31, 2013","CALGARY",12584,NA,NA,7492,1.679658302189,0.0213561131873999,0.421052631578947,4,"1382962.75",90.9930509697387
"77","2013","0610","December 31, 2013","HAMILTON",2709,NA,NA,1345,2.01412639405204,0.0267657992565056,1.29626865671642,4,"756380.1560000001",35.8153235315708
"78","2013","1265","December 31, 2013","OTTAWA",6560,NA,NA,2384,2.75167785234899,0.114093959731544,1.36073825503356,4,"988064",66.392460407423
"79","2014","0140","December 31, 2014","CALGARY",17131,NA,NA,7795,2.1976908274535,0.0414368184733804,0.506281237336215,4,"1410896.5",121.419253644757
"80","2014","0610","December 31, 2014","HAMILTON",2832,NA,NA,1391,2.03594536304817,0.0158159597411934,0.596237337192475,4,"760420.875",37.2425336166633
"81","2014","1265","December 31, 2014","OTTAWA",5762,NA,NA,2320,2.48362068965517,0.132327586206897,1.11206896551724,4,"997494",57.7647584847628
"82","2015","0140","December 31, 2015","CALGARY",13033,NA,NA,5154,2.52871556072953,0.0869227784245246,0.653319919517103,4,"1435513.8099999998",90.7897918446358
"83","2015","0610","December 31, 2015","HAMILTON",2054,NA,NA,1223,1.67947669664759,0.0392477514309076,1.13595413595414,4,"767935.969",26.7470216647711
"84","2015","1265","December 31, 2015","OTTAWA",4972,NA,NA,2418,2.05624483043838,0.112076095947064,2.34960695076541,4,"1006491",49.3993488267655
"85","2016","0140","June 30, 2016","CALGARY",9245,NA,NA,4238,2.18145351580934,0.0924964605946201,0.94682108248641,4,"1455343.75",63.5245109617573
"86","2016","0610","June 30, 2016","HAMILTON",3269,NA,NA,1060,3.08396226415094,0.0858490566037736,1.20888468809074,4,"776587.125",42.0944398221899
"87","2016","1265","June 30, 2016","OTTAWA",5298,5297,1,2502,2.11750599520384,0.0911270983213429,1.59176329468213,4,"1023678",51.7545556317514
"88","2017","0140","December 31, 2017","CALGARY",11534,NA,NA,5438,2.12100036778227,0.0689591761677087,1.03054839896945,4,"1479844.0599999998",77.9406446379222
"89","2017","0610","December 31, 2017","HAMILTON",2893,NA,NA,909,3.18261826182618,0.12981298129813,1.95016611295681,4,"784019.313",36.8996012219408
"90","2017","1265","December 31, 2017","OTTAWA",7457,7456,1,2886,2.58385308385308,0.133056133056133,1.68554551772064,4,"1047446.9999999999",71.1921462374707
"91","2018","0140","December 31, 2018","CALGARY",10971,10927,44,4844,2.2648637489678,0.0780346820809249,0.966080661840745,4,"1510785.75",72.6178414113318
"92","2018","0610","December 31, 2018","HAMILTON",3616,NA,NA,886,4.08126410835214,0.159142212189616,1.67697594501718,4,"794049.625",45.5387155431249
"93","2018","1265","December 31, 2018","OTTAWA",7539,7535,4,3404,2.2147473560517,0.106051703877791,1.79847238542891,4,"1069895",70.4648587010875
"94","2019","0140","December 31, 2019","CALGARY",11909,11796,113,4677,2.5462903570665,0.116741500962155,1.09178433889602,4,"1540598.9400000002",77.3011047248935
"95","2019","0610","December 31, 2019","HAMILTON",3204,NA,NA,925,3.46378378378378,0.127567567567568,1.29945945945946,4,"805717.813",39.7657833586956
"96","2019","1265","June 30, 2019","OTTAWA",7782,7773,9,3363,2.31400535236396,0.0841510556051145,1.14128494943486,4,"1092267",71.2463161479748
"97","2020","0140","December 31, 2020","CALGARY",9235,9138,97,4514,2.04585733274258,0.0928223305272486,1.44793974302171,4,"1558572.8099999998",59.2529264000185
"98","2020","0610","June 30, 2020","HAMILTON",3431,NA,NA,719,4.77190542420028,0.196105702364395,1.90947075208914,4,"811303.25",42.289982198395
"99","2020","1265","December 31, 2020","OTTAWA",9950,NA,NA,3714,2.67905223478729,0.125471190091546,1.48343657419876,4,"1113242",89.3785897405955
"100","2021","0140","December 31, 2021","CALGARY",15017,14964,53,6766,2.21947975169967,0.0944428022465267,1.23458980044346,4,"1588913.3099999998",94.511134783055
"101","2021","0610","December 31, 2021","HAMILTON",4187,NA,NA,985,4.2507614213198,0.207106598984772,2.76703967446592,4,"818995.875",51.1235786138728
"102","2021","1265","December 31, 2021","OTTAWA",10221,10195,26,4082,2.50391964723175,0.118324350808427,1.45928659286593,4,"1122589",91.0484603002524
"103","2022","0140","December 31, 2022","CALGARY",17306,16964,342,7705,2.2460739779364,0.158857884490591,1.56651524983777,4,"1636715.8",105.736133298157
"104","2022","0610","December 31, 2022","HAMILTON",3530,NA,NA,1068,3.30524344569288,0.0926966292134832,2.55337078651685,4,"830395.7810000001",42.5098498904825
"105","2022","1265","December 31, 2022","OTTAWA",11032,11024,8,3268,3.37576499388005,0.186658506731946,1.47535428219347,4,"1143407",96.4835793378911
"106","2023","0140","June 30, 2023","CALGARY",8106,7868,238,3466,2.33871898442008,0.101557991921523,1.92561505065123,4,"1668861",48.5720500389188
"107","2023","0610","June 30, 2023","HAMILTON",1291,NA,NA,195,6.62051282051282,0.276923076923077,3.67692307692308,4,"841220.8",15.3467436848922
"108","2023","1265","June 30, 2023","OTTAWA",3574,NA,NA,861,4.15098722415796,0.212543554006969,2.84014002333722,4,"1173528.4983057599",30.455161550485
"109","1988","0580","December 31, 1988",NA,1692,NA,NA,1076,1.5724907063197,0,0.137546468401487,4,"326937.956",51.752938713546
"110","1988","1060","December 31, 1988",NA,15564,NA,NA,7721,2.0158010620386,0.016707680352286,0.363080525562638,4,"3351700.63",46.4361281574244
"111","1988","1490","December 31, 1988","REGINA",659,NA,NA,382,1.72513089005236,0.0130890052356021,0.0951008645533141,4,"195585.119",33.6937699232629
"112","1989","0580","September 30, 1989",NA,2694,NA,NA,1331,2.02404207362885,0,0.361382419233659,4,"332122.421",81.1146682566185
"113","1989","1060","September 30, 1989",NA,21654,NA,NA,12268,1.76507988262145,0.0258395826540593,0.684232160473528,4,"3384308.91",63.983520936923
"114","1989","1490","June 30, 1989","REGINA",597,NA,NA,448,1.33258928571429,0.00669642857142857,0.149367088607595,4,"195307.253",30.5672211773927
"115","1990","0580","June 30, 1990",NA,2647,NA,NA,1267,2.08918705603788,0,0.106635071090047,4,"336873.735",78.5754342053411
"116","1990","1060","June 30, 1990",NA,21101,NA,NA,12050,1.75112033195021,0.0406639004149378,1.59065979724115,4,"3408409.74",61.9086366065836
"117","1990","1490","June 30, 1990","REGINA",471,NA,NA,336,1.40178571428571,0,0.39622641509434,4,"195899.253",24.0429706998423
"118","1991","0580","June 30, 1991",NA,2938,NA,NA,907,3.23925027563396,0,0.0661521499448732,4,"339543.428",86.5279595398324
"119","1991","1060","June 30, 1991",NA,17882,NA,NA,10684,1.67371770872332,0.0483901160614002,0.522542916430862,4,"3423256.37",52.2368121672406
"120","1991","1490","June 30, 1991","REGINA",189,NA,NA,168,1.125,0.0297619047619048,0.46969696969697,4,"196775.47699999998",9.60485538551128
"121","1992","0580","September 30, 1992",NA,2420,NA,NA,1426,1.69705469845722,0,0.0757363253856942,4,"342512.01900000003",70.6544549025008
"122","1992","1060","June 30, 1992",NA,14520,NA,NA,8337,1.74163368118028,0.100035984166967,0.492270237370663,4,"3445360.1399999997",42.1436349466793
"123","1992","1490","September 30, 1992","REGINA",666,NA,NA,556,1.19784172661871,0,0.279279279279279,4,"198087.61000000002",33.6214869774036
"124","1993","0580","September 30, 1993",NA,2127,NA,NA,1442,1.4750346740638,0,0.138792505204719,4,"345205.223",61.6155219644519
"125","1993","1060","June 30, 1993",NA,13729,NA,NA,7875,1.74336507936508,0.0698412698412698,0.371593291404612,4,"3466155.56",39.6087243124195
"126","1993","1490","June 30, 1993","REGINA",563,NA,NA,441,1.27664399092971,0,0.13905325443787,4,"198659.02",28.3400169798482
"127","1994","0580","June 30, 1994",NA,2460,NA,NA,1609,1.5288999378496,0.00248601615910503,0.116842759477937,4,"347835.397",70.7231069987969
"128","1994","1060","June 30, 1994","MONTRÉAL",13157,NA,NA,7893,1.6669200557456,0.0941340428227543,0.325457613916656,4,"3484017.36",37.7638761248882
"129","1994","1490","September 30, 1994","REGINA",462,NA,NA,413,1.11864406779661,0,0.242424242424242,4,"199410.542",23.1682836507209
"130","1995","0580","September 30, 1995",NA,2080,NA,NA,1333,1.56039009752438,0,0.136192626034612,4,"351381.39999999997",59.1949374668096
"131","1995","1060","June 30, 1995",NA,7468,NA,NA,4696,1.59028960817717,0.0577086882453152,0.395318595578674,4,"3499470.29",21.3403726310818
"132","1995","1490","March 31, 1995","REGINA",371,NA,NA,331,1.12084592145015,0,0.271604938271605,4,"200658.281",18.4891447365683
"133","1996","0580","June 30, 1996",NA,2022,NA,NA,1707,1.18453427065026,0,0.210433763188746,4,"355184.127",56.9282196554915
"134","1996","1060","September 30, 1996","MONTRÉAL",7556,NA,NA,4774,1.58273984080436,0.0255550900712191,0.393115942028986,4,"3516176.5300000003",21.4892509961666
"135","1996","1490","September 30, 1996","REGINA",434,NA,NA,374,1.16042780748663,0,0.199335548172757,4,"199991.75",21.7008951619254
"136","1997","0580","September 30, 1997",NA,2065,NA,NA,1509,1.36845593108019,0,0.270486342438374,4,"358718.75",57.5659900688213
"137","1997","1060","September 30, 1997","MONTRÉAL",10508,NA,NA,6533,1.60844941068422,0.016684524720649,0.329884357881923,4,"3532106.29",29.7499540989181
"138","1997","1490","September 30, 1997","REGINA",516,NA,NA,379,1.36147757255937,0,0.156583629893238,4,"199684.114",25.8408137564714
"139","1998","0580","June 30, 1998",NA,1739,NA,NA,1209,1.4383788254756,0.00496277915632754,0.646367521367521,4,"362651.652",47.9523529097284
"140","1998","1060","June 30, 1998","MONTRÉAL",10293,NA,NA,6749,1.52511483182694,0.0157060305230405,0.595226130653266,4,"3558502.1700000004",28.9250912554593
"141","1998","1490","June 30, 1998","REGINA",537,NA,NA,478,1.1234309623431,0,0.613138686131387,4,"199958.691",26.8555468789301
"142","1999","0580","March 31, 1999","HALIFAX",2356,NA,NA,1746,1.34936998854525,0,0.633607075173721,4,"365659.113",64.4315953367201
"143","1999","1060","March 31, 1999","MONTRÉAL",12366,NA,NA,7542,1.63961813842482,0.0125961283479183,0.578181818181818,4,"3592721.83",34.4195865561905
"144","1999","1490","March 31, 1999","REGINA",573,NA,NA,420,1.36428571428571,0,0.0596658711217184,4,"199378.229",28.7393464609418
"145","2000","0580","September 30, 2000","HALIFAX",2661,NA,NA,1452,1.83264462809917,0.0068870523415978,0.556034482758621,4,"368750.313",72.1626506117705
"146","2000","1060","September 30, 2000","MONTRÉAL",12766,NA,NA,7718,1.65405545478103,0.000388701736201088,1.56106870229008,4,"3627104.42",35.1961193331181
"147","2000","1490","December 31, 2000","REGINA",615,NA,NA,489,1.25766871165644,0.00408997955010225,0.0899795501022495,4,"198013.721",31.058453772504
"148","2001","0580","September 30, 2001","HALIFAX",2340,NA,NA,1366,1.71303074670571,0,0.704493526275704,4,"373983.162",62.5696618929598
