"ref_yy","CSDuid","date_pbi","metcode","metro","municipality","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","reference_period_qq","ref_qq","population","starts_per_10kpop"
"1988","2462510","June 30, 1988","1060",NA,NA,269,NA,NA,248,1.08467741935484,0,0.225806451612903,"1988-4","4",3351700.63,0.802577645486196
"1988","2417320","June 30, 1988","1400",NA,NA,6,NA,NA,5,1.2,0,0.2,"1988-4","4",646773.443,0.0927681874532378
"1988","2469540","December 31, 1988","1060",NA,NA,17,NA,NA,10,1.7,0,0.8,"1988-4","4",3351700.63,0.0507205203467113
"1988","2417360","December 31, 1988","1400",NA,NA,12,NA,NA,12,1,0,0.166666666666667,"1988-4","4",646773.443,0.185536374906476
"1988","2473380","September 30, 1988","1060",NA,NA,7,NA,NA,7,1,0,0,"1988-4","4",3351700.63,0.0208849201427635
"1988","2421170","June 30, 1988","1400",NA,NA,16,NA,NA,16,1,0,0.125,"1988-4","4",646773.443,0.247381833208634
"1988","2421380","June 30, 1988","1400",NA,NA,2,NA,NA,2,1,0,0,"1988-4","4",646773.443,0.0309227291510793
"1988","2421700","December 31, 1988","1400",NA,NA,31,NA,NA,28,1.10714285714286,0,0.25,"1988-4","4",646773.443,0.479302301841728
"1988","2462280","September 30, 1988","1060",NA,NA,285,NA,NA,191,1.49214659685864,0,0.209424083769634,"1988-4","4",3351700.63,0.850314605812513
"1988","3521005","June 30, 1988","2270","TORONTO","AJAX T",4260,NA,NA,2227,1.91288729232151,0.042658284687921,0.124831612034127,"1988-4","4",3917164.25,10.8752141297113
"1988","2465600","December 31, 1988","1060",NA,NA,66,NA,NA,57,1.15789473684211,0,0.894736842105263,"1988-4","4",3351700.63,0.196914961346056
"1988","2420400","June 30, 1988","1400",NA,NA,398,NA,NA,88,4.52272727272727,0,0.125,"1988-4","4",646773.443,6.15362310106477
"1988","2464500","June 30, 1988","1060",NA,NA,1574,NA,NA,816,1.92892156862745,0,0.107843137254902,"1988-4","4",3351700.63,4.69612347210139
"1988","3503021","December 31, 1988","1265",NA,NA,134,NA,NA,99,1.35353535353535,0.0303030303030303,0.323232323232323,"1988-4","4",683074.4453,1.96171882760375
