"","ref_yy","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","population","underconstr_per_10kpop"
"46","1999","0610","December 31, 1999","HAMILTON",2461,869,2.83199079401611,0.0046029919447641,4,"674016.069",36.5124826126363
"47","1999","1060","December 31, 1999","MONTRÉAL",4462,1799,2.48026681489717,0.0650361311839911,4,"3592721.83",12.4195532276987
"48","1999","1265","December 31, 1999",NA,1504,1058,1.42155009451796,0,4,"815337.624011852",18.4463460989277
"49","2000","0140","December 31, 2000","CALGARY",6888,2689,2.5615470435106,0.0520639642989959,4,"974556.104",70.6783321322258
"50","2000","0610","December 31, 2000","HAMILTON",1535,813,1.88806888068881,0.017220172201722,4,"687808.674",22.3172527190316
"51","2000","1060","December 31, 2000","MONTRÉAL",5801,2280,2.54429824561404,0.0043859649122807,4,"3627104.42",15.9934739347813
"52","2000","1265","December 31, 2000",NA,2843,1734,1.63956170703576,0,4,"833841.656138415",34.0952023573175
"53","2001","0140","December 31, 2001","CALGARY",7164,3437,2.08437590922316,0.0165842304335176,4,"1004815.47",71.2966730100204
"54","2001","0610","December 31, 2001","HAMILTON",1626,795,2.04528301886792,0.0050314465408805,4,"696023.087",23.3612940485694
"55","2001","1060","December 31, 2001","MONTRÉAL",5612,2473,2.26930853214719,0.00121310149615851,4,"3666625.51",15.3056263441532
"56","2001","1265","December 31, 2001","OTTAWA",2598,1493,1.74012056262559,0.00401875418620228,4,"854593",30.400436231048
"57","2002","0140","December 31, 2002","CALGARY",8661,4474,1.9358515869468,0.000670540902995083,4,"1026949.07",84.3371911325651
"58","2002","0610","December 31, 2002","HAMILTON",1825,1055,1.72985781990521,0,4,"703103.699",25.9563418965884
"59","2002","1060","December 31, 2002","MONTRÉAL",10066,4074,2.47079037800687,0.193176239567992,4,"3697581.32",27.2232011384134
"60","2002","1265","December 31, 2002","OTTAWA",4046,1877,2.1555673947789,0,4,"867412",46.6445011136576
"61","2003","0140","December 31, 2003","CALGARY",8165,4035,2.02354399008674,0,4,"1049550.64",77.7951981430834
"62","2003","0610","December 31, 2003","HAMILTON",1747,885,1.97401129943503,0.015819209039548,4,"709382.018",24.6270691344195
"63","2003","1060","December 31, 2003","MONTRÉAL",14092,4630,3.04362850971922,0.0140388768898488,4,"3726893.8899999997",37.8116480262871
"64","2003","1265","December 31, 2003","OTTAWA",4607,1801,2.55802332037757,0,4,"877683",52.4904777693085
"65","2004","0140","December 31, 2004","CALGARY",9182,3984,2.30471887550201,0,4,"1083762.24",84.7233799177207
"66","2004","0610","December 31, 2004","HAMILTON",2601,1097,2.37101185050137,0.0127620783956244,4,"714418.297",36.4072422406057
