"ref_yy","metcode","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","reference_period_qq","ref_qq","population","comp_per_10kpop"
"1990","0340","March 31, 1990","EDMONTON",5977,NA,NA,5126,1.16601638704643,0.00721810378462739,4.79529103989536,"1990-4","4",855178.476,69.8918432554189
"1990","2440","March 31, 1990","VICTORIA",2660,NA,NA,1440,1.84722222222222,0.106944444444444,4.88766114180479,"1990-4","4",295354.935,90.061132718165
"1990","0610","March 31, 1990",NA,3242,NA,NA,2069,1.56694055099082,0,6.67980636237898,"1990-4","4",619584.027,52.3254289768836
"1990","1060","December 31, 1990",NA,23756,NA,NA,13390,1.77415982076176,0.0831217326362957,6.04471705579739,"1990-4","4",3408409.74,69.6981930347377
"1991","1700","March 31, 1991","SASKATOON",318,NA,NA,244,1.30327868852459,0.0163934426229508,5.06875,"1991-4","4",219336.144,14.4982944534668
"1991","1265","March 31, 1991",NA,4179,NA,NA,2146,1.94734389561976,0.00559179869524697,5.30255402750491,"1991-4","4",730484.4725,57.2086082226751
"1991","2440","June 30, 1991",NA,2512,NA,NA,1337,1.87883320867614,0.115183246073298,6.75635593220339,"1991-4","4",300363.649,83.6319577406652
"1991","1060","June 30, 1991",NA,17329,NA,NA,9760,1.77551229508197,0.133709016393443,5.59077331563226,"1991-4","4",3423256.37,50.6213912339846
"1991","1490","June 30, 1991","REGINA",293,NA,NA,182,1.60989010989011,0.0714285714285714,6.84756097560976,"1991-4","4",196775.477,14.8900668145757
"1991","0140","June 30, 1991","CALGARY",5065,NA,NA,4204,1.20480494766889,0.00404376784015224,4.76671277086215,"1991-4","4",779040.068,65.0159113510449
"1991","2410","March 31, 1991","VANCOUVER",14630,NA,NA,7022,2.08345200797494,0.137710054115637,6.01851222826087,"1991-4","4",1683577.65,86.8982787933779
"1991","2270","December 31, 1991","TORONTO",26007,NA,NA,10381,2.50524997591754,0.0960408438493401,8.18543118466899,"1991-4","4",4088768.17,63.6059539663262
"1991","0580","December 31, 1991",NA,2645,NA,NA,991,2.66902119071645,0.0151362260343088,5.1471048513302,"1991-4","4",339543.428,77.898724636779
"1991","1400","March 31, 1991",NA,5720,NA,NA,3375,1.69481481481481,0.000888888888888889,4.62562396006656,"1991-4","4",673687.546,84.9058296232776
"1991","0610","September 30, 1991",NA,2491,NA,NA,1013,2.45903257650543,0,7.3920704845815,"1991-4","4",623080.796,39.97876384558
"1991","0340","March 31, 1991","EDMONTON",4333,NA,NA,3415,1.2688140556369,0.0202049780380673,5.31134969325153,"1991-4","4",867285.286,49.9604924693718
"1991","2680","March 31, 1991","WINNIPEG",1436,NA,NA,1131,1.26967285587975,0.0141467727674624,6.69781553398058,"1991-4","4",678041.227,21.1786531971455
"1992","0610","December 31, 1992",NA,2680,NA,NA,1359,1.97203826342899,0.0022075055187638,9.82458563535912,"1992-4","4",625032.573,42.8777653480789
"1992","1490","September 30, 1992","REGINA",481,NA,NA,448,1.07366071428571,0.00669642857142857,5.34473684210526,"1992-4","4",198087.61,24.2821850392359
"1992","2410","June 30, 1992","VANCOUVER",16487,NA,NA,8473,1.94582792399386,0.111648766670601,5.64932588860139,"1992-4","4",1726331.88,95.5030732561111
"1992","2440","June 30, 1992",NA,2316,NA,NA,1321,1.75321725965178,0.164269492808478,5.35340022296544,"1992-4","4",304634.669,76.0254900600299
"1992","1060","March 31, 1992",NA,16436,NA,NA,9300,1.76731182795699,0.264086021505376,5.3962091103638,"1992-4","4",3445360.14,47.7047371889547
"1992","0140","March 31, 1992","CALGARY",6509,NA,NA,5858,1.11113007852509,0,4.80693533270853,"1992-4","4",789289.723,82.4665494852769
"1992","1400","June 30, 1992",NA,7293,NA,NA,3258,2.23848987108656,0,5.4900426742532,"1992-4","4",681504.394,107.013249866148
"1992","2680","June 30, 1992","WINNIPEG",1520,NA,NA,1228,1.23778501628665,0,6.69621903520209,"1992-4","4",680620.854,22.3325510975307
"1992","1700","December 31, 1992","SASKATOON",427,NA,NA,335,1.27462686567164,0,5.31372549019608,"1992-4","4",221094.419,19.3130157663546
"1992","2270","June 30, 1992","TORONTO",22402,NA,NA,10853,2.06412973371418,0.0549156915138671,8.35639302960319,"1992-4","4",4140645.05,54.1026814167517
"1992","0580","September 30, 1992",NA,2776,NA,NA,1247,2.2261427425822,0.0176423416198877,4.55372945638432,"1992-4","4",342512.019,81.0482507476621
"1992","0340","June 30, 1992","EDMONTON",5819,NA,NA,4509,1.29053005100909,0.00133067198935462,4.6849524977015,"1992-4","4",875231.647,66.4852558742086
"1992","1265","September 30, 1992",NA,6336,NA,NA,2885,2.19618717504333,0.0155979202772964,4.70135135135135,"1992-4","4",743046.718,85.2705468783189
"1993","2680","June 30, 1993","WINNIPEG",1627,NA,NA,1304,1.24769938650307,0.00766871165644172,5.82642777155655,"1993-4","4",682176.683,23.8501262289553
"1993","0610","December 31, 1993",NA,2521,NA,NA,1543,1.63383020090732,0,5.43518518518519,"1993-4","4",629796.445,40.0288064503127
"1993","2410","September 30, 1993",NA,19737,NA,NA,8125,2.42916923076923,0.173046153846154,5.85044308111793,"1993-4","4",1780597.35,110.844824069855
"1993","1060","September 30, 1993",NA,13876,NA,NA,7953,1.74475040865082,0.207091663523199,5.16684881602914,"1993-4","4",3466155.56,40.0328253011241
"1993","2440","June 30, 1993","VICTORIA",2443,NA,NA,1116,2.18906810035842,0.230286738351254,5.07200929152149,"1993-4","4",309247.321,78.9982591312408
"1993","1700","March 31, 1993","SASKATOON",625,NA,NA,342,1.82748538011696,0.0087719298245614,4.14746543778802,"1993-4","4",222880.121,28.0419804689535
"1993","0580","March 31, 1993",NA,2126,NA,NA,1376,1.54505813953488,0,4.22420382165605,"1993-4","4",345205.223,61.5865536889632
"1993","1490","September 30, 1993","REGINA",605,NA,NA,519,1.16570327552987,0.0173410404624277,5.07126948775056,"1993-4","4",198659.02,30.4541923140465
"1993","1265","June 30, 1993",NA,4664,NA,NA,2547,1.83117393011386,0.0125638005496663,4.51198630136986,"1993-4","4",755931.9272,61.6986772509481
"1993","0340","March 31, 1993","EDMONTON",6751,NA,NA,5011,1.34723608062263,0.00379165835162642,4.5914747977598,"1993-4","4",877513.385,76.9332994276777
"1993","1400","June 30, 1993",NA,5106,NA,NA,2396,2.13105175292154,0,4.82425978987584,"1993-4","4",686578.071,74.3688185753314
"1993","2270","December 31, 1993","TORONTO",19827,NA,NA,9626,2.05973405360482,0.0587990858092666,6.3483606557377,"1993-4","4",4218289.04,47.0024690389637
"1993","0140","March 31, 1993","CALGARY",6286,NA,NA,5486,1.1458257382428,0,4.51385746606335,"1993-4","4",803617.45,78.2212979571312
"1994","1400","June 30, 1994","QUÉBEC",4660,NA,NA,2393,1.94734642707898,0,5.09035532994924,"1994-4","4",688133.017,67.7194653486595
