"ref_yy","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time"
"2006","2440","V8L","September 30, 2006","VICTORIA",58,NA,NA,42,1.38095238095238,0,0.19047619047619
"2006","0580","B3H","June 30, 2006","HALIFAX",115,NA,NA,8,14.375,0,0
"2006","1060","J3L","June 30, 2006","MONTRÉAL",445,NA,NA,316,1.40822784810127,0,0
"2006","2270","L5H","September 30, 2006","TORONTO",28,NA,NA,28,1,0,3.85714285714286
"2006","2410","V7N","March 31, 2006","VANCOUVER",54,NA,NA,6,9,0.666666666666667,0.666666666666667
"2006","1400","G1Y","June 30, 2006","QUÉBEC",5,NA,NA,2,2.5,0,0
"2006","2270","M6G","June 30, 2006","TORONTO",14,NA,NA,4,3.5,0,1
"2006","2270","L6L","June 30, 2006","TORONTO",260,NA,NA,197,1.31979695431472,0,0.753846153846154
"2006","2270","M3N","June 30, 2006","TORONTO",24,NA,NA,14,1.71428571428571,0,0
"2006","2270","M6A","September 30, 2006","TORONTO",3,NA,NA,3,1,0,0.333333333333333
"2006","0340","T6L","September 30, 2006","EDMONTON",5,NA,NA,2,2.5,0,0
"2006","1060","J7T","March 31, 2006","MONTRÉAL",5,NA,NA,5,1,0,0
"2006","2270","M1P","June 30, 2006","TORONTO",74,NA,NA,14,5.28571428571429,0,1.42857142857143
"2006","2410","V7A","September 30, 2006","VANCOUVER",196,NA,NA,98,2,0.0102040816326531,1.54081632653061
"2006","2440","V8N","June 30, 2006","VICTORIA",137,NA,NA,30,4.56666666666667,0.133333333333333,0.2
"2006","0140","T2B","December 31, 2006","CALGARY",11,NA,NA,6,1.83333333333333,0,0.833333333333333
"2006","2270","M2P","June 30, 2006","TORONTO",42,NA,NA,42,1,0,0.378378378378378
"2006","2680","R2X","September 30, 2006","WINNIPEG",13,NA,NA,13,1,0,0.461538461538462
"2006","2680","R3E","June 30, 2006","WINNIPEG",24,NA,NA,10,2.4,0,0.4
"2006","1060","J6R","June 30, 2006","MONTRÉAL",77,NA,NA,72,1.06944444444444,0,0
"2006","0140","T2V","September 30, 2006","CALGARY",66,NA,NA,39,1.69230769230769,0,0.974358974358974
"2006","0610","N1R","September 30, 2006","HAMILTON",29,NA,NA,29,1,0,0.172413793103448
"2006","1060","J7A","June 30, 2006","MONTRÉAL",28,NA,NA,28,1,0,0
"2006","1400","G2K","September 30, 2006","QUÉBEC",45,NA,NA,36,1.25,0.0555555555555556,0.714285714285714
"2006","2270","M9A","September 30, 2006","TORONTO",309,NA,NA,32,9.65625,0,0.576923076923077
"2006","0140","T2J","June 30, 2006","CALGARY",241,NA,NA,2,120.5,0,0.5
"2006","0340","T8R","December 31, 2006","EDMONTON",217,NA,NA,125,1.736,0,0.888
"2006","0340","nan","March 31, 2006","EDMONTON",12154,NA,NA,9001,1.35029441173203,0.000222197533607377,0.513628715647785
"2006","0610","L3M","June 30, 2006","HAMILTON",99,NA,NA,81,1.22222222222222,0,0.87012987012987
"2006","1060","J0N","December 31, 2006","MONTRÉAL",412,NA,NA,303,1.35973597359736,0.0924092409240924,0
"2006","2270","M4Y","December 31, 2006","TORONTO",557,NA,NA,3,185.666666666667,15.3333333333333,1.5
"2006","1060","H9R","June 30, 2006","MONTRÉAL",169,NA,NA,8,21.125,0,0
"2006","1490","S4T","December 31, 2006","REGINA",63,NA,NA,39,1.61538461538462,0,2
"2006","2410","V5P","September 30, 2006","VANCOUVER",52,NA,NA,25,2.08,0.28,1.12
"2006","2410","V5S","September 30, 2006","VANCOUVER",50,NA,NA,47,1.06382978723404,0.0425531914893617,0.617021276595745
"2006","1490","nan","March 31, 2006","REGINA",119,NA,NA,116,1.02586206896552,0,0
"2006","2410","V5T","December 31, 2006","VANCOUVER",97,NA,NA,10,9.7,0.2,1.1
"2006","2680","R0H","September 30, 2006","WINNIPEG",2,NA,NA,2,1,0,0
"2006","0340","T6H","September 30, 2006","EDMONTON",7,NA,NA,7,1,0,0.571428571428571
"2006","0580","nan","March 31, 2006","HALIFAX",296,NA,NA,270,1.0962962962963,0,0.118518518518519
"2006","0610","L8R","June 30, 2006","HAMILTON",17,NA,NA,5,3.4,0,0
"2006","1060","H4W","March 31, 2006","MONTRÉAL",4,NA,NA,4,1,0,0
"2006","2410","V4L","September 30, 2006","VANCOUVER",52,NA,NA,5,10.4,0.6,0.8
"2006","2410","V5H","December 31, 2006","VANCOUVER",40,NA,NA,7,5.71428571428571,0.714285714285714,1
"2006","0140","T2L","December 31, 2006","CALGARY",7,NA,NA,7,1,0,1
"2006","0140","T2S","March 31, 2006","CALGARY",24,NA,NA,24,1,0,0.875
"2006","1700","S7L","December 31, 2006","SASKATOON",148,NA,NA,135,1.0962962962963,0,0.0740740740740741
"2006","2270","L0E","June 30, 2006","TORONTO",29,NA,NA,28,1.03571428571429,0,2.71428571428571
"2006","2270","M3A","June 30, 2006","TORONTO",1,NA,NA,1,1,0,2
"2006","2270","M8Z","June 30, 2006","TORONTO",131,NA,NA,30,4.36666666666667,0,1.09090909090909
"2006","1060","H2P","December 31, 2006","MONTRÉAL",7,NA,NA,2,3.5,0,0
"2006","1060","H9J","March 31, 2006","MONTRÉAL",22,NA,NA,10,2.2,0,0
"2006","1265","K2L","December 31, 2006","OTTAWA",81,NA,NA,12,6.75,0,1.33333333333333
"2006","1400","G3E","June 30, 2006","QUÉBEC",196,NA,NA,148,1.32432432432432,0.148648648648649,0.209459459459459
"2006","1700","S7K","June 30, 2006","SASKATOON",52,NA,NA,7,7.42857142857143,0,0
"2006","2410","V6W","September 30, 2006","VANCOUVER",51,NA,NA,8,6.375,0.75,1.375
"2006","0610","L8H","December 31, 2006","HAMILTON",8,NA,NA,8,1,0,0
"2006","2270","M6R","June 30, 2006","TORONTO",3,NA,NA,2,1.5,0,2
"2006","0340","T6A","September 30, 2006","EDMONTON",15,NA,NA,5,3,0,0.8
"2006","0580","B3G","December 31, 2006","HALIFAX",58,NA,NA,43,1.34883720930233,0,0.116279069767442
"2006","1060","J3Y","September 30, 2006","MONTRÉAL",262,NA,NA,96,2.72916666666667,0.125,0
"2006","1265","K2S","September 30, 2006","OTTAWA",127,NA,NA,124,1.0241935483871,0,0.443548387096774
"2006","1700","S7M","March 31, 2006","SASKATOON",14,NA,NA,14,1,0,0
"2006","2270","L1Y","June 30, 2006","TORONTO",1,NA,NA,1,1,0,0
"2006","2270","M1K","March 31, 2006","TORONTO",7,NA,NA,6,1.16666666666667,0,6.16666666666667
"2006","2270","M4H","June 30, 2006","TORONTO",87,NA,NA,4,21.75,0.75,13
"2006","2680","R2W","June 30, 2006","WINNIPEG",65,NA,NA,54,1.2037037037037,0,0.166666666666667
"2006","1265","K2P","March 31, 2006","OTTAWA",190,NA,NA,3,63.3333333333333,3,14
"2006","2270","M2J","March 31, 2006","TORONTO",2,NA,NA,2,1,0,0
"2006","0340","T5B","March 31, 2006","EDMONTON",30,NA,NA,11,2.72727272727273,0,0.0909090909090909
"2006","0610","L7N","June 30, 2006","HAMILTON",3,NA,NA,3,1,0,0
"2006","2270","L6S","September 30, 2006","TORONTO",10,NA,NA,10,1,0,0.5
"2006","0140","T2M","September 30, 2006","CALGARY",85,NA,NA,51,1.66666666666667,0,0.705882352941177
"2006","0140","T2P","March 31, 2006","CALGARY",181,NA,NA,1,181,0,6
"2006","1265","K1Z","December 31, 2006","OTTAWA",14,NA,NA,9,1.55555555555556,0,1.22222222222222
"2006","2270","L4J","December 31, 2006","TORONTO",37,NA,NA,37,1,0,1.18918918918919
"2006","2270","M2M","March 31, 2006","TORONTO",34,NA,NA,34,1,0,0.896551724137931
"2006","1060","J3G","June 30, 2006","MONTRÉAL",260,NA,NA,138,1.88405797101449,0.0507246376811594,0
"2006","2270","M5R","December 31, 2006","TORONTO",437,NA,NA,10,43.7,4.1,2.1
"2006","1060","H1Z","June 30, 2006","MONTRÉAL",16,NA,NA,2,8,0,0
"2006","1060","H4M","March 31, 2006","MONTRÉAL",107,NA,NA,2,53.5,0,0
"2006","1060","H7B","June 30, 2006","MONTRÉAL",2,NA,NA,2,1,0,0
"2006","2270","L3R","December 31, 2006","TORONTO",13,NA,NA,13,1,0,2.38461538461538
"2006","0580","B2T","December 31, 2006","HALIFAX",24,NA,NA,24,1,0,0.791666666666667
"2006","1265","K2K","December 31, 2006","OTTAWA",37,NA,NA,37,1,0,0.810810810810811
"2006","2410","V6S","December 31, 2006","VANCOUVER",43,NA,NA,22,1.95454545454545,0.181818181818182,0.363636363636364
"2006","0580","B0J","December 31, 2006","HALIFAX",80,NA,NA,80,1,0,0.475
"2006","1060","H1S","December 31, 2006","MONTRÉAL",390,NA,NA,3,130,0,0
"2006","1060","J4N","September 30, 2006","MONTRÉAL",70,NA,NA,53,1.32075471698113,0,0
"2006","1400","G1B","March 31, 2006","QUÉBEC",103,NA,NA,80,1.2875,0.15,0.075
"2006","2270","M3K","December 31, 2006","TORONTO",23,NA,NA,23,1,0,1.4
"2006","2270","M9C","September 30, 2006","TORONTO",47,NA,NA,17,2.76470588235294,0,6.64705882352941
"2006","1060","H1K","December 31, 2006","MONTRÉAL",7,NA,NA,5,1.4,0,0
"2006","1060","H9B","September 30, 2006","MONTRÉAL",16,NA,NA,5,3.2,0,0
"2006","0340","T5E","June 30, 2006","EDMONTON",50,NA,NA,48,1.04166666666667,0,0.145833333333333
"2006","0340","T6E","September 30, 2006","EDMONTON",60,NA,NA,25,2.4,0,0.08
"2006","1060","H7H","June 30, 2006","MONTRÉAL",11,NA,NA,10,1.1,0,0
"2006","2270","M9R","March 31, 2006","TORONTO",6,NA,NA,6,1,0,1
"2006","2410","V4W","December 31, 2006","VANCOUVER",67,NA,NA,63,1.06349206349206,0,0.158730158730159
"2006","2410","V7V","June 30, 2006","VANCOUVER",32,NA,NA,23,1.39130434782609,0.391304347826087,0.434782608695652
"2006","0340","T6J","March 31, 2006","EDMONTON",31,NA,NA,16,1.9375,0,0
"2006","0610","L8M","March 31, 2006","HAMILTON",1,NA,NA,1,1,0,0
"2006","2270","L5J","September 30, 2006","TORONTO",16,NA,NA,16,1,0,0.1875
"2006","1060","J7J","June 30, 2006","MONTRÉAL",137,NA,NA,104,1.31730769230769,0.230769230769231,0
"2006","0340","T8B","December 31, 2006","EDMONTON",83,NA,NA,83,1,0,0.590361445783133
"2006","1060","J6Z","March 31, 2006","MONTRÉAL",7,NA,NA,7,1,0,0
"2006","1400","G3G","June 30, 2006","QUÉBEC",68,NA,NA,62,1.09677419354839,0.0645161290322581,0.258064516129032
"2006","1400","nan","March 31, 2006","QUÉBEC",1758,NA,NA,986,1.78296146044625,0.144016227180527,0.247202441505595
"2006","2270","M5J","March 31, 2006","TORONTO",1,NA,NA,1,1,0,0
"2006","2270","M8Y","December 31, 2006","TORONTO",12,NA,NA,10,1.2,0,0.2
"2006","2410","V6P","March 31, 2006","VANCOUVER",80,NA,NA,57,1.40350877192982,0.315789473684211,0.754385964912281
"2006","2680","R3K","June 30, 2006","WINNIPEG",2,NA,NA,2,1,0,0
"2006","1700","S7T","June 30, 2006","SASKATOON",270,NA,NA,192,1.40625,0,0
"2006","2270","L4B","June 30, 2006","TORONTO",3,NA,NA,3,1,0,2
"2006","2270","M4C","March 31, 2006","TORONTO",34,NA,NA,10,3.4,0,0.857142857142857
"2006","0580","B4A","March 31, 2006","HALIFAX",160,NA,NA,132,1.21212121212121,0,0.196969696969697
"2006","0610","L7R","December 31, 2006","HAMILTON",59,NA,NA,11,5.36363636363636,0,0.3
"2006","1060","H7X","June 30, 2006","MONTRÉAL",101,NA,NA,59,1.71186440677966,0.101694915254237,0
"2006","2270","L6C","September 30, 2006","TORONTO",9,NA,NA,9,1,0,7.55555555555556
"2006","2680","R3J","June 30, 2006","WINNIPEG",62,NA,NA,12,5.16666666666667,0,0
"2006","0140","T3C","June 30, 2006","CALGARY",283,NA,NA,25,11.32,0,0.6
"2006","1060","H1W","June 30, 2006","MONTRÉAL",119,NA,NA,14,8.5,0,0
"2006","1060","H2J","December 31, 2006","MONTRÉAL",146,NA,NA,6,24.3333333333333,0,0
"2006","1060","H3P","March 31, 2006","MONTRÉAL",42,NA,NA,4,10.5,0,0
"2006","0340","T5A","March 31, 2006","EDMONTON",313,NA,NA,44,7.11363636363636,0,0.0232558139534884
"2006","1060","J7L","June 30, 2006","MONTRÉAL",41,NA,NA,41,1,0,0
"2006","1400","G2A","March 31, 2006","QUÉBEC",51,NA,NA,16,3.1875,0.75,0.5625
"2006","2270","L1T","June 30, 2006","TORONTO",53,NA,NA,10,5.3,0.4,0
"2006","2680","R2N","March 31, 2006","WINNIPEG",309,NA,NA,180,1.71666666666667,0.0166666666666667,0.883333333333333
"2006","1060","H1G","December 31, 2006","MONTRÉAL",16,NA,NA,3,5.33333333333333,0,0
"2006","1060","H3G","December 31, 2006","MONTRÉAL",112,NA,NA,4,28,0,0
"2006","1700","nan","June 30, 2006","SASKATOON",916,NA,NA,629,1.45627980922099,0,0.0445151033386327
"2006","2270","L9W","September 30, 2006","TORONTO",69,NA,NA,67,1.02985074626866,0,0.626865671641791
"2006","2270","M4T","December 31, 2006","TORONTO",34,NA,NA,8,4.25,0,0.6
"2006","2270","M9M","June 30, 2006","TORONTO",507,NA,NA,45,11.2666666666667,0,0.945945945945946
"2006","1060","H4G","June 30, 2006","MONTRÉAL",62,NA,NA,8,7.75,0,0
"2006","1060","J4P","September 30, 2006","MONTRÉAL",5,NA,NA,4,1.25,0,0
"2006","2410","V5K","March 31, 2006","VANCOUVER",53,NA,NA,49,1.08163265306122,0.163265306122449,1.38775510204082
"2006","1060","H2K","March 31, 2006","MONTRÉAL",56,NA,NA,7,8,0,0
"2006","1060","H8Y","March 31, 2006","MONTRÉAL",7,NA,NA,7,1,0,0
"2006","1265","K1T","June 30, 2006","OTTAWA",87,NA,NA,54,1.61111111111111,0,0.777777777777778
"2006","2270","M5S","December 31, 2006","TORONTO",716,NA,NA,4,179,19.5,0
"2006","2410","V3L","June 30, 2006","VANCOUVER",360,NA,NA,21,17.1428571428571,3.80952380952381,1.9047619047619
"2006","0340","T5N","September 30, 2006","EDMONTON",148,NA,NA,13,11.3846153846154,0,0.166666666666667
"2006","2440","V8V","December 31, 2006","VICTORIA",170,NA,NA,25,6.8,0.12,0.48
"2006","0140","T3B","June 30, 2006","CALGARY",18,NA,NA,14,1.28571428571429,0,0.5
"2006","0580","B3K","September 30, 2006","HALIFAX",312,NA,NA,5,62.4,0,0.4
"2006","1060","J5W","June 30, 2006","MONTRÉAL",354,NA,NA,249,1.42168674698795,0.104417670682731,0
"2006","1060","J7K","March 31, 2006","MONTRÉAL",134,NA,NA,132,1.01515151515152,0,0
"2006","1060","J7Z","June 30, 2006","MONTRÉAL",63,NA,NA,25,2.52,0.36,0
"2006","2270","L0G","September 30, 2006","TORONTO",129,NA,NA,121,1.06611570247934,0,0.743801652892562
"2006","1060","H7N","March 31, 2006","MONTRÉAL",42,NA,NA,3,14,1.66666666666667,0
"2006","1060","J7C","March 31, 2006","MONTRÉAL",167,NA,NA,105,1.59047619047619,0.0476190476190476,0
"2006","1400","G7A","June 30, 2006","QUÉBEC",65,NA,NA,65,1,0,0.261538461538462
"2006","2270","L9T","March 31, 2006","TORONTO",2,NA,NA,2,1,0,1.5
"2006","2270","M3B","December 31, 2006","TORONTO",23,NA,NA,23,1,0,0.521739130434783
"2006","2410","V3T","September 30, 2006","VANCOUVER",523,NA,NA,30,17.4333333333333,1.46666666666667,0.7
"2006","0340","T6M","September 30, 2006","EDMONTON",39,NA,NA,34,1.14705882352941,0,0.757575757575758
"2006","0610","L8V","March 31, 2006","HAMILTON",4,NA,NA,4,1,0,0
"2006","2410","V5M","September 30, 2006","VANCOUVER",77,NA,NA,72,1.06944444444444,0.0833333333333333,0.861111111111111
"2006","1060","H4N","December 31, 2006","MONTRÉAL",295,NA,NA,23,12.8260869565217,0.173913043478261,0
"2006","1400","G1W","June 30, 2006","QUÉBEC",104,NA,NA,19,5.47368421052632,0.105263157894737,0.421052631578947
