"","ref_yy","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time"
"1","2006","0140","T1Y","June 30, 2006","CALGARY",1,NA,NA,1,1,0,0
"2","2006","0140","T2B","September 30, 2006","CALGARY",11,NA,NA,6,1.83333333333333,0,0.833333333333333
"3","2006","0140","T2C","March 31, 2006","CALGARY",618,NA,NA,368,1.67934782608696,0,0.614130434782609
"4","2006","0140","T2E","March 31, 2006","CALGARY",238,NA,NA,96,2.47916666666667,0.0208333333333333,0.979166666666667
"5","2006","0140","T2G","March 31, 2006","CALGARY",564,NA,NA,16,35.25,0,1.0625
"6","2006","0140","T2H","September 30, 2006","CALGARY",372,NA,NA,7,53.1428571428571,3,2.71428571428571
"7","2006","0140","T2J","December 31, 2006","CALGARY",241,NA,NA,2,120.5,0,0.5
"8","2006","0140","T2K","December 31, 2006","CALGARY",95,NA,NA,13,7.30769230769231,0,3.92307692307692
"9","2006","0140","T2L","December 31, 2006","CALGARY",7,NA,NA,7,1,0,1
"10","2006","0140","T2M","March 31, 2006","CALGARY",85,NA,NA,51,1.66666666666667,0,0.705882352941177
"11","2006","0140","T2N","March 31, 2006","CALGARY",223,NA,NA,115,1.93913043478261,0,0.617391304347826
"12","2006","0140","T2P","March 31, 2006","CALGARY",181,NA,NA,1,181,0,6
"13","2006","0140","T2R","December 31, 2006","CALGARY",294,NA,NA,2,147,9.5,2.5
"14","2006","0140","T2S","March 31, 2006","CALGARY",24,NA,NA,24,1,0,0.875
"15","2006","0140","T2T","March 31, 2006","CALGARY",254,NA,NA,128,1.984375,0,0.453125
"16","2006","0140","T2V","September 30, 2006","CALGARY",66,NA,NA,39,1.69230769230769,0,0.974358974358974
"17","2006","0140","T2X","December 31, 2006","CALGARY",2,NA,NA,2,1,0,3
"18","2006","0140","T2Y","March 31, 2006","CALGARY",86,NA,NA,78,1.1025641025641,0,1.30769230769231
"19","2006","0140","T3A","June 30, 2006","CALGARY",5,NA,NA,5,1,0,0.2
"20","2006","0140","T3B","March 31, 2006","CALGARY",18,NA,NA,14,1.28571428571429,0,0.5
"21","2006","0140","T3C","June 30, 2006","CALGARY",283,NA,NA,25,11.32,0,0.6
"22","2006","0140","T3E","March 31, 2006","CALGARY",218,NA,NA,127,1.71653543307087,0,0.755905511811024
"23","2006","0140","nan","March 31, 2006","CALGARY",13160,NA,NA,10181,1.29260386995384,0.000687555249975444,0.941164915037816
"24","2006","0610","L0R","March 31, 2006","HAMILTON",30,NA,NA,28,1.07142857142857,0,0.285714285714286
"25","2006","0610","L3M","March 31, 2006","HAMILTON",99,NA,NA,81,1.22222222222222,0,0.87012987012987
"26","2006","0610","L7L","March 31, 2006","HAMILTON",31,NA,NA,31,1,0,0.0434782608695652
"27","2006","0610","L7N","March 31, 2006","HAMILTON",3,NA,NA,3,1,0,0
"28","2006","0610","L7R","September 30, 2006","HAMILTON",59,NA,NA,11,5.36363636363636,0,0.3
"29","2006","0610","L7S","December 31, 2006","HAMILTON",1,NA,NA,1,1,0,0
"30","2006","0610","L7T","September 30, 2006","HAMILTON",135,NA,NA,16,8.4375,0,0.214285714285714
"31","2006","0610","L8E","March 31, 2006","HAMILTON",248,NA,NA,148,1.67567567567568,0,0.364864864864865
