"","ref_yy","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time"
"32","2006","0610","L8G","September 30, 2006","HAMILTON",13,NA,NA,13,1,0,0
"33","2006","0610","L8H","June 30, 2006","HAMILTON",8,NA,NA,8,1,0,0
"34","2006","0610","L8J","March 31, 2006","HAMILTON",29,NA,NA,29,1,0,0.517241379310345
"35","2006","0610","L8K","September 30, 2006","HAMILTON",1,NA,NA,1,1,0,0
"36","2006","0610","L8L","March 31, 2006","HAMILTON",9,NA,NA,8,1.125,0,0
"37","2006","0610","L8M","March 31, 2006","HAMILTON",1,NA,NA,1,1,0,0
"38","2006","0610","L8R","March 31, 2006","HAMILTON",17,NA,NA,5,3.4,0,0
"39","2006","0610","L8S","September 30, 2006","HAMILTON",11,NA,NA,2,5.5,0,5.5
"40","2006","0610","L8T","March 31, 2006","HAMILTON",33,NA,NA,33,1,0,0
"41","2006","0610","L8V","December 31, 2006","HAMILTON",4,NA,NA,4,1,0,0
"42","2006","0610","L8W","September 30, 2006","HAMILTON",2,NA,NA,2,1,0,0
"43","2006","0610","L9A","June 30, 2006","HAMILTON",42,NA,NA,42,1,0,0.0238095238095238
"44","2006","0610","L9B","March 31, 2006","HAMILTON",3,NA,NA,3,1,0,0
"45","2006","0610","L9C","March 31, 2006","HAMILTON",74,NA,NA,74,1,0,0.0405405405405405
"46","2006","0610","L9G","March 31, 2006","HAMILTON",155,NA,NA,79,1.9620253164557,0,1.92405063291139
"47","2006","0610","L9H","June 30, 2006","HAMILTON",73,NA,NA,12,6.08333333333333,0,0.166666666666667
"48","2006","0610","N1R","March 31, 2006","HAMILTON",29,NA,NA,29,1,0,0.172413793103448
"49","2006","0610","nan","March 31, 2006","HAMILTON",1933,NA,NA,1320,1.46439393939394,0,0.430855315747402
"50","2006","1265","K0A","March 31, 2006","OTTAWA",393,NA,NA,387,1.01550387596899,0,0.981912144702842
"51","2006","1265","K1B","September 30, 2006","OTTAWA",76,NA,NA,11,6.90909090909091,0,3.09090909090909
"52","2006","1265","K1C","March 31, 2006","OTTAWA",52,NA,NA,18,2.88888888888889,0,6.72222222222222
"53","2006","1265","K1E","September 30, 2006","OTTAWA",10,NA,NA,2,5,0,1
"54","2006","1265","K1H","March 31, 2006","OTTAWA",65,NA,NA,21,3.0952380952381,0,1.47619047619048
"55","2006","1265","K1J","June 30, 2006","OTTAWA",2,NA,NA,2,1,0,1.5
"56","2006","1265","K1K","March 31, 2006","OTTAWA",32,NA,NA,6,5.33333333333333,0,0.833333333333333
"57","2006","1265","K1M","December 31, 2006","OTTAWA",38,NA,NA,7,5.42857142857143,0,1.28571428571429
"58","2006","1265","K1N","September 30, 2006","OTTAWA",359,NA,NA,3,119.666666666667,0,2
"59","2006","1265","K1P","September 30, 2006","OTTAWA",3,NA,NA,1,3,0,2
"60","2006","1265","K1R","March 31, 2006","OTTAWA",73,NA,NA,3,24.3333333333333,0,2.66666666666667
"61","2006","1265","K1S","June 30, 2006","OTTAWA",85,NA,NA,13,6.53846153846154,0,1.84615384615385
"62","2006","1265","K1T","June 30, 2006","OTTAWA",87,NA,NA,54,1.61111111111111,0,0.777777777777778
"63","2006","1265","K1V","March 31, 2006","OTTAWA",208,NA,NA,100,2.08,0,0.91
"64","2006","1265","K1W","June 30, 2006","OTTAWA",6,NA,NA,6,1,0,2.66666666666667
"65","2006","1265","K1Y","March 31, 2006","OTTAWA",94,NA,NA,25,3.76,0,1.16
"66","2006","1265","K1Z","June 30, 2006","OTTAWA",14,NA,NA,9,1.55555555555556,0,1.22222222222222
"67","2006","1265","K2A","June 30, 2006","OTTAWA",3,NA,NA,3,1,0,1.33333333333333
"68","2006","1265","K2B","March 31, 2006","OTTAWA",48,NA,NA,18,2.66666666666667,0,0.888888888888889
"69","2006","1265","K2C","March 31, 2006","OTTAWA",44,NA,NA,44,1,0,1.02272727272727
"70","2006","1265","K2E","March 31, 2006","OTTAWA",41,NA,NA,24,1.70833333333333,0,0.333333333333333
"71","2006","1265","K2G","June 30, 2006","OTTAWA",9,NA,NA,8,1.125,0,1.125
"72","2006","1265","K2H","March 31, 2006","OTTAWA",13,NA,NA,8,1.625,0,0.25
"73","2006","1265","K2K","March 31, 2006","OTTAWA",37,NA,NA,37,1,0,0.810810810810811
"74","2006","1265","K2L","March 31, 2006","OTTAWA",81,NA,NA,12,6.75,0,1.33333333333333
"75","2006","1265","K2M","March 31, 2006","OTTAWA",81,NA,NA,39,2.07692307692308,0,0.461538461538462
"76","2006","1265","K2P","December 31, 2006","OTTAWA",190,NA,NA,3,63.3333333333333,3,14
"77","2006","1265","K2S","March 31, 2006","OTTAWA",127,NA,NA,124,1.0241935483871,0,0.443548387096774
"78","2006","1265","K4K","June 30, 2006","OTTAWA",51,NA,NA,47,1.08510638297872,0,0.468085106382979
"79","2006","1265","K4M","June 30, 2006","OTTAWA",7,NA,NA,7,1,0,4.28571428571429
"80","2006","1265","K4P","March 31, 2006","OTTAWA",63,NA,NA,63,1,0,0.53968253968254
"81","2006","1265","K4R","December 31, 2006","OTTAWA",4,NA,NA,3,1.33333333333333,0,0
"82","2006","1265","nan","March 31, 2006","OTTAWA",3479,NA,NA,1955,1.77953964194373,0.0051150895140665,0.700255754475703
"83","2006","0580","B0J","March 31, 2006","HALIFAX",80,NA,NA,80,1,0,0.475
"84","2006","0580","B2R","March 31, 2006","HALIFAX",67,NA,NA,67,1,0,0.0597014925373134
"85","2006","0580","B2T","June 30, 2006","HALIFAX",24,NA,NA,24,1,0,0.791666666666667
"86","2006","0580","B2W","March 31, 2006","HALIFAX",342,NA,NA,69,4.95652173913043,0,0.0869565217391304
"87","2006","0580","B2X","March 31, 2006","HALIFAX",73,NA,NA,71,1.02816901408451,0,0.0563380281690141
"88","2006","0580","B2Y","June 30, 2006","HALIFAX",2,NA,NA,1,2,0,0
"89","2006","0580","B2Z","March 31, 2006","HALIFAX",94,NA,NA,93,1.01075268817204,0,0.021505376344086
"90","2006","0580","B3A","June 30, 2006","HALIFAX",9,NA,NA,2,4.5,0,0.5
"91","2006","0580","B3G","March 31, 2006","HALIFAX",58,NA,NA,43,1.34883720930233,0,0.116279069767442
"92","2006","0580","B3H","December 31, 2006","HALIFAX",115,NA,NA,8,14.375,0,0
"93","2006","0580","B3J","September 30, 2006","HALIFAX",52,NA,NA,2,26,0,0.5
"94","2006","0580","B3K","September 30, 2006","HALIFAX",312,NA,NA,5,62.4,0,0.4
"95","2006","0580","B3L","March 31, 2006","HALIFAX",307,NA,NA,17,18.0588235294118,0,0
"96","2006","0580","B3M","March 31, 2006","HALIFAX",220,NA,NA,45,4.88888888888889,0,0.177777777777778
"97","2006","0580","B3N","March 31, 2006","HALIFAX",52,NA,NA,30,1.73333333333333,0,0.0666666666666667
"98","2006","0580","B3P","March 31, 2006","HALIFAX",39,NA,NA,28,1.39285714285714,0,0.0714285714285714
"99","2006","0580","B3R","September 30, 2006","HALIFAX",12,NA,NA,9,1.33333333333333,0,0
"100","2006","0580","B3V","March 31, 2006","HALIFAX",58,NA,NA,58,1,0,0.0344827586206897
"101","2006","0580","B3Z","March 31, 2006","HALIFAX",23,NA,NA,23,1,0,0.304347826086957
"102","2006","0580","B4A","March 31, 2006","HALIFAX",160,NA,NA,132,1.21212121212121,0,0.196969696969697
"103","2006","0580","B4C","March 31, 2006","HALIFAX",47,NA,NA,35,1.34285714285714,0,0.0571428571428571
"104","2006","0580","B4E","March 31, 2006","HALIFAX",69,NA,NA,67,1.02985074626866,0,0.0597014925373134
"105","2006","0580","nan","March 31, 2006","HALIFAX",296,NA,NA,270,1.0962962962963,0,0.118518518518519
"106","2006","1490","S4N","March 31, 2006","REGINA",68,NA,NA,60,1.13333333333333,0,0.0166666666666667
"107","2006","1490","S4P","March 31, 2006","REGINA",76,NA,NA,56,1.35714285714286,0,0.0892857142857143
"108","2006","1490","S4R","March 31, 2006","REGINA",31,NA,NA,31,1,0,0.129032258064516
"109","2006","1490","S4S","March 31, 2006","REGINA",8,NA,NA,5,1.6,0,0.8
"110","2006","1490","S4T","September 30, 2006","REGINA",63,NA,NA,39,1.61538461538462,0,2
"111","2006","1490","S4V","March 31, 2006","REGINA",330,NA,NA,303,1.08910891089109,0,0.191419141914191
"112","2006","1490","S4X","March 31, 2006","REGINA",291,NA,NA,204,1.42647058823529,0,0.053921568627451
"113","2006","1490","nan","March 31, 2006","REGINA",119,NA,NA,116,1.02586206896552,0,0
"114","2006","1400","G0A","March 31, 2006","QUÉBEC",306,NA,NA,291,1.05154639175258,0,0.164948453608247
"115","2006","1400","G1B","March 31, 2006","QUÉBEC",103,NA,NA,80,1.2875,0.15,0.075
"116","2006","1400","G1C","March 31, 2006","QUÉBEC",292,NA,NA,180,1.62222222222222,0.188888888888889,0.333333333333333
"117","2006","1400","G1E","March 31, 2006","QUÉBEC",67,NA,NA,9,7.44444444444444,0.777777777777778,1.44444444444444
"118","2006","1400","G1G","March 31, 2006","QUÉBEC",52,NA,NA,7,7.42857142857143,1.85714285714286,0.714285714285714
"119","2006","1400","G1H","September 30, 2006","QUÉBEC",38,NA,NA,10,3.8,0.7,0.7
"120","2006","1400","G1J","June 30, 2006","QUÉBEC",8,NA,NA,1,8,0,0
"121","2006","1400","G1K","March 31, 2006","QUÉBEC",69,NA,NA,8,8.625,0.375,3
"122","2006","1400","G1L","March 31, 2006","QUÉBEC",31,NA,NA,1,31,0,4
"123","2006","1400","G1M","December 31, 2006","QUÉBEC",6,NA,NA,3,2,0.333333333333333,3
"124","2006","1400","G1N","September 30, 2006","QUÉBEC",21,NA,NA,1,21,3,1
"125","2006","1400","G1P","March 31, 2006","QUÉBEC",79,NA,NA,5,15.8,0.4,0.6
"126","2006","1400","G1R","June 30, 2006","QUÉBEC",98,NA,NA,2,49,0,2.5
"127","2006","1400","G1S","March 31, 2006","QUÉBEC",1,NA,NA,1,1,0,1
"128","2006","1400","G1T","June 30, 2006","QUÉBEC",31,NA,NA,13,2.38461538461538,0.153846153846154,0.916666666666667
"129","2006","1400","G1W","March 31, 2006","QUÉBEC",104,NA,NA,19,5.47368421052632,0.105263157894737,0.421052631578947
"130","2006","1400","G1X","March 31, 2006","QUÉBEC",42,NA,NA,38,1.10526315789474,0.0526315789473684,0.184210526315789
"131","2006","1400","G1Y","June 30, 2006","QUÉBEC",5,NA,NA,2,2.5,0,0
"132","2006","1400","G2A","June 30, 2006","QUÉBEC",51,NA,NA,16,3.1875,0.75,0.5625
"133","2006","1400","G2B","March 31, 2006","QUÉBEC",123,NA,NA,118,1.04237288135593,0.0169491525423729,0.076271186440678
"134","2006","1400","G2C","March 31, 2006","QUÉBEC",313,NA,NA,103,3.03883495145631,0.436893203883495,0.188118811881188
"135","2006","1400","G2E","March 31, 2006","QUÉBEC",177,NA,NA,57,3.10526315789474,0.157894736842105,0.28125
"136","2006","1400","G2G","March 31, 2006","QUÉBEC",43,NA,NA,37,1.16216216216216,0,0.0810810810810811
"137","2006","1400","G2J","September 30, 2006","QUÉBEC",17,NA,NA,7,2.42857142857143,0.857142857142857,0
"138","2006","1400","G2K","June 30, 2006","QUÉBEC",45,NA,NA,36,1.25,0.0555555555555556,0.714285714285714
"139","2006","1400","G2L","December 31, 2006","QUÉBEC",33,NA,NA,4,8.25,0.75,0
"140","2006","1400","G2M","March 31, 2006","QUÉBEC",12,NA,NA,11,1.09090909090909,0,0
"141","2006","1400","G2N","March 31, 2006","QUÉBEC",33,NA,NA,27,1.22222222222222,0.0740740740740741,0.444444444444444
"142","2006","1400","G3A","March 31, 2006","QUÉBEC",134,NA,NA,83,1.6144578313253,0.0602409638554217,0.103448275862069
"143","2006","1400","G3B","March 31, 2006","QUÉBEC",92,NA,NA,91,1.01098901098901,0.021978021978022,0.010989010989011
"144","2006","1400","G3E","June 30, 2006","QUÉBEC",196,NA,NA,148,1.32432432432432,0.148648648648649,0.209459459459459
"145","2006","1400","G3G","June 30, 2006","QUÉBEC",68,NA,NA,62,1.09677419354839,0.0645161290322581,0.258064516129032
"146","2006","1400","G3J","March 31, 2006","QUÉBEC",22,NA,NA,20,1.1,0,0.25
"147","2006","1400","G3K","March 31, 2006","QUÉBEC",74,NA,NA,63,1.17460317460317,0.0317460317460317,0.126984126984127
"148","2006","1400","G6C","March 31, 2006","QUÉBEC",94,NA,NA,45,2.08888888888889,0.0444444444444444,0.133333333333333
"149","2006","1400","G6K","March 31, 2006","QUÉBEC",83,NA,NA,65,1.27692307692308,0.123076923076923,0.0461538461538462
"150","2006","1400","G6V","March 31, 2006","QUÉBEC",172,NA,NA,54,3.18518518518519,0.0740740740740741,0.592592592592593
"151","2006","1400","G6W","September 30, 2006","QUÉBEC",163,NA,NA,40,4.075,0.675,0.7
"152","2006","1400","G6Z","June 30, 2006","QUÉBEC",55,NA,NA,36,1.52777777777778,0.166666666666667,0.305555555555556
"153","2006","1400","G7A","March 31, 2006","QUÉBEC",65,NA,NA,65,1,0,0.261538461538462
"154","2006","1400","nan","March 31, 2006","QUÉBEC",1758,NA,NA,986,1.78296146044625,0.144016227180527,0.247202441505595
"155","2006","2270","L0E","September 30, 2006","TORONTO",29,NA,NA,28,1.03571428571429,0,2.71428571428571
"156","2006","2270","L0G","December 31, 2006","TORONTO",129,NA,NA,121,1.06611570247934,0,0.743801652892562
"157","2006","2270","L0H","June 30, 2006","TORONTO",6,NA,NA,6,1,0,0
"158","2006","2270","L0P","March 31, 2006","TORONTO",42,NA,NA,18,2.33333333333333,0,0.666666666666667
"159","2006","2270","L1S","September 30, 2006","TORONTO",223,NA,NA,41,5.4390243902439,0,0.853658536585366
"160","2006","2270","L1T","June 30, 2006","TORONTO",53,NA,NA,10,5.3,0.4,0
"161","2006","2270","L1V","June 30, 2006","TORONTO",96,NA,NA,92,1.04347826086957,0,0.0326086956521739
"162","2006","2270","L1W","March 31, 2006","TORONTO",11,NA,NA,11,1,0,0
"163","2006","2270","L1Y","June 30, 2006","TORONTO",1,NA,NA,1,1,0,0
"164","2006","2270","L1Z","March 31, 2006","TORONTO",77,NA,NA,36,2.13888888888889,0,0.194444444444444
"165","2006","2270","L3P","June 30, 2006","TORONTO",14,NA,NA,13,1.07692307692308,0,3.07692307692308
"166","2006","2270","L3R","June 30, 2006","TORONTO",13,NA,NA,13,1,0,2.38461538461538
"167","2006","2270","L3S","March 31, 2006","TORONTO",6,NA,NA,6,1,0,2
"168","2006","2270","L3T","March 31, 2006","TORONTO",683,NA,NA,39,17.5128205128205,0.615384615384615,3.94871794871795
"169","2006","2270","L3Y","March 31, 2006","TORONTO",28,NA,NA,20,1.4,0,1.65
"170","2006","2270","L3Z","March 31, 2006","TORONTO",77,NA,NA,77,1,0,1.1038961038961
"171","2006","2270","L4A","March 31, 2006","TORONTO",191,NA,NA,191,1,0,0.885906040268456
"172","2006","2270","L4B","December 31, 2006","TORONTO",3,NA,NA,3,1,0,2
"173","2006","2270","L4C","March 31, 2006","TORONTO",51,NA,NA,50,1.02,0,1.86
"174","2006","2270","L4G","March 31, 2006","TORONTO",13,NA,NA,13,1,0,0.692307692307692
"175","2006","2270","L4J","March 31, 2006","TORONTO",37,NA,NA,37,1,0,1.18918918918919
"176","2006","2270","L4L","March 31, 2006","TORONTO",268,NA,NA,150,1.78666666666667,0.0266666666666667,0.153333333333333
"177","2006","2270","L4P","March 31, 2006","TORONTO",200,NA,NA,199,1.00502512562814,0,0.527638190954774
"178","2006","2270","L4T","September 30, 2006","TORONTO",7,NA,NA,7,1,0,0.428571428571429
"179","2006","2270","L4W","June 30, 2006","TORONTO",13,NA,NA,13,1,0,0.384615384615385
"180","2006","2270","L4Z","June 30, 2006","TORONTO",243,NA,NA,3,81,0,1
"181","2006","2270","L5A","March 31, 2006","TORONTO",386,NA,NA,4,96.5,0,0
"182","2006","2270","L5B","March 31, 2006","TORONTO",716,NA,NA,18,39.7777777777778,0,0.722222222222222
"183","2006","2270","L5C","March 31, 2006","TORONTO",7,NA,NA,7,1,0,4.85714285714286
"184","2006","2270","L5E","March 31, 2006","TORONTO",8,NA,NA,8,1,0,2
"185","2006","2270","L5G","March 31, 2006","TORONTO",80,NA,NA,42,1.9047619047619,0,1.57142857142857
"186","2006","2270","L5H","September 30, 2006","TORONTO",28,NA,NA,28,1,0,3.85714285714286
"187","2006","2270","L5J","March 31, 2006","TORONTO",16,NA,NA,16,1,0,0.1875
"188","2006","2270","L5K","June 30, 2006","TORONTO",2,NA,NA,2,1,0,2.5
"189","2006","2270","L5L","September 30, 2006","TORONTO",21,NA,NA,7,3,0,0
"190","2006","2270","L5M","March 31, 2006","TORONTO",50,NA,NA,31,1.61290322580645,0,1.16129032258065
"191","2006","2270","L5R","June 30, 2006","TORONTO",254,NA,NA,235,1.08085106382979,0,1.86382978723404
"192","2006","2270","L6C","June 30, 2006","TORONTO",9,NA,NA,9,1,0,7.55555555555556
"193","2006","2270","L6H","March 31, 2006","TORONTO",341,NA,NA,299,1.14046822742475,0,0.583333333333333
"194","2006","2270","L6J","March 31, 2006","TORONTO",51,NA,NA,51,1,0,0.490196078431373
"195","2006","2270","L6K","March 31, 2006","TORONTO",71,NA,NA,7,10.1428571428571,1.71428571428571,1.5
"196","2006","2270","L6L","March 31, 2006","TORONTO",260,NA,NA,197,1.31979695431472,0,0.753846153846154
"197","2006","2270","L6M","June 30, 2006","TORONTO",1,NA,NA,1,1,0,0
"198","2006","2270","L6R","September 30, 2006","TORONTO",131,NA,NA,64,2.046875,0,0.96875
"199","2006","2270","L6S","March 31, 2006","TORONTO",10,NA,NA,10,1,0,0.5
"200","2006","2270","L6X","June 30, 2006","TORONTO",1,NA,NA,1,1,0,0
"201","2006","2270","L7B","September 30, 2006","TORONTO",3,NA,NA,3,1,0,0
"202","2006","2270","L7E","June 30, 2006","TORONTO",40,NA,NA,23,1.73913043478261,0,0.739130434782609
"203","2006","2270","L7G","September 30, 2006","TORONTO",21,NA,NA,13,1.61538461538462,0,2.84615384615385
"204","2006","2270","L7J","June 30, 2006","TORONTO",31,NA,NA,31,1,0,0.419354838709677
"205","2006","2270","L7K","March 31, 2006","TORONTO",64,NA,NA,55,1.16363636363636,0,1.70909090909091
"206","2006","2270","L9P","December 31, 2006","TORONTO",198,NA,NA,187,1.05882352941176,0,0.122994652406417
"207","2006","2270","L9R","March 31, 2006","TORONTO",214,NA,NA,143,1.4965034965035,0,0.0839160839160839
"208","2006","2270","L9T","March 31, 2006","TORONTO",2,NA,NA,2,1,0,1.5
"209","2006","2270","L9W","March 31, 2006","TORONTO",69,NA,NA,67,1.02985074626866,0,0.626865671641791
"210","2006","2270","M1B","March 31, 2006","TORONTO",44,NA,NA,8,5.5,0,1.5
"211","2006","2270","M1C","March 31, 2006","TORONTO",284,NA,NA,189,1.5026455026455,0,4.55555555555556
"212","2006","2270","M1E","September 30, 2006","TORONTO",26,NA,NA,18,1.44444444444444,0,3.61111111111111
"213","2006","2270","M1J","December 31, 2006","TORONTO",4,NA,NA,4,1,0,2
"214","2006","2270","M1K","September 30, 2006","TORONTO",7,NA,NA,6,1.16666666666667,0,6.16666666666667
"215","2006","2270","M1L","September 30, 2006","TORONTO",9,NA,NA,9,1,0,5.55555555555556
"216","2006","2270","M1M","June 30, 2006","TORONTO",51,NA,NA,19,2.68421052631579,0,3.05263157894737
"217","2006","2270","M1N","September 30, 2006","TORONTO",14,NA,NA,14,1,0,4.21428571428571
"218","2006","2270","M1P","June 30, 2006","TORONTO",74,NA,NA,14,5.28571428571429,0,1.42857142857143
"219","2006","2270","M1S","September 30, 2006","TORONTO",2,NA,NA,2,1,0,3.5
"220","2006","2270","M1T","March 31, 2006","TORONTO",2,NA,NA,2,1,0,3.5
"221","2006","2270","M1V","September 30, 2006","TORONTO",11,NA,NA,1,11,0,4
"222","2006","2270","M2J","March 31, 2006","TORONTO",2,NA,NA,2,1,0,0
"223","2006","2270","M2K","December 31, 2006","TORONTO",2,NA,NA,2,1,0,1
"224","2006","2270","M2L","June 30, 2006","TORONTO",10,NA,NA,10,1,0,1
"225","2006","2270","M2M","September 30, 2006","TORONTO",34,NA,NA,34,1,0,0.896551724137931
"226","2006","2270","M2N","March 31, 2006","TORONTO",352,NA,NA,44,8,0,0.435897435897436
"227","2006","2270","M2P","March 31, 2006","TORONTO",42,NA,NA,42,1,0,0.378378378378378
"228","2006","2270","M2R","June 30, 2006","TORONTO",85,NA,NA,17,5,0.411764705882353,0.0666666666666667
"229","2006","2270","M3A","June 30, 2006","TORONTO",1,NA,NA,1,1,0,2
"230","2006","2270","M3B","June 30, 2006","TORONTO",23,NA,NA,23,1,0,0.521739130434783
"231","2006","2270","M3C","June 30, 2006","TORONTO",4,NA,NA,4,1,0,0.25
"232","2006","2270","M3H","March 31, 2006","TORONTO",154,NA,NA,29,5.31034482758621,0,0.956521739130435
"233","2006","2270","M3K","June 30, 2006","TORONTO",23,NA,NA,23,1,0,1.4
"234","2006","2270","M3M","December 31, 2006","TORONTO",1,NA,NA,1,1,0,NA
"235","2006","2270","M3N","June 30, 2006","TORONTO",24,NA,NA,14,1.71428571428571,0,0
"236","2006","2270","M4B","September 30, 2006","TORONTO",4,NA,NA,4,1,0,0
"237","2006","2270","M4C","March 31, 2006","TORONTO",34,NA,NA,10,3.4,0,0.857142857142857
"238","2006","2270","M4E","March 31, 2006","TORONTO",66,NA,NA,13,5.07692307692308,0,0.461538461538462
"239","2006","2270","M4G","March 31, 2006","TORONTO",249,NA,NA,23,10.8260869565217,0.347826086956522,1.52380952380952
"240","2006","2270","M4H","June 30, 2006","TORONTO",87,NA,NA,4,21.75,0.75,13
"241","2006","2270","M4J","March 31, 2006","TORONTO",3,NA,NA,3,1,0,0
"242","2006","2270","M4K","December 31, 2006","TORONTO",7,NA,NA,7,1,0,0
"243","2006","2270","M4L","March 31, 2006","TORONTO",64,NA,NA,25,2.56,0,0.75
"244","2006","2270","M4M","December 31, 2006","TORONTO",124,NA,NA,7,17.7142857142857,0,0
"245","2006","2270","M4N","March 31, 2006","TORONTO",44,NA,NA,44,1,0,0.375
"246","2006","2270","M4P","June 30, 2006","TORONTO",449,NA,NA,10,44.9,1.9,1.2
"247","2006","2270","M4R","June 30, 2006","TORONTO",2,NA,NA,2,1,0,0
"248","2006","2270","M4S","March 31, 2006","TORONTO",111,NA,NA,12,9.25,0.666666666666667,0.583333333333333
"249","2006","2270","M4T","December 31, 2006","TORONTO",34,NA,NA,8,4.25,0,0.6
"250","2006","2270","M4V","September 30, 2006","TORONTO",12,NA,NA,9,1.33333333333333,0,0.333333333333333
"251","2006","2270","M4W","June 30, 2006","TORONTO",8,NA,NA,8,1,0,0.428571428571429
"252","2006","2270","M4X","March 31, 2006","TORONTO",14,NA,NA,3,4.66666666666667,0,1
"253","2006","2270","M4Y","December 31, 2006","TORONTO",557,NA,NA,3,185.666666666667,15.3333333333333,1.5
"254","2006","2270","M5A","June 30, 2006","TORONTO",540,NA,NA,7,77.1428571428571,1.85714285714286,5.33333333333333
"255","2006","2270","M5J","March 31, 2006","TORONTO",1,NA,NA,1,1,0,0
"256","2006","2270","M5M","September 30, 2006","TORONTO",113,NA,NA,92,1.22826086956522,0.0652173913043478,1.1
"257","2006","2270","M5N","March 31, 2006","TORONTO",30,NA,NA,29,1.03448275862069,0,1.42857142857143
"258","2006","2270","M5P","March 31, 2006","TORONTO",16,NA,NA,16,1,0,0.625
"259","2006","2270","M5R","June 30, 2006","TORONTO",437,NA,NA,10,43.7,4.1,2.1
"260","2006","2270","M5S","June 30, 2006","TORONTO",716,NA,NA,4,179,19.5,0
"261","2006","2270","M5T","December 31, 2006","TORONTO",9,NA,NA,2,4.5,0,0.5
"262","2006","2270","M5V","December 31, 2006","TORONTO",1231,NA,NA,6,205.166666666667,7.83333333333333,3.75
"263","2006","2270","M6A","September 30, 2006","TORONTO",3,NA,NA,3,1,0,0.333333333333333
"264","2006","2270","M6B","March 31, 2006","TORONTO",46,NA,NA,46,1,0,1.11904761904762
"265","2006","2270","M6C","September 30, 2006","TORONTO",6,NA,NA,5,1.2,0,1
"266","2006","2270","M6E","September 30, 2006","TORONTO",14,NA,NA,11,1.27272727272727,0,1.22222222222222
"267","2006","2270","M6G","December 31, 2006","TORONTO",14,NA,NA,4,3.5,0,1
"268","2006","2270","M6H","March 31, 2006","TORONTO",83,NA,NA,8,10.375,0,6.75
