"ref_yy","metcode","dweltype","mkttycd","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","reference_period_qq","ref_qq","population","starts_per_10kpop"
"1988","1265",4,3,"September 30, 1988",NA,353,NA,NA,55,6.41818181818182,0.0727272727272727,0.0545454545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,5.16781153838899
"1988","1700",5,3,"September 30, 1988","SASKATOON",150,NA,NA,4,37.5,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,6.94079602786572
"1988","1400",1,1,"June 30, 1988",NA,1783,NA,NA,1783,1,0,0.130483689538808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,27.5676130381872
"1988","2680",5,0,"December 31, 1988","WINNIPEG",6,NA,NA,1,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,0.0900997024837246
"1988","1265",5,2,"June 30, 1988",NA,498,NA,NA,12,41.5,0,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,7.29056698616917
"1988","2410",1,1,"June 30, 1988",NA,6049,NA,NA,6049,1,0,0.0896312220936001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,38.7208857218574
"1988","1265",4,1,"June 30, 1988",NA,579,NA,NA,108,5.36111111111111,0,0.0833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,8.47638209837741
"1988","2440",5,2,"December 31, 1988","VICTORIA",219,NA,NA,5,43.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",283268.492,7.73118105913453
"1988","1400",5,1,"June 30, 1988",NA,11,NA,NA,5,2.2,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,0.170075010330936
"1988","1490",5,3,"September 30, 1988","REGINA",117,NA,NA,2,58.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,5.98205019881906
"1988","2410",4,4,"September 30, 1988","VANCOUVER",242,NA,NA,33,7.33333333333333,0,0.272727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,1.54909147705232
"1988","1265",1,2,"September 30, 1988",NA,2,NA,NA,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,0.0292793854866232
"1988","0580",1,1,"September 30, 1988",NA,870,NA,NA,870,1,0,0.118390804597701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,26.6105535938446
"1988","1265",2,1,"December 31, 1988",NA,70,NA,NA,35,2,0,0.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,1.02477849203181
"1988","2680",1,1,"June 30, 1988","WINNIPEG",1761,NA,NA,1761,1,0,0.121729237770193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,26.4442626789732
"1988","1400",2,3,"September 30, 1988",NA,2,NA,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,0.0309227291510793
"1988","1265",5,3,"December 31, 1988",NA,745,NA,NA,6,124.166666666667,2.5,-0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,10.9065710937671
"1988","2270",5,3,"December 31, 1988","TORONTO",5188,NA,NA,32,162.125,1.46875,0.84375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,13.2442748603151
"1988","2410",2,1,"December 31, 1988","VANCOUVER",136,NA,NA,68,2,0,0.0441176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,0.870563805285603
"1988","0580",5,4,"September 30, 1988",NA,36,NA,NA,3,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,1.10112635560736
"1988","0140",2,1,"December 31, 1988","CALGARY",312,NA,NA,156,2,0,0.0576923076923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",724449.865,4.30671624184787
"1988","0140",5,1,"June 30, 1988","CALGARY",15,NA,NA,4,3.75,0,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",724449.865,0.207053665473456
"1988","1060",2,1,"September 30, 1988",NA,350,NA,NA,178,1.96629213483146,0,0.595505617977528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,1.04424600713817
"1988","1700",1,1,"June 30, 1988","SASKATOON",425,NA,NA,425,1,0,0.171764705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",216113.54,19.6655887456195
"1988","1490",1,3,"September 30, 1988","REGINA",11,NA,NA,11,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,0.562414975957348
"1988","1060",5,4,"September 30, 1988",NA,418,NA,NA,20,20.9,0,0.722222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,1.24712808852502
"1988","1400",4,2,"September 30, 1988",NA,22,NA,NA,4,5.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,0.340150020661872
"1988","0340",4,2,"June 30, 1988",NA,4,NA,NA,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,0.0486933872708686
"1988","1490",4,1,"December 31, 1988","REGINA",8,NA,NA,2,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,0.409029073423526
"1988","2270",4,2,"December 31, 1988","TORONTO",49,NA,NA,8,6.125,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,0.125090491163346
"1988","2270",4,1,"December 31, 1988","TORONTO",790,NA,NA,116,6.81034482758621,0,0.198275862068966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,2.01676506161313
"1988","1265",1,1,"June 30, 1988",NA,2799,NA,NA,2799,1,0,0.123611608742386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,40.9764999885291
"1988","0610",1,1,"June 30, 1988",NA,2498,NA,NA,2498,1,0,0.0940752602081665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",607581.042,41.1138568737634
"1988","0610",2,1,"December 31, 1988",NA,8,NA,NA,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",607581.042,0.131669677738233
"1988","2680",1,3,"September 30, 1988","WINNIPEG",4,NA,NA,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,0.0600664683224831
"1988","1060",5,1,"December 31, 1988",NA,39,NA,NA,12,3.25,0.166666666666667,1.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,0.116358840795396
"1988","1060",5,3,"December 31, 1988",NA,2985,NA,NA,148,20.1689189189189,0.5,0.687022900763359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,8.90592666087842
"1988","0340",5,2,"December 31, 1988","EDMONTON",252,NA,NA,2,126,4.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,3.06768339806472
"1988","1490",2,2,"September 30, 1988","REGINA",10,NA,NA,5,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,0.511286341779407
"1988","1060",4,4,"September 30, 1988",NA,48,NA,NA,6,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,0.143210880978949
"1988","2410",1,3,"September 30, 1988","VANCOUVER",45,NA,NA,45,1,0,0.155555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,0.288054200278324
"1988","0340",4,1,"September 30, 1988","EDMONTON",126,NA,NA,36,3.5,0,0.0555555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,1.53384169903236
"1988","2680",5,3,"June 30, 1988","WINNIPEG",152,NA,NA,5,30.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,2.28252579625436
"1988","0580",1,2,"September 30, 1988",NA,22,NA,NA,22,1,0,0.181818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,0.672910550648943
"1988","1060",4,3,"June 30, 1988",NA,43,NA,NA,9,4.77777777777778,0,0.444444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,0.128293080876976
"1988","2410",4,1,"December 31, 1988","VANCOUVER",9,NA,NA,3,3,0,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,0.0576108400556649
"1988","0340",1,1,"June 30, 1988","EDMONTON",2218,NA,NA,2218,1,0,0.0991884580703336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",821466.779,27.0004832416966
"1988","1400",5,2,"September 30, 1988",NA,1285,NA,NA,138,9.31159420289855,0,0.173913043478261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,19.8678534795684
"1988","1490",4,4,"June 30, 1988","REGINA",46,NA,NA,1,46,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,2.35191717218527
"1988","1265",5,1,"December 31, 1988",NA,16,NA,NA,4,4,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,0.234235083892985
"1988","2410",5,3,"September 30, 1988","VANCOUVER",2496,NA,NA,100,24.96,0.06,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",1562206,15.9774063087711
"1988","0580",2,4,"December 31, 1988",NA,26,NA,NA,13,2,0,0.384615384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",326937.956,0.795257923494206
"1988","2270",5,4,"September 30, 1988","TORONTO",172,NA,NA,2,86,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,0.439093152655011
"1988","2680",2,1,"December 31, 1988","WINNIPEG",40,NA,NA,20,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",665928.947,0.60066468322483
"1988","1490",4,3,"September 30, 1988","REGINA",48,NA,NA,4,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",195585.119,2.45417444054115
"1988","0140",1,1,"June 30, 1988","CALGARY",2135,NA,NA,2135,1,0,0.271662763466042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",724449.865,29.4706383857218
"1988","1265",2,2,"September 30, 1988",NA,12,NA,NA,6,2,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",683074.4453,0.175676312919739
"1988","2270",4,3,"September 30, 1988","TORONTO",649,NA,NA,94,6.90425531914894,0.0425531914893617,0.127659574468085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3917164.25,1.65681079112269
"1988","1060",5,2,"June 30, 1988",NA,4756,NA,NA,649,7.32819722650231,0.0816640986132511,0.46801872074883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,14.1898114569976
"1988","1400",5,3,"December 31, 1988",NA,182,NA,NA,8,22.75,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",646773.443,2.81396835274821
"1988","1060",1,2,"December 31, 1988",NA,1,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,0.00298356002039478
"1988","1060",4,2,"September 30, 1988",NA,44,NA,NA,13,3.38461538461538,0,0.615384615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",3351700.63,0.13127664089737
"1988","0610",4,2,"June 30, 1988",NA,70,NA,NA,11,6.36363636363636,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1988-4","4",607581.042,1.15210968020954
