"ref_yy","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","reference_period_qq","ref_qq","population","starts_per_10kpop"
"1990","1700","June 30, 1990","SASKATOON",410,NA,NA,275,1.49090909090909,0,0.341818181818182,"1990-4","4",217086.473,18.8864830836328
"1990","0610","March 31, 1990",NA,2969,NA,NA,1609,1.84524549409571,0,0.52827843380982,"1990-4","4",619584.027,47.9192469563132
"1990","1060","December 31, 1990",NA,21101,NA,NA,12050,1.75112033195021,0.0406639004149378,1.59065979724115,"1990-4","4",3408409.74,61.9086366065836
"1990","0140","March 31, 1990","CALGARY",7004,NA,NA,5814,1.2046783625731,0.00240798073615411,0.519516407599309,"1990-4","4",764404.198,91.6269169939854
"1991","1490","September 30, 1991","REGINA",189,NA,NA,168,1.125,0.0297619047619048,0.46969696969697,"1991-4","4",196775.477,9.60485538551128
"1991","0140","March 31, 1991","CALGARY",4750,NA,NA,4316,1.10055607043559,0,0.377896200185357,"1991-4","4",779040.068,60.9724736263501
"1991","2270","June 30, 1991","TORONTO",18814,NA,NA,10078,1.86683865846398,0.0318515578487795,1.95650872817955,"1991-4","4",4088768.17,46.0138584966533
"1991","1060","March 31, 1991",NA,17882,NA,NA,10684,1.67371770872332,0.0483901160614002,0.522542916430862,"1991-4","4",3423256.37,52.2368121672406
"1991","1400","March 31, 1991",NA,6523,NA,NA,3804,1.71477392218717,0,0.174290220820189,"1991-4","4",673687.546,96.8253018588531
"1991","0610","June 30, 1991","HAMILTON",2498,NA,NA,961,2.5993756503642,0.00312174817898023,1.25494276795005,"1991-4","4",623080.796,40.0911088262781
"1991","0340","March 31, 1991","EDMONTON",4285,NA,NA,3248,1.31927339901478,0.00184729064039409,0.546831530139104,"1991-4","4",867285.286,49.4070413642415
"1991","1700","September 30, 1991","SASKATOON",305,NA,NA,235,1.29787234042553,0,0.34468085106383,"1991-4","4",219336.144,13.9055968814697
"1991","1265","June 30, 1991",NA,4475,NA,NA,2067,2.16497339138849,0,1.16787614900822,"1991-4","4",730484.4725,61.2607135191364
"1991","2410","March 31, 1991","VANCOUVER",14769,NA,NA,7672,1.92505213764338,0.0298488008342023,0.633472367049009,"1991-4","4",1683577.65,87.7239015378946
"1991","2440","March 31, 1991","VICTORIA",2129,NA,NA,1292,1.64783281733746,0.00154798761609907,0.424148606811146,"1991-4","4",300363.649,70.8807476233584
"1991","0580","September 30, 1991",NA,2938,NA,NA,907,3.23925027563396,0,0.0661521499448732,"1991-4","4",339543.428,86.5279595398324
"1991","2680","March 31, 1991","WINNIPEG",1349,NA,NA,1013,1.33168805528134,0,1.0898321816387,"1991-4","4",678041.227,19.8955453780984
"1992","2680","June 30, 1992","WINNIPEG",1620,NA,NA,1273,1.2725844461901,0.00471327572663001,0.710919088766693,"1992-4","4",680620.854,23.801797880263
"1992","1490","March 31, 1992","REGINA",666,NA,NA,556,1.19784172661871,0,0.279279279279279,"1992-4","4",198087.61,33.6214869774036
"1992","1700","June 30, 1992","SASKATOON",464,NA,NA,351,1.32193732193732,0,0.182336182336182,"1992-4","4",221094.419,20.9865089358045
"1992","2270","June 30, 1992",NA,20770,NA,NA,9903,2.09734423911946,0.0518024840957286,1.99594526102382,"1992-4","4",4140645.05,50.1612665398595
"1992","0580","March 31, 1992",NA,2420,NA,NA,1426,1.69705469845722,0,0.0757363253856942,"1992-4","4",342512.019,70.6544549025008
"1992","2440","June 30, 1992",NA,2421,NA,NA,1274,1.90031397174254,0.0164835164835165,0.650706436420722,"1992-4","4",304634.669,79.4722415523888
"1992","0140","March 31, 1992","CALGARY",7034,NA,NA,6264,1.12292464878672,0,0.279693486590038,"1992-4","4",789289.723,89.1180994130339
"1992","1265","September 30, 1992",NA,5830,NA,NA,2854,2.0427470217239,0.0129642606867554,1.85459004905396,"1992-4","4",743046.718,78.4607462595643
"1992","0610","September 30, 1992","HAMILTON",2632,NA,NA,1365,1.92820512820513,0,1.49084249084249,"1992-4","4",625032.573,42.1098053716954
"1992","0340","March 31, 1992","EDMONTON",6764,NA,NA,5050,1.33940594059406,0.00138613861386139,0.302483974358974,"1992-4","4",875231.647,77.2823974451189
"1992","2410","June 30, 1992","VANCOUVER",18684,NA,NA,8819,2.11860755187663,0.0463771402653362,0.609888863687911,"1992-4","4",1726331.88,108.229479026941
"1992","1060","June 30, 1992",NA,14520,NA,NA,8337,1.74163368118028,0.100035984166967,0.492270237370663,"1992-4","4",3445360.14,42.1436349466793
"1992","1400","March 31, 1992",NA,6300,NA,NA,2831,2.22536206287531,0,0.285411515365595,"1992-4","4",681504.394,92.4425441048587
"1993","1490","September 30, 1993","REGINA",563,NA,NA,441,1.27664399092971,0,0.13905325443787,"1993-4","4",198659.02,28.3400169798482
"1993","0610","June 30, 1993",NA,2989,NA,NA,1751,1.70702455739577,0,1.32438606510565,"1993-4","4",629796.445,47.4597788496567
"1993","2410","March 31, 1993","VANCOUVER",21307,NA,NA,7877,2.70496381871271,0.0874698489272566,0.688713977402564,"1993-4","4",1780597.35,119.662089803739
"1993","1060","June 30, 1993",NA,13729,NA,NA,7875,1.74336507936508,0.0698412698412698,0.371593291404612,"1993-4","4",3466155.56,39.6087243124195
"1993","1400","March 31, 1993",NA,4699,NA,NA,2291,2.05106940200786,0,0.216062854648625,"1993-4","4",686578.071,68.4408692686021
"1993","0140","June 30, 1993","CALGARY",6629,NA,NA,5576,1.18884505021521,0,0.296269727403156,"1993-4","4",803617.45,82.4894979570192
"1993","1700","March 31, 1993","SASKATOON",593,NA,NA,342,1.73391812865497,0.0087719298245614,0.207602339181287,"1993-4","4",222880.121,26.6062310689431
"1993","1265","March 31, 1993",NA,4421,NA,NA,2281,1.93818500657606,0.0105217010083297,1.38579570363875,"1993-4","4",755931.9272,58.4841020854292
"1993","2680","June 30, 1993","WINNIPEG",1540,NA,NA,1232,1.25,0.00162337662337662,0.542207792207792,"1993-4","4",682176.683,22.5747967993799
