"","ref_yy","CSDuid","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","population","inventory_per_10kpop"
"359","1989","2472150","December 31, 1989","1060",NA,NA,23,25,0.92,0,4,"3384308.91",0.0679606992495256
"360","1989","2472180","December 31, 1989","1060",NA,NA,3,5,0.6,0,4,"3384308.91",0.00886443903254682
"361","1989","2472200","December 31, 1989","1060",NA,NA,0,4,0,0,4,"3384308.91",0
"362","1989","2472230","December 31, 1989","1060",NA,NA,4,6,0.666666666666667,0,4,"3384308.91",0.0118192520433958
"363","1989","2472260","December 31, 1989","1060",NA,NA,38,44,0.863636363636364,0.136363636363636,4,"3384308.91",0.11228289441226
"364","1989","2472360","December 31, 1989","1060",NA,NA,10,7,1.42857142857143,0,4,"3384308.91",0.0295481301084894
"365","1989","2472400","December 31, 1989","1060",NA,NA,20,37,0.540540540540541,0,4,"3384308.91",0.0590962602169788
"366","1989","2473120","December 31, 1989","1060",NA,NA,45,55,0.818181818181818,0,4,"3384308.91",0.132966585488202
"367","1989","2473180","December 31, 1989","1060",NA,NA,28,33,0.848484848484849,0,4,"3384308.91",0.0827347643037704
"368","1989","2473200","December 31, 1989","1060",NA,NA,13,18,0.722222222222222,0,4,"3384308.91",0.0384125691410362
"369","1989","2473240","December 31, 1989","1060",NA,NA,8,12,0.666666666666667,0,4,"3384308.91",0.0236385040867915
"370","1989","2473300","December 31, 1989","1060",NA,NA,21,25,0.84,0,4,"3384308.91",0.0620510732278278
"371","1989","2473380","December 31, 1989","1060",NA,NA,1,4,0.25,0,4,"3384308.91",0.00295481301084894
"372","1989","2473500","December 31, 1989","1060",NA,NA,0,1,0,0,4,"3384308.91",0
"373","1989","2473580","December 31, 1989","1060",NA,NA,1,1,1,0,4,"3384308.91",0.00295481301084894
"374","1989","2473650","December 31, 1989","1060",NA,NA,12,41,0.292682926829268,0,4,"3384308.91",0.0354577561301873
"375","1989","3503016","December 31, 1989","1265",NA,NA,0,10,0,0,4,"712715.6858770581",0
"376","1989","3503021","December 31, 1989","1265",NA,NA,10,10,1,0.3,4,"712715.6858770581",0.140308403451148
"377","1989","3506001","December 31, 1989","1265",NA,NA,5,25,0.2,0,4,"712715.6858770581",0.070154201725574
"378","1989","3506004","December 31, 1989","1265",NA,NA,87,70,1.24285714285714,0.0571428571428571,4,"712715.6858770581",1.22068311002499
"379","1989","3506006","December 31, 1989","1265",NA,NA,59,84,0.702380952380952,0,4,"712715.6858770581",0.827819580361774
"380","1989","3506009","December 31, 1989","1265",NA,NA,0,1,0,0,4,"712715.6858770581",0
"381","1989","3506012","December 31, 1989","1265",NA,NA,105,129,0.813953488372093,0.0542635658914729,4,"712715.6858770581",1.47323823623706
"382","1989","3506014","December 31, 1989","1265",NA,NA,232,108,2.14814814814815,0.388888888888889,4,"712715.6858770581",3.25515496006664
"383","1989","3506018","December 31, 1989","1265",NA,NA,3,13,0.230769230769231,0,4,"712715.6858770581",0.0420925210353444
"384","1989","3506027","December 31, 1989","1265",NA,NA,26,67,0.388059701492537,0,4,"712715.6858770581",0.364801848972985
"385","1989","3506030","December 31, 1989","1265","OTTAWA","MISSISSIPPI MILLS T",60,79,0.759493670886076,0,4,"712715.6858770581",0.841850420706889
"386","1989","3506042","December 31, 1989","1265",NA,NA,2,20,0.1,0,4,"712715.6858770581",0.0280616806902296
"387","1989","3518001","December 31, 1989","2270","TORONTO","PICKERING CY",1,46,0.0217391304347826,0,4,"3983955.1799999997",0.00251006839891206
"388","1989","3518005","December 31, 1989","2270","TORONTO","TORONTO C",2,51,0.0392156862745098,0,4,"3983955.1799999997",0.00502013679782412
"389","1989","3518029","December 31, 1989","2270","TORONTO","UXBRIDGE TP",3,6,0.5,0,4,"3983955.1799999997",0.00753020519673617
"390","1989","3519028","December 31, 1989","2270","TORONTO","VAUGHAN CY",85,156,0.544871794871795,0,4,"3983955.1799999997",0.213355813907525
"391","1989","3519036","December 31, 1989","2270","TORONTO","MARKHAM CY",51,79,0.645569620253165,0,4,"3983955.1799999997",0.128013488344515
