"ref_yy","CSDuid","date_pbi","metcode","metro","municipality","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","reference_period_qq","ref_qq","population","comp_per_10kpop"
"1988","2470110","September 30, 1988","1060",NA,NA,9,NA,NA,9,1,0,3.125,"1988-4","4",3351700.63,0.026852040183553
"1988","4712058","December 31, 1988","1700","SASKATOON","VANSCOY VL",11,NA,NA,2,5.5,0,18,"1988-4","4",216113.54,0.508991708710153
"1988","2469600","December 31, 1988","1060",NA,NA,239,NA,NA,170,1.40588235294118,0.0529411764705882,5.21739130434783,"1988-4","4",3351700.63,0.713070844874353
"1988","5915039","September 30, 1988","2410","VANCOUVER","PORT COQUITLAM CY",352,NA,NA,277,1.27075812274368,0.0144404332129964,3.6353591160221,"1988-4","4",1562206,2.25322396662156
"1988","3518005","September 30, 1988","2270","TORONTO","AJAX T",1041,NA,NA,784,1.32780612244898,0.00255102040816327,7.70734908136483,"1988-4","4",3917164.25,2.65753472042945
"1988","2421420","June 30, 1988","1400",NA,NA,86,NA,NA,64,1.34375,0,5.6,"1988-4","4",646773.443,1.32967735349641
"1988","2465620","December 31, 1988","1060",NA,NA,96,NA,NA,40,2.4,0.025,7.92857142857143,"1988-4","4",3351700.63,0.286421761957899
"1988","2473240","December 31, 1988","1060",NA,NA,34,NA,NA,34,1,0,4.06666666666667,"1988-4","4",3351700.63,0.101441040693423
"1988","3525003","December 31, 1988","0610",NA,NA,354,NA,NA,319,1.10971786833856,0,4.97260273972603,"1988-4","4",607581.042,5.82638323991682
"1988","1209008","December 31, 1988","0580",NA,NA,130,NA,NA,96,1.35416666666667,0,5.09756097560976,"1988-4","4",326937.956,3.97628961747103
"1988","1209018","September 30, 1988","0580",NA,NA,167,NA,NA,133,1.25563909774436,0,4.66666666666667,"1988-4","4",326937.956,5.10800281628971
"1988","2420270","September 30, 1988","1400",NA,NA,2,NA,NA,2,1,0,6,"1988-4","4",646773.443,0.0309227291510793
"1988","4611040","June 30, 1988","2680","WINNIPEG","WINNIPEG CY",2564,NA,NA,1817,1.41111722619703,0.0467804072647221,5.85308385308385,"1988-4","4",665928.947,38.5026061947116
"1988","4711070","September 30, 1988","1700","SASKATOON","MARTENSVILLE CY",41,NA,NA,41,1,0,4.8695652173913,"1988-4","4",216113.54,1.8971509142833
"1988","4811049","December 31, 1988","0340","EDMONTON","SPRUCE GROVE CY",37,NA,NA,37,1,0,3.81481481481481,"1988-4","4",821466.779,0.450413832255534
"1988","4706031","September 30, 1988","1490","REGINA","PILOT BUTTE T",5,NA,NA,5,1,0,5.4,"1988-4","4",195585.119,0.255643170889704
"1988","4811069","December 31, 1988","0340","EDMONTON","LEGAL T",1,NA,NA,1,1,0,NA,"1988-4","4",821466.779,0.0121733468177171
"1988","2465180","June 30, 1988","1060",NA,NA,116,NA,NA,12,9.66666666666667,0.75,6.75,"1988-4","4",3351700.63,0.346092962365795
"1988","2465440","September 30, 1988","1060",NA,NA,178,NA,NA,22,8.09090909090909,0.909090909090909,8.65,"1988-4","4",3351700.63,0.531073683630271
"1988","2465740","September 30, 1988","1060",NA,NA,122,NA,NA,20,6.1,2.25,4.6875,"1988-4","4",3351700.63,0.363994322488163
"1988","3518029","December 31, 1988","2270","TORONTO","UXBRIDGE TP",140,NA,NA,79,1.77215189873418,0,8.95774647887324,"1988-4","4",3917164.25,0.357401403323846
"1988","2415780","September 30, 1988","1400",NA,NA,18,NA,NA,17,1.05882352941176,0,5.5,"1988-4","4",646773.443,0.278304562359713
"1988","2416500","December 31, 1988","1400",NA,NA,11,NA,NA,10,1.1,0,4.83333333333333,"1988-4","4",646773.443,0.170075010330936
