"ref_yy","metcode","gcd_ct_centroid_fsa","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price"
"2006","0580","B3M",5,3,"June 30, 2006","HALIFAX",137,NA,NA,3,45.6666666666667,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J6Y",5,1,"June 30, 2006","MONTRÉAL",14,NA,NA,7,2,1.28571428571429,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L0G",5,3,"June 30, 2006","TORONTO",65,NA,NA,1,65,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2680","nan",4,3,"September 30, 2006","WINNIPEG",55,NA,NA,9,6.11111111111111,0,8.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0140","T3E",4,3,"June 30, 2006","CALGARY",57,NA,NA,10,5.7,0,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T0B",1,1,"December 31, 2006","EDMONTON",4,NA,NA,4,1,0,6.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T6C",5,3,"March 31, 2006","EDMONTON",54,NA,NA,2,27,3.5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T6E",5,3,"September 30, 2006","EDMONTON",40,NA,NA,3,13.3333333333333,3.66666666666667,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","nan",2,3,"June 30, 2006","EDMONTON",352,NA,NA,176,2,0,10.49375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H4E",5,2,"December 31, 2006","MONTRÉAL",62,NA,NA,4,15.5,3,8.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J4K",4,1,"June 30, 2006","MONTRÉAL",3,NA,NA,1,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1700","S7N",2,1,"December 31, 2006","SASKATOON",10,NA,NA,5,2,0,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L3P",1,1,"December 31, 2006","TORONTO",2,NA,NA,2,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L4P",1,1,"December 31, 2006","TORONTO",238,NA,NA,238,1,0,5.61386138613861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L6Y",4,3,"March 31, 2006","TORONTO",96,NA,NA,16,6,0,8.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L7J",1,1,"June 30, 2006","TORONTO",42,NA,NA,42,1,0,6.70731707317073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L9T",2,1,"March 31, 2006","TORONTO",14,NA,NA,7,2,0,8.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V7A",1,1,"June 30, 2006","VANCOUVER",65,NA,NA,65,1,0,6.40625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T5X",5,3,"June 30, 2006","EDMONTON",91,NA,NA,1,91,4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H1S",5,3,"March 31, 2006","MONTRÉAL",29,NA,NA,1,29,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H7A",4,3,"June 30, 2006","MONTRÉAL",4,NA,NA,1,4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H7N",5,1,"June 30, 2006","MONTRÉAL",2,NA,NA,1,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J0N",5,2,"December 31, 2006","MONTRÉAL",18,NA,NA,3,6,2,8.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J6Y",2,1,"June 30, 2006","MONTRÉAL",2,NA,NA,1,2,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J6Y",5,3,"June 30, 2006","MONTRÉAL",21,NA,NA,3,7,2,6.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","nan",2,1,"December 31, 2006","OTTAWA",246,NA,NA,123,2,0,5.74380165289256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G2E",5,2,"September 30, 2006","QUÉBEC",88,NA,NA,2,44,3.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1700","S7M",2,1,"March 31, 2006","SASKATOON",2,NA,NA,1,2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L5A",4,1,"March 31, 2006","TORONTO",11,NA,NA,1,11,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M1M",5,3,"September 30, 2006","TORONTO",225,NA,NA,1,225,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M2N",4,3,"September 30, 2006","TORONTO",24,NA,NA,4,6,0,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M4B",1,1,"September 30, 2006","TORONTO",3,NA,NA,3,1,0,11.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5G",4,3,"March 31, 2006","VANCOUVER",51,NA,NA,4,12.75,3,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H9H",5,1,"September 30, 2006","MONTRÉAL",4,NA,NA,2,2,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J6W",5,3,"September 30, 2006","MONTRÉAL",20,NA,NA,3,6.66666666666667,2.66666666666667,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G1X",5,2,"June 30, 2006","QUÉBEC",188,NA,NA,2,94,5.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G2B",2,1,"March 31, 2006","QUÉBEC",20,NA,NA,10,2,0,4.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1490","S4N",1,1,"September 30, 2006","REGINA",60,NA,NA,60,1,0,6.01724137931035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L4T",1,1,"September 30, 2006","TORONTO",4,NA,NA,4,1,0,9.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M3H",5,3,"March 31, 2006","TORONTO",105,NA,NA,1,105,8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5Y",2,1,"June 30, 2006","VANCOUVER",2,NA,NA,1,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2680","R3V",1,1,"March 31, 2006","WINNIPEG",2,NA,NA,2,1,0,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T5A",4,3,"June 30, 2006","EDMONTON",18,NA,NA,3,6,0,15.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0580","B3N",1,1,"March 31, 2006","HALIFAX",50,NA,NA,50,1,0,4.06382978723404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H9H",5,2,"June 30, 2006","MONTRÉAL",35,NA,NA,7,5,2.14285714285714,14.4285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J6A",1,1,"March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G0A",1,1,"June 30, 2006","QUÉBEC",327,NA,NA,327,1,0,5.04326923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L5J",1,3,"September 30, 2006","TORONTO",7,NA,NA,7,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H1X",5,3,"December 31, 2006","MONTRÉAL",28,NA,NA,8,3.5,0.75,6.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H9A",5,3,"September 30, 2006","MONTRÉAL",100,NA,NA,5,20,0,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J5Y",1,1,"June 30, 2006","MONTRÉAL",235,NA,NA,235,1,0,4.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V7T",1,1,"December 31, 2006","VANCOUVER",21,NA,NA,21,1,0,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J7V",4,3,"September 30, 2006","MONTRÉAL",39,NA,NA,10,3.9,1.6,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G2A",1,1,"September 30, 2006","QUÉBEC",11,NA,NA,11,1,0,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L6R",5,3,"December 31, 2006","TORONTO",49,NA,NA,1,49,3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V6C",5,3,"September 30, 2006","VANCOUVER",57,NA,NA,1,57,9,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2440","V8V",2,1,"September 30, 2006","VICTORIA",2,NA,NA,1,2,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2680","R2H",1,1,"September 30, 2006","WINNIPEG",3,NA,NA,3,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0140","T2T",2,1,"December 31, 2006","CALGARY",66,NA,NA,33,2,0,11.7878787878788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J7M",1,1,"June 30, 2006","MONTRÉAL",225,NA,NA,225,1,0,4.90789473684211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G2C",5,3,"December 31, 2006","QUÉBEC",120,NA,NA,20,6,2.4,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1700","nan",2,1,"September 30, 2006","SASKATOON",8,NA,NA,4,2,0,10.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H9S",1,1,"June 30, 2006","MONTRÉAL",8,NA,NA,8,1,0,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J5L",5,2,"June 30, 2006","MONTRÉAL",45,NA,NA,12,3.75,1.83333333333333,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J7Y",5,3,"June 30, 2006","MONTRÉAL",93,NA,NA,13,7.15384615384615,2.69230769230769,6.41666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
