"ref_yy","metcode","gcd_ct_centroid_fsa","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price"
"2006","1060","nan",2,1,"September 30, 2006","MONTRÉAL",250,NA,NA,125,2,0,6.10185185185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","K1V",1,1,"December 31, 2006","OTTAWA",61,NA,NA,61,1,0,4.56666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L3S",2,1,"March 31, 2006","TORONTO",2,NA,NA,1,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","nan",2,3,"September 30, 2006","VANCOUVER",132,NA,NA,66,2,0,8.06153846153846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2440","V8N",1,1,"June 30, 2006","VICTORIA",19,NA,NA,19,1,0,13.3684210526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0580","B3A",1,1,"June 30, 2006","HALIFAX",2,NA,NA,2,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H1A",5,3,"December 31, 2006","MONTRÉAL",24,NA,NA,3,8,3,7.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H7L",2,1,"September 30, 2006","MONTRÉAL",2,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J7M",5,2,"March 31, 2006","MONTRÉAL",36,NA,NA,7,5.14285714285714,0.857142857142857,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","K2C",1,1,"December 31, 2006","OTTAWA",40,NA,NA,40,1,0,7.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1490","S4T",1,2,"December 31, 2006","REGINA",1,NA,NA,1,1,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5K",1,1,"March 31, 2006","VANCOUVER",42,NA,NA,42,1,0,5.57142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0580","B2W",4,1,"June 30, 2006","HALIFAX",41,NA,NA,8,5.125,0,9.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0580","B4E",1,1,"June 30, 2006","HALIFAX",50,NA,NA,50,1,0,3.62790697674419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J3L",5,3,"December 31, 2006","MONTRÉAL",67,NA,NA,16,4.1875,1.6875,6.64285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J7T",1,1,"December 31, 2006","MONTRÉAL",4,NA,NA,4,1,0,7.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G1K",5,2,"September 30, 2006","QUÉBEC",59,NA,NA,4,14.75,0.75,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G1X",1,1,"June 30, 2006","QUÉBEC",40,NA,NA,40,1,0,4.03571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1700","nan",1,3,"June 30, 2006","SASKATOON",13,NA,NA,13,1,0,6.84615384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L1S",1,1,"March 31, 2006","TORONTO",2,NA,NA,2,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L5L",1,1,"December 31, 2006","TORONTO",4,NA,NA,4,1,0,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2440","V9C",1,2,"June 30, 2006","VICTORIA",1,NA,NA,1,1,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T9G",1,1,"September 30, 2006","EDMONTON",28,NA,NA,28,1,0,4.46428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0580","B0J",1,1,"June 30, 2006","HALIFAX",81,NA,NA,81,1,0,4.67142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H1J",1,1,"June 30, 2006","MONTRÉAL",6,NA,NA,6,1,0,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","K1N",5,3,"September 30, 2006","OTTAWA",280,NA,NA,3,93.3333333333333,0,20.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G6Z",4,1,"September 30, 2006","QUÉBEC",7,NA,NA,2,3.5,1.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M4R",1,1,"June 30, 2006","TORONTO",4,NA,NA,4,1,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V3H",1,1,"December 31, 2006","VANCOUVER",83,NA,NA,83,1,0,6.21686746987952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5V",1,1,"September 30, 2006","VANCOUVER",18,NA,NA,18,1,0,6.94117647058824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V6M",4,3,"December 31, 2006","VANCOUVER",12,NA,NA,3,4,1.66666666666667,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V6Y",1,1,"June 30, 2006","VANCOUVER",23,NA,NA,23,1,0,8.30434782608696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T5B",4,2,"June 30, 2006","EDMONTON",14,NA,NA,2,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0580","B2Y",5,3,"March 31, 2006","HALIFAX",24,NA,NA,1,24,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0610","L8J",1,1,"March 31, 2006","HAMILTON",53,NA,NA,53,1,0,5.30769230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H4A",5,2,"September 30, 2006","MONTRÉAL",3,NA,NA,1,3,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H4G",5,4,"March 31, 2006","MONTRÉAL",26,NA,NA,4,6.5,1.5,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J5Z",5,1,"December 31, 2006","MONTRÉAL",8,NA,NA,4,2,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","nan",1,1,"September 30, 2006","TORONTO",11646,NA,NA,11646,1,0,7.2735556931788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2680","R4L",1,1,"December 31, 2006","WINNIPEG",8,NA,NA,8,1,0,6.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T7Z",2,1,"March 31, 2006","EDMONTON",4,NA,NA,2,2,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0610","nan",1,1,"March 31, 2006","HAMILTON",867,NA,NA,867,1,0,7.19452054794521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J4Z",5,1,"March 31, 2006","MONTRÉAL",4,NA,NA,2,2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G6W",4,2,"September 30, 2006","QUÉBEC",4,NA,NA,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L9T",4,1,"March 31, 2006","TORONTO",33,NA,NA,7,4.71428571428571,0,7.42857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M2N",5,3,"June 30, 2006","TORONTO",745,NA,NA,4,186.25,16.5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V3W",1,3,"March 31, 2006","VANCOUVER",1,NA,NA,1,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J4Z",1,1,"September 30, 2006","MONTRÉAL",2,NA,NA,2,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1400","G2C",1,1,"June 30, 2006","QUÉBEC",65,NA,NA,65,1,0,5.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L7K",2,1,"September 30, 2006","TORONTO",4,NA,NA,2,2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M9B",1,1,"September 30, 2006","TORONTO",20,NA,NA,20,1,0,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V5R",2,1,"March 31, 2006","VANCOUVER",12,NA,NA,6,2,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2680","R1A",1,1,"June 30, 2006","WINNIPEG",50,NA,NA,50,1,0,5.6046511627907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2680","R3E",1,1,"June 30, 2006","WINNIPEG",24,NA,NA,24,1,0,4.1304347826087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T8A",1,1,"September 30, 2006","EDMONTON",8,NA,NA,8,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J5L",1,1,"September 30, 2006","MONTRÉAL",158,NA,NA,158,1,0,4.93814432989691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J7M",2,1,"September 30, 2006","MONTRÉAL",6,NA,NA,3,2,0,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L6R",4,1,"September 30, 2006","TORONTO",155,NA,NA,26,5.96153846153846,0,5.26086956521739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M3B",1,1,"June 30, 2006","TORONTO",21,NA,NA,21,1,0,11.8571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M6L",1,1,"September 30, 2006","TORONTO",11,NA,NA,11,1,0,10.3636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M9W",4,1,"December 31, 2006","TORONTO",22,NA,NA,4,5.5,0,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V3C",1,1,"September 30, 2006","VANCOUVER",9,NA,NA,9,1,0,7.11111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V3H",4,3,"March 31, 2006","VANCOUVER",60,NA,NA,12,5,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V6P",5,3,"September 30, 2006","VANCOUVER",19,NA,NA,1,19,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2440","V8V",4,3,"June 30, 2006","VICTORIA",12,NA,NA,3,4,0,6.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T5W",1,1,"September 30, 2006","EDMONTON",1,NA,NA,1,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","T8G",1,1,"March 31, 2006","EDMONTON",16,NA,NA,16,1,0,8.91666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J6K",2,1,"March 31, 2006","MONTRÉAL",10,NA,NA,5,2,0,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J7G",1,1,"June 30, 2006","MONTRÉAL",1,NA,NA,1,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J7J",5,2,"December 31, 2006","MONTRÉAL",29,NA,NA,7,4.14285714285714,2.28571428571429,5.57142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","K2G",1,1,"December 31, 2006","OTTAWA",11,NA,NA,11,1,0,4.81818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1700","S7K",1,1,"September 30, 2006","SASKATOON",5,NA,NA,5,1,0,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","L6H",2,1,"December 31, 2006","TORONTO",4,NA,NA,2,2,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V3B",1,1,"December 31, 2006","VANCOUVER",5,NA,NA,5,1,0,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V3M",1,1,"March 31, 2006","VANCOUVER",34,NA,NA,34,1,0,17.6176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V7C",1,1,"June 30, 2006","VANCOUVER",62,NA,NA,62,1,0,6.7741935483871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2440","V9C",2,1,"December 31, 2006","VICTORIA",6,NA,NA,3,2,0,9.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0580","B3A",5,3,"March 31, 2006","HALIFAX",36,NA,NA,1,36,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H2X",5,4,"December 31, 2006","MONTRÉAL",99,NA,NA,3,33,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J7R",5,2,"March 31, 2006","MONTRÉAL",97,NA,NA,3,32.3333333333333,2,13.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1700","S7J",1,3,"December 31, 2006","SASKATOON",6,NA,NA,6,1,0,7.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V3S",2,3,"March 31, 2006","VANCOUVER",10,NA,NA,5,2,0,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H3K",5,3,"September 30, 2006","MONTRÉAL",50,NA,NA,3,16.6666666666667,3.33333333333333,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J0N",5,1,"September 30, 2006","MONTRÉAL",10,NA,NA,5,2,0.8,5.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J4B",2,1,"December 31, 2006","MONTRÉAL",2,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J4K",2,1,"September 30, 2006","MONTRÉAL",10,NA,NA,5,2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1265","K1K",5,3,"June 30, 2006","OTTAWA",64,NA,NA,7,9.14285714285714,0,6.71428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2270","M4E",5,3,"September 30, 2006","TORONTO",72,NA,NA,1,72,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H2V",5,3,"March 31, 2006","MONTRÉAL",111,NA,NA,4,27.75,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","H9B",5,2,"June 30, 2006","MONTRÉAL",131,NA,NA,1,131,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J5W",1,1,"March 31, 2006","MONTRÉAL",169,NA,NA,169,1,0,4.03061224489796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2410","V6J",5,3,"December 31, 2006","VANCOUVER",59,NA,NA,2,29.5,7.5,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","2680","R2V",1,1,"September 30, 2006","WINNIPEG",33,NA,NA,33,1,0,6.11111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","0340","nan",5,3,"September 30, 2006","EDMONTON",1499,NA,NA,33,45.4242424242424,2.12121212121212,12.3030303030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006","1060","J6W",1,1,"March 31, 2006","MONTRÉAL",4,NA,NA,4,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
