"","ref_yy","metcode","gcd_ct_centroid_fsa","dweltype","mkttycd","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount"
"267","2006","1060","J4X",1,1,"December 31, 2006","MONTRÉAL",0,1,0,0
"268","2006","1060","J4X",2,1,"December 31, 2006","MONTRÉAL",1,1,1,0
"269","2006","1060","J4X",5,3,"December 31, 2006","MONTRÉAL",4,1,4,4
"270","2006","1060","J4Y",1,1,"December 31, 2006","MONTRÉAL",0,1,0,0
"271","2006","1060","J5B",1,1,"December 31, 2006","MONTRÉAL",3,4,0.75,0
"272","2006","1060","J5B",2,1,"December 31, 2006","MONTRÉAL",3,5,0.6,0
"273","2006","1060","J5L",1,1,"December 31, 2006","MONTRÉAL",13,24,0.541666666666667,0
"274","2006","1060","J5L",2,1,"December 31, 2006","MONTRÉAL",3,5,0.6,0
"275","2006","1060","J5L",5,1,"December 31, 2006","MONTRÉAL",2,1,2,2
"276","2006","1060","J5L",5,3,"December 31, 2006","MONTRÉAL",4,2,2,2
"277","2006","1060","J5R",1,1,"December 31, 2006","MONTRÉAL",8,22,0.363636363636364,0
"278","2006","1060","J5R",2,1,"December 31, 2006","MONTRÉAL",2,2,1,0
"279","2006","1060","J5R",5,3,"December 31, 2006","MONTRÉAL",4,1,4,3
"280","2006","1060","J5T",1,1,"December 31, 2006","MONTRÉAL",4,6,0.666666666666667,0
"281","2006","1060","J5T",5,3,"December 31, 2006","MONTRÉAL",5,1,5,3
"282","2006","1060","J5W",1,1,"December 31, 2006","MONTRÉAL",17,30,0.566666666666667,0
"283","2006","1060","J5W",2,1,"December 31, 2006","MONTRÉAL",4,4,1,0
"284","2006","1060","J5W",5,1,"December 31, 2006","MONTRÉAL",2,2,1,2
"285","2006","1060","J5W",5,3,"December 31, 2006","MONTRÉAL",13,4,3.25,2.25
"286","2006","1060","J5Y",1,1,"December 31, 2006","MONTRÉAL",15,33,0.454545454545455,0
"287","2006","1060","J5Y",5,3,"December 31, 2006","MONTRÉAL",5,3,1.66666666666667,2.66666666666667
"288","2006","1060","J5Z",1,1,"December 31, 2006","MONTRÉAL",9,19,0.473684210526316,0
"289","2006","1060","J5Z",2,1,"December 31, 2006","MONTRÉAL",9,9,1,0
"290","2006","1060","J5Z",5,3,"December 31, 2006","MONTRÉAL",86,18,4.77777777777778,2.33333333333333
"291","2006","1060","J6J",1,1,"December 31, 2006","MONTRÉAL",2,5,0.4,0
"292","2006","1060","J6J",2,1,"December 31, 2006","MONTRÉAL",1,1,1,0
"293","2006","1060","J6K",1,1,"December 31, 2006","MONTRÉAL",0,1,0,0
"294","2006","1060","J6K",5,3,"December 31, 2006","MONTRÉAL",3,2,1.5,3
"295","2006","1060","J6N",1,1,"December 31, 2006","MONTRÉAL",0,3,0,0
"296","2006","1060","J6R",1,1,"December 31, 2006","MONTRÉAL",0,8,0,0
"297","2006","1060","J6W",1,1,"December 31, 2006","MONTRÉAL",1,1,1,0
"298","2006","1060","J6W",5,3,"December 31, 2006","MONTRÉAL",7,2,3.5,3
"299","2006","1060","J6X",1,1,"December 31, 2006","MONTRÉAL",3,8,0.375,0
"300","2006","1060","J6X",5,3,"December 31, 2006","MONTRÉAL",5,1,5,2
"301","2006","1060","J6Y",1,1,"December 31, 2006","MONTRÉAL",4,9,0.444444444444444,0
"302","2006","1060","J6Y",5,3,"December 31, 2006","MONTRÉAL",2,2,1,3
"303","2006","1060","J6Z",1,1,"December 31, 2006","MONTRÉAL",2,3,0.666666666666667,0
"304","2006","1060","J7A",1,1,"December 31, 2006","MONTRÉAL",2,2,1,0
"305","2006","1060","J7C",1,1,"December 31, 2006","MONTRÉAL",6,11,0.545454545454545,0
"306","2006","1060","J7C",5,1,"December 31, 2006","MONTRÉAL",4,2,2,1
"307","2006","1060","J7C",5,3,"December 31, 2006","MONTRÉAL",14,2,7,2
"308","2006","1060","J7E",1,1,"December 31, 2006","MONTRÉAL",2,2,1,0
"309","2006","1060","J7E",5,3,"December 31, 2006","MONTRÉAL",173,7,24.7142857142857,4.14285714285714
"310","2006","1060","J7J",1,1,"December 31, 2006","MONTRÉAL",8,10,0.8,0
"311","2006","1060","J7J",5,1,"December 31, 2006","MONTRÉAL",6,3,2,0.666666666666667
"312","2006","1060","J7K",1,1,"December 31, 2006","MONTRÉAL",6,17,0.352941176470588,0
"313","2006","1060","J7L",1,1,"December 31, 2006","MONTRÉAL",1,5,0.2,0
"314","2006","1060","J7M",1,1,"December 31, 2006","MONTRÉAL",17,29,0.586206896551724,0
"315","2006","1060","J7M",2,1,"December 31, 2006","MONTRÉAL",1,3,0.333333333333333,0
"316","2006","1060","J7M",5,1,"December 31, 2006","MONTRÉAL",2,1,2,1
"317","2006","1060","J7M",5,3,"December 31, 2006","MONTRÉAL",23,7,3.28571428571429,2.57142857142857
"318","2006","1060","J7R",1,1,"December 31, 2006","MONTRÉAL",1,1,1,0
"319","2006","1060","J7T",1,1,"December 31, 2006","MONTRÉAL",1,1,1,0
"320","2006","1060","J7V",1,1,"December 31, 2006","MONTRÉAL",38,65,0.584615384615385,0
"321","2006","1060","J7V",2,1,"December 31, 2006","MONTRÉAL",1,1,1,0
"322","2006","1060","J7V",5,3,"December 31, 2006","MONTRÉAL",14,6,2.33333333333333,2.33333333333333
"323","2006","1060","J7Y",1,1,"December 31, 2006","MONTRÉAL",4,9,0.444444444444444,0
"324","2006","1060","J7Y",2,1,"December 31, 2006","MONTRÉAL",1,2,0.5,0
"325","2006","1060","J7Y",5,3,"December 31, 2006","MONTRÉAL",20,8,2.5,2.75
"326","2006","1060","J7Z",1,1,"December 31, 2006","MONTRÉAL",3,4,0.75,0
"327","2006","1060","J7Z",5,3,"December 31, 2006","MONTRÉAL",3,2,1.5,2.5
"328","2006","1060","nan",1,1,"December 31, 2006","MONTRÉAL",360,666,0.540540540540541,0
"329","2006","1060","nan",2,1,"December 31, 2006","MONTRÉAL",49,50,0.98,0
"330","2006","1060","nan",2,3,"December 31, 2006","MONTRÉAL",0,1,0,0
"331","2006","1060","nan",4,1,"December 31, 2006","MONTRÉAL",6,3,2,2
"332","2006","1060","nan",4,3,"December 31, 2006","MONTRÉAL",80,25,3.2,2
"333","2006","1060","nan",5,1,"December 31, 2006","MONTRÉAL",7,4,1.75,1
"334","2006","1060","nan",5,3,"December 31, 2006","MONTRÉAL",1670,197,8.47715736040609,3.28426395939086
"335","2006","1265","K0A",1,1,"December 31, 2006","OTTAWA",9,43,0.209302325581395,0
"336","2006","1265","K0A",2,1,"December 31, 2006","OTTAWA",0,1,0,0
"337","2006","1265","K1C",2,1,"December 31, 2006","OTTAWA",0,1,0,0
"338","2006","1265","K1C",4,1,"December 31, 2006","OTTAWA",1,1,1,0
"339","2006","1265","K1K",1,1,"December 31, 2006","OTTAWA",1,1,1,0
"340","2006","1265","K1K",5,3,"December 31, 2006","OTTAWA",8,1,8,0
"341","2006","1265","K1N",4,1,"December 31, 2006","OTTAWA",1,1,1,0
"342","2006","1265","K1N",5,3,"December 31, 2006","OTTAWA",4,2,2,0
"343","2006","1265","K1R",5,1,"December 31, 2006","OTTAWA",1,1,1,0
"344","2006","1265","K1S",2,1,"December 31, 2006","OTTAWA",2,1,2,0
"345","2006","1265","K1T",1,1,"December 31, 2006","OTTAWA",0,3,0,0
"346","2006","1265","K1T",2,1,"December 31, 2006","OTTAWA",0,1,0,0
"347","2006","1265","K1V",1,1,"December 31, 2006","OTTAWA",0,8,0,0
"348","2006","1265","K1V",4,1,"December 31, 2006","OTTAWA",3,2,1.5,0
"349","2006","1265","K1V",4,3,"December 31, 2006","OTTAWA",3,1,3,0
"350","2006","1265","K1V",5,3,"December 31, 2006","OTTAWA",4,1,4,0
"351","2006","1265","K1Y",2,1,"December 31, 2006","OTTAWA",3,2,1.5,0
"352","2006","1265","K1Y",5,3,"December 31, 2006","OTTAWA",3,1,3,0
"353","2006","1265","K2A",1,1,"December 31, 2006","OTTAWA",1,2,0.5,0
"354","2006","1265","K2B",2,1,"December 31, 2006","OTTAWA",2,1,2,0
"355","2006","1265","K2C",1,1,"December 31, 2006","OTTAWA",3,5,0.6,0
"356","2006","1265","K2C",2,1,"December 31, 2006","OTTAWA",0,1,0,0
"357","2006","1265","K2E",2,1,"December 31, 2006","OTTAWA",7,6,1.16666666666667,0
"358","2006","1265","K2E",5,3,"December 31, 2006","OTTAWA",38,1,38,12
"359","2006","1265","K2G",1,1,"December 31, 2006","OTTAWA",0,1,0,0
"360","2006","1265","K2H",1,1,"December 31, 2006","OTTAWA",0,1,0,0
"361","2006","1265","K2H",4,1,"December 31, 2006","OTTAWA",1,1,1,0
"362","2006","1265","K2K",1,1,"December 31, 2006","OTTAWA",0,3,0,0
"363","2006","1265","K2L",4,1,"December 31, 2006","OTTAWA",2,2,1,0
"364","2006","1265","K2L",4,3,"December 31, 2006","OTTAWA",3,2,1.5,0
"365","2006","1265","K2M",1,1,"December 31, 2006","OTTAWA",0,3,0,0
"366","2006","1265","K2M",4,1,"December 31, 2006","OTTAWA",3,1,3,0
"367","2006","1265","K2P",2,1,"December 31, 2006","OTTAWA",1,1,1,0
"368","2006","1265","K2S",1,1,"December 31, 2006","OTTAWA",1,17,0.0588235294117647,0
"369","2006","1265","K4K",1,1,"December 31, 2006","OTTAWA",0,1,0,0
