"","ref_yy","metcode","gcd_ct_centroid_fsa","dweltype","mkttycd","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price"
"1","2006","0140","T2E",4,3,"June 30, 2006","CALGARY",4,NA,NA,1,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2006","0140","T2H",1,1,"December 31, 2006","CALGARY",2,NA,NA,2,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2006","0140","T3C",1,1,"June 30, 2006","CALGARY",15,NA,NA,15,1,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2006","0340","T5A",1,1,"March 31, 2006","EDMONTON",3,NA,NA,3,1,0,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2006","0340","T5A",5,3,"December 31, 2006","EDMONTON",216,NA,NA,2,108,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2006","0340","T5B",2,1,"December 31, 2006","EDMONTON",2,NA,NA,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2006","0340","T5C",4,3,"December 31, 2006","EDMONTON",4,NA,NA,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2006","0340","T5G",4,3,"September 30, 2006","EDMONTON",18,NA,NA,2,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2006","0340","T5L",1,1,"December 31, 2006","EDMONTON",2,NA,NA,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2006","0340","T5R",5,3,"December 31, 2006","EDMONTON",63,NA,NA,1,63,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2006","0340","T5W",1,1,"March 31, 2006","EDMONTON",2,NA,NA,2,1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2006","0340","T6B",1,1,"June 30, 2006","EDMONTON",1,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2006","0340","T6J",2,3,"March 31, 2006","EDMONTON",30,NA,NA,15,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2006","0340","T8A",5,3,"June 30, 2006","EDMONTON",78,NA,NA,1,78,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2006","0340","T8B",1,1,"March 31, 2006","EDMONTON",83,NA,NA,83,1,0,0.590361445783133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2006","0340","T8E",1,1,"June 30, 2006","EDMONTON",33,NA,NA,33,1,0,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2006","0340","T8G",1,1,"June 30, 2006","EDMONTON",25,NA,NA,25,1,0,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2006","0340","T8N",2,1,"December 31, 2006","EDMONTON",6,NA,NA,3,2,0,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2006","0340","nan",1,2,"March 31, 2006","EDMONTON",2,NA,NA,2,1,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2006","0340","nan",5,3,"March 31, 2006","EDMONTON",2108,NA,NA,36,58.5555555555556,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2006","0580","B2R",1,1,"March 31, 2006","HALIFAX",67,NA,NA,67,1,0,0.0597014925373134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2006","0580","B2Z",1,1,"March 31, 2006","HALIFAX",92,NA,NA,92,1,0,0.0217391304347826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2006","0580","B3A",5,2,"March 31, 2006","HALIFAX",8,NA,NA,1,8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
