"","ref_yy","CSDuid","date_pbi","metcode","metro","municipality","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","population","underconstr_per_10kpop"
"48","1988","2421700","December 31, 1988","1400",NA,NA,13,12,1.08333333333333,0,4,"646773.4430000001",0.200997739482015
"49","1988","2421780","December 31, 1988","1400",NA,NA,30,21,1.42857142857143,0,4,"646773.4430000001",0.463840937266189
"50","1988","2429110","December 31, 1988","1400",NA,NA,8,8,1,0,4,"646773.4430000001",0.123690916604317
"51","1988","2429130","December 31, 1988","1400",NA,NA,5,5,1,0,4,"646773.4430000001",0.0773068228776981
"52","1988","2429140","December 31, 1988","1400",NA,NA,2,2,1,0,4,"646773.4430000001",0.0309227291510793
"53","1988","2452440","December 31, 1988","1060",NA,NA,14,7,2,0,4,"3351700.63",0.0417698402855269
"54","1988","2452480","December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"55","1988","2452550","December 31, 1988","1060",NA,NA,6,6,1,0,4,"3351700.63",0.0179013601223687
"56","1988","2452700","December 31, 1988","1060",NA,NA,16,16,1,0,4,"3351700.63",0.0477369603263165
"57","1988","2452780","December 31, 1988","1060",NA,NA,31,31,1,0,4,"3351700.63",0.0924903606322382
"58","1988","2456120","December 31, 1988","1060",NA,NA,46,34,1.35294117647059,0.0588235294117647,4,"3351700.63",0.13724376093816
"59","1988","2456200","December 31, 1988","1060",NA,NA,6,6,1,0,4,"3351700.63",0.0179013601223687
"60","1988","2456280","December 31, 1988","1060",NA,NA,3,3,1,0,4,"3351700.63",0.00895068006118434
"61","1988","2456310","December 31, 1988","1060",NA,NA,42,20,2.1,0.1,4,"3351700.63",0.125309520856581
"62","1988","2456400","December 31, 1988","1060",NA,NA,150,92,1.6304347826087,0.0108695652173913,4,"3351700.63",0.447534003059217
"63","1988","2456450","December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"64","1988","2456500","December 31, 1988","1060",NA,NA,10,1,10,0,4,"3351700.63",0.0298356002039478
"65","1988","2456580","December 31, 1988","1060",NA,NA,112,2,56,0,4,"3351700.63",0.334158722284215
"66","1988","2456650","December 31, 1988","1060",NA,NA,482,107,4.50467289719626,0.130841121495327,4,"3351700.63",1.43807592983028
"67","1988","2456750","December 31, 1988","1060",NA,NA,55,36,1.52777777777778,0,4,"3351700.63",0.164095801121713
"68","1988","2457110","December 31, 1988","1060",NA,NA,3,3,1,0,4,"3351700.63",0.00895068006118434
"69","1988","2457150","December 31, 1988","1060",NA,NA,34,24,1.41666666666667,0.166666666666667,4,"3351700.63",0.101441040693423
"70","1988","2457200","December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"71","1988","2457280","December 31, 1988","1060",NA,NA,55,53,1.0377358490566,0.0377358490566038,4,"3351700.63",0.164095801121713
"72","1988","2457320","December 31, 1988","1060",NA,NA,26,16,1.625,0,4,"3351700.63",0.0775725605302643
"73","1988","2457400","December 31, 1988","1060",NA,NA,18,18,1,0,4,"3351700.63",0.0537040803671061
"74","1988","2462110","December 31, 1988","1060",NA,NA,3,3,1,0,4,"3351700.63",0.00895068006118434
"75","1988","2462200","December 31, 1988","1060",NA,NA,69,26,2.65384615384615,0,4,"3351700.63",0.20586564140724
