"ref_yy","metcode","full_ct","censustr","date_pbi","metro","stcan_cmacode","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr"
"2006","0140","8250051.00","0051.00","December 31, 2006","CALGARY","825",4,NA,NA,4,1,0,11.5
"2006","0340","8350059.00","0059.00","September 30, 2006","EDMONTON","835",7,NA,NA,2,3.5,0,6
"2006","0340","8350140.04","0140.04","March 31, 2006","EDMONTON","835",38,NA,NA,38,1,0,6.81081081081081
"2006","0610","5370121.00","0121.00","December 31, 2006","HAMILTON","537",1,NA,NA,1,1,0,12
"2006","1060","4620097.01","0097.01","June 30, 2006","MONTRÉAL","462",5,NA,NA,2,2.5,2,7
"2006","1060","4620689.04","0689.04","March 31, 2006","MONTRÉAL","462",98,NA,NA,63,1.55555555555556,0.317460317460317,5.37777777777778
"2006","1060","4620860.01","0860.01","March 31, 2006","MONTRÉAL","462",6,NA,NA,2,3,2,6
"2006","1400","4210113.01","0113.01","September 30, 2006","QUÉBEC","421",191,NA,NA,3,63.6666666666667,5.33333333333333,11.6666666666667
"2006","2270","5350052.00","0052.00","June 30, 2006","TORONTO","535",238,NA,NA,1,238,15,11
"2006","2270","5350528.28","0528.28","June 30, 2006","TORONTO","535",171,NA,NA,31,5.51612903225806,0,11.6129032258065
"2006","2410","9330144.05","0144.05","June 30, 2006","VANCOUVER","933",26,NA,NA,14,1.85714285714286,0,6.85714285714286
"2006","2410","9330186.07","0186.07","March 31, 2006","VANCOUVER","933",10,NA,NA,10,1,0,6
"2006","0340","8350004.00","0004.00","June 30, 2006","EDMONTON","835",2,NA,NA,2,1,0,6
"2006","0340","8350060.02","0060.02","June 30, 2006","EDMONTON","835",2,NA,NA,2,1,0,6
"2006","0580","2050104.02","0104.02","June 30, 2006","HALIFAX","205",226,NA,NA,46,4.91304347826087,0,7.65217391304348
"2006","0610","5370211.00","0211.00","March 31, 2006","HAMILTON","537",1,NA,NA,1,1,0,3
"2006","1060","4620015.00","0015.00","March 31, 2006","MONTRÉAL","462",43,NA,NA,3,14.3333333333333,0,7.66666666666667
"2006","1060","4620033.00","0033.00","September 30, 2006","MONTRÉAL","462",4,NA,NA,1,4,0,6
"2006","1060","4620168.00","0168.00","December 31, 2006","MONTRÉAL","462",25,NA,NA,1,25,0,16
"2006","1060","4620172.00","0172.00","June 30, 2006","MONTRÉAL","462",5,NA,NA,1,5,3,9
"2006","2270","5350527.01","0527.01","September 30, 2006","TORONTO","535",882,NA,NA,3,294,0,20
"2006","2410","9330006.02","0006.02","June 30, 2006","VANCOUVER","933",15,NA,NA,14,1.07142857142857,0,11.4285714285714
"2006","2410","9330140.02","0140.02","June 30, 2006","VANCOUVER","933",106,NA,NA,21,5.04761904761905,1,8.57142857142857
"2006","0340","8350140.03","0140.03","March 31, 2006","EDMONTON","835",162,NA,NA,114,1.42105263157895,0,7.04385964912281
"2006","0610","5370130.02","0130.02","June 30, 2006","HAMILTON","537",2,NA,NA,2,1,0,5.5
"2006","1060","4620001.00","0001.00","December 31, 2006","MONTRÉAL","462",37,NA,NA,4,9.25,1.5,9.5
"2006","1060","4620291.01","0291.01","December 31, 2006","MONTRÉAL","462",61,NA,NA,31,1.96774193548387,0,5.79310344827586
"2006","1060","4620632.02","0632.02","September 30, 2006","MONTRÉAL","462",61,NA,NA,47,1.29787234042553,0.0425531914893617,6.44186046511628
"2006","1060","4620710.02","0710.02","June 30, 2006","MONTRÉAL","462",131,NA,NA,130,1.00769230769231,0.00769230769230769,5.17117117117117
"2006","1060","4620800.02","0800.02","December 31, 2006","MONTRÉAL","462",5,NA,NA,5,1,0,6
"2006","2270","5350097.02","0097.02","December 31, 2006","TORONTO","535",1,NA,NA,1,1,0,23
"2006","2270","5350528.22","0528.22","March 31, 2006","TORONTO","535",2,NA,NA,2,1,0,15
"2006","2270","5350612.02","0612.02","June 30, 2006","TORONTO","535",533,NA,NA,255,2.09019607843137,0,7.10162601626016
"2006","2410","9330163.04","0163.04","March 31, 2006","VANCOUVER","933",2,NA,NA,2,1,0,8.5
"2006","2410","9330184.11","0184.11","September 30, 2006","VANCOUVER","933",145,NA,NA,145,1,0,5.91608391608392
"2006","0140","8250046.02","0046.02","March 31, 2006","CALGARY","825",2,NA,NA,2,1,0,17
