"ref_yy","metcode","full_ct","censustr","date_pbi","metro","stcan_cmacode","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time"
"2006","0140","8250051.00","0051.00","December 31, 2006","CALGARY","825",3,NA,NA,2,1.5,0,0.5
"2006","0340","8350059.00","0059.00","December 31, 2006","EDMONTON","835",9,NA,NA,3,3,0,0.666666666666667
"2006","0340","8350140.04","0140.04","September 30, 2006","EDMONTON","835",64,NA,NA,64,1,0,0.78125
"2006","0610","5370121.00","0121.00","December 31, 2006","HAMILTON","537",7,NA,NA,5,1.4,0,0.6
"2006","1060","4620689.04","0689.04","June 30, 2006","MONTRÉAL","462",89,NA,NA,60,1.48333333333333,0.133333333333333,0
"2006","1060","4620860.01","0860.01","September 30, 2006","MONTRÉAL","462",1,NA,NA,1,1,0,0
"2006","1400","4210113.01","0113.01","September 30, 2006","QUÉBEC","421",5,NA,NA,1,5,2,0
"2006","2270","5350038.00","0038.00","December 31, 2006","TORONTO","535",1,NA,NA,1,1,0,0
"2006","2270","5350052.00","0052.00","June 30, 2006","TORONTO","535",1,NA,NA,1,1,0,4
"2006","2270","5350528.28","0528.28","March 31, 2006","TORONTO","535",1,NA,NA,1,1,0,0
"2006","2410","9330144.05","0144.05","September 30, 2006","VANCOUVER","933",26,NA,NA,14,1.85714285714286,0,0.357142857142857
"2006","2410","9330186.07","0186.07","March 31, 2006","VANCOUVER","933",22,NA,NA,22,1,0,0.590909090909091
"2006","0340","8350004.00","0004.00","March 31, 2006","EDMONTON","835",2,NA,NA,2,1,0,1
"2006","0340","8350060.02","0060.02","December 31, 2006","EDMONTON","835",4,NA,NA,3,1.33333333333333,0,0
"2006","0580","2050025.02","0025.02","September 30, 2006","HALIFAX","205",2,NA,NA,1,2,0,2
"2006","0580","2050104.02","0104.02","June 30, 2006","HALIFAX","205",342,NA,NA,69,4.95652173913043,0,0.0869565217391304
"2006","1060","4620015.00","0015.00","March 31, 2006","MONTRÉAL","462",11,NA,NA,1,11,0,0
"2006","1060","4620168.00","0168.00","December 31, 2006","MONTRÉAL","462",6,NA,NA,1,6,0,0
"2006","1400","4210040.01","0040.01","December 31, 2006","QUÉBEC","421",45,NA,NA,1,45,0,0
"2006","2270","5350527.01","0527.01","June 30, 2006","TORONTO","535",700,NA,NA,2,350,0,0.5
"2006","2410","9330006.02","0006.02","March 31, 2006","VANCOUVER","933",9,NA,NA,8,1.125,0,0.125
"2006","2410","9330140.02","0140.02","June 30, 2006","VANCOUVER","933",83,NA,NA,24,3.45833333333333,0,2.41666666666667
"2006","0340","8350006.05","0006.05","December 31, 2006","EDMONTON","835",1,NA,NA,1,1,0,1
"2006","0340","8350140.03","0140.03","June 30, 2006","EDMONTON","835",233,NA,NA,132,1.76515151515152,0,0.253968253968254
"2006","0610","5370130.02","0130.02","June 30, 2006","HAMILTON","537",2,NA,NA,2,1,0,0.5
"2006","1060","4620001.00","0001.00","September 30, 2006","MONTRÉAL","462",41,NA,NA,5,8.2,0,0
"2006","1060","4620291.01","0291.01","June 30, 2006","MONTRÉAL","462",97,NA,NA,37,2.62162162162162,0,0
"2006","1060","4620632.02","0632.02","March 31, 2006","MONTRÉAL","462",69,NA,NA,47,1.46808510638298,0,0
"2006","1060","4620710.02","0710.02","March 31, 2006","MONTRÉAL","462",134,NA,NA,133,1.00751879699248,0.0075187969924812,0
"2006","1060","4620800.02","0800.02","December 31, 2006","MONTRÉAL","462",12,NA,NA,11,1.09090909090909,0,0
"2006","1400","4210015.00","0015.00","June 30, 2006","QUÉBEC","421",96,NA,NA,1,96,0,3
"2006","2270","5350167.02","0167.02","September 30, 2006","TORONTO","535",3,NA,NA,2,1.5,0,1.5
"2006","2270","5350612.02","0612.02","September 30, 2006","TORONTO","535",346,NA,NA,116,2.98275862068966,0,0.972727272727273
"2006","2410","9330163.04","0163.04","June 30, 2006","VANCOUVER","933",1,NA,NA,1,1,0,0
"2006","2410","9330184.11","0184.11","March 31, 2006","VANCOUVER","933",105,NA,NA,105,1,0,0.714285714285714
"2006","0140","8250046.02","0046.02","March 31, 2006","CALGARY","825",7,NA,NA,4,1.75,0,1.25
"2006","0140","8250052.04","0052.04","June 30, 2006","CALGARY","825",1,NA,NA,1,1,0,0
"2006","0140","8250076.10","0076.10","March 31, 2006","CALGARY","825",751,NA,NA,712,1.05477528089888,0,0.601123595505618
