"ref_yy","metcode","full_ct","censustr","date_pbi","metro","stcan_cmacode","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time"
"2006","0340","8350010.00","0010.00","September 30, 2006","EDMONTON","835",8,NA,NA,8,1,0,0.125
"2006","0340","8350105.04","0105.04","June 30, 2006","EDMONTON","835",33,NA,NA,33,1,0,0.333333333333333
"2006","0340","8350150.00","0150.00","June 30, 2006","EDMONTON","835",87,NA,NA,87,1,0,1.09195402298851
"2006","1060","4620687.03","0687.03","March 31, 2006","MONTRÉAL","462",147,NA,NA,123,1.19512195121951,0.0975609756097561,0
"2006","1060","4620705.02","0705.02","March 31, 2006","MONTRÉAL","462",35,NA,NA,1,35,7,0
"2006","1060","4620807.02","0807.02","March 31, 2006","MONTRÉAL","462",7,NA,NA,2,3.5,0,0
"2006","1060","4620831.06","0831.06","December 31, 2006","MONTRÉAL","462",79,NA,NA,59,1.33898305084746,0.0677966101694915,0
"2006","1265","5050137.03","0137.03","March 31, 2006","OTTAWA","505",1,NA,NA,1,1,0,0
"2006","1490","7050101.00","0101.00","March 31, 2006","REGINA","705",79,NA,NA,76,1.03947368421053,0,0
"2006","2270","5350206.01","0206.01","June 30, 2006","TORONTO","535",5,NA,NA,3,1.66666666666667,0,0
"2006","2270","5350242.00","0242.00","December 31, 2006","TORONTO","535",4,NA,NA,4,1,0,0
"2006","2270","5350284.00","0284.00","December 31, 2006","TORONTO","535",2,NA,NA,2,1,0,2
"2006","2270","5350336.00","0336.00","June 30, 2006","TORONTO","535",11,NA,NA,11,1,0,4.27272727272727
"2006","2270","5350473.03","0473.03","June 30, 2006","TORONTO","535",3,NA,NA,3,1,0,1.33333333333333
"2006","2270","5350585.02","0585.02","June 30, 2006","TORONTO","535",4,NA,NA,4,1,0,0.5
"2006","2270","5350638.00","0638.00","June 30, 2006","TORONTO","535",23,NA,NA,23,1,0,0.391304347826087
"2006","2270","5350805.07","0805.07","March 31, 2006","TORONTO","535",443,NA,NA,365,1.21369863013699,0,0.96986301369863
"2006","2410","9330182.01","0182.01","September 30, 2006","VANCOUVER","933",12,NA,NA,12,1,0,1.25
"2006","2410","9330192.00","0192.00","June 30, 2006","VANCOUVER","933",31,NA,NA,18,1.72222222222222,0,0.833333333333333
"2006","2410","9330230.01","0230.01","March 31, 2006","VANCOUVER","933",2,NA,NA,2,1,0,0
"2006","0580","2050143.02","0143.02","June 30, 2006","HALIFAX","205",14,NA,NA,14,1,0,0.214285714285714
"2006","1060","4620290.06","0290.06","September 30, 2006","MONTRÉAL","462",1,NA,NA,1,1,0,0
"2006","1265","5050028.00","0028.00","March 31, 2006","OTTAWA","505",10,NA,NA,5,2,0,1
"2006","1265","5050037.00","0037.00","September 30, 2006","OTTAWA","505",119,NA,NA,1,119,0,2
"2006","1265","5050049.00","0049.00","December 31, 2006","OTTAWA","505",1,NA,NA,1,1,0,22
"2006","1400","4210160.01","0160.01","June 30, 2006","QUÉBEC","421",9,NA,NA,8,1.125,0,0
"2006","1400","4210360.02","0360.02","June 30, 2006","QUÉBEC","421",27,NA,NA,27,1,0,0
"2006","1400","4210820.01","0820.01","March 31, 2006","QUÉBEC","421",6,NA,NA,5,1.2,0,0.8
"2006","2270","5350307.01","0307.01","September 30, 2006","TORONTO","535",3,NA,NA,3,1,0,0.666666666666667
"2006","2270","5350424.06","0424.06","September 30, 2006","TORONTO","535",123,NA,NA,115,1.0695652173913,0,0.304347826086957
"2006","2270","5350527.05","0527.05","September 30, 2006","TORONTO","535",3,NA,NA,3,1,0,1.66666666666667
"2006","2410","9330034.02","0034.02","December 31, 2006","VANCOUVER","933",187,NA,NA,36,5.19444444444444,0.666666666666667,2.91666666666667
"2006","2410","9330147.02","0147.02","December 31, 2006","VANCOUVER","933",8,NA,NA,1,8,0,4
"2006","0580","2050131.03","0131.03","December 31, 2006","HALIFAX","205",42,NA,NA,31,1.35483870967742,0,0
"2006","0610","5370124.00","0124.00","March 31, 2006","HAMILTON","537",4,NA,NA,4,1,0,0.75
"2006","1060","4620019.00","0019.00","September 30, 2006","MONTRÉAL","462",32,NA,NA,4,8,0,0
"2006","1060","4620826.07","0826.07","March 31, 2006","MONTRÉAL","462",145,NA,NA,4,36.25,0,0
"2006","1060","4620826.12","0826.12","March 31, 2006","MONTRÉAL","462",487,NA,NA,199,2.44723618090452,0.0251256281407035,0.0100502512562814
"2006","1700","7250104.00","0104.00","September 30, 2006","SASKATOON","725",13,NA,NA,13,1,0,0
"2006","2270","5350341.04","0341.04","December 31, 2006","TORONTO","535",3,NA,NA,3,1,0,12.3333333333333
"2006","2270","5350593.00","0593.00","September 30, 2006","TORONTO","535",36,NA,NA,36,1,0,1.02777777777778
"2006","2410","9330012.00","0012.00","June 30, 2006","VANCOUVER","933",40,NA,NA,21,1.9047619047619,0.142857142857143,0.619047619047619
"2006","2440","9350151.01","0151.01","March 31, 2006","VICTORIA","935",656,NA,NA,178,3.68539325842697,0.0842696629213483,0.247191011235955
"2006","1060","4620514.01","0514.01","September 30, 2006","MONTRÉAL","462",18,NA,NA,3,6,0,0
"2006","2270","5350002.00","0002.00","March 31, 2006","TORONTO","535",1,NA,NA,1,1,0,0
"2006","2270","5350160.00","0160.00","March 31, 2006","TORONTO","535",5,NA,NA,4,1.25,0,0
"2006","2270","5350203.00","0203.00","June 30, 2006","TORONTO","535",4,NA,NA,4,1,0,1.5
"2006","2270","5350363.03","0363.03","June 30, 2006","TORONTO","535",228,NA,NA,1,228,19,8
"2006","2680","6020595.02","0595.02","June 30, 2006","WINNIPEG","602",3,NA,NA,3,1,0,0
"2006","0340","8350051.01","0051.01","September 30, 2006","EDMONTON","835",1,NA,NA,1,1,0,0
"2006","0610","5370070.00","0070.00","September 30, 2006","HAMILTON","537",4,NA,NA,4,1,0,0
"2006","1060","4620857.01","0857.01","September 30, 2006","MONTRÉAL","462",7,NA,NA,3,2.33333333333333,0,0
"2006","1060","4620872.00","0872.00","June 30, 2006","MONTRÉAL","462",4,NA,NA,2,2,0,0
"2006","2270","5350191.00","0191.00","September 30, 2006","TORONTO","535",2,NA,NA,2,1,0,0
"2006","2270","5350587.02","0587.02","June 30, 2006","TORONTO","535",31,NA,NA,31,1,0,1.83870967741935
"2006","2410","9330149.05","0149.05","June 30, 2006","VANCOUVER","933",19,NA,NA,17,1.11764705882353,0,0.705882352941177
"2006","2410","9330161.05","0161.05","March 31, 2006","VANCOUVER","933",22,NA,NA,18,1.22222222222222,0.111111111111111,0.333333333333333
"2006","2410","9330506.01","0506.01","September 30, 2006","VANCOUVER","933",19,NA,NA,19,1,0,0.105263157894737
"2006","0340","8350022.00","0022.00","June 30, 2006","EDMONTON","835",2,NA,NA,2,1,0,0
"2006","0340","8350058.00","0058.00","September 30, 2006","EDMONTON","835",2,NA,NA,1,2,0,4
"2006","1060","4620470.03","0470.03","March 31, 2006","MONTRÉAL","462",2,NA,NA,2,1,0,0
"2006","1060","4620726.01","0726.01","June 30, 2006","MONTRÉAL","462",6,NA,NA,1,6,0,0
"2006","1060","4620788.00","0788.00","December 31, 2006","MONTRÉAL","462",110,NA,NA,46,2.39130434782609,0.434782608695652,0
"2006","1060","4620850.01","0850.01","June 30, 2006","MONTRÉAL","462",185,NA,NA,142,1.30281690140845,0,0
"2006","1265","5050131.02","0131.02","March 31, 2006","OTTAWA","505",3,NA,NA,3,1,0,0.333333333333333
"2006","2270","5350076.00","0076.00","June 30, 2006","TORONTO","535",1,NA,NA,1,1,0,0
"2006","2270","5350410.09","0410.09","December 31, 2006","TORONTO","535",1,NA,NA,1,1,0,5
"2006","2410","9330161.02","0161.02","March 31, 2006","VANCOUVER","933",14,NA,NA,6,2.33333333333333,0,1
"2006","2410","9330187.03","0187.03","June 30, 2006","VANCOUVER","933",9,NA,NA,9,1,0,0.333333333333333
"2006","2410","9330187.05","0187.05","December 31, 2006","VANCOUVER","933",3,NA,NA,3,1,0,0
"2006","2410","9330187.06","0187.06","December 31, 2006","VANCOUVER","933",151,NA,NA,31,4.87096774193548,0.193548387096774,0.419354838709677
"2006","2410","9330189.05","0189.05","September 30, 2006","VANCOUVER","933",50,NA,NA,3,16.6666666666667,1.33333333333333,6.33333333333333
"2006","2680","6020500.07","0500.07","June 30, 2006","WINNIPEG","602",57,NA,NA,57,1,0,1.17543859649123
"2006","0340","8350014.00","0014.00","September 30, 2006","EDMONTON","835",19,NA,NA,7,2.71428571428571,0,0
"2006","0610","5370084.05","0084.05","September 30, 2006","HAMILTON","537",5,NA,NA,5,1,0,2
"2006","1060","4620325.04","0325.04","September 30, 2006","MONTRÉAL","462",4,NA,NA,1,4,0,0
"2006","1060","4620355.00","0355.00","December 31, 2006","MONTRÉAL","462",4,NA,NA,4,1,0,0
"2006","1060","4620688.01","0688.01","September 30, 2006","MONTRÉAL","462",136,NA,NA,92,1.47826086956522,0.0978260869565217,0
"2006","1265","5050005.00","0005.00","September 30, 2006","OTTAWA","505",5,NA,NA,3,1.66666666666667,0,0.666666666666667
"2006","2270","5350299.00","0299.00","September 30, 2006","TORONTO","535",26,NA,NA,26,1,0,0.304347826086957
"2006","2270","5350362.02","0362.02","December 31, 2006","TORONTO","535",96,NA,NA,31,3.09677419354839,0,1
"2006","2270","5350631.00","0631.00","March 31, 2006","TORONTO","535",211,NA,NA,132,1.59848484848485,0,1.5
"2006","2410","9330021.00","0021.00","September 30, 2006","VANCOUVER","933",10,NA,NA,10,1,0,0.4
"2006","2410","9330292.02","0292.02","March 31, 2006","VANCOUVER","933",67,NA,NA,32,2.09375,0.0625,0.8125
"2006","0140","8250201.00","0201.00","December 31, 2006","CALGARY","825",62,NA,NA,62,1,0,0.870967741935484
"2006","0340","8350121.05","0121.05","March 31, 2006","EDMONTON","835",797,NA,NA,435,1.83218390804598,0,0.235565819861432
"2006","0610","5370049.00","0049.00","June 30, 2006","HAMILTON","537",12,NA,NA,1,12,0,0
"2006","0610","5370101.00","0101.00","March 31, 2006","HAMILTON","537",109,NA,NA,87,1.25287356321839,0,0.0116279069767442
"2006","1060","4620070.00","0070.00","December 31, 2006","MONTRÉAL","462",38,NA,NA,1,38,0,0
"2006","1265","5050017.00","0017.00","December 31, 2006","OTTAWA","505",27,NA,NA,5,5.4,0,1
"2006","1265","5050200.01","0200.01","September 30, 2006","OTTAWA","505",10,NA,NA,10,1,0,0.6
"2006","2410","9330030.00","0030.00","June 30, 2006","VANCOUVER","933",63,NA,NA,12,5.25,0.416666666666667,0.833333333333333
"2006","2410","9330151.03","0151.03","June 30, 2006","VANCOUVER","933",4,NA,NA,4,1,0,0
"2006","2410","9330504.01","0504.01","March 31, 2006","VANCOUVER","933",623,NA,NA,505,1.23366336633663,0.0178217821782178,0.36039603960396
"2006","2440","9350006.00","0006.00","June 30, 2006","VICTORIA","935",5,NA,NA,4,1.25,0,3.25
"2006","2680","6020037.00","0037.00","December 31, 2006","WINNIPEG","602",2,NA,NA,1,2,0,1
"2006","2680","6020120.01","0120.01","March 31, 2006","WINNIPEG","602",56,NA,NA,56,1,0,0.375
"2006","2680","6020600.00","0600.00","March 31, 2006","WINNIPEG","602",40,NA,NA,40,1,0,0.375
"2006","0340","8350042.01","0042.01","September 30, 2006","EDMONTON","835",1,NA,NA,1,1,0,1
"2006","0340","8350079.00","0079.00","March 31, 2006","EDMONTON","835",1214,NA,NA,847,1.43329397874852,0,0.380782918149466
"2006","1060","4620515.04","0515.04","June 30, 2006","MONTRÉAL","462",1,NA,NA,1,1,0,0
"2006","2270","5350293.00","0293.00","June 30, 2006","TORONTO","535",25,NA,NA,25,1,0,1.94117647058824
"2006","2410","9330053.02","0053.02","June 30, 2006","VANCOUVER","933",10,NA,NA,9,1.11111111111111,0.222222222222222,1
"2006","2440","9350014.02","0014.02","June 30, 2006","VICTORIA","935",31,NA,NA,3,10.3333333333333,1.33333333333333,0
"2006","0340","8350023.00","0023.00","September 30, 2006","EDMONTON","835",7,NA,NA,7,1,0,0
"2006","0580","2050103.00","0103.00","June 30, 2006","HALIFAX","205",2,NA,NA,1,2,0,0
"2006","1060","4620303.00","0303.00","March 31, 2006","MONTRÉAL","462",30,NA,NA,4,7.5,0,0
"2006","1060","4620645.00","0645.00","March 31, 2006","MONTRÉAL","462",204,NA,NA,1,204,16,0
"2006","1060","4620826.10","0826.10","September 30, 2006","MONTRÉAL","462",40,NA,NA,8,5,0,0
"2006","2270","5350362.01","0362.01","March 31, 2006","TORONTO","535",44,NA,NA,8,5.5,0,1.5
"2006","2270","5350473.01","0473.01","September 30, 2006","TORONTO","535",25,NA,NA,25,1,0,0.2
"2006","2270","5350601.00","0601.00","December 31, 2006","TORONTO","535",16,NA,NA,16,1,0,0.0625
"2006","2680","6020580.00","0580.00","December 31, 2006","WINNIPEG","602",6,NA,NA,6,1,0,1.16666666666667
"2006","0580","2050005.00","0005.00","December 31, 2006","HALIFAX","205",3,NA,NA,3,1,0,0
"2006","1060","4620026.00","0026.00","March 31, 2006","MONTRÉAL","462",41,NA,NA,5,8.2,0,0
"2006","1060","4620228.00","0228.00","June 30, 2006","MONTRÉAL","462",8,NA,NA,2,4,0,0
"2006","2270","5350008.00","0008.00","June 30, 2006","TORONTO","535",513,NA,NA,1,513,30,2
"2006","2270","5350023.00","0023.00","September 30, 2006","TORONTO","535",2,NA,NA,2,1,0,0.5
"2006","2410","9330184.10","0184.10","September 30, 2006","VANCOUVER","933",2,NA,NA,2,1,0,0
"2006","2440","9350123.01","0123.01","June 30, 2006","VICTORIA","935",10,NA,NA,2,5,0,0
"2006","2680","6020116.00","0116.00","September 30, 2006","WINNIPEG","602",5,NA,NA,5,1,0,0.4
"2006","0340","8350017.00","0017.00","September 30, 2006","EDMONTON","835",106,NA,NA,6,17.6666666666667,0,0.6
"2006","0580","2050025.03","0025.03","June 30, 2006","HALIFAX","205",145,NA,NA,1,145,0,0
"2006","0610","5370216.00","0216.00","June 30, 2006","HAMILTON","537",3,NA,NA,3,1,0,0
"2006","1060","4620657.03","0657.03","December 31, 2006","MONTRÉAL","462",30,NA,NA,20,1.5,0,0
"2006","1060","4620684.05","0684.05","March 31, 2006","MONTRÉAL","462",1,NA,NA,1,1,0,0
"2006","1060","4620780.00","0780.00","June 30, 2006","MONTRÉAL","462",7,NA,NA,7,1,0,0
"2006","1400","4210270.02","0270.02","September 30, 2006","QUÉBEC","421",126,NA,NA,3,42,2,1
"2006","1490","7050028.02","0028.02","September 30, 2006","REGINA","705",9,NA,NA,9,1,0,0
"2006","2270","5350131.00","0131.00","June 30, 2006","TORONTO","535",5,NA,NA,5,1,0,1
"2006","2270","5350456.01","0456.01","June 30, 2006","TORONTO","535",25,NA,NA,17,1.47058823529412,0,0.352941176470588
"2006","2270","5350591.00","0591.00","June 30, 2006","TORONTO","535",13,NA,NA,7,1.85714285714286,0,0.142857142857143
"2006","2410","9330181.04","0181.04","December 31, 2006","VANCOUVER","933",157,NA,NA,126,1.24603174603175,0,0.841269841269841
"2006","2680","6020123.00","0123.00","June 30, 2006","WINNIPEG","602",1,NA,NA,1,1,0,1
"2006","1060","4620703.03","0703.03","June 30, 2006","MONTRÉAL","462",10,NA,NA,10,1,0,0
"2006","2270","5350805.03","0805.03","March 31, 2006","TORONTO","535",963,NA,NA,861,1.1184668989547,0,0.308943089430894
"2006","2410","9330503.04","0503.04","September 30, 2006","VANCOUVER","933",174,NA,NA,9,19.3333333333333,2.22222222222222,0.111111111111111
"2006","0580","2050123.06","0123.06","March 31, 2006","HALIFAX","205",1,NA,NA,1,1,0,1
"2006","1060","4620276.00","0276.00","September 30, 2006","MONTRÉAL","462",24,NA,NA,4,6,0,0
"2006","1060","4620611.01","0611.01","December 31, 2006","MONTRÉAL","462",10,NA,NA,1,10,0,0
"2006","1060","4620677.08","0677.08","June 30, 2006","MONTRÉAL","462",177,NA,NA,152,1.16447368421053,0.0263157894736842,0
"2006","1060","4620904.02","0904.02","March 31, 2006","MONTRÉAL","462",3,NA,NA,3,1,0,0
"2006","1265","5050151.04","0151.04","March 31, 2006","OTTAWA","505",31,NA,NA,31,1,0,0.32258064516129
"2006","1265","5050200.02","0200.02","December 31, 2006","OTTAWA","505",17,NA,NA,17,1,0,0.647058823529412
"2006","1400","4210500.00","0500.00","September 30, 2006","QUÉBEC","421",71,NA,NA,71,1,0,0.197183098591549
"2006","2270","5350610.04","0610.04","June 30, 2006","TORONTO","535",13,NA,NA,4,3.25,0,0.5
"2006","2410","9330032.00","0032.00","June 30, 2006","VANCOUVER","933",14,NA,NA,7,2,0.428571428571429,0.428571428571429
"2006","2410","9330050.03","0050.03","September 30, 2006","VANCOUVER","933",2,NA,NA,1,2,0,1
"2006","2410","9330184.02","0184.02","September 30, 2006","VANCOUVER","933",30,NA,NA,8,3.75,0,1.875
"2006","2440","9350102.00","0102.00","December 31, 2006","VICTORIA","935",3,NA,NA,3,1,0,0
"2006","2680","6020100.01","0100.01","March 31, 2006","WINNIPEG","602",161,NA,NA,106,1.5188679245283,0,0.830188679245283
"2006","2680","6020551.00","0551.00","June 30, 2006","WINNIPEG","602",5,NA,NA,5,1,0,0
"2006","0340","8350045.00","0045.00","December 31, 2006","EDMONTON","835",2,NA,NA,2,1,0,3.5
"2006","0340","8350105.03","0105.03","September 30, 2006","EDMONTON","835",25,NA,NA,25,1,0,1.52
"2006","1060","4620174.00","0174.00","September 30, 2006","MONTRÉAL","462",53,NA,NA,2,26.5,0,0
"2006","2270","5350615.00","0615.00","June 30, 2006","TORONTO","535",1,NA,NA,1,1,0,0
"2006","2270","5350805.02","0805.02","March 31, 2006","TORONTO","535",29,NA,NA,4,7.25,0,3
"2006","1060","4620098.00","0098.00","March 31, 2006","MONTRÉAL","462",24,NA,NA,8,3,0,0
"2006","1265","5050170.01","0170.01","September 30, 2006","OTTAWA","505",10,NA,NA,2,5,0,1
"2006","2270","5350207.00","0207.00","June 30, 2006","TORONTO","535",4,NA,NA,2,2,0,NA
"2006","2410","9330180.00","0180.00","March 31, 2006","VANCOUVER","933",79,NA,NA,53,1.49056603773585,0,1.26415094339623
"2006","2410","9330204.02","0204.02","September 30, 2006","VANCOUVER","933",2,NA,NA,2,1,0,2.5
"2006","0580","2050019.00","0019.00","June 30, 2006","HALIFAX","205",301,NA,NA,14,21.5,0,0
"2006","1060","4620926.02","0926.02","March 31, 2006","MONTRÉAL","462",11,NA,NA,10,1.1,0,0
"2006","1265","5050011.02","0011.02","June 30, 2006","OTTAWA","505",1,NA,NA,1,1,0,15
"2006","2270","5350087.00","0087.00","March 31, 2006","TORONTO","535",1,NA,NA,1,1,0,1
"2006","2270","5350232.00","0232.00","March 31, 2006","TORONTO","535",4,NA,NA,4,1,0,1.66666666666667
"2006","2270","5350402.10","0402.10","March 31, 2006","TORONTO","535",223,NA,NA,9,24.7777777777778,0,2.33333333333333
"2006","2270","5350540.02","0540.02","December 31, 2006","TORONTO","535",19,NA,NA,8,2.375,0,0
"2006","0610","5370122.01","0122.01","September 30, 2006","HAMILTON","537",65,NA,NA,42,1.54761904761905,0,3.16666666666667
"2006","1060","4620065.02","0065.02","December 31, 2006","MONTRÉAL","462",225,NA,NA,1,225,0,NA
"2006","1060","4620316.00","0316.00","December 31, 2006","MONTRÉAL","462",34,NA,NA,6,5.66666666666667,0,0
"2006","1060","4620616.00","0616.00","March 31, 2006","MONTRÉAL","462",10,NA,NA,2,5,0,0
"2006","1060","4620876.03","0876.03","September 30, 2006","MONTRÉAL","462",1,NA,NA,1,1,0,0
"2006","1060","4620878.00","0878.00","December 31, 2006","MONTRÉAL","462",6,NA,NA,2,3,0,0
"2006","1400","4210360.01","0360.01","March 31, 2006","QUÉBEC","421",35,NA,NA,23,1.52173913043478,0,0.130434782608696
"2006","1490","7050014.00","0014.00","December 31, 2006","REGINA","705",3,NA,NA,3,1,0,0
"2006","2270","5350279.01","0279.01","December 31, 2006","TORONTO","535",15,NA,NA,15,1,0,1.21428571428571
"2006","2410","9330184.05","0184.05","June 30, 2006","VANCOUVER","933",49,NA,NA,49,1,0,0.36734693877551
"2006","2410","9330285.02","0285.02","March 31, 2006","VANCOUVER","933",14,NA,NA,9,1.55555555555556,0.888888888888889,0.555555555555556
"2006","2680","6020104.00","0104.00","June 30, 2006","WINNIPEG","602",5,NA,NA,5,1,0,1.2
"2006","0580","2050004.02","0004.02","June 30, 2006","HALIFAX","205",108,NA,NA,1,108,0,0
"2006","1060","4620601.02","0601.02","December 31, 2006","MONTRÉAL","462",153,NA,NA,1,153,0,0
"2006","1060","4620654.00","0654.00","September 30, 2006","MONTRÉAL","462",3,NA,NA,3,1,0,0
"2006","1400","4210039.01","0039.01","March 31, 2006","QUÉBEC","421",31,NA,NA,2,15.5,0,1.5
"2006","1490","7050011.00","0011.00","December 31, 2006","REGINA","705",1,NA,NA,1,1,0,0
"2006","1700","7250012.05","0012.05","March 31, 2006","SASKATOON","725",237,NA,NA,141,1.68085106382979,0,0.0425531914893617
"2006","2270","5350267.00","0267.00","December 31, 2006","TORONTO","535",20,NA,NA,20,1,0,0.6
"2006","2270","5350376.07","0376.07","June 30, 2006","TORONTO","535",247,NA,NA,1,247,24,1
"2006","2270","5350400.03","0400.03","June 30, 2006","TORONTO","535",1,NA,NA,1,1,0,4
"2006","2440","9350132.04","0132.04","December 31, 2006","VICTORIA","935",4,NA,NA,4,1,0,0.5
"2006","0580","2050026.02","0026.02","September 30, 2006","HALIFAX","205",3,NA,NA,2,1.5,0,1
"2006","0610","5370073.00","0073.00","June 30, 2006","HAMILTON","537",2,NA,NA,2,1,0,0
"2006","1265","5050036.00","0036.00","September 30, 2006","OTTAWA","505",36,NA,NA,2,18,0,3.5
"2006","2680","6020500.02","0500.02","June 30, 2006","WINNIPEG","602",1,NA,NA,1,1,0,0
"2006","0340","8350069.00","0069.00","June 30, 2006","EDMONTON","835",1,NA,NA,1,1,0,1
"2006","0340","8350104.06","0104.06","March 31, 2006","EDMONTON","835",2540,NA,NA,1791,1.41820212171971,0,0.303325688073394
"2006","1060","4620452.00","0452.00","June 30, 2006","MONTRÉAL","462",168,NA,NA,7,24,0,0
"2006","1060","4620661.02","0661.02","March 31, 2006","MONTRÉAL","462",158,NA,NA,118,1.33898305084746,0.0508474576271186,0
"2006","1700","7250105.00","0105.00","June 30, 2006","SASKATOON","725",9,NA,NA,9,1,0,0
"2006","2270","5350063.01","0063.01","December 31, 2006","TORONTO","535",114,NA,NA,1,114,26,NA
"2006","2270","5350230.01","0230.01","December 31, 2006","TORONTO","535",5,NA,NA,5,1,0,0.8
"2006","2270","5350305.02","0305.02","December 31, 2006","TORONTO","535",277,NA,NA,7,39.5714285714286,0,0.285714285714286
"2006","2270","5350442.01","0442.01","June 30, 2006","TORONTO","535",373,NA,NA,168,2.2202380952381,0,1
"2006","2270","5350475.00","0475.00","December 31, 2006","TORONTO","535",12,NA,NA,11,1.09090909090909,0,3.72727272727273
"2006","2270","5350630.00","0630.00","September 30, 2006","TORONTO","535",7,NA,NA,7,1,0,0
"2006","2410","9330004.02","0004.02","September 30, 2006","VANCOUVER","933",36,NA,NA,31,1.16129032258065,0.129032258064516,0.290322580645161
"2006","2410","9330161.03","0161.03","March 31, 2006","VANCOUVER","933",2,NA,NA,2,1,0,0
"2006","2410","9330182.02","0182.02","December 31, 2006","VANCOUVER","933",219,NA,NA,172,1.27325581395349,0.0116279069767442,1.44186046511628
