"ref_yy","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr"
"2006","1060","J7C","September 30, 2006","MONTRÉAL",146,NA,NA,99,1.47474747474747,0.232323232323232,4.68181818181818
"2006","1400","G7A","December 31, 2006","QUÉBEC",58,NA,NA,58,1,0,4
"2006","2270","L9T","March 31, 2006","TORONTO",139,NA,NA,56,2.48214285714286,0,7.80357142857143
"2006","2270","M3B","June 30, 2006","TORONTO",21,NA,NA,21,1,0,11.8571428571429
"2006","2410","V3T","December 31, 2006","VANCOUVER",97,NA,NA,19,5.10526315789474,0.210526315789474,5.78947368421053
"2006","0340","T6M","September 30, 2006","EDMONTON",27,NA,NA,19,1.42105263157895,0,7.22222222222222
"2006","0610","L8V","December 31, 2006","HAMILTON",5,NA,NA,4,1.25,0,9.75
"2006","2410","V5M","June 30, 2006","VANCOUVER",175,NA,NA,78,2.24358974358974,0.0769230769230769,6.44827586206897
"2006","1060","H4N","December 31, 2006","MONTRÉAL",102,NA,NA,16,6.375,0.75,8.21428571428571
"2006","1400","G1W","September 30, 2006","QUÉBEC",103,NA,NA,16,6.4375,0.6875,5.22222222222222
"2006","1490","S4N","March 31, 2006","REGINA",90,NA,NA,72,1.25,0,6.74285714285714
"2006","1490","S4P","March 31, 2006","REGINA",41,NA,NA,41,1,0,6.575
"2006","0140","T2K","September 30, 2006","CALGARY",7,NA,NA,6,1.16666666666667,0,9.66666666666667
"2006","0340","T7Z","March 31, 2006","EDMONTON",5,NA,NA,3,1.66666666666667,0,9
"2006","1060","H2W","September 30, 2006","MONTRÉAL",60,NA,NA,10,6,1.4,8.5
"2006","1060","H3S","December 31, 2006","MONTRÉAL",48,NA,NA,2,24,1.5,16
"2006","1400","G0R","March 31, 2006","QUÉBEC",3,NA,NA,3,1,0,3
"2006","1400","G3J","September 30, 2006","QUÉBEC",32,NA,NA,28,1.14285714285714,0,4.91666666666667
"2006","2410","V7M","September 30, 2006","VANCOUVER",9,NA,NA,5,1.8,1.6,11.4
"2006","0340","T5R","June 30, 2006","EDMONTON",3,NA,NA,3,1,0,18
"2006","1060","J4V","June 30, 2006","MONTRÉAL",25,NA,NA,7,3.57142857142857,1.42857142857143,5
"2006","2270","L3P","December 31, 2006","TORONTO",2,NA,NA,2,1,0,6
"2006","2270","M1H","June 30, 2006","TORONTO",12,NA,NA,1,12,0,7
"2006","2410","V5V","September 30, 2006","VANCOUVER",24,NA,NA,21,1.14285714285714,0.0952380952380952,6.95
"2006","2680","R3R","June 30, 2006","WINNIPEG",37,NA,NA,37,1,0,5.65714285714286
"2006","0140","T2A","September 30, 2006","CALGARY",12,NA,NA,2,6,0,11
"2006","2270","M8X","September 30, 2006","TORONTO",7,NA,NA,7,1,0,9
"2006","1400","G6Z","March 31, 2006","QUÉBEC",100,NA,NA,65,1.53846153846154,0.0769230769230769,5.2
"2006","2410","V7J","March 31, 2006","VANCOUVER",4,NA,NA,3,1.33333333333333,0.666666666666667,10.3333333333333
"2006","1060","H3E","June 30, 2006","MONTRÉAL",65,NA,NA,11,5.90909090909091,1.36363636363636,8.66666666666667
"2006","2680","R5A","December 31, 2006","WINNIPEG",38,NA,NA,37,1.02702702702703,0,5.41176470588235
"2006","2680","R2C","September 30, 2006","WINNIPEG",160,NA,NA,160,1,0,4.80451127819549
"2006","0140","nan","March 31, 2006","CALGARY",9629,NA,NA,8063,1.19422051345653,0.00037206994915044,5.84801622512359
"2006","0580","B2Z","June 30, 2006","HALIFAX",83,NA,NA,82,1.01219512195122,0,6.44303797468354
"2006","1265","K1P","September 30, 2006","OTTAWA",36,NA,NA,1,36,0,21
