,er_avg_price
2014-01-31,461526.0
2014-02-28,480487.0
2014-03-31,483651.0
2014-04-30,477556.0
2014-05-31,489121.00386633526
2014-06-30,487278.0
2014-07-31,481084.0
2014-08-31,479017.0
2014-09-30,487052.0
2014-10-31,488063.0
2014-11-30,476974.0
2014-12-31,471994.24129930395
2015-01-31,464273.0
2015-02-28,466829.0
2015-03-31,470821.0
2015-04-30,469158.0
2015-05-31,481978.0827790096
2015-06-30,486655.1522136846
2015-07-31,480489.1376811594
2015-08-31,461814.39690222655
2015-09-30,460610.5166481687
2015-10-31,460499.6
2015-11-30,460896.716182048
2015-12-31,469285.2931985294
2016-01-31,450214.8795811518
2016-02-29,465502.9978586724
2016-03-31,466889.5103626943
2016-04-30,472613.0
2016-05-31,491062.0
2016-06-30,481657.0
2016-07-31,485623.0
2016-08-31,473561.0
2016-09-30,480208.0
2016-10-31,461716.0
2016-11-30,483762.0
2016-12-31,501525.0
2017-01-31,464684.0
2017-02-28,478057.0
2017-03-31,483410.0
2017-04-30,489281.0
2017-05-31,500199.0
2017-06-30,495818.0
2017-07-31,476232.0
2017-08-31,474177.0
2017-09-30,475216.0
2017-10-31,471404.0
2017-11-30,459124.0
2017-12-31,452837.0
2018-01-31,452837.0
2018-02-28,487059.0
2018-03-31,487142.0
2018-04-30,471709.0
2018-05-31,484667.0
2018-06-30,495730.0
2018-07-31,483634.0
2018-08-31,481077.0
2018-09-30,460314.0
2018-10-31,469591.0
2018-11-30,454642.0
2018-12-31,446300.0
2019-01-31,447008.0
2019-02-28,459992.0
2019-03-31,467980.0
2019-04-30,456696.0
2019-05-31,466432.0
2019-06-30,465838.0
2019-07-31,453972.0
2019-08-31,451692.0
2019-09-30,459123.0
2019-10-31,456000.0
2019-11-30,440244.0
2019-12-31,445085.0
2020-01-31,450313.0
2020-02-29,455745.0
2020-03-31,451792.0
2020-04-30,427741.0
2020-05-31,435685.0
2020-06-30,460416.0
2020-07-31,474693.69741412584
2020-08-31,476419.60655737703
2020-09-30,470670.0
2020-10-31,480195.8064780648
2020-11-30,463299.38670694863
2020-12-31,455303.06272401434
2021-01-31,480002.652989449
2021-02-28,493762.2416534181
2021-03-31,517195.60304955527
2021-04-30,517572.9310580205
2021-05-31,518221.15379008744
2021-06-30,509262.23780487804
2021-07-31,500792.8066985646
2021-08-31,491775.05846153846
2021-09-30,488441.98659333104
2021-10-31,500279.6774526678
2021-11-30,499523.6615942029
2021-12-31,489172.5919085312
2022-01-31,527517.4561538461
2022-02-28,565354.109360301
2022-03-31,554458.1342583911
2022-04-30,545147.632418069
2022-05-31,536598.956777996
2022-06-30,530609.3213711837
2022-07-31,516649.20196877123
2022-08-31,504057.17866184446
2022-09-30,511946.9864
2022-10-31,519402.5604349644
2022-11-30,504031.17307692306
2022-12-31,518039.92606755893
2023-01-31,523604.4821080026
2023-02-28,522802.8879191548
2023-03-31,545141.185136897
2023-04-30,560814.2725679228
2023-05-31,565728.7924575425
2023-06-30,570124.450347567
2023-07-31,554184.1927251393
